cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[2.6],TempProf_cur[13.9],TempProf_cur[17.5],TempProf_cur[21.5],TempProf_cur[25.5],TempProf_cur[31.2],PresProf_cur[2.6],PresProf_cur[13.9],PresProf_cur[17.5],PresProf_cur[21.5],PresProf_cur[25.5],PresProf_cur[31.2],
2002-06-10 00:05:00,288.820,286.997,0.000,287.834,286.713,284.349,286.917,97510.833,289.343,288.227,287.855,287.691,287.564,287.388,98056.394,97928.772,97882.271,97835.748,97789.217,97719.414,
2002-06-10 00:10:00,287.758,286.966,0.000,287.718,286.637,284.469,286.883,97511.667,288.112,287.395,287.220,287.159,287.119,287.070,98057.380,97929.284,97882.665,97836.046,97789.435,97719.537,
2002-06-10 00:15:00,287.884,286.933,0.000,287.803,286.741,284.591,286.850,97512.500,288.335,287.427,287.212,287.141,287.096,287.043,98057.367,97929.318,97882.701,97836.079,97789.464,97719.560,
2002-06-10 00:20:00,288.208,286.901,0.000,287.932,286.886,284.746,286.817,97513.333,288.826,287.580,287.281,287.183,287.122,287.049,98057.209,97929.293,97882.693,97836.080,97789.471,97719.571,
2002-06-10 00:25:00,288.122,286.869,0.000,287.987,286.964,284.913,286.783,97514.167,288.660,287.564,287.272,287.171,287.107,287.030,98057.268,97929.322,97882.720,97836.105,97789.494,97719.590,
2002-06-10 00:30:00,288.183,286.837,0.000,288.064,287.064,285.104,286.750,97515.000,288.761,287.584,287.272,287.164,287.095,287.012,98057.267,97929.345,97882.744,97836.129,97789.516,97719.608,
2002-06-10 00:35:00,287.989,286.805,0.000,288.089,287.118,285.293,286.717,97515.833,288.483,287.475,287.202,287.107,287.045,286.968,98057.419,97929.416,97882.802,97836.176,97789.555,97719.635,
2002-06-10 00:40:00,288.012,286.774,0.000,288.149,287.204,285.493,286.683,97516.667,288.547,287.461,287.177,287.079,287.016,286.938,98057.455,97929.459,97882.841,97836.211,97789.585,97719.658,
2002-06-10 00:45:00,287.848,286.741,0.000,288.171,287.257,285.685,286.650,97517.500,288.313,287.366,287.112,287.024,286.966,286.894,98057.593,97929.529,97882.898,97836.259,97789.624,97719.686,
2002-06-10 00:50:00,287.898,286.710,0.000,288.229,287.343,285.888,286.617,97518.333,288.412,287.370,287.098,287.004,286.942,286.868,98057.610,97929.564,97882.932,97836.290,97789.652,97719.707,
2002-06-10 00:55:00,287.752,286.678,0.000,288.249,287.397,286.084,286.583,97519.167,288.201,287.287,287.040,286.954,286.897,286.827,98057.734,97929.628,97882.986,97836.335,97789.688,97719.733,
