cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[3.0],TempProf_cur[15.8],TempProf_cur[22.9],TempProf_cur[27.8],TempProf_cur[32.9],PresProf_cur[3.0],PresProf_cur[15.8],PresProf_cur[22.9],PresProf_cur[27.8],PresProf_cur[32.9],
2002-06-10 00:00:00,295.128,287.032,0.000,300.000,300.000,300.000,286.950,97510.000,295.712,293.495,292.497,291.753,290.876,98047.865,97900.460,97820.622,97763.459,97706.160,
2002-06-10 00:05:00,289.648,286.997,0.000,300.000,300.000,300.000,286.917,97510.833,290.563,288.194,287.766,287.576,287.410,98055.933,97905.440,97824.071,97765.923,97707.765,
2002-06-10 00:10:00,288.603,286.966,0.000,300.000,300.000,300.000,286.883,97511.667,289.237,287.681,287.370,287.261,287.175,98056.794,97905.791,97824.291,97766.070,97707.854,
2002-06-10 00:15:00,289.162,286.933,0.000,300.000,300.000,300.000,286.850,97512.500,289.929,288.023,287.541,287.376,287.246,98056.400,97905.667,97824.234,97766.042,97707.844,
2002-06-10 00:20:00,289.804,286.901,0.000,300.000,300.000,300.000,286.817,97513.333,290.735,288.388,287.733,287.509,287.330,98055.948,97905.523,97824.164,97766.004,97707.829,
2002-06-10 00:25:00,289.656,286.869,0.000,300.000,300.000,300.000,286.783,97514.167,290.468,288.372,287.728,287.501,287.317,98056.024,97905.543,97824.182,97766.022,97707.845,
2002-06-10 00:30:00,289.594,286.837,0.000,300.000,300.000,300.000,286.750,97515.000,290.440,288.281,287.666,287.448,287.272,98056.131,97905.612,97824.230,97766.058,97707.871,
2002-06-10 00:35:00,289.376,286.805,0.000,300.000,300.000,300.000,286.717,97515.833,290.140,288.181,287.595,287.387,287.219,98056.309,97905.689,97824.284,97766.098,97707.900,
2002-06-10 00:40:00,289.419,286.774,0.000,300.000,300.000,300.000,286.683,97516.667,290.230,288.169,287.572,287.361,287.191,98056.332,97905.726,97824.316,97766.125,97707.921,
2002-06-10 00:45:00,289.305,286.741,0.000,300.000,300.000,300.000,286.650,97517.500,290.054,288.129,287.536,287.327,287.157,98056.428,97905.773,97824.352,97766.154,97707.943,
2002-06-10 00:50:00,289.353,286.710,0.000,300.000,300.000,300.000,286.617,97518.333,290.149,288.120,287.517,287.304,287.131,98056.444,97905.807,97824.382,97766.179,97707.963,
2002-06-10 00:55:00,289.230,286.678,0.000,300.000,300.000,300.000,286.583,97519.167,289.966,288.071,287.476,287.266,287.095,98056.549,97905.858,97824.420,97766.210,97707.987,
2002-06-10 01:00:00,289.311,286.646,0.000,300.000,300.000,300.000,286.550,97520.000,290.103,288.081,287.467,287.250,287.075,98056.542,97905.883,97824.445,97766.232,97708.005,
2002-06-10 01:05:00,289.271,286.637,0.000,300.000,300.000,300.000,286.542,97522.500,290.020,288.087,287.464,287.245,287.068,98056.563,97905.891,97824.452,97766.239,97708.010,
2002-06-10 01:10:00,289.356,286.629,0.000,300.000,300.000,300.000,286.533,97525.000,290.160,288.106,287.471,287.248,287.068,98056.527,97905.889,97824.454,97766.242,97708.014,
2002-06-10 01:15:00,289.236,286.620,0.000,300.000,300.000,300.000,286.525,97527.500,289.972,288.068,287.449,287.230,287.053,98056.601,97905.913,97824.470,97766.253,97708.021,
2002-06-10 01:20:00,289.290,286.612,0.000,300.000,300.000,300.000,286.517,97530.000,290.074,288.069,287.445,287.224,287.047,98056.589,97905.921,97824.477,97766.260,97708.027,
2002-06-10 01:25:00,289.176,286.603,0.000,300.000,300.000,300.000,286.508,97532.500,289.897,288.031,287.420,287.205,287.030,98056.663,97905.946,97824.494,97766.272,97708.035,
2002-06-10 01:30:00,289.223,286.595,0.000,300.000,300.000,300.000,286.500,97535.000,289.989,288.027,287.414,287.197,287.023,98056.656,97905.956,97824.502,97766.279,97708.041,
2002-06-10 01:35:00,289.099,286.587,0.000,300.000,300.000,300.000,286.492,97537.500,289.799,287.985,287.387,287.176,287.005,98056.736,97905.983,97824.520,97766.291,97708.049,
2002-06-10 01:40:00,289.144,286.578,0.000,300.000,300.000,300.000,286.483,97540.000,289.889,287.979,287.380,287.168,286.997,98056.732,97905.993,97824.529,97766.299,97708.055,
2002-06-10 01:45:00,289.041,286.570,0.000,300.000,300.000,300.000,286.475,97542.500,289.723,287.949,287.359,287.151,286.983,98056.797,97906.015,97824.543,97766.310,97708.063,
2002-06-10 01:50:00,289.114,286.562,0.000,300.000,300.000,300.000,286.467,97545.000,289.851,287.958,287.360,287.149,286.978,98056.773,97906.019,97824.549,97766.315,97708.067,
2002-06-10 01:55:00,289.018,286.553,0.000,300.000,300.000,300.000,286.458,97547.500,289.694,287.933,287.343,287.134,286.966,98056.831,97906.038,97824.562,97766.325,97708.074,
2002-06-10 02:00:00,289.092,286.545,0.000,300.000,300.000,300.000,286.450,97550.000,289.825,287.941,287.343,287.132,286.962,98056.806,97906.042,97824.567,97766.330,97708.079,
2002-06-10 02:05:00,288.987,286.528,0.000,300.000,300.000,300.000,286.433,97552.500,289.657,287.908,287.318,287.110,286.941,98056.880,97906.072,97824.589,97766.347,97708.092,
2002-06-10 02:10:00,289.058,286.511,0.000,300.000,300.000,300.000,286.417,97555.000,289.788,287.910,287.311,287.099,286.929,98056.869,97906.088,97824.604,97766.360,97708.102,
2002-06-10 02:15:00,288.948,286.494,0.000,300.000,300.000,300.000,286.400,97557.500,289.613,287.876,287.285,287.076,286.907,98056.946,97906.119,97824.626,97766.377,97708.115,
2002-06-10 02:20:00,289.028,286.477,0.000,300.000,300.000,300.000,286.383,97560.000,289.754,287.885,287.282,287.069,286.897,98056.927,97906.131,97824.639,97766.389,97708.125,
2002-06-10 02:25:00,288.958,286.460,0.000,300.000,300.000,300.000,286.367,97562.500,289.627,287.877,287.270,287.056,286.883,98056.972,97906.150,97824.655,97766.402,97708.136,
2002-06-10 02:30:00,289.105,286.443,0.000,300.000,300.000,300.000,286.350,97565.000,289.855,287.923,287.287,287.064,286.883,98056.905,97906.145,97824.658,97766.408,97708.142,
2002-06-10 02:35:00,289.044,286.426,0.000,300.000,300.000,300.000,286.333,97567.500,289.737,287.922,287.280,287.054,286.872,98056.941,97906.160,97824.672,97766.420,97708.152,
2002-06-10 02:40:00,289.187,286.409,0.000,300.000,300.000,300.000,286.317,97570.000,289.961,287.966,287.297,287.061,286.872,98056.877,97906.156,97824.675,97766.426,97708.158,
2002-06-10 02:45:00,289.127,286.392,0.000,300.000,300.000,300.000,286.300,97572.500,289.842,287.968,287.291,287.053,286.861,98056.911,97906.169,97824.688,97766.437,97708.168,
2002-06-10 02:50:00,289.280,286.375,0.000,300.000,300.000,300.000,286.283,97575.000,290.083,288.015,287.310,287.062,286.862,98056.840,97906.163,97824.690,97766.442,97708.174,
2002-06-10 02:55:00,289.213,286.358,0.000,300.000,300.000,300.000,286.267,97577.500,289.951,288.017,287.304,287.054,286.852,98056.877,97906.177,97824.703,97766.454,97708.184,
2002-06-10 03:00:00,289.370,286.341,0.000,300.000,300.000,300.000,286.250,97580.000,290.200,288.066,287.323,287.063,286.853,98056.804,97906.170,97824.705,97766.459,97708.190,
2002-06-10 03:05:00,289.293,286.315,0.000,300.000,300.000,300.000,286.217,97582.500,290.053,288.061,287.312,287.048,286.835,98056.855,97906.194,97824.726,97766.477,97708.205,
2002-06-10 03:10:00,289.423,286.289,0.000,300.000,300.000,300.000,286.183,97585.000,290.274,288.086,287.313,287.042,286.823,98056.816,97906.207,97824.743,97766.493,97708.218,
2002-06-10 03:15:00,289.304,286.263,0.000,300.000,300.000,300.000,286.150,97587.500,290.076,288.054,287.286,287.015,286.797,98056.901,97906.244,97824.771,97766.516,97708.237,
2002-06-10 03:20:00,289.426,286.236,0.000,300.000,300.000,300.000,286.117,97590.000,290.289,288.073,287.284,287.006,286.783,98056.870,97906.260,97824.790,97766.533,97708.251,
