cur_datetime,canTemp,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[3.0],TempProf_cur[15.8],TempProf_cur[22.9],TempProf_cur[27.8],TempProf_cur[32.9],PresProf_cur[3.0],PresProf_cur[15.8],PresProf_cur[22.9],PresProf_cur[27.8],PresProf_cur[32.9],
2002-06-10 00:05:00,289.635,0.000,299.871,299.871,299.726,286.917,97510.833,290.549,288.184,287.761,287.573,287.408,98055.943,97905.444,97824.073,97765.925,97707.765,
2002-06-10 00:10:00,288.563,0.000,299.554,299.554,299.154,286.883,97511.667,289.193,287.648,287.352,287.249,287.166,98056.830,97905.806,97824.299,97766.075,97707.857,
2002-06-10 00:15:00,289.019,0.000,298.953,298.953,298.124,286.850,97512.500,289.779,287.897,287.471,287.326,287.211,98056.532,97905.724,97824.266,97766.061,97707.856,
2002-06-10 00:20:00,289.534,0.000,298.426,298.426,297.226,286.817,97513.333,290.463,288.137,287.595,287.408,287.260,98056.203,97905.638,97824.228,97766.044,97707.852,
2002-06-10 00:25:00,289.340,0.000,298.022,298.022,296.485,286.783,97514.167,290.152,288.073,287.560,287.378,287.230,98056.330,97905.684,97824.261,97766.071,97707.872,
2002-06-10 00:30:00,289.280,0.000,297.728,297.728,295.875,286.750,97515.000,290.132,287.976,287.493,287.321,287.181,98056.442,97905.757,97824.311,97766.109,97707.900,
2002-06-10 00:35:00,289.037,0.000,297.476,297.476,295.337,286.717,97515.833,289.803,287.855,287.411,287.252,287.123,98056.641,97905.843,97824.370,97766.152,97707.930,
2002-06-10 00:40:00,289.052,0.000,297.257,297.257,294.865,286.683,97516.667,289.869,287.811,287.370,287.213,287.086,98056.694,97905.895,97824.410,97766.184,97707.954,
2002-06-10 00:45:00,288.894,0.000,297.058,297.058,294.444,286.650,97517.500,289.643,287.737,287.315,287.165,287.043,98056.828,97905.958,97824.456,97766.219,97707.980,
2002-06-10 00:50:00,288.926,0.000,296.881,296.881,294.073,286.617,97518.333,289.728,287.705,287.283,287.132,287.010,98056.866,97906.003,97824.491,97766.248,97708.002,
2002-06-10 00:55:00,288.771,0.000,296.720,296.720,293.739,286.583,97519.167,289.505,287.634,287.230,287.085,286.968,98056.997,97906.065,97824.536,97766.283,97708.028,
2002-06-10 01:00:00,288.802,0.000,296.574,296.574,293.441,286.550,97520.000,289.589,287.602,287.197,287.053,286.935,98057.035,97906.110,97824.571,97766.311,97708.050,
2002-06-10 01:05:00,288.664,0.000,296.438,296.438,293.167,286.542,97522.500,289.382,287.550,287.163,287.025,286.913,98057.129,97906.143,97824.593,97766.327,97708.060,
2002-06-10 01:10:00,288.721,0.000,296.311,296.311,292.918,286.533,97525.000,289.493,287.545,287.156,287.017,286.905,98057.119,97906.154,97824.602,97766.334,97708.066,
2002-06-10 01:15:00,288.598,0.000,296.193,296.193,292.690,286.525,97527.500,289.301,287.503,287.130,286.996,286.888,98057.198,97906.180,97824.619,97766.347,97708.075,
2002-06-10 01:20:00,288.661,0.000,296.083,296.083,292.482,286.517,97530.000,289.422,287.500,287.124,286.989,286.880,98057.185,97906.190,97824.628,97766.354,97708.080,
2002-06-10 01:25:00,288.534,0.000,295.979,295.979,292.289,286.508,97532.500,289.225,287.457,287.096,286.967,286.862,98057.267,97906.218,97824.646,97766.367,97708.089,
2002-06-10 01:30:00,288.603,0.000,295.881,295.881,292.112,286.500,97535.000,289.355,287.456,287.091,286.961,286.855,98057.251,97906.227,97824.654,97766.374,97708.095,
2002-06-10 01:35:00,288.476,0.000,295.788,295.788,291.945,286.492,97537.500,289.155,287.414,287.065,286.940,286.838,98057.332,97906.253,97824.671,97766.386,97708.103,
2002-06-10 01:40:00,288.552,0.000,295.698,295.698,291.790,286.483,97540.000,289.295,287.416,287.061,286.934,286.831,98057.311,97906.261,97824.678,97766.393,97708.108,
2002-06-10 01:45:00,288.423,0.000,295.614,295.614,291.643,286.475,97542.500,289.092,287.374,287.035,286.913,286.814,98057.392,97906.287,97824.695,97766.405,97708.117,
2002-06-10 01:50:00,288.504,0.000,295.532,295.532,291.505,286.467,97545.000,289.241,287.379,287.032,286.909,286.808,98057.368,97906.294,97824.702,97766.411,97708.122,
2002-06-10 01:55:00,288.373,0.000,295.454,295.454,291.373,286.458,97547.500,289.033,287.337,287.007,286.888,286.792,98057.449,97906.320,97824.719,97766.423,97708.130,
2002-06-10 02:00:00,288.461,0.000,295.378,295.378,291.249,286.450,97550.000,289.191,287.343,287.005,286.884,286.786,98057.422,97906.326,97824.726,97766.429,97708.135,
2002-06-10 02:05:00,288.323,0.000,295.305,295.305,291.129,286.433,97552.500,288.974,287.297,286.973,286.857,286.762,98057.516,97906.362,97824.751,97766.448,97708.149,
2002-06-10 02:10:00,288.409,0.000,295.234,295.234,291.015,286.417,97555.000,289.136,287.297,286.965,286.846,286.749,98057.501,97906.379,97824.766,97766.461,97708.160,
2002-06-10 02:15:00,288.262,0.000,295.165,295.165,290.902,286.400,97557.500,288.905,287.248,286.931,286.817,286.724,98057.601,97906.416,97824.792,97766.481,97708.174,
2002-06-10 02:20:00,288.349,0.000,295.097,295.097,290.794,286.383,97560.000,289.068,287.249,286.923,286.806,286.711,98057.585,97906.432,97824.807,97766.494,97708.185,
2002-06-10 02:25:00,288.197,0.000,295.030,295.030,290.685,286.367,97562.500,288.830,287.200,286.889,286.777,286.686,98057.687,97906.470,97824.833,97766.514,97708.199,
2002-06-10 02:30:00,288.287,0.000,294.964,294.964,290.580,286.350,97565.000,288.997,287.203,286.882,286.767,286.674,98057.669,97906.485,97824.848,97766.527,97708.209,
2002-06-10 02:35:00,288.132,0.000,294.899,294.899,290.476,286.333,97567.500,288.753,287.152,286.848,286.738,286.648,98057.773,97906.523,97824.874,97766.547,97708.224,
2002-06-10 02:40:00,288.225,0.000,294.835,294.835,290.375,286.317,97570.000,288.925,287.156,286.841,286.728,286.636,98057.753,97906.538,97824.888,97766.559,97708.234,
2002-06-10 02:45:00,288.066,0.000,294.772,294.772,290.273,286.300,97572.500,288.676,287.105,286.807,286.699,286.611,98057.859,97906.576,97824.915,97766.579,97708.249,
2002-06-10 02:50:00,288.163,0.000,294.710,294.710,290.176,286.283,97575.000,288.854,287.109,286.801,286.690,286.599,98057.837,97906.591,97824.929,97766.591,97708.259,
2002-06-10 02:55:00,288.001,0.000,294.649,294.649,290.079,286.267,97577.500,288.600,287.057,286.766,286.660,286.573,98057.944,97906.629,97824.955,97766.612,97708.273,
2002-06-10 03:00:00,288.101,0.000,294.588,294.588,289.985,286.250,97580.000,288.783,287.063,286.761,286.651,286.562,98057.921,97906.643,97824.969,97766.624,97708.283,
2002-06-10 03:05:00,287.932,0.000,294.529,294.529,289.891,286.217,97582.500,288.519,287.004,286.719,286.615,286.529,98058.043,97906.692,97825.004,97766.651,97708.303,
2002-06-10 03:10:00,288.025,0.000,294.469,294.469,289.800,286.183,97585.000,288.698,287.001,286.704,286.596,286.508,98058.036,97906.719,97825.028,97766.672,97708.320,
2002-06-10 03:15:00,287.850,0.000,294.410,294.410,289.706,286.150,97587.500,288.428,286.938,286.659,286.556,286.472,98058.164,97906.772,97825.066,97766.700,97708.341,
2002-06-10 03:20:00,287.949,0.000,294.350,294.350,289.615,286.117,97590.000,288.617,286.936,286.644,286.538,286.452,98058.154,97906.798,97825.090,97766.721,97708.358,
2002-06-10 03:25:00,287.774,0.000,294.292,294.292,289.523,286.083,97592.500,288.346,286.873,286.600,286.499,286.416,98058.281,97906.851,97825.127,97766.750,97708.379,
2002-06-10 03:30:00,287.879,0.000,294.232,294.232,289.433,286.050,97595.000,288.542,286.873,286.586,286.481,286.396,98058.268,97906.877,97825.151,97766.770,97708.396,
2002-06-10 03:35:00,287.701,0.000,294.174,294.174,289.343,286.017,97597.500,288.266,286.810,286.541,286.442,286.360,98058.398,97906.929,97825.188,97766.799,97708.417,
