cur_datetime,canTemp,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[1.2],TempProf_cur[20.0],PresProf_cur[1.2],PresProf_cur[20.0],
2008-07-01 00:05:00,292.357,0.011,299.442,299.442,299.894,292.167,99240.400,292.386,292.167,99447.014,99237.800,
2008-07-01 00:10:00,293.786,0.011,298.454,298.454,299.635,292.083,99243.000,293.998,292.083,99446.601,99237.800,
2008-07-01 00:15:00,292.663,0.011,297.183,297.183,299.235,292.000,99245.600,292.684,292.000,99446.926,99237.800,
2008-07-01 00:20:00,292.870,0.011,296.978,296.978,298.987,291.917,99248.200,293.011,291.917,99446.956,99237.800,
2008-07-01 00:25:00,292.330,0.011,296.581,296.581,298.713,291.833,99250.800,292.362,291.833,99447.134,99237.800,
2008-07-01 00:30:00,292.863,0.011,296.398,296.398,298.447,291.750,99253.400,293.010,291.750,99447.017,99237.800,
2008-07-01 00:35:00,292.092,0.011,296.179,296.179,298.177,291.667,99256.000,292.120,291.667,99447.277,99237.800,
2008-07-01 00:40:00,292.475,0.011,296.086,296.086,297.941,291.583,99258.600,292.591,291.583,99447.207,99237.800,
2008-07-01 00:45:00,291.975,0.011,295.868,295.868,297.681,291.500,99261.200,292.006,291.500,99447.379,99237.800,
2008-07-01 00:50:00,292.208,0.011,295.768,295.768,297.451,291.417,99263.800,292.312,291.417,99447.358,99237.800,
2008-07-01 00:55:00,291.748,0.011,295.636,295.636,297.218,291.333,99266.400,291.780,291.333,99447.524,99237.800,
2008-07-01 01:00:00,292.039,0.011,295.515,295.515,296.997,291.250,99269.000,292.138,291.250,99447.477,99237.800,
2008-07-01 01:05:00,291.589,0.011,295.393,295.393,296.772,291.200,99269.667,291.619,291.200,99447.629,99237.800,
2008-07-01 01:10:00,291.858,0.011,295.292,295.292,296.566,291.150,99270.333,291.950,291.150,99447.577,99237.800,
2008-07-01 01:15:00,291.481,0.011,295.176,295.176,296.353,291.100,99271.000,291.511,291.100,99447.705,99237.800,
2008-07-01 01:20:00,291.735,0.011,295.074,295.074,296.156,291.050,99271.667,291.823,291.050,99447.656,99237.800,
2008-07-01 01:25:00,291.348,0.011,294.986,294.986,295.956,291.000,99272.333,291.376,291.000,99447.789,99237.800,
2008-07-01 01:30:00,291.620,0.011,294.888,294.888,295.769,290.950,99273.000,291.707,290.950,99447.733,99237.800,
2008-07-01 01:35:00,291.231,0.011,294.802,294.802,295.579,290.900,99273.667,291.258,290.900,99447.867,99237.800,
2008-07-01 01:40:00,291.491,0.011,294.714,294.714,295.403,290.850,99274.333,291.575,290.850,99447.816,99237.800,
2008-07-01 01:45:00,291.114,0.011,294.633,294.633,295.223,290.800,99275.000,291.139,290.800,99447.945,99237.800,
2008-07-01 01:50:00,291.375,0.011,294.546,294.546,295.055,290.750,99275.667,291.458,290.750,99447.893,99237.800,
2008-07-01 01:55:00,290.993,0.011,294.472,294.472,294.884,290.700,99276.333,291.016,290.700,99448.025,99237.800,
2008-07-01 02:00:00,291.261,0.011,294.389,294.389,294.725,290.650,99277.000,291.342,290.650,99447.971,99237.800,
2008-07-01 02:05:00,290.840,0.011,294.316,294.316,294.562,290.558,99279.350,290.862,290.558,99448.131,99237.800,
2008-07-01 02:10:00,291.076,0.011,294.240,294.240,294.412,290.467,99281.700,291.157,290.467,99448.103,99237.800,
2008-07-01 02:15:00,290.647,0.011,294.171,294.171,294.257,290.375,99284.050,290.669,290.375,99448.267,99237.800,
2008-07-01 02:20:00,290.884,0.011,294.096,294.096,294.115,290.283,99286.400,290.966,290.283,99448.240,99237.800,
2008-07-01 02:25:00,290.455,0.011,294.026,294.026,293.968,290.192,99288.750,290.477,290.192,99448.404,99237.800,
2008-07-01 02:30:00,290.698,0.011,293.950,293.950,293.833,290.100,99291.100,290.780,290.100,99448.374,99237.800,
2008-07-01 02:35:00,290.262,0.011,293.882,293.882,293.693,290.008,99293.450,290.282,290.008,99448.541,99237.800,
2008-07-01 02:40:00,290.514,0.011,293.808,293.808,293.565,289.917,99295.800,290.596,289.917,99448.508,99237.800,
2008-07-01 02:45:00,290.075,0.011,293.740,293.740,293.431,289.825,99298.150,290.096,289.825,99448.675,99237.800,
2008-07-01 02:50:00,290.324,0.011,293.669,293.669,293.309,289.733,99300.500,290.406,289.733,99448.644,99237.800,
2008-07-01 02:55:00,289.890,0.011,293.605,293.605,293.181,289.642,99302.850,289.910,289.642,99448.810,99237.800,
2008-07-01 03:00:00,290.139,0.011,293.532,293.532,293.064,289.550,99305.200,290.221,289.550,99448.779,99237.800,
2008-07-01 03:05:00,289.757,0.011,293.473,293.473,292.942,289.517,99307.092,289.778,289.517,99448.905,99237.800,
2008-07-01 03:10:00,290.048,0.011,293.405,293.405,292.831,289.483,99308.983,290.129,289.483,99448.836,99237.800,
2008-07-01 03:15:00,289.679,0.011,293.363,293.363,292.717,289.450,99310.875,289.699,289.450,99448.958,99237.800,
2008-07-01 03:20:00,289.973,0.011,293.305,293.305,292.614,289.417,99312.767,290.053,289.417,99448.888,99237.800,
2008-07-01 03:25:00,289.606,0.011,293.277,293.277,292.508,289.383,99314.658,289.625,289.383,99449.009,99237.800,
2008-07-01 03:30:00,289.889,0.011,293.226,293.226,292.413,289.350,99316.550,289.966,289.350,99448.942,99237.800,
2008-07-01 03:35:00,289.533,0.011,293.204,293.204,292.315,289.317,99318.442,289.552,289.317,99449.060,99237.800,
2008-07-01 03:40:00,289.813,0.011,293.152,293.152,292.227,289.283,99320.333,289.890,289.283,99448.994,99237.800,
2008-07-01 03:45:00,289.461,0.011,293.136,293.136,292.137,289.250,99322.225,289.480,289.250,99449.110,99237.800,
2008-07-01 03:50:00,289.734,0.011,293.086,293.086,292.056,289.217,99324.117,289.809,289.217,99449.047,99237.800,
2008-07-01 03:55:00,289.390,0.011,293.075,293.075,291.972,289.183,99326.008,289.409,289.183,99449.161,99237.800,
2008-07-01 04:00:00,289.665,0.011,293.024,293.024,291.897,289.150,99327.900,289.741,289.150,99449.096,99237.800,
2008-07-01 04:05:00,289.359,0.011,293.174,293.019,291.823,289.158,99331.558,289.378,289.158,99449.182,99237.800,
2008-07-01 04:10:00,289.676,0.011,293.364,292.979,291.762,289.167,99335.217,289.752,289.167,99449.086,99237.800,
2008-07-01 04:15:00,289.374,0.011,293.647,292.996,291.704,289.175,99338.875,289.392,289.175,99449.170,99237.800,
2008-07-01 04:20:00,289.685,0.011,293.915,292.975,291.660,289.183,99342.533,289.759,289.183,99449.077,99237.800,
2008-07-01 04:25:00,289.391,0.011,294.259,293.008,291.619,289.192,99346.192,289.410,289.192,99449.158,99237.800,
2008-07-01 04:30:00,289.701,0.011,294.587,292.994,291.591,289.200,99349.850,289.775,289.200,99449.065,99237.800,
2008-07-01 04:35:00,289.412,0.011,294.991,293.034,291.565,289.208,99353.508,289.431,289.208,99449.145,99237.800,
2008-07-01 04:40:00,289.716,0.011,295.365,293.024,291.551,289.217,99357.167,289.790,289.217,99449.053,99237.800,
2008-07-01 04:45:00,289.434,0.011,295.808,293.069,291.540,289.225,99360.825,289.454,289.225,99449.131,99237.800,
2008-07-01 04:50:00,289.737,0.011,296.211,293.061,291.539,289.233,99364.483,289.811,289.233,99449.040,99237.800,
2008-07-01 04:55:00,289.459,0.018,296.687,293.112,291.541,289.242,99368.142,289.479,289.242,99449.116,99237.800,
2008-07-01 05:00:00,289.765,0.018,297.116,293.106,291.553,289.250,99371.800,289.840,289.250,99449.024,99237.800,
2008-07-01 05:05:00,289.515,0.018,297.578,293.161,291.567,289.292,99371.633,289.536,289.292,99449.078,99237.800,
2008-07-01 05:10:00,289.854,0.018,297.920,293.170,291.593,289.333,99371.467,289.930,289.333,99448.962,99237.800,
2008-07-01 05:15:00,289.603,0.018,298.290,293.248,291.623,289.375,99371.300,289.624,289.375,99449.016,99237.800,
2008-07-01 05:20:00,289.961,0.018,298.573,293.274,291.664,289.417,99371.133,290.041,289.417,99448.894,99237.800,
2008-07-01 05:25:00,289.694,0.018,298.901,293.363,291.710,289.458,99370.967,289.717,289.458,99448.952,99237.800,
2008-07-01 05:30:00,290.070,0.018,299.160,293.402,291.766,289.500,99370.800,290.154,289.500,99448.825,99237.800,
2008-07-01 05:35:00,289.786,0.018,299.459,293.498,291.825,289.542,99370.633,289.810,289.542,99448.888,99237.800,
2008-07-01 05:40:00,290.189,0.018,299.699,293.545,291.896,289.583,99370.467,290.278,289.583,99448.754,99237.800,
2008-07-01 05:45:00,289.880,0.018,299.973,293.645,291.968,289.625,99370.300,289.904,289.625,99448.824,99237.800,
2008-07-01 05:50:00,290.305,0.018,300.201,293.699,292.052,289.667,99370.133,290.399,289.667,99448.683,99237.800,
2008-07-01 05:55:00,289.974,0.016,300.452,293.802,292.137,289.708,99369.967,289.999,289.708,99448.759,99237.800,
2008-07-01 06:00:00,290.432,0.016,300.665,293.861,292.233,289.750,99369.800,290.533,289.750,99448.609,99237.800,
2008-07-01 06:05:00,290.119,0.016,300.897,293.968,292.329,289.850,99371.467,290.144,289.850,99448.655,99237.800,
2008-07-01 06:10:00,290.654,0.016,301.310,294.004,292.441,289.950,99373.133,290.760,289.950,99448.459,99237.800,
2008-07-01 06:15:00,290.321,0.016,301.836,294.073,292.555,290.050,99374.800,290.346,290.050,99448.509,99237.800,
2008-07-01 06:20:00,290.906,0.016,302.386,294.095,292.686,290.150,99376.467,291.019,290.150,99448.298,99237.800,
2008-07-01 06:25:00,290.535,0.016,302.956,294.159,292.818,290.250,99378.133,290.561,290.250,99448.359,99237.800,
2008-07-01 06:30:00,291.153,0.016,303.523,294.182,292.967,290.350,99379.800,291.274,290.350,99448.139,99237.800,
2008-07-01 06:35:00,290.752,0.016,304.072,294.249,293.117,290.450,99381.467,290.778,290.450,99448.208,99237.800,
2008-07-01 06:40:00,291.410,0.016,304.607,294.271,293.283,290.550,99383.133,291.540,290.550,99447.977,99237.800,
2008-07-01 06:45:00,290.967,0.016,305.120,294.342,293.449,290.650,99384.800,290.995,290.650,99448.058,99237.800,
2008-07-01 06:50:00,291.677,0.016,305.612,294.364,293.632,290.750,99386.467,291.817,290.750,99447.813,99237.800,
2008-07-01 06:55:00,291.183,0.025,306.079,294.438,293.813,290.850,99388.133,291.211,290.850,99447.907,99237.800,
2008-07-01 07:00:00,291.944,0.025,306.530,294.461,294.010,290.950,99389.800,292.095,290.950,99447.648,99237.800,
2008-07-01 07:05:00,291.363,0.025,306.949,294.538,294.205,291.008,99389.133,291.392,291.008,99447.784,99237.800,
2008-07-01 07:10:00,292.174,0.025,307.298,294.570,294.416,291.067,99388.467,292.342,291.067,99447.529,99237.800,
2008-07-01 07:15:00,291.509,0.025,307.586,294.665,294.619,291.125,99387.800,291.540,291.125,99447.689,99237.800,
2008-07-01 07:20:00,292.397,0.025,307.852,294.701,294.838,291.183,99387.133,292.582,291.183,99447.414,99237.800,
2008-07-01 07:25:00,291.651,0.025,308.077,294.802,295.049,291.242,99386.467,291.683,291.242,99447.595,99237.800,
2008-07-01 07:30:00,292.637,0.501,308.286,294.837,295.275,291.300,99385.800,292.841,291.300,99447.293,99237.800,
2008-07-01 07:35:00,291.790,0.025,308.474,294.944,295.492,291.358,99385.133,291.822,291.358,99447.502,99237.800,
2008-07-01 07:40:00,292.885,2.811,308.641,294.979,295.725,291.417,99384.467,293.110,291.417,99447.170,99237.800,
2008-07-01 07:45:00,291.933,0.025,308.793,295.091,295.947,291.475,99383.800,291.965,291.475,99447.408,99237.800,
2008-07-01 07:50:00,293.144,4.996,308.923,295.125,296.187,291.533,99383.133,293.393,291.533,99447.044,99237.800,
2008-07-01 07:55:00,292.079,6.197,309.044,295.245,296.413,291.592,99382.467,292.111,291.592,99447.313,99237.800,
2008-07-01 08:00:00,293.415,15.475,309.137,295.276,296.659,291.650,99381.800,293.687,291.650,99446.915,99237.800,
2008-07-01 08:05:00,292.243,7.583,309.230,295.403,296.888,291.717,99380.392,292.276,291.717,99447.208,99237.800,
2008-07-01 08:10:00,293.705,17.534,309.268,295.435,297.140,291.783,99378.983,294.002,291.783,99446.771,99237.800,
2008-07-01 08:15:00,292.409,8.708,309.315,295.578,297.371,291.850,99377.575,292.442,291.850,99447.099,99237.800,
2008-07-01 08:20:00,293.982,19.342,309.311,295.611,297.628,291.917,99376.167,294.303,291.917,99446.634,99237.800,
2008-07-01 08:25:00,292.568,9.750,309.330,295.765,297.862,291.983,99374.758,292.602,291.983,99446.993,99237.800,
2008-07-01 08:30:00,294.269,21.316,309.313,295.792,298.123,292.050,99373.350,294.614,292.050,99446.494,99237.800,
2008-07-01 08:35:00,292.728,10.844,309.362,295.956,298.359,292.117,99371.942,292.763,292.117,99446.887,99237.800,
2008-07-01 08:40:00,294.555,23.229,309.344,295.976,298.624,292.183,99370.533,294.926,292.183,99446.354,99237.800,
2008-07-01 08:45:00,292.887,11.856,309.399,296.150,298.862,292.250,99369.125,292.921,292.250,99446.782,99237.800,
2008-07-01 08:50:00,294.842,25.081,309.360,296.164,299.131,292.317,99367.717,295.238,292.317,99446.214,99237.800,
2008-07-01 08:55:00,293.045,12.822,309.410,296.347,299.369,292.383,99366.308,293.080,292.383,99446.676,99237.800,
2008-07-01 09:00:00,295.132,26.912,309.346,296.355,299.642,292.450,99364.900,295.553,292.450,99446.074,99237.800,
2008-07-01 09:05:00,293.203,13.650,309.391,296.549,299.881,292.517,99367.292,293.237,292.517,99446.571,99237.800,
2008-07-01 09:10:00,294.127,19.759,309.284,296.544,300.154,292.583,99369.683,294.419,292.583,99446.356,99237.800,
2008-07-01 09:15:00,293.045,12.235,309.306,296.742,300.392,292.650,99372.075,293.057,292.650,99446.589,99237.800,
2008-07-01 09:20:00,294.910,24.720,308.709,296.539,300.603,292.717,99374.467,295.343,292.717,99446.106,99237.800,
2008-07-01 09:25:00,293.211,12.991,308.909,296.780,300.814,292.783,99376.858,293.234,292.783,99446.487,99237.800,
2008-07-01 09:30:00,295.226,26.485,308.576,296.707,301.043,292.850,99379.250,295.700,292.850,99445.961,99237.800,
2008-07-01 09:35:00,293.359,13.598,308.656,296.944,301.246,292.917,99381.642,293.383,292.917,99446.388,99237.800,
2008-07-01 09:40:00,295.245,26.198,308.379,296.868,301.481,292.983,99384.033,295.690,292.983,99445.890,99237.800,
2008-07-01 09:45:00,293.549,14.462,308.404,297.110,301.679,293.050,99386.425,293.569,293.050,99446.271,99237.800,
2008-07-01 09:50:00,295.622,28.328,308.048,296.991,301.910,293.117,99388.817,296.145,293.117,99445.749,99237.800,
2008-07-01 09:55:00,293.627,14.534,308.183,297.283,302.116,293.183,99391.208,293.643,293.183,99446.192,99237.800,
2008-07-01 10:00:00,296.120,31.234,307.782,297.173,302.344,293.250,99393.600,296.704,293.250,99445.556,99237.800,
2008-07-01 10:05:00,293.783,15.046,307.841,297.450,302.544,293.308,99392.033,293.804,293.308,99446.095,99237.800,
2008-07-01 10:10:00,298.610,47.533,307.497,297.354,302.782,293.367,99390.467,299.398,293.367,99444.659,99237.800,
