cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[1.2],TempProf_cur[20.0],PresProf_cur[1.2],PresProf_cur[20.0],
2008-07-01 00:00:00,296.921,295.546,0.000,294.001,294.975,286.889,290.950,101390.000,296.980,295.546,101600.653,101390.000,
2008-07-01 00:05:00,295.540,295.193,0.000,293.964,294.948,286.047,290.992,101391.667,295.589,295.193,101601.504,101390.000,
2008-07-01 00:10:00,295.713,295.205,0.000,294.161,295.155,285.550,291.033,101393.333,295.807,295.205,101601.468,101390.000,
2008-07-01 00:15:00,295.874,295.077,0.000,294.220,295.226,285.150,291.075,101395.000,296.034,295.077,101601.483,101390.000,
2008-07-01 00:20:00,295.909,295.092,0.000,294.262,295.280,284.797,291.117,101396.667,296.061,295.092,101601.469,101390.000,
2008-07-01 00:25:00,295.775,295.017,0.000,294.263,295.291,284.472,291.158,101398.333,295.892,295.017,101601.515,101390.000,
2008-07-01 00:30:00,295.758,295.031,0.000,294.280,295.318,284.165,291.200,101400.000,295.882,295.031,101601.522,101390.000,
2008-07-01 00:35:00,295.622,294.983,0.000,294.260,295.309,283.870,291.242,101401.667,295.723,294.983,101601.572,101390.000,
2008-07-01 00:40:00,295.607,294.997,0.000,294.255,295.314,283.582,291.283,101403.333,295.714,294.997,101601.580,101390.000,
2008-07-01 00:45:00,295.502,294.964,0.000,294.227,295.296,283.296,291.325,101405.000,295.590,294.964,101601.617,101390.000,
2008-07-01 00:50:00,295.501,294.979,0.000,294.212,295.289,283.011,291.367,101406.667,295.595,294.979,101601.619,101390.000,
2008-07-01 00:55:00,295.419,294.957,0.000,294.183,295.266,282.726,291.408,101408.333,295.496,294.957,101601.646,101390.000,
2008-07-01 01:00:00,295.422,294.973,0.000,294.174,295.261,282.486,291.450,101410.000,295.505,294.973,101601.645,101390.000,
2008-07-01 01:05:00,295.344,294.920,0.000,294.154,295.246,282.268,291.375,101414.167,295.413,294.920,101601.680,101390.000,
2008-07-01 01:10:00,295.333,294.906,0.000,294.142,295.237,282.066,291.300,101418.333,295.408,294.906,101601.695,101390.000,
2008-07-01 01:15:00,295.256,294.866,0.000,294.122,295.222,281.878,291.225,101422.500,295.321,294.866,101601.730,101390.000,
2008-07-01 01:20:00,295.241,294.850,0.000,294.110,295.211,281.701,291.150,101426.667,295.311,294.850,101601.745,101390.000,
2008-07-01 01:25:00,295.172,294.812,0.000,294.090,295.195,281.534,291.075,101430.833,295.232,294.812,101601.778,101390.000,
2008-07-01 01:30:00,295.157,294.795,0.000,294.077,295.183,281.376,291.000,101435.000,295.222,294.795,101601.793,101390.000,
2008-07-01 01:35:00,295.094,294.759,0.000,294.057,295.166,281.225,290.925,101439.167,295.150,294.759,101601.824,101390.000,
2008-07-01 01:40:00,295.077,294.740,0.000,294.043,295.153,281.083,290.850,101443.333,295.137,294.740,101601.840,101390.000,
2008-07-01 01:45:00,295.018,294.706,0.000,294.023,295.135,280.947,290.775,101447.500,295.071,294.706,101601.868,101390.000,
2008-07-01 01:50:00,295.000,294.686,0.000,294.008,295.121,280.818,290.700,101451.667,295.056,294.686,101601.885,101390.000,
2008-07-01 01:55:00,294.945,294.652,0.000,293.989,295.102,280.695,290.625,101455.833,294.995,294.652,101601.913,101390.000,
2008-07-01 02:00:00,294.926,294.631,0.000,293.973,295.086,280.577,290.550,101460.000,294.978,294.631,101601.930,101390.000,
2008-07-01 02:05:00,294.882,294.630,0.000,293.954,295.067,280.464,290.483,101463.333,294.928,294.630,101601.945,101390.000,
2008-07-01 02:10:00,294.876,294.636,0.000,293.939,295.052,280.357,290.417,101466.667,294.924,294.636,101601.947,101390.000,
2008-07-01 02:15:00,294.844,294.626,0.000,293.922,295.033,280.253,290.350,101470.000,294.886,294.626,101601.958,101390.000,
2008-07-01 02:20:00,294.838,294.621,0.000,293.908,295.017,280.154,290.283,101473.333,294.881,294.621,101601.963,101390.000,
2008-07-01 02:25:00,294.689,294.122,0.000,293.879,294.986,280.057,290.217,101476.667,294.738,294.122,101602.156,101390.000,
2008-07-01 02:30:00,294.286,293.140,0.000,293.825,294.929,279.969,290.150,101480.000,294.373,293.140,101602.648,101390.000,
2008-07-01 02:35:00,293.688,292.464,0.000,293.745,294.836,279.912,290.083,101483.333,293.816,292.464,101603.167,101390.000,
2008-07-01 02:40:00,293.181,291.978,0.000,293.670,294.751,279.900,290.017,101486.667,293.339,291.978,101603.560,101390.000,
2008-07-01 02:45:00,292.818,291.608,0.000,293.589,294.659,279.910,289.950,101490.000,292.987,291.608,101603.836,101390.000,
2008-07-01 02:50:00,292.583,291.317,0.000,293.521,294.580,279.940,289.883,101493.333,292.763,291.317,101604.036,101390.000,
2008-07-01 02:55:00,292.350,291.078,0.000,293.448,294.498,280.025,289.817,101496.667,292.531,291.078,101604.211,101390.000,
2008-07-01 03:00:00,292.148,290.877,0.000,293.381,294.419,280.203,289.750,101500.000,292.336,290.877,101604.362,101390.000,
2008-07-01 03:05:00,291.899,290.639,0.000,293.308,294.334,280.464,289.667,101505.833,292.086,290.639,101604.537,101390.000,
2008-07-01 03:10:00,291.692,290.437,0.000,293.239,294.253,280.762,289.583,101511.667,291.885,290.437,101604.692,101390.000,
2008-07-01 03:15:00,291.484,290.258,0.000,293.167,294.169,281.042,289.500,101517.500,291.676,290.258,101604.836,101390.000,
2008-07-01 03:20:00,291.339,290.096,0.000,293.102,294.093,281.326,289.417,101523.333,291.538,290.096,101604.954,101390.000,
2008-07-01 03:25:00,291.169,289.947,0.000,293.033,294.013,281.660,289.333,101529.167,291.366,289.947,101605.072,101390.000,
2008-07-01 03:30:00,291.026,289.808,0.000,292.967,293.937,282.089,289.250,101535.000,291.228,289.808,101605.180,101390.000,
2008-07-01 03:35:00,290.837,289.676,0.000,292.895,293.855,282.602,289.167,101540.833,291.035,289.676,101605.298,101390.000,
2008-07-01 03:40:00,290.687,289.550,0.000,292.827,293.777,283.171,289.083,101546.667,290.887,289.550,101605.403,101390.000,
2008-07-01 03:45:00,290.508,289.428,0.000,292.754,293.694,283.740,289.000,101552.500,290.702,289.428,101605.512,101390.000,
2008-07-01 03:50:00,290.380,289.311,0.000,292.687,293.618,284.292,288.917,101558.333,290.576,289.311,101605.605,101390.000,
2008-07-01 03:55:00,290.226,289.197,0.000,292.614,293.537,284.795,288.833,101564.167,290.414,289.197,101605.702,101390.000,
2008-07-01 04:00:00,290.100,289.050,0.000,292.542,293.457,285.242,288.750,101570.000,290.290,289.050,101605.803,101390.000,
2008-07-01 04:05:00,289.974,288.956,0.000,292.468,293.375,285.626,288.708,101570.000,290.159,288.956,101605.884,101390.000,
2008-07-01 04:10:00,289.370,288.857,0.000,292.325,293.223,285.841,288.667,101570.000,289.468,288.857,101606.104,101390.000,
2008-07-01 04:15:00,289.125,288.754,0.000,293.218,293.240,286.057,288.625,101570.000,289.190,288.754,101606.225,101390.000,
2008-07-01 04:20:00,289.244,288.646,0.000,293.160,293.197,285.867,288.583,101570.000,289.341,288.646,101606.235,101390.000,
2008-07-01 04:25:00,289.342,288.535,0.000,293.335,293.193,286.097,288.542,101570.000,289.469,288.535,101606.253,101390.000,
2008-07-01 04:30:00,289.547,288.406,0.000,293.815,293.219,287.414,288.500,101570.000,289.738,288.406,101606.255,101390.000,
2008-07-01 04:35:00,288.890,288.270,0.000,294.136,293.114,287.638,288.458,101570.000,288.967,288.270,101606.486,101390.000,
2008-07-01 04:40:00,289.208,288.131,0.000,294.672,293.178,288.076,288.417,101570.000,289.400,288.131,101606.472,101390.000,
2008-07-01 04:45:00,288.630,287.986,0.000,295.064,293.077,288.010,288.375,101570.000,288.703,287.986,101606.692,101390.000,
2008-07-01 04:50:00,289.364,287.838,0.000,295.633,293.188,288.589,288.333,101570.000,289.613,287.838,101606.544,101390.000,
2008-07-01 04:55:00,288.421,287.685,0.000,295.869,293.038,288.386,288.292,101570.000,288.489,287.685,101606.873,101390.000,
2008-07-01 05:00:00,289.117,287.529,4.511,296.388,293.202,288.875,288.250,101570.000,289.374,287.529,101606.751,101390.000,
2008-07-01 05:05:00,288.257,287.534,14.906,296.626,293.080,288.681,288.325,101570.833,288.324,287.534,101606.994,101390.000,
2008-07-01 05:10:00,289.357,287.538,19.190,297.183,293.283,289.367,288.400,101571.667,289.643,287.538,101606.668,101390.000,
2008-07-01 05:15:00,288.315,287.540,11.136,297.359,293.147,289.122,288.475,101572.500,288.374,287.540,101606.961,101390.000,
2008-07-01 05:20:00,289.507,287.541,15.751,297.909,293.384,289.882,288.550,101573.333,289.815,287.541,101606.617,101390.000,
2008-07-01 05:25:00,288.317,287.541,16.399,298.012,293.234,289.600,288.625,101574.167,288.371,287.541,101606.957,101390.000,
2008-07-01 05:30:00,289.775,287.539,18.662,298.454,293.511,290.452,288.700,101575.000,290.120,287.539,101606.527,101390.000,
2008-07-01 05:35:00,288.349,287.537,19.312,298.340,293.316,290.003,288.775,101575.833,288.398,287.537,101606.939,101390.000,
2008-07-01 05:40:00,290.038,287.533,22.722,298.772,293.642,290.958,288.850,101576.667,290.423,287.533,101606.444,101390.000,
2008-07-01 05:45:00,288.366,287.529,21.802,298.544,293.409,290.387,288.925,101577.500,288.410,287.529,101606.930,101390.000,
2008-07-01 05:50:00,290.337,287.523,25.157,298.962,293.788,291.486,289.000,101578.333,290.771,287.523,101606.351,101390.000,
2008-07-01 05:55:00,288.412,287.517,23.740,298.637,293.518,290.795,289.075,101579.167,288.455,287.517,101606.912,101390.000,
2008-07-01 06:00:00,290.654,287.510,21.164,299.050,293.987,292.035,289.150,101580.000,291.139,287.510,101606.254,101390.000,
2008-07-01 06:05:00,288.437,287.473,17.082,298.628,293.678,291.196,289.175,101584.167,288.482,287.473,101606.915,101390.000,
2008-07-01 06:10:00,290.928,287.436,23.207,299.060,294.167,292.551,289.200,101588.333,291.468,287.436,101606.198,101390.000,
2008-07-01 06:15:00,288.427,287.399,18.416,298.560,293.808,291.543,289.225,101592.500,288.471,287.399,101606.942,101390.000,
2008-07-01 06:20:00,291.189,287.362,24.975,299.012,294.345,293.063,289.250,101596.667,291.783,287.362,101606.144,101390.000,
2008-07-01 06:25:00,288.399,287.326,19.566,298.423,293.937,291.924,289.275,101600.833,288.441,287.326,101606.975,101390.000,
2008-07-01 06:30:00,291.475,287.289,53.063,298.879,294.526,293.604,289.300,101605.000,292.124,287.289,101606.084,101390.000,
2008-07-01 06:35:00,288.417,287.252,20.475,298.183,294.064,292.290,289.325,101609.167,288.455,287.252,101606.988,101390.000,
2008-07-01 06:40:00,291.760,287.216,55.684,298.659,294.703,294.119,289.350,101613.333,292.466,287.216,101606.023,101390.000,
