cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[1.2],PresProf_cur[1.2],
2008-07-01 00:05:00,292.287,292.167,0.000,293.146,295.432,287.365,292.167,99240.400,292.314,99447.038,
2008-07-01 00:10:00,292.549,292.083,0.000,293.189,295.474,289.215,292.083,99243.000,292.653,99447.011,
2008-07-01 00:15:00,292.296,292.000,0.000,293.102,295.365,288.942,292.000,99245.600,292.338,99447.102,
2008-07-01 00:20:00,293.167,291.917,0.000,293.157,295.421,289.067,291.917,99248.200,293.424,99446.922,
2008-07-01 00:25:00,292.331,291.833,0.000,293.034,295.269,288.744,291.833,99250.800,292.413,99447.166,
2008-07-01 00:30:00,292.904,291.750,0.000,293.090,295.324,289.084,291.750,99253.400,293.172,99447.078,
2008-07-01 00:35:00,292.138,291.667,0.000,292.968,295.175,288.890,291.667,99256.000,292.222,99447.296,
2008-07-01 00:40:00,292.680,291.583,0.000,293.017,295.220,289.095,291.583,99258.600,292.920,99447.204,
2008-07-01 00:45:00,291.991,291.500,0.000,292.901,295.079,288.899,291.500,99261.200,292.081,99447.412,
2008-07-01 00:50:00,292.458,291.417,0.000,292.941,295.112,289.076,291.417,99263.800,292.683,99447.338,
2008-07-01 00:55:00,291.835,291.333,0.000,292.831,294.978,288.902,291.333,99266.400,291.929,99447.529,
2008-07-01 01:00:00,292.259,291.250,0.000,292.861,295.004,289.023,291.250,99269.000,292.473,99447.463,
2008-07-01 01:05:00,291.703,291.200,0.000,292.755,294.879,288.842,291.200,99269.667,291.799,99447.627,
2008-07-01 01:10:00,292.109,291.150,0.000,292.782,294.902,288.953,291.150,99270.333,292.313,99447.551,
2008-07-01 01:15:00,291.586,291.100,0.000,292.681,294.784,288.803,291.100,99271.000,291.681,99447.706,
2008-07-01 01:20:00,291.964,291.050,0.000,292.704,294.804,288.912,291.050,99271.667,292.158,99447.635,
2008-07-01 01:25:00,291.476,291.000,0.000,292.607,294.692,288.761,291.000,99272.333,291.569,99447.781,
2008-07-01 01:30:00,291.833,290.950,0.000,292.627,294.708,288.856,290.950,99273.000,292.019,99447.715,
2008-07-01 01:35:00,291.365,290.900,0.000,292.534,294.600,288.712,290.900,99273.667,291.458,99447.857,
2008-07-01 01:40:00,291.704,290.850,0.000,292.551,294.615,288.802,290.850,99274.333,291.885,99447.794,
2008-07-01 01:45:00,291.256,290.800,0.000,292.461,294.511,288.660,290.800,99275.000,291.347,99447.932,
2008-07-01 01:50:00,291.581,290.750,0.000,292.477,294.524,288.744,290.750,99275.667,291.757,99447.873,
2008-07-01 01:55:00,291.149,290.700,0.000,292.389,294.422,288.605,290.700,99276.333,291.238,99448.006,
2008-07-01 02:00:00,291.461,290.650,0.000,292.402,294.432,288.684,290.650,99277.000,291.632,99447.950,
2008-07-01 02:05:00,291.016,290.558,0.000,292.312,294.328,288.536,290.558,99279.350,291.105,99448.104,
2008-07-01 02:10:00,291.295,290.467,0.000,292.321,294.333,288.585,290.467,99281.700,291.464,99448.074,
2008-07-01 02:15:00,290.860,290.375,0.000,292.231,294.228,288.406,290.375,99284.050,290.952,99448.227,
2008-07-01 02:20:00,291.138,290.283,0.000,292.238,294.232,288.434,290.283,99286.400,291.310,99448.198,
2008-07-01 02:25:00,290.701,290.192,0.000,292.146,294.126,288.255,290.192,99288.750,290.796,99448.353,
2008-07-01 02:30:00,290.978,290.100,0.000,292.152,294.129,288.280,290.100,99291.100,291.153,99448.324,
2008-07-01 02:35:00,290.542,290.008,0.000,292.060,294.022,288.096,290.008,99293.450,290.640,99448.478,
2008-07-01 02:40:00,290.821,289.917,0.000,292.066,294.025,288.114,289.917,99295.800,291.001,99448.449,
2008-07-01 02:45:00,290.384,289.825,0.000,291.973,293.917,287.929,289.825,99298.150,290.486,99448.604,
