cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[3.0],TempProf_cur[15.8],TempProf_cur[22.9],TempProf_cur[27.8],TempProf_cur[32.9],PresProf_cur[3.0],PresProf_cur[15.8],PresProf_cur[22.9],PresProf_cur[27.8],PresProf_cur[32.9],
2002-06-10 00:05:00,289.025,286.997,0.000,287.990,287.011,284.389,286.917,97510.833,289.753,287.908,287.626,287.481,287.346,98056.343,97905.554,97824.129,97765.958,97707.784,
2002-06-10 00:10:00,287.901,286.966,0.000,287.894,286.928,284.523,286.883,97511.667,288.408,287.240,287.129,287.088,287.053,98057.346,97905.992,97824.401,97766.139,97707.893,
2002-06-10 00:15:00,288.041,286.933,0.000,287.995,287.036,284.658,286.850,97512.500,288.664,287.234,287.104,287.059,287.022,98057.333,97906.032,97824.436,97766.168,97707.916,
2002-06-10 00:20:00,288.392,286.901,0.000,288.140,287.188,284.813,286.817,97513.333,289.221,287.307,287.129,287.069,287.020,98057.177,97906.028,97824.444,97766.180,97707.928,
2002-06-10 00:25:00,288.276,286.869,0.000,288.207,287.264,284.977,286.783,97514.167,288.984,287.301,287.118,287.053,287.000,98057.243,97906.055,97824.469,97766.201,97707.947,
2002-06-10 00:30:00,288.384,286.837,0.000,288.309,287.373,285.157,286.750,97515.000,289.166,287.312,287.113,287.041,286.983,98057.221,97906.076,97824.491,97766.221,97707.964,
2002-06-10 00:35:00,288.154,286.805,0.000,288.353,287.426,285.337,286.717,97515.833,288.815,287.241,287.064,286.998,286.943,98057.381,97906.135,97824.533,97766.254,97707.988,
2002-06-10 00:40:00,288.206,286.774,0.000,288.438,287.518,285.527,286.683,97516.667,288.934,287.221,287.037,286.970,286.914,98057.405,97906.175,97824.566,97766.281,97708.010,
2002-06-10 00:45:00,288.004,286.741,0.000,288.479,287.565,285.713,286.650,97517.500,288.626,287.150,286.985,286.923,286.872,98057.554,97906.236,97824.610,97766.316,97708.035,
2002-06-10 00:50:00,288.084,286.710,0.000,288.564,287.657,285.909,286.617,97518.333,288.782,287.141,286.964,286.899,286.845,98057.561,97906.271,97824.641,97766.342,97708.055,
2002-06-10 00:55:00,287.904,286.678,0.000,288.607,287.705,286.101,286.583,97519.167,288.504,287.078,286.916,286.856,286.805,98057.696,97906.328,97824.683,97766.374,97708.080,
2002-06-10 01:00:00,287.997,286.646,0.000,288.657,287.763,286.242,286.550,97520.000,288.679,287.074,286.899,286.834,286.780,98057.694,97906.361,97824.712,97766.399,97708.100,
2002-06-10 01:05:00,287.828,286.637,0.000,288.660,287.771,286.354,286.542,97522.500,288.410,287.025,286.867,286.808,286.759,98057.797,97906.392,97824.732,97766.414,97708.110,
2002-06-10 01:10:00,287.944,286.629,0.000,288.703,287.822,286.458,286.533,97525.000,288.609,287.044,286.872,286.809,286.757,98057.751,97906.393,97824.736,97766.418,97708.114,
2002-06-10 01:15:00,287.784,286.620,0.000,288.698,287.823,286.543,286.525,97527.500,288.348,287.004,286.848,286.789,286.741,98057.843,97906.418,97824.752,97766.430,97708.122,
2002-06-10 01:20:00,287.910,286.612,0.000,288.737,287.869,286.626,286.517,97530.000,288.563,287.025,286.854,286.791,286.740,98057.792,97906.417,97824.755,97766.433,97708.126,
2002-06-10 01:25:00,287.745,286.603,0.000,288.725,287.863,286.693,286.508,97532.500,288.294,286.982,286.829,286.771,286.723,98057.886,97906.443,97824.771,97766.446,97708.134,
2002-06-10 01:30:00,287.877,286.595,0.000,288.759,287.905,286.762,286.500,97535.000,288.519,287.005,286.835,286.773,286.722,98057.833,97906.442,97824.774,97766.449,97708.138,
2002-06-10 01:35:00,287.707,286.587,0.000,288.742,287.894,286.816,286.492,97537.500,288.242,286.961,286.809,286.752,286.705,98057.930,97906.469,97824.791,97766.461,97708.146,
2002-06-10 01:40:00,287.846,286.578,0.000,288.773,287.932,286.875,286.483,97540.000,288.481,286.985,286.817,286.755,286.704,98057.872,97906.467,97824.794,97766.465,97708.150,
2002-06-10 01:45:00,287.672,286.570,0.000,288.752,287.917,286.918,286.475,97542.500,288.195,286.940,286.790,286.734,286.687,98057.971,97906.494,97824.811,97766.477,97708.158,
2002-06-10 01:50:00,287.819,286.562,0.000,288.781,287.953,286.970,286.467,97545.000,288.447,286.966,286.798,286.737,286.687,98057.910,97906.491,97824.813,97766.480,97708.161,
2002-06-10 01:55:00,287.639,286.553,0.000,288.756,287.934,287.005,286.458,97547.500,288.152,286.920,286.771,286.716,286.670,98058.012,97906.518,97824.830,97766.493,97708.170,
2002-06-10 02:00:00,287.793,286.545,0.000,288.786,287.970,287.051,286.450,97550.000,288.415,286.947,286.781,286.719,286.669,98057.947,97906.516,97824.832,97766.495,97708.173,
2002-06-10 02:05:00,287.604,286.528,0.000,288.759,287.948,287.082,286.433,97552.500,288.107,286.895,286.747,286.691,286.645,98058.063,97906.552,97824.857,97766.515,97708.187,
2002-06-10 02:10:00,287.759,286.511,0.000,288.787,287.982,287.124,286.417,97555.000,288.378,286.916,286.749,286.687,286.637,98058.009,97906.561,97824.868,97766.525,97708.196,
2002-06-10 02:15:00,287.556,286.494,0.000,288.756,287.955,287.149,286.400,97557.500,288.050,286.859,286.712,286.657,286.610,98058.135,97906.601,97824.895,97766.546,97708.211,
2002-06-10 02:20:00,287.712,286.477,0.000,288.782,287.987,287.187,286.383,97560.000,288.323,286.880,286.714,286.653,286.602,98058.081,97906.609,97824.906,97766.556,97708.220,
2002-06-10 02:25:00,287.502,286.460,0.000,288.748,287.958,287.208,286.367,97562.500,287.983,286.822,286.676,286.621,286.576,98058.210,97906.649,97824.933,97766.577,97708.235,
2002-06-10 02:30:00,287.662,286.443,0.000,288.774,287.988,287.242,286.350,97565.000,288.264,286.844,286.679,286.618,286.568,98058.154,97906.657,97824.944,97766.587,97708.244,
2002-06-10 02:35:00,287.447,286.426,0.000,288.738,287.956,287.258,286.333,97567.500,287.916,286.784,286.641,286.586,286.541,98058.286,97906.698,97824.971,97766.608,97708.259,
2002-06-10 02:40:00,287.612,286.409,0.000,288.762,287.986,287.289,286.317,97570.000,288.204,286.808,286.644,286.583,286.533,98058.228,97906.705,97824.982,97766.618,97708.267,
2002-06-10 02:45:00,287.392,286.392,0.000,288.724,287.951,287.301,286.300,97572.500,287.850,286.747,286.605,286.551,286.506,98058.361,97906.747,97825.010,97766.639,97708.282,
2002-06-10 02:50:00,287.561,286.375,0.000,288.747,287.980,287.329,286.283,97575.000,288.144,286.771,286.609,286.549,286.499,98058.301,97906.753,97825.019,97766.648,97708.291,
2002-06-10 02:55:00,287.338,286.358,0.000,288.708,287.944,287.338,286.267,97577.500,287.784,286.709,286.569,286.516,286.471,98058.437,97906.795,97825.048,97766.670,97708.306,
