cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[2.6],TempProf_cur[13.9],TempProf_cur[17.5],TempProf_cur[21.5],TempProf_cur[25.5],TempProf_cur[31.2],PresProf_cur[2.6],PresProf_cur[13.9],PresProf_cur[17.5],PresProf_cur[21.5],PresProf_cur[25.5],PresProf_cur[31.2],
2002-06-10 00:05:00,288.654,286.997,0.000,287.799,286.683,284.267,286.917,97510.833,289.072,288.161,287.822,287.669,287.547,287.378,98056.479,97928.793,97882.285,97835.757,97789.224,97719.417,
2002-06-10 00:10:00,287.407,286.966,0.000,287.642,286.569,284.394,286.883,97511.667,287.577,287.226,287.128,287.092,287.068,287.036,98057.587,97929.347,97882.709,97836.078,97789.457,97719.549,
2002-06-10 00:15:00,287.405,286.933,0.000,287.691,286.640,284.526,286.850,97512.500,287.622,287.184,287.078,287.042,287.019,286.992,98057.658,97929.412,97882.767,97836.126,97789.497,97719.578,
2002-06-10 00:20:00,287.564,286.901,0.000,287.775,286.744,284.673,286.817,97513.333,287.875,287.247,287.097,287.047,287.016,286.979,98057.605,97929.423,97882.783,97836.145,97789.516,97719.594,
2002-06-10 00:25:00,287.609,286.869,0.000,287.840,286.833,284.831,286.783,97514.167,287.926,287.280,287.108,287.048,287.010,286.965,98057.600,97929.439,97882.803,97836.165,97789.536,97719.612,
2002-06-10 00:30:00,287.620,286.837,0.000,287.899,286.916,285.001,286.750,97515.000,287.944,287.282,287.101,287.037,286.996,286.945,98057.622,97929.466,97882.829,97836.190,97789.559,97719.631,
2002-06-10 00:35:00,287.555,286.805,0.000,287.941,286.985,285.176,286.717,97515.833,287.857,287.240,287.069,287.007,286.966,286.915,98057.695,97929.512,97882.869,97836.225,97789.589,97719.653,
2002-06-10 00:40:00,287.504,286.774,0.000,287.981,287.054,285.357,286.683,97516.667,287.800,287.196,287.030,286.970,286.931,286.881,98057.769,97929.563,97882.914,97836.263,97789.621,97719.677,
2002-06-10 00:45:00,287.440,286.741,0.000,288.016,287.119,285.540,286.650,97517.500,287.722,287.147,286.989,286.931,286.893,286.846,98057.851,97929.617,97882.960,97836.303,97789.655,97719.702,
2002-06-10 00:50:00,287.403,286.710,0.000,288.055,287.187,285.728,286.617,97518.333,287.685,287.111,286.954,286.897,286.859,286.812,98057.916,97929.666,97883.003,97836.341,97789.687,97719.726,
2002-06-10 00:55:00,287.360,286.678,0.000,288.090,287.253,285.920,286.583,97519.167,287.635,287.075,286.920,286.863,286.826,286.779,98057.984,97929.715,97883.046,97836.378,97789.719,97719.750,
2002-06-10 01:00:00,287.333,286.646,0.000,288.108,287.288,286.053,286.550,97520.000,287.609,287.046,286.889,286.833,286.795,286.748,98058.042,97929.760,97883.087,97836.414,97789.750,97719.773,
2002-06-10 01:05:00,287.306,286.637,0.000,288.123,287.317,286.165,286.542,97522.500,287.576,287.025,286.871,286.816,286.779,286.734,98058.074,97929.781,97883.105,97836.429,97789.762,97719.781,
2002-06-10 01:10:00,287.295,286.629,0.000,288.137,287.344,286.262,286.533,97525.000,287.564,287.015,286.862,286.806,286.770,286.725,98058.092,97929.794,97883.116,97836.439,97789.771,97719.788,
2002-06-10 01:15:00,287.281,286.620,0.000,288.149,287.368,286.348,286.525,97527.500,287.546,287.005,286.853,286.798,286.761,286.716,98058.111,97929.807,97883.128,97836.449,97789.779,97719.794,
2002-06-10 01:20:00,287.273,286.612,0.000,288.160,287.389,286.425,286.517,97530.000,287.538,286.998,286.845,286.790,286.753,286.708,98058.126,97929.819,97883.138,97836.458,97789.787,97719.800,
2002-06-10 01:25:00,287.259,286.603,0.000,288.167,287.407,286.494,286.508,97532.500,287.521,286.987,286.836,286.781,286.744,286.700,98058.145,97929.832,97883.150,97836.468,97789.795,97719.806,
2002-06-10 01:30:00,287.251,286.595,0.000,288.175,287.424,286.557,286.500,97535.000,287.512,286.979,286.828,286.772,286.736,286.691,98058.161,97929.844,97883.160,97836.478,97789.804,97719.812,
2002-06-10 01:35:00,287.237,286.587,0.000,288.180,287.438,286.614,286.492,97537.500,287.495,286.968,286.818,286.763,286.727,286.682,98058.180,97929.857,97883.172,97836.488,97789.812,97719.819,
2002-06-10 01:40:00,287.228,286.578,0.000,288.184,287.451,286.667,286.483,97540.000,287.486,286.960,286.810,286.755,286.719,286.674,98058.196,97929.870,97883.183,97836.497,97789.820,97719.825,
2002-06-10 01:45:00,287.216,286.570,0.000,288.187,287.462,286.714,286.475,97542.500,287.471,286.950,286.801,286.746,286.710,286.665,98058.215,97929.882,97883.194,97836.507,97789.829,97719.831,
2002-06-10 01:50:00,287.208,286.562,0.000,288.189,287.472,286.759,286.467,97545.000,287.463,286.942,286.793,286.738,286.702,286.657,98058.230,97929.895,97883.205,97836.517,97789.837,97719.837,
2002-06-10 01:55:00,287.196,286.553,0.000,288.190,287.480,286.799,286.458,97547.500,287.449,286.932,286.784,286.729,286.693,286.648,98058.248,97929.907,97883.216,97836.526,97789.845,97719.843,
2002-06-10 02:00:00,287.188,286.545,0.000,288.192,287.489,286.838,286.450,97550.000,287.440,286.924,286.775,286.721,286.685,286.640,98058.264,97929.919,97883.227,97836.536,97789.853,97719.849,
2002-06-10 02:05:00,287.172,286.528,0.000,288.191,287.496,286.875,286.433,97552.500,287.423,286.910,286.761,286.706,286.670,286.625,98058.293,97929.942,97883.247,97836.553,97789.869,97719.861,
2002-06-10 02:10:00,287.158,286.511,0.000,288.191,287.501,286.909,286.417,97555.000,287.409,286.895,286.746,286.690,286.654,286.609,98058.324,97929.966,97883.269,97836.572,97789.885,97719.874,
2002-06-10 02:15:00,287.136,286.494,0.000,288.188,287.505,286.942,286.400,97557.500,287.385,286.876,286.728,286.673,286.636,286.591,98058.359,97929.991,97883.291,97836.592,97789.902,97719.886,
2002-06-10 02:20:00,287.117,286.477,0.000,288.185,287.508,286.971,286.383,97560.000,287.364,286.858,286.711,286.656,286.619,286.574,98058.393,97930.017,97883.314,97836.612,97789.919,97719.899,
2002-06-10 02:25:00,287.094,286.460,0.000,288.180,287.510,286.999,286.367,97562.500,287.337,286.838,286.693,286.638,286.602,286.557,98058.429,97930.042,97883.336,97836.631,97789.935,97719.911,
2002-06-10 02:30:00,287.073,286.443,0.000,288.175,287.511,287.025,286.350,97565.000,287.315,286.820,286.675,286.621,286.584,286.540,98058.463,97930.068,97883.359,97836.651,97789.952,97719.924,
