cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[2.6],TempProf_cur[13.9],TempProf_cur[17.5],TempProf_cur[21.5],TempProf_cur[25.5],TempProf_cur[31.2],PresProf_cur[2.6],PresProf_cur[13.9],PresProf_cur[17.5],PresProf_cur[21.5],PresProf_cur[25.5],PresProf_cur[31.2],
2002-06-10 00:05:00,288.646,286.997,0.000,287.288,286.694,284.272,286.917,97510.833,289.060,288.155,287.820,287.667,287.546,287.377,98056.485,97928.795,97882.286,97835.758,97789.224,97719.417,
2002-06-10 00:10:00,287.401,286.966,0.000,287.168,286.580,284.399,286.883,97511.667,287.569,287.222,287.126,287.091,287.066,287.035,98057.591,97929.349,97882.711,97836.078,97789.458,97719.549,
2002-06-10 00:15:00,287.396,286.933,0.000,287.237,286.652,284.531,286.850,97512.500,287.611,287.178,287.074,287.040,287.017,286.990,98057.665,97929.415,97882.768,97836.128,97789.498,97719.578,
2002-06-10 00:20:00,287.550,286.901,0.000,287.338,286.754,284.678,286.817,97513.333,287.859,287.238,287.092,287.043,287.013,286.977,98057.614,97929.427,97882.786,97836.147,97789.517,97719.595,
2002-06-10 00:25:00,287.594,286.869,0.000,287.424,286.843,284.836,286.783,97514.167,287.908,287.269,287.101,287.044,287.007,286.962,98057.611,97929.444,97882.806,97836.167,97789.538,97719.613,
2002-06-10 00:30:00,287.605,286.837,0.000,287.504,286.925,285.006,286.750,97515.000,287.926,287.272,287.095,287.033,286.992,286.943,98057.633,97929.471,97882.832,97836.193,97789.561,97719.632,
2002-06-10 00:35:00,287.542,286.805,0.000,287.570,286.994,285.181,286.717,97515.833,287.841,287.230,287.063,287.003,286.963,286.913,98057.705,97929.516,97882.872,97836.227,97789.591,97719.654,
2002-06-10 00:40:00,287.492,286.774,0.000,287.635,287.063,285.362,286.683,97516.667,287.786,287.187,287.025,286.967,286.928,286.879,98057.778,97929.567,97882.916,97836.265,97789.623,97719.678,
2002-06-10 00:45:00,287.428,286.741,0.000,287.697,287.128,285.546,286.650,97517.500,287.709,287.139,286.984,286.928,286.890,286.844,98057.859,97929.620,97882.962,97836.305,97789.656,97719.703,
2002-06-10 00:50:00,287.393,286.710,0.000,287.762,287.196,285.734,286.617,97518.333,287.673,287.104,286.949,286.894,286.857,286.811,98057.924,97929.669,97883.006,97836.343,97789.688,97719.727,
2002-06-10 00:55:00,287.351,286.678,0.000,287.826,287.263,285.925,286.583,97519.167,287.624,287.068,286.916,286.860,286.824,286.778,98057.991,97929.718,97883.048,97836.380,97789.720,97719.750,
2002-06-10 01:00:00,287.324,286.646,0.000,287.857,287.298,286.059,286.550,97520.000,287.599,287.040,286.886,286.830,286.793,286.747,98058.048,97929.763,97883.089,97836.415,97789.751,97719.773,
2002-06-10 01:05:00,287.297,286.637,0.000,287.883,287.327,286.171,286.542,97522.500,287.566,287.019,286.868,286.813,286.777,286.732,98058.081,97929.784,97883.107,97836.430,97789.763,97719.782,
2002-06-10 01:10:00,287.287,286.629,0.000,287.907,287.354,286.268,286.533,97525.000,287.555,287.009,286.858,286.804,286.768,286.724,98058.098,97929.797,97883.118,97836.440,97789.771,97719.788,
