cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[3.0],TempProf_cur[15.8],TempProf_cur[22.9],TempProf_cur[27.8],TempProf_cur[32.9],PresProf_cur[3.0],PresProf_cur[15.8],PresProf_cur[22.9],PresProf_cur[27.8],PresProf_cur[32.9],
2002-06-10 00:05:00,288.841,286.997,0.000,287.956,286.977,284.389,286.917,97510.833,289.430,287.876,287.611,287.470,287.339,98056.429,97905.567,97824.136,97765.962,97707.786,
2002-06-10 00:10:00,287.500,286.966,0.000,287.814,286.850,284.521,286.883,97511.667,287.754,287.146,287.078,287.051,287.027,98057.557,97906.035,97824.425,97766.153,97707.901,
2002-06-10 00:15:00,287.503,286.933,0.000,287.879,286.923,284.656,286.850,97512.500,287.813,287.095,287.027,287.003,286.983,98057.629,97906.097,97824.472,97766.190,97707.929,
2002-06-10 00:20:00,287.685,286.901,0.000,287.980,287.032,284.809,286.817,97513.333,288.117,287.117,287.024,286.992,286.966,98057.572,97906.116,97824.493,97766.210,97707.946,
2002-06-10 00:25:00,287.722,286.869,0.000,288.060,287.120,284.972,286.783,97514.167,288.151,287.131,287.021,286.981,286.949,98057.572,97906.137,97824.515,97766.230,97707.963,
2002-06-10 00:30:00,287.745,286.837,0.000,288.139,287.206,285.149,286.750,97515.000,288.189,287.126,287.008,286.964,286.928,98057.590,97906.165,97824.540,97766.252,97707.981,
2002-06-10 00:35:00,287.673,286.805,0.000,288.203,287.276,285.330,286.717,97515.833,288.088,287.094,286.979,286.935,286.899,98057.665,97906.206,97824.573,97766.280,97708.003,
2002-06-10 00:40:00,287.625,286.774,0.000,288.267,287.346,285.516,286.683,97516.667,288.037,287.056,286.945,286.902,286.866,98057.736,97906.253,97824.609,97766.309,97708.025,
2002-06-10 00:45:00,287.554,286.741,0.000,288.324,287.409,285.703,286.650,97517.500,287.944,287.014,286.907,286.866,286.831,98057.818,97906.301,97824.647,97766.339,97708.048,
2002-06-10 00:50:00,287.521,286.710,0.000,288.387,287.478,285.893,286.617,97518.333,287.912,286.980,286.874,286.833,286.799,98057.882,97906.347,97824.683,97766.368,97708.070,
2002-06-10 00:55:00,287.476,286.678,0.000,288.448,287.543,286.085,286.583,97519.167,287.856,286.947,286.841,286.800,286.766,98057.949,97906.392,97824.718,97766.397,97708.093,
2002-06-10 01:00:00,287.453,286.646,0.000,288.476,287.578,286.219,286.550,97520.000,287.836,286.919,286.811,286.770,286.735,98058.005,97906.434,97824.752,97766.425,97708.114,
2002-06-10 01:05:00,287.424,286.637,0.000,288.498,287.606,286.330,286.542,97522.500,287.799,286.901,286.795,286.755,286.722,98058.037,97906.453,97824.766,97766.436,97708.122,
2002-06-10 01:10:00,287.416,286.629,0.000,288.519,287.634,286.427,286.533,97525.000,287.791,286.893,286.787,286.746,286.713,98058.053,97906.465,97824.776,97766.443,97708.128,
2002-06-10 01:15:00,287.401,286.620,0.000,288.535,287.657,286.513,286.525,97527.500,287.769,286.885,286.779,286.738,286.705,98058.072,97906.476,97824.785,97766.451,97708.134,
2002-06-10 01:20:00,287.395,286.612,0.000,288.549,287.678,286.589,286.517,97530.000,287.765,286.878,286.771,286.731,286.697,98058.085,97906.487,97824.794,97766.458,97708.139,
2002-06-10 01:25:00,287.381,286.603,0.000,288.560,287.696,286.657,286.508,97532.500,287.745,286.870,286.763,286.722,286.689,98058.104,97906.499,97824.803,97766.465,97708.145,
2002-06-10 01:30:00,287.374,286.595,0.000,288.570,287.712,286.719,286.500,97535.000,287.738,286.862,286.755,286.714,286.680,98058.119,97906.510,97824.812,97766.473,97708.151,
2002-06-10 01:35:00,287.360,286.587,0.000,288.577,287.726,286.776,286.492,97537.500,287.720,286.853,286.746,286.706,286.672,98058.137,97906.522,97824.821,97766.480,97708.157,
2002-06-10 01:40:00,287.353,286.578,0.000,288.583,287.738,286.827,286.483,97540.000,287.713,286.846,286.738,286.698,286.664,98058.152,97906.533,97824.830,97766.488,97708.163,
2002-06-10 01:45:00,287.340,286.570,0.000,288.586,287.748,286.874,286.475,97542.500,287.697,286.837,286.730,286.689,286.655,98058.170,97906.545,97824.840,97766.495,97708.168,
2002-06-10 01:50:00,287.333,286.562,0.000,288.589,287.758,286.917,286.467,97545.000,287.689,286.830,286.722,286.681,286.647,98058.185,97906.556,97824.849,97766.503,97708.174,
