cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:00:00,296.075,289.473,0.000,291.982,292.573,290.740,287.334,99733.833,294.154,100084.385,
2004-06-01 00:05:00,291.057,289.343,0.000,291.040,291.628,290.758,287.334,99731.472,289.940,100087.987,
2004-06-01 00:10:00,289.923,289.373,0.000,290.988,291.573,290.746,287.334,99729.111,289.481,100088.231,
2004-06-01 00:15:00,290.004,289.338,0.000,290.974,291.560,290.730,287.334,99726.750,289.445,100088.278,
2004-06-01 00:20:00,290.224,289.368,0.000,290.987,291.574,290.712,287.334,99724.389,289.492,100088.236,
2004-06-01 00:25:00,290.364,289.355,0.000,291.006,291.596,290.686,287.334,99722.028,289.521,100088.229,
2004-06-01 00:30:00,290.443,289.384,0.000,291.011,291.604,290.651,287.334,99719.667,289.558,100088.192,
2004-06-01 00:35:00,290.415,289.245,0.000,291.006,291.601,290.607,287.333,99717.306,289.499,100088.308,
2004-06-01 00:40:00,290.286,289.080,0.000,290.985,291.581,290.553,287.333,99714.944,289.355,100088.499,
2004-06-01 00:45:00,290.085,288.920,0.000,290.950,291.546,290.489,287.333,99712.583,289.178,100088.706,
2004-06-01 00:50:00,289.909,288.800,0.000,290.921,291.518,290.419,287.333,99710.222,289.031,100088.871,
2004-06-01 00:55:00,289.787,288.682,0.000,290.896,291.496,290.346,287.333,99707.861,288.910,100089.019,
2004-06-01 01:00:00,289.707,288.591,0.000,290.871,291.467,290.290,287.333,99705.500,288.815,100089.135,
2004-06-01 01:05:00,289.648,288.519,0.000,290.847,291.440,290.239,287.342,99703.931,288.742,100089.225,
2004-06-01 01:10:00,289.604,288.461,0.000,290.825,291.415,290.191,287.351,99702.361,288.685,100089.297,
2004-06-01 01:15:00,289.553,288.395,0.000,290.802,291.388,290.145,287.360,99700.792,288.628,100089.374,
2004-06-01 01:20:00,289.500,288.338,0.000,290.778,291.361,290.099,287.369,99699.222,288.573,100089.443,
2004-06-01 01:25:00,289.440,288.276,0.000,290.751,291.330,290.055,287.378,99697.653,288.515,100089.517,
