cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:05:00,291.044,289.343,0.000,290.914,291.595,289.700,287.334,99731.472,289.939,100087.988,
2004-06-01 00:10:00,289.915,289.373,0.000,290.858,291.536,289.670,287.334,99729.111,289.479,100088.233,
2004-06-01 00:15:00,289.989,289.338,0.000,290.831,291.509,289.646,287.334,99726.750,289.439,100088.281,
2004-06-01 00:20:00,290.202,289.368,0.000,290.827,291.507,289.622,287.334,99724.389,289.481,100088.242,
2004-06-01 00:25:00,290.337,289.355,0.000,290.828,291.509,289.551,287.334,99722.028,289.507,100088.236,
2004-06-01 00:30:00,290.414,289.384,0.000,290.817,291.501,289.471,287.334,99719.667,289.542,100088.200,
2004-06-01 00:35:00,290.390,289.245,0.000,290.796,291.482,289.392,287.333,99717.306,289.484,100088.315,
2004-06-01 00:40:00,290.263,289.080,0.000,290.760,291.447,289.317,287.333,99714.944,289.342,100088.505,
2004-06-01 00:45:00,290.059,288.920,0.000,290.712,291.399,289.228,287.333,99712.583,289.165,100088.712,
2004-06-01 00:50:00,289.878,288.800,0.000,290.668,291.356,289.142,287.333,99710.222,289.016,100088.878,
2004-06-01 00:55:00,289.751,288.682,0.000,290.627,291.317,289.055,287.333,99707.861,288.893,100089.027,
2004-06-01 01:00:00,289.667,288.591,0.000,290.594,291.280,289.000,287.333,99705.500,288.797,100089.143,
2004-06-01 01:05:00,289.606,288.519,0.000,290.563,291.245,288.939,287.342,99703.931,288.722,100089.235,
2004-06-01 01:10:00,289.561,288.461,0.000,290.533,291.212,288.880,287.351,99702.361,288.664,100089.308,
2004-06-01 01:15:00,289.508,288.395,0.000,290.503,291.178,288.820,287.360,99700.792,288.606,100089.384,
2004-06-01 01:20:00,289.455,288.338,0.000,290.473,291.143,288.759,287.369,99699.222,288.550,100089.454,
2004-06-01 01:25:00,289.393,288.276,0.000,290.441,291.107,288.704,287.378,99697.653,288.491,100089.529,
2004-06-01 01:30:00,289.335,288.221,0.000,290.410,291.071,288.648,287.387,99696.083,288.435,100089.598,
2004-06-01 01:35:00,289.275,288.162,0.000,290.378,291.034,288.592,287.396,99694.514,288.378,100089.670,
2004-06-01 01:40:00,289.220,288.109,0.000,290.347,290.998,288.536,287.405,99692.944,288.323,100089.737,
2004-06-01 01:45:00,289.166,288.053,0.000,290.315,290.962,288.482,287.414,99691.375,288.268,100089.806,
2004-06-01 01:50:00,289.116,288.002,0.000,290.283,290.925,288.428,287.423,99689.806,288.216,100089.870,
2004-06-01 01:55:00,289.066,287.949,0.000,290.252,290.889,288.374,287.432,99688.236,288.164,100089.935,
2004-06-01 02:00:00,289.019,287.900,0.000,290.233,290.866,288.348,287.441,99686.667,288.115,100089.996,
2004-06-01 02:05:00,288.992,287.892,0.000,290.218,290.848,288.328,287.444,99685.875,288.092,100090.016,
2004-06-01 02:10:00,288.984,287.884,0.000,290.207,290.832,288.309,287.446,99685.083,288.083,100090.027,
2004-06-01 02:15:00,288.982,287.875,0.000,290.200,290.822,288.289,287.448,99684.292,288.077,100090.036,
2004-06-01 02:20:00,288.979,287.867,0.000,290.192,290.811,288.270,287.450,99683.500,288.071,100090.045,
2004-06-01 02:25:00,288.969,287.859,0.000,290.187,290.803,288.266,287.453,99682.708,288.064,100090.055,
2004-06-01 02:30:00,288.957,287.852,0.000,290.182,290.794,288.262,287.455,99681.917,288.057,100090.064,
2004-06-01 02:35:00,288.943,287.845,0.000,290.178,290.788,288.258,287.457,99681.125,288.049,100090.073,
2004-06-01 02:40:00,288.930,287.838,0.000,290.175,290.782,288.254,287.460,99680.333,288.042,100090.081,
2004-06-01 02:45:00,288.918,287.832,0.000,290.174,290.777,288.261,287.462,99679.542,288.035,100090.089,
2004-06-01 02:50:00,288.907,287.827,0.000,290.173,290.773,288.269,287.464,99678.750,288.029,100090.096,
2004-06-01 02:55:00,288.896,287.821,0.000,290.173,290.770,288.277,287.466,99677.958,288.024,100090.102,
2004-06-01 03:00:00,288.886,287.817,0.000,290.163,290.756,288.259,287.469,99677.167,288.019,100090.108,
2004-06-01 03:05:00,288.884,287.838,0.000,290.154,290.743,288.248,287.468,99678.042,288.029,100090.090,
2004-06-01 03:10:00,288.892,287.860,0.000,290.146,290.732,288.238,287.467,99678.917,288.048,100090.064,
2004-06-01 03:15:00,288.906,287.881,0.000,290.138,290.721,288.228,287.466,99679.792,288.069,100090.038,
2004-06-01 03:20:00,288.918,287.902,0.000,290.130,290.710,288.217,287.465,99680.667,288.089,100090.012,
2004-06-01 03:25:00,288.926,287.921,0.000,290.122,290.699,288.204,287.464,99681.542,288.108,100089.988,
2004-06-01 03:30:00,288.932,287.941,0.000,290.113,290.687,288.191,287.463,99682.417,288.125,100089.965,
2004-06-01 03:35:00,288.936,287.959,0.000,290.104,290.674,288.178,287.462,99683.292,288.142,100089.943,
2004-06-01 03:40:00,288.940,287.977,0.000,290.094,290.662,288.164,287.462,99684.167,288.157,100089.922,
2004-06-01 03:45:00,288.944,287.994,0.000,290.085,290.649,288.150,287.461,99685.042,288.172,100089.902,
2004-06-01 03:50:00,288.948,288.010,0.000,290.076,290.637,288.135,287.460,99685.917,288.186,100089.883,
2004-06-01 03:55:00,288.951,288.026,0.000,290.066,290.624,288.121,287.459,99686.792,288.200,100089.864,
2004-06-01 04:00:00,288.955,288.041,0.000,290.052,290.607,288.090,287.458,99687.667,288.214,100089.846,
2004-06-01 04:05:00,288.939,288.008,0.000,290.034,290.585,288.056,287.467,99687.667,288.198,100089.874,
2004-06-01 04:10:00,288.907,287.980,0.000,290.013,290.561,288.022,287.476,99687.667,288.170,100089.910,
2004-06-01 04:15:00,288.868,287.954,0.000,289.989,290.534,287.988,287.486,99687.667,288.139,100089.944,
2004-06-01 04:20:00,288.834,287.932,0.000,289.966,290.508,287.954,287.495,99687.667,288.112,100089.975,
2004-06-01 04:25:00,288.806,287.911,0.000,289.941,290.480,287.912,287.504,99687.667,288.090,100090.002,
2004-06-01 04:30:00,288.784,287.893,0.000,289.918,290.453,287.870,287.513,99687.667,288.070,100090.025,
2004-06-01 04:35:00,288.763,287.876,0.000,289.893,290.426,287.828,287.523,99687.667,288.052,100090.047,
2004-06-01 04:40:00,288.743,287.861,0.000,289.868,290.398,287.786,287.532,99687.667,288.036,100090.066,
2004-06-01 04:45:00,288.723,287.847,0.000,289.843,290.370,287.739,287.541,99687.667,288.021,100090.084,
2004-06-01 04:50:00,288.703,287.835,0.000,289.818,290.342,287.691,287.550,99687.667,288.007,100090.100,
2004-06-01 04:55:00,288.685,287.823,0.000,289.792,290.313,287.644,287.559,99687.667,287.994,100090.115,
2004-06-01 05:00:00,288.666,287.813,81.973,289.775,290.293,287.625,287.569,99687.667,287.983,100090.128,
2004-06-01 05:05:00,288.951,287.805,83.409,289.809,290.327,287.623,287.585,99689.319,288.242,100090.012,
2004-06-01 05:10:00,289.032,287.798,84.812,289.809,290.326,287.595,287.600,99690.972,288.310,100089.976,
2004-06-01 05:15:00,288.954,287.790,41.832,289.794,290.307,287.569,287.616,99692.625,288.257,100090.005,
