cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[1.2],TempProf_cur[20.0],PresProf_cur[1.2],PresProf_cur[20.0],
2008-07-01 00:00:00,296.921,295.546,0.000,294.001,295.106,286.555,290.950,101390.000,296.980,295.546,101600.653,101390.000,
2008-07-01 00:05:00,295.459,295.193,0.000,293.953,295.074,285.925,290.992,101391.667,295.489,295.193,101601.524,101390.000,
2008-07-01 00:10:00,295.408,295.205,0.000,294.119,295.263,285.493,291.033,101393.333,295.443,295.205,101601.549,101390.000,
2008-07-01 00:15:00,295.469,295.077,0.000,294.157,295.321,285.124,291.075,101395.000,295.545,295.077,101601.586,101390.000,
2008-07-01 00:20:00,295.500,295.092,0.000,294.192,295.375,284.786,291.117,101396.667,295.580,295.092,101601.578,101390.000,
2008-07-01 00:25:00,295.453,295.017,0.000,294.197,295.399,284.466,291.158,101398.333,295.520,295.017,101601.607,101390.000,
2008-07-01 00:30:00,295.415,295.031,0.000,294.204,295.425,284.160,291.200,101400.000,295.479,295.031,101601.617,101390.000,
2008-07-01 00:35:00,295.347,294.983,0.000,294.190,295.430,283.862,291.242,101401.667,295.402,294.983,101601.650,101390.000,
2008-07-01 00:40:00,295.307,294.997,0.000,294.181,295.439,283.570,291.283,101403.333,295.360,294.997,101601.662,101390.000,
2008-07-01 00:45:00,295.254,294.964,0.000,294.158,295.436,283.281,291.325,101405.000,295.301,294.964,101601.688,101390.000,
2008-07-01 00:50:00,295.228,294.979,0.000,294.140,295.436,282.995,291.367,101406.667,295.273,294.979,101601.695,101390.000,
2008-07-01 00:55:00,295.192,294.957,0.000,294.115,295.428,282.710,291.408,101408.333,295.232,294.957,101601.711,101390.000,
2008-07-01 01:00:00,295.175,294.973,0.000,294.104,295.428,282.468,291.450,101410.000,295.214,294.973,101601.714,101390.000,
2008-07-01 01:05:00,295.139,294.920,0.000,294.088,295.423,282.249,291.375,101414.167,295.175,294.920,101601.739,101390.000,
2008-07-01 01:10:00,295.112,294.906,0.000,294.074,295.418,282.046,291.300,101418.333,295.147,294.906,101601.756,101390.000,
2008-07-01 01:15:00,295.071,294.866,0.000,294.059,295.411,281.857,291.225,101422.500,295.104,294.866,101601.783,101390.000,
2008-07-01 01:20:00,295.041,294.850,0.000,294.044,295.404,281.679,291.150,101426.667,295.073,294.850,101601.801,101390.000,
2008-07-01 01:25:00,295.001,294.812,0.000,294.028,295.394,281.511,291.075,101430.833,295.032,294.812,101601.826,101390.000,
2008-07-01 01:30:00,294.972,294.795,0.000,294.014,295.385,281.352,291.000,101435.000,295.002,294.795,101601.845,101390.000,
2008-07-01 01:35:00,294.935,294.759,0.000,293.997,295.374,281.201,290.925,101439.167,294.963,294.759,101601.869,101390.000,
2008-07-01 01:40:00,294.906,294.740,0.000,293.982,295.363,281.058,290.850,101443.333,294.934,294.740,101601.887,101390.000,
2008-07-01 01:45:00,294.870,294.706,0.000,293.965,295.350,280.922,290.775,101447.500,294.897,294.706,101601.911,101390.000,
2008-07-01 01:50:00,294.841,294.686,0.000,293.949,295.338,280.792,290.700,101451.667,294.867,294.686,101601.929,101390.000,
2008-07-01 01:55:00,294.807,294.652,0.000,293.932,295.324,280.669,290.625,101455.833,294.831,294.652,101601.952,101390.000,
2008-07-01 02:00:00,294.778,294.631,0.000,293.916,295.310,280.550,290.550,101460.000,294.802,294.631,101601.971,101390.000,
2008-07-01 02:05:00,294.752,294.630,0.000,293.899,295.295,280.437,290.483,101463.333,294.775,294.630,101601.982,101390.000,
2008-07-01 02:10:00,294.738,294.636,0.000,293.884,295.281,280.329,290.417,101466.667,294.759,294.636,101601.986,101390.000,
2008-07-01 02:15:00,294.722,294.626,0.000,293.869,295.267,280.226,290.350,101470.000,294.741,294.626,101601.993,101390.000,
2008-07-01 02:20:00,294.710,294.621,0.000,293.854,295.252,280.126,290.283,101473.333,294.729,294.621,101602.000,101390.000,
2008-07-01 02:25:00,294.582,294.122,0.000,293.828,295.225,280.030,290.217,101476.667,294.610,294.122,101602.184,101390.000,
2008-07-01 02:30:00,294.171,293.140,0.000,293.774,295.165,279.937,290.150,101480.000,294.230,293.140,101602.674,101390.000,
2008-07-01 02:35:00,293.545,292.464,0.000,293.692,295.065,279.857,290.083,101483.333,293.636,292.464,101603.200,101390.000,
2008-07-01 02:40:00,292.957,291.978,0.000,293.610,294.968,279.795,290.017,101486.667,293.060,291.978,101603.613,101390.000,
2008-07-01 02:45:00,292.537,291.608,0.000,293.520,294.862,279.742,289.950,101490.000,292.642,291.608,101603.907,101390.000,
2008-07-01 02:50:00,292.243,291.317,0.000,293.443,294.771,279.698,289.883,101493.333,292.351,291.317,101604.125,101390.000,
2008-07-01 02:55:00,292.003,291.078,0.000,293.365,294.680,279.678,289.817,101496.667,292.113,291.078,101604.303,101390.000,
2008-07-01 03:00:00,291.784,290.877,0.000,293.291,294.590,279.706,289.750,101500.000,291.895,290.877,101604.458,101390.000,
2008-07-01 03:05:00,291.552,290.639,0.000,293.215,294.499,279.775,289.667,101505.833,291.664,290.639,101604.628,101390.000,
2008-07-01 03:10:00,291.328,290.437,0.000,293.140,294.408,279.862,289.583,101511.667,291.440,290.437,101604.787,101390.000,
2008-07-01 03:15:00,291.127,290.258,0.000,293.065,294.318,279.945,289.500,101517.500,291.239,290.258,101604.929,101390.000,
2008-07-01 03:20:00,290.958,290.096,0.000,292.994,294.232,280.030,289.417,101523.333,291.072,290.096,101605.054,101390.000,
2008-07-01 03:25:00,290.804,289.947,0.000,292.923,294.148,280.143,289.333,101529.167,290.919,289.947,101605.167,101390.000,
2008-07-01 03:30:00,290.654,289.808,0.000,292.853,294.064,280.303,289.250,101535.000,290.770,289.808,101605.275,101390.000,
2008-07-01 03:35:00,290.496,289.676,0.000,292.782,293.979,280.514,289.167,101540.833,290.610,289.676,101605.383,101390.000,
2008-07-01 03:40:00,290.338,289.550,0.000,292.710,293.895,280.766,289.083,101546.667,290.451,289.550,101605.489,101390.000,
