cur_datetime,canTemp,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:00:00,296.075,74.936,300.000,300.000,300.000,287.334,99733.833,294.154,100084.385,
2004-06-01 00:05:00,291.805,21.803,299.872,299.872,298.230,287.334,99731.472,290.126,100087.906,
2004-06-01 00:10:00,290.544,6.142,299.602,299.602,296.419,287.334,99729.111,289.630,100088.159,
2004-06-01 00:15:00,290.814,8.203,299.140,299.140,294.520,287.334,99726.750,289.631,100088.186,
2004-06-01 00:20:00,291.255,12.326,298.708,298.708,292.994,287.334,99724.389,289.729,100088.120,
2004-06-01 00:25:00,291.447,13.672,298.375,298.375,291.801,287.334,99722.028,289.784,100088.099,
2004-06-01 00:30:00,291.467,13.117,298.127,298.127,290.850,287.334,99719.667,289.812,100088.064,
2004-06-01 00:35:00,291.343,10.982,297.933,297.933,290.067,287.333,99717.306,289.711,100088.204,
2004-06-01 00:40:00,291.132,7.897,297.768,297.768,289.399,287.333,99714.944,289.532,100088.414,
2004-06-01 00:45:00,290.892,4.533,297.619,297.619,288.800,287.333,99712.583,289.339,100088.628,
2004-06-01 00:50:00,290.714,1.925,297.476,297.476,288.261,287.333,99710.222,289.187,100088.795,
2004-06-01 00:55:00,290.599,0.239,297.338,297.338,287.775,287.333,99707.861,289.062,100088.944,
2004-06-01 01:00:00,290.519,0.239,297.205,297.205,287.336,287.333,99705.500,288.964,100089.061,
2004-06-01 01:05:00,290.459,0.239,297.080,297.080,286.940,287.342,99703.931,288.891,100089.151,
2004-06-01 01:10:00,290.416,0.239,296.966,296.966,286.606,287.351,99702.361,288.835,100089.223,
2004-06-01 01:15:00,290.355,0.239,296.859,296.859,286.330,287.360,99700.792,288.775,100089.300,
2004-06-01 01:20:00,290.293,0.239,296.761,296.761,286.106,287.369,99699.222,288.718,100089.371,
2004-06-01 01:25:00,290.222,0.239,296.668,296.668,285.928,287.378,99697.653,288.656,100089.447,
2004-06-01 01:30:00,290.156,0.239,296.582,296.582,285.792,287.387,99696.083,288.598,100089.517,
2004-06-01 01:35:00,290.092,0.239,296.499,296.499,285.692,287.396,99694.514,288.540,100089.589,
2004-06-01 01:40:00,290.033,0.239,296.420,296.420,285.624,287.405,99692.944,288.484,100089.657,
2004-06-01 01:45:00,289.975,0.239,296.345,296.345,285.585,287.414,99691.375,288.428,100089.726,
2004-06-01 01:50:00,289.921,0.239,296.273,296.273,285.569,287.423,99689.806,288.376,100089.791,
2004-06-01 01:55:00,289.868,0.060,296.204,296.204,285.575,287.432,99688.236,288.323,100089.856,
2004-06-01 02:00:00,289.817,0.060,296.138,296.138,285.600,287.441,99686.667,288.272,100089.918,
