cur_datetime,canTemp,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[1.2],TempProf_cur[20.0],PresProf_cur[1.2],PresProf_cur[20.0],
2008-07-01 00:05:00,295.625,0.011,299.427,299.427,299.886,290.992,101391.667,295.683,295.193,101601.479,101390.000,
2008-07-01 00:10:00,295.546,0.011,298.832,298.832,299.763,291.033,101393.333,295.603,295.205,101601.507,101390.000,
2008-07-01 00:15:00,295.528,0.011,298.222,298.222,299.636,291.075,101395.000,295.594,295.077,101601.560,101390.000,
2008-07-01 00:20:00,295.575,0.011,297.815,297.815,299.510,291.117,101396.667,295.649,295.092,101601.544,101390.000,
2008-07-01 00:25:00,295.839,0.011,297.545,297.545,299.386,291.158,101398.333,295.944,295.017,101601.491,101390.000,
2008-07-01 00:30:00,296.056,0.011,297.350,297.350,299.263,291.200,101400.000,296.195,295.031,101601.432,101390.000,
2008-07-01 00:35:00,295.963,0.011,297.229,297.229,299.143,291.242,101401.667,296.072,294.983,101601.455,101390.000,
2008-07-01 00:40:00,295.938,0.011,297.138,297.138,299.024,291.283,101403.333,296.050,294.997,101601.461,101390.000,
2008-07-01 00:45:00,295.828,0.011,297.051,297.051,298.906,291.325,101405.000,295.921,294.964,101601.500,101390.000,
2008-07-01 00:50:00,295.808,0.011,296.966,296.966,298.790,291.367,101406.667,295.906,294.979,101601.507,101390.000,
2008-07-01 00:55:00,295.726,0.011,296.883,296.883,298.675,291.408,101408.333,295.809,294.957,101601.535,101390.000,
2008-07-01 01:00:00,295.718,0.011,296.802,296.802,298.561,291.450,101410.000,295.805,294.973,101601.536,101390.000,
2008-07-01 01:05:00,295.642,0.011,296.725,296.725,298.449,291.375,101414.167,295.717,294.920,101601.572,101390.000,
2008-07-01 01:10:00,295.620,0.011,296.652,296.652,298.338,291.300,101418.333,295.699,294.906,101601.590,101390.000,
2008-07-01 01:15:00,295.544,0.011,296.582,296.582,298.229,291.225,101422.500,295.613,294.866,101601.626,101390.000,
2008-07-01 01:20:00,295.519,0.011,296.513,296.513,298.121,291.150,101426.667,295.592,294.850,101601.644,101390.000,
2008-07-01 01:25:00,295.450,0.011,296.447,296.447,298.015,291.075,101430.833,295.516,294.812,101601.677,101390.000,
2008-07-01 01:30:00,295.426,0.011,296.383,296.383,297.910,291.000,101435.000,295.494,294.795,101601.695,101390.000,
2008-07-01 01:35:00,295.363,0.011,296.321,296.321,297.806,290.925,101439.167,295.424,294.759,101601.726,101390.000,
2008-07-01 01:40:00,295.337,0.011,296.260,296.260,297.703,290.850,101443.333,295.402,294.740,101601.745,101390.000,
2008-07-01 01:45:00,295.278,0.011,296.202,296.202,297.602,290.775,101447.500,295.336,294.706,101601.774,101390.000,
2008-07-01 01:50:00,295.252,0.011,296.145,296.145,297.502,290.700,101451.667,295.312,294.686,101601.793,101390.000,
2008-07-01 01:55:00,295.196,0.011,296.090,296.090,297.403,290.625,101455.833,295.251,294.652,101601.822,101390.000,
2008-07-01 02:00:00,295.169,0.011,296.035,296.035,297.306,290.550,101460.000,295.226,294.631,101601.841,101390.000,
2008-07-01 02:05:00,295.125,0.011,295.983,295.983,297.209,290.483,101463.333,295.177,294.630,101601.856,101390.000,
2008-07-01 02:10:00,295.114,0.011,295.934,295.934,297.115,290.417,101466.667,295.166,294.636,101601.860,101390.000,
2008-07-01 02:15:00,295.082,0.011,295.889,295.889,297.022,290.350,101470.000,295.129,294.626,101601.871,101390.000,
2008-07-01 02:20:00,295.070,0.011,295.848,295.848,296.930,290.283,101473.333,295.118,294.621,101601.878,101390.000,
2008-07-01 02:25:00,294.907,0.011,295.809,295.809,296.841,290.217,101476.667,294.963,294.122,101602.082,101390.000,
2008-07-01 02:30:00,294.473,0.011,295.773,295.773,296.753,290.150,101480.000,294.567,293.140,101602.590,101390.000,
2008-07-01 02:35:00,293.872,0.011,295.727,295.727,296.666,290.083,101483.333,294.007,292.464,101603.106,101390.000,
2008-07-01 02:40:00,292.754,0.011,295.651,295.651,296.577,290.017,101486.667,292.857,291.978,101603.694,101390.000,
2008-07-01 02:45:00,292.067,0.011,295.541,295.541,296.486,289.950,101490.000,292.128,291.608,101604.069,101390.000,
2008-07-01 02:50:00,291.845,0.011,295.354,295.354,296.391,289.883,101493.333,291.920,291.317,101604.266,101390.000,
2008-07-01 02:55:00,291.702,0.011,295.164,295.164,296.296,289.817,101496.667,291.793,291.078,101604.414,101390.000,
2008-07-01 03:00:00,291.532,0.011,295.005,295.005,296.202,289.750,101500.000,291.626,290.877,101604.551,101390.000,
2008-07-01 03:05:00,291.312,0.011,294.878,294.878,296.108,289.667,101505.833,291.405,290.639,101604.719,101390.000,
2008-07-01 03:10:00,291.106,0.011,294.771,294.771,296.015,289.583,101511.667,291.198,290.437,101604.870,101390.000,
2008-07-01 03:15:00,290.927,0.011,294.674,294.674,295.923,289.500,101517.500,291.020,290.258,101605.003,101390.000,
2008-07-01 03:20:00,290.776,0.011,294.579,294.579,295.832,289.417,101523.333,290.870,290.096,101605.119,101390.000,
2008-07-01 03:25:00,290.630,0.011,294.489,294.489,295.742,289.333,101529.167,290.723,289.947,101605.228,101390.000,
2008-07-01 03:30:00,290.491,0.011,294.405,294.405,295.653,289.250,101535.000,290.584,289.808,101605.330,101390.000,
2008-07-01 03:35:00,290.352,0.011,294.326,294.326,295.565,289.167,101540.833,290.442,289.676,101605.430,101390.000,
2008-07-01 03:40:00,290.223,0.011,294.249,294.249,295.478,289.083,101546.667,290.313,289.550,101605.524,101390.000,
2008-07-01 03:45:00,290.094,0.011,294.175,294.175,295.392,289.000,101552.500,290.181,289.428,101605.617,101390.000,
2008-07-01 03:50:00,289.973,0.011,294.103,294.103,295.307,288.917,101558.333,290.060,289.311,101605.705,101390.000,
2008-07-01 03:55:00,289.849,0.011,294.034,294.034,295.223,288.833,101564.167,289.934,289.197,101605.793,101390.000,
2008-07-01 04:00:00,289.706,0.011,293.965,293.965,295.141,288.750,101570.000,289.791,289.050,101605.900,101390.000,
2008-07-01 04:05:00,289.613,0.011,295.293,293.918,295.091,288.708,101570.000,289.697,288.956,101605.971,101390.000,
2008-07-01 04:10:00,289.621,0.011,297.106,293.888,295.069,288.667,101570.000,289.717,288.857,101606.009,101390.000,
2008-07-01 04:15:00,289.650,0.011,299.185,293.882,295.074,288.625,101570.000,289.758,288.754,101606.039,101390.000,
2008-07-01 04:20:00,289.677,0.011,301.432,293.908,295.106,288.583,101570.000,289.799,288.646,101606.073,101390.000,
2008-07-01 04:25:00,289.654,0.011,303.854,293.955,295.163,288.542,101570.000,289.784,288.535,101606.124,101390.000,
2008-07-01 04:30:00,290.380,0.011,306.503,294.008,295.246,288.500,101570.000,290.602,288.406,101605.933,101390.000,
2008-07-01 04:35:00,289.477,0.011,308.900,293.952,295.324,288.458,101570.000,289.557,288.270,101606.236,101390.000,
2008-07-01 04:40:00,289.899,0.011,312.025,294.090,295.432,288.417,101570.000,290.135,288.131,101606.209,101390.000,
2008-07-01 04:45:00,289.162,0.011,314.437,293.999,295.555,288.375,101570.000,289.249,287.986,101606.478,101390.000,
2008-07-01 04:50:00,290.181,0.011,317.812,294.087,295.716,288.333,101570.000,290.483,287.838,101606.239,101390.000,
2008-07-01 04:55:00,289.088,0.018,320.423,294.014,295.885,288.292,101570.000,289.175,287.685,101606.605,101390.000,
2008-07-01 05:00:00,289.999,0.018,324.041,294.152,296.088,288.250,101570.000,290.319,287.529,101606.424,101390.000,
2008-07-01 05:05:00,288.953,0.018,326.416,294.092,296.298,288.325,101570.833,289.046,287.534,101606.722,101390.000,
2008-07-01 05:10:00,290.268,0.018,328.589,294.206,296.528,288.400,101571.667,290.622,287.538,101606.335,101390.000,
2008-07-01 05:15:00,289.041,0.018,329.016,294.152,296.749,288.475,101572.500,289.132,287.540,101606.679,101390.000,
2008-07-01 05:20:00,290.445,0.018,330.230,294.289,296.993,288.550,101573.333,290.825,287.541,101606.275,101390.000,
2008-07-01 05:25:00,289.038,0.018,330.143,294.256,297.226,288.625,101574.167,289.127,287.541,101606.679,101390.000,
2008-07-01 05:30:00,290.672,0.018,331.031,294.389,297.484,288.700,101575.000,291.088,287.539,101606.204,101390.000,
2008-07-01 05:35:00,289.063,0.018,330.782,294.359,297.728,288.775,101575.833,289.150,287.537,101606.667,101390.000,
2008-07-01 05:40:00,290.931,0.018,331.531,294.494,297.998,288.850,101576.667,291.390,287.533,101606.123,101390.000,
2008-07-01 05:45:00,289.081,0.018,331.209,294.474,298.252,288.925,101577.500,289.166,287.529,101606.660,101390.000,
2008-07-01 05:50:00,291.204,0.018,331.866,294.610,298.535,289.000,101578.333,291.711,287.523,101606.041,101390.000,
2008-07-01 05:55:00,289.116,19.425,331.490,294.595,298.798,289.075,101579.167,289.203,287.517,101606.649,101390.000,
2008-07-01 06:00:00,291.538,36.135,332.081,294.731,299.093,289.150,101580.000,292.095,287.510,101605.938,101390.000,
2008-07-01 06:05:00,289.192,18.082,331.665,294.726,299.364,289.175,101584.167,289.279,287.473,101606.629,101390.000,
2008-07-01 06:10:00,291.792,34.560,332.079,294.861,299.665,289.200,101588.333,292.402,287.436,101605.888,101390.000,
2008-07-01 06:15:00,289.144,14.766,331.422,294.855,299.934,289.225,101592.500,289.229,287.399,101606.672,101390.000,
2008-07-01 06:20:00,292.031,33.534,331.689,294.973,300.233,289.250,101596.667,292.695,287.362,101605.845,101390.000,
2008-07-01 06:25:00,289.077,11.864,330.942,294.955,300.495,289.275,101600.833,289.160,287.326,101606.721,101390.000,
2008-07-01 06:30:00,292.291,33.104,331.152,295.063,300.793,289.300,101605.000,293.011,287.289,101605.796,101390.000,
2008-07-01 06:35:00,289.011,9.338,330.366,295.041,301.048,289.325,101609.167,289.089,287.252,101606.769,101390.000,
2008-07-01 06:40:00,292.557,33.036,330.550,295.144,301.344,289.350,101613.333,293.336,287.216,101605.745,101390.000,
2008-07-01 06:45:00,288.936,7.022,329.736,295.122,301.592,289.375,101617.500,289.010,287.180,101606.820,101390.000,
2008-07-01 06:50:00,292.861,33.442,329.904,295.222,301.886,289.400,101621.667,293.705,287.144,101605.682,101390.000,
2008-07-01 06:55:00,288.860,4.880,329.067,295.202,302.126,289.425,101625.833,288.928,287.108,101606.871,101390.000,
2008-07-01 07:00:00,293.195,34.233,329.224,295.298,302.419,289.450,101630.000,294.111,287.073,101605.610,101390.000,
2008-07-01 07:05:00,288.779,2.455,328.364,295.281,302.651,289.475,101630.833,288.841,287.040,101606.921,101390.000,
2008-07-01 07:10:00,293.471,33.979,328.405,295.372,302.938,289.500,101631.667,294.449,287.007,101605.555,101390.000,
2008-07-01 07:15:00,288.697,0.025,327.431,295.369,303.156,289.525,101632.500,288.753,286.975,101606.973,101390.000,
2008-07-01 07:20:00,293.907,35.017,327.403,295.445,303.437,289.550,101633.333,294.973,286.943,101605.453,101390.000,
2008-07-01 07:25:00,288.659,0.025,326.433,295.457,303.644,289.575,101634.167,288.710,286.912,101607.005,101390.000,
2008-07-01 07:30:00,294.243,35.496,326.393,295.536,303.921,289.600,101635.000,295.384,286.882,101605.380,101390.000,
2008-07-01 07:35:00,288.595,0.025,325.430,295.559,304.117,289.625,101635.833,288.641,286.852,101607.048,101390.000,
2008-07-01 07:40:00,294.612,36.240,325.369,295.624,304.389,289.650,101636.667,295.829,286.822,101605.297,101390.000,
2008-07-01 07:45:00,288.550,0.025,324.420,295.655,304.575,289.675,101637.500,288.591,286.793,101607.081,101390.000,
2008-07-01 07:50:00,294.941,36.763,324.349,295.713,304.843,289.700,101638.333,296.229,286.765,101605.225,101390.000,
2008-07-01 07:55:00,288.498,0.034,323.417,295.753,305.020,289.725,101639.167,288.534,286.737,101607.118,101390.000,
2008-07-01 08:00:00,295.258,45.656,323.331,295.801,305.283,289.750,101640.000,296.615,286.710,101605.155,101390.000,
