cur_datetime,canTemp,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[1.2],TempProf_cur[20.0],PresProf_cur[1.2],PresProf_cur[20.0],
2008-07-01 00:00:00,294.642,0.011,300.000,300.000,300.000,292.250,99237.800,294.744,292.250,99445.879,99237.800,
2008-07-01 00:05:00,292.281,0.011,299.422,299.422,299.894,292.167,99240.400,292.297,292.167,99447.035,99237.800,
2008-07-01 00:10:00,292.887,0.011,298.424,298.424,299.729,292.083,99243.000,292.985,292.083,99446.881,99237.800,
2008-07-01 00:15:00,292.318,0.011,297.155,297.155,299.506,292.000,99245.600,292.333,292.000,99447.067,99237.800,
2008-07-01 00:20:00,292.298,0.011,296.896,296.896,299.337,291.917,99248.200,292.349,291.917,99447.130,99237.800,
2008-07-01 00:25:00,292.112,0.011,296.419,296.419,299.153,291.833,99250.800,292.134,291.833,99447.214,99237.800,
2008-07-01 00:30:00,292.131,0.011,296.251,296.251,298.977,291.750,99253.400,292.179,291.750,99447.248,99237.800,
2008-07-01 00:35:00,291.903,0.011,296.040,296.040,298.801,291.667,99256.000,291.925,291.667,99447.349,99237.800,
2008-07-01 00:40:00,291.920,0.011,295.917,295.917,298.632,291.583,99258.600,291.959,291.583,99447.381,99237.800,
2008-07-01 00:45:00,291.765,0.011,295.722,295.722,298.458,291.500,99261.200,291.789,291.500,99447.460,99237.800,
2008-07-01 00:50:00,291.701,0.011,295.624,295.624,298.294,291.417,99263.800,291.734,291.417,99447.517,99237.800,
2008-07-01 00:55:00,291.589,0.011,295.484,295.484,298.130,291.333,99266.400,291.614,291.333,99447.584,99237.800,
2008-07-01 01:00:00,291.536,0.011,295.365,295.365,297.968,291.250,99269.000,291.568,291.250,99447.636,99237.800,
2008-07-01 01:05:00,291.436,0.011,295.253,295.253,297.809,291.200,99269.667,291.461,291.200,99447.687,99237.800,
2008-07-01 01:10:00,291.412,0.011,295.147,295.147,297.654,291.150,99270.333,291.441,291.150,99447.717,99237.800,
2008-07-01 01:15:00,291.344,0.011,295.033,295.033,297.498,291.100,99271.000,291.369,291.100,99447.757,99237.800,
2008-07-01 01:20:00,291.300,0.011,294.939,294.939,297.347,291.050,99271.667,291.327,291.050,99447.793,99237.800,
2008-07-01 01:25:00,291.234,0.011,294.849,294.849,297.197,291.000,99272.333,291.259,291.000,99447.833,99237.800,
2008-07-01 01:30:00,291.199,0.011,294.754,294.754,297.050,290.950,99273.000,291.226,290.950,99447.865,99237.800,
2008-07-01 01:35:00,291.128,0.011,294.671,294.671,296.905,290.900,99273.667,291.152,290.900,99447.907,99237.800,
2008-07-01 01:40:00,291.088,0.011,294.587,294.587,296.762,290.850,99274.333,291.115,290.850,99447.941,99237.800,
2008-07-01 01:45:00,291.028,0.011,294.505,294.505,296.621,290.800,99275.000,291.052,290.800,99447.980,99237.800,
2008-07-01 01:50:00,290.982,0.011,294.424,294.424,296.482,290.750,99275.667,291.007,290.750,99448.015,99237.800,
2008-07-01 01:55:00,290.921,0.011,294.350,294.350,296.345,290.700,99276.333,290.944,290.700,99448.055,99237.800,
2008-07-01 02:00:00,290.878,0.011,294.271,294.271,296.210,290.650,99277.000,290.903,290.650,99448.089,99237.800,
2008-07-01 02:05:00,290.779,0.011,294.199,294.199,296.077,290.558,99279.350,290.803,290.558,99448.157,99237.800,
2008-07-01 02:10:00,290.698,0.011,294.127,294.127,295.947,290.467,99281.700,290.723,290.467,99448.220,99237.800,
2008-07-01 02:15:00,290.597,0.011,294.059,294.059,295.818,290.375,99284.050,290.621,290.375,99448.290,99237.800,
2008-07-01 02:20:00,290.510,0.011,293.989,293.989,295.693,290.283,99286.400,290.534,290.283,99448.355,99237.800,
2008-07-01 02:25:00,290.413,0.011,293.920,293.920,295.569,290.192,99288.750,290.437,290.192,99448.423,99237.800,
2008-07-01 02:30:00,290.326,0.011,293.847,293.847,295.448,290.100,99291.100,290.351,290.100,99448.489,99237.800,
2008-07-01 02:35:00,290.227,0.011,293.781,293.781,295.329,290.008,99293.450,290.251,290.008,99448.557,99237.800,
2008-07-01 02:40:00,290.141,0.011,293.710,293.710,295.212,289.917,99295.800,290.166,289.917,99448.622,99237.800,
2008-07-01 02:45:00,290.045,0.011,293.644,293.644,295.097,289.825,99298.150,290.069,289.825,99448.691,99237.800,
2008-07-01 02:50:00,289.958,0.011,293.576,293.576,294.984,289.733,99300.500,289.983,289.733,99448.756,99237.800,
2008-07-01 02:55:00,289.864,0.011,293.511,293.511,294.872,289.642,99302.850,289.889,289.642,99448.823,99237.800,
2008-07-01 03:00:00,289.779,0.011,293.445,293.445,294.763,289.550,99305.200,289.805,289.550,99448.888,99237.800,
2008-07-01 03:05:00,289.738,0.011,293.384,293.384,294.656,289.517,99307.092,289.763,289.517,99448.916,99237.800,
2008-07-01 03:10:00,289.707,0.011,293.326,293.326,294.551,289.483,99308.983,289.733,289.483,99448.940,99237.800,
2008-07-01 03:15:00,289.669,0.011,293.279,293.279,294.450,289.450,99310.875,289.694,289.450,99448.965,99237.800,
2008-07-01 03:20:00,289.638,0.011,293.237,293.237,294.351,289.417,99312.767,289.664,289.417,99448.989,99237.800,
2008-07-01 03:25:00,289.601,0.011,293.201,293.201,294.256,289.383,99314.658,289.626,289.383,99449.015,99237.800,
2008-07-01 03:30:00,289.570,0.011,293.165,293.165,294.163,289.350,99316.550,289.596,289.350,99449.038,99237.800,
2008-07-01 03:35:00,289.534,0.011,293.133,293.133,294.073,289.317,99318.442,289.559,289.317,99449.064,99237.800,
2008-07-01 03:40:00,289.503,0.011,293.101,293.101,293.986,289.283,99320.333,289.529,289.283,99449.087,99237.800,
2008-07-01 03:45:00,289.467,0.011,293.073,293.073,293.901,289.250,99322.225,289.492,289.250,99449.113,99237.800,
2008-07-01 03:50:00,289.436,0.011,293.044,293.044,293.819,289.217,99324.117,289.462,289.217,99449.136,99237.800,
2008-07-01 03:55:00,289.400,0.011,293.018,293.018,293.740,289.183,99326.008,289.426,289.183,99449.161,99237.800,
2008-07-01 04:00:00,289.369,0.011,292.991,292.991,293.663,289.150,99327.900,289.396,289.150,99449.185,99237.800,
2008-07-01 04:05:00,289.372,0.011,293.125,292.968,293.592,289.158,99331.558,289.398,289.158,99449.181,99237.800,
2008-07-01 04:10:00,289.384,0.011,293.338,292.951,293.528,289.167,99335.217,289.410,289.167,99449.174,99237.800,
2008-07-01 04:15:00,289.393,0.011,293.603,292.946,293.472,289.175,99338.875,289.419,289.175,99449.168,99237.800,
2008-07-01 04:20:00,289.405,0.011,293.896,292.949,293.423,289.183,99342.533,289.432,289.183,99449.161,99237.800,
2008-07-01 04:25:00,289.414,0.011,294.221,292.959,293.382,289.192,99346.192,289.441,289.192,99449.154,99237.800,
2008-07-01 04:30:00,289.428,0.011,294.578,292.970,293.347,289.200,99349.850,289.455,289.200,99449.147,99237.800,
2008-07-01 04:35:00,289.438,0.011,294.961,292.985,293.320,289.208,99353.508,289.465,289.208,99449.140,99237.800,
2008-07-01 04:40:00,289.452,0.011,295.364,293.000,293.299,289.217,99357.167,289.480,289.217,99449.132,99237.800,
2008-07-01 04:45:00,289.463,0.011,295.784,293.018,293.285,289.225,99360.825,289.491,289.225,99449.125,99237.800,
2008-07-01 04:50:00,289.477,0.011,296.220,293.037,293.277,289.233,99364.483,289.507,289.233,99449.117,99237.800,
2008-07-01 04:55:00,289.489,0.018,296.671,293.058,293.276,289.242,99368.142,289.518,289.242,99449.110,99237.800,
2008-07-01 05:00:00,289.504,0.018,297.133,293.079,293.281,289.250,99371.800,289.534,289.250,99449.102,99237.800,
2008-07-01 05:05:00,289.545,0.018,297.569,293.103,293.292,289.292,99371.633,289.576,289.292,99449.072,99237.800,
2008-07-01 05:10:00,289.591,0.018,297.945,293.139,293.311,289.333,99371.467,289.622,289.333,99449.040,99237.800,
2008-07-01 05:15:00,289.634,0.018,298.287,293.187,293.337,289.375,99371.300,289.665,289.375,99449.009,99237.800,
2008-07-01 05:20:00,289.680,0.018,298.604,293.241,293.372,289.417,99371.133,289.712,289.417,99448.977,99237.800,
2008-07-01 05:25:00,289.724,0.018,298.904,293.300,293.413,289.458,99370.967,289.755,289.458,99448.946,99237.800,
2008-07-01 05:30:00,289.770,0.018,299.189,293.363,293.462,289.500,99370.800,289.803,289.500,99448.914,99237.800,
2008-07-01 05:35:00,289.814,0.018,299.462,293.431,293.518,289.542,99370.633,289.847,289.542,99448.883,99237.800,
2008-07-01 05:40:00,289.865,0.018,299.723,293.500,293.581,289.583,99370.467,289.899,289.583,99448.850,99237.800,
2008-07-01 05:45:00,289.914,0.018,299.975,293.573,293.651,289.625,99370.300,289.948,289.625,99448.817,99237.800,
2008-07-01 05:50:00,289.964,0.018,300.220,293.649,293.728,289.667,99370.133,290.000,289.667,99448.784,99237.800,
2008-07-01 05:55:00,290.013,0.016,300.459,293.729,293.812,289.708,99369.967,290.050,289.708,99448.751,99237.800,
2008-07-01 06:00:00,290.066,0.016,300.689,293.811,293.902,289.750,99369.800,290.104,289.750,99448.717,99237.800,
2008-07-01 06:05:00,290.164,0.016,300.912,293.896,293.998,289.850,99371.467,290.203,289.850,99448.646,99237.800,
2008-07-01 06:10:00,290.269,0.016,301.338,293.952,294.105,289.950,99373.133,290.309,289.950,99448.572,99237.800,
2008-07-01 06:15:00,290.381,0.016,301.858,293.997,294.220,290.050,99374.800,290.422,290.050,99448.496,99237.800,
2008-07-01 06:20:00,290.491,0.016,302.416,294.036,294.346,290.150,99376.467,290.533,290.150,99448.419,99237.800,
2008-07-01 06:25:00,290.600,0.016,302.991,294.077,294.481,290.250,99378.133,290.643,290.250,99448.344,99237.800,
2008-07-01 06:30:00,290.713,0.016,303.557,294.115,294.625,290.350,99379.800,290.758,290.350,99448.267,99237.800,
2008-07-01 06:35:00,290.823,0.016,304.110,294.154,294.778,290.450,99381.467,290.869,290.450,99448.192,99237.800,
2008-07-01 06:40:00,290.934,0.016,304.646,294.195,294.940,290.550,99383.133,290.982,290.550,99448.116,99237.800,
2008-07-01 06:45:00,291.046,0.016,305.160,294.236,295.111,290.650,99384.800,291.095,290.650,99448.040,99237.800,
2008-07-01 06:50:00,291.159,0.016,305.652,294.277,295.291,290.750,99386.467,291.210,290.750,99447.963,99237.800,
2008-07-01 06:55:00,291.268,0.025,306.124,294.322,295.479,290.850,99388.133,291.319,290.850,99447.888,99237.800,
2008-07-01 07:00:00,291.383,0.025,306.571,294.366,295.675,290.950,99389.800,291.437,290.950,99447.811,99237.800,
2008-07-01 07:05:00,291.458,0.025,306.995,294.411,295.879,291.008,99389.133,291.513,291.008,99447.763,99237.800,
2008-07-01 07:10:00,291.543,0.025,307.344,294.469,296.089,291.067,99388.467,291.601,291.067,99447.713,99237.800,
2008-07-01 07:15:00,291.615,0.025,307.635,294.530,296.305,291.125,99387.800,291.675,291.125,99447.666,99237.800,
2008-07-01 07:20:00,291.693,0.025,307.900,294.595,296.527,291.183,99387.133,291.756,291.183,99447.618,99237.800,
2008-07-01 07:25:00,291.770,0.025,308.129,294.662,296.754,291.242,99386.467,291.835,291.242,99447.570,99237.800,
2008-07-01 07:30:00,291.848,0.025,308.337,294.730,296.986,291.300,99385.800,291.916,291.300,99447.522,99237.800,
2008-07-01 07:35:00,291.921,0.025,308.526,294.800,297.223,291.358,99385.133,291.991,291.358,99447.475,99237.800,
2008-07-01 07:40:00,292.002,0.025,308.695,294.870,297.466,291.417,99384.467,292.075,291.417,99447.426,99237.800,
2008-07-01 07:45:00,292.077,0.025,308.845,294.943,297.713,291.475,99383.800,292.152,291.475,99447.378,99237.800,
2008-07-01 07:50:00,292.157,0.025,308.981,295.017,297.964,291.533,99383.133,292.234,291.533,99447.330,99237.800,
2008-07-01 07:55:00,292.230,7.785,309.098,295.093,298.221,291.592,99382.467,292.310,291.592,99447.283,99237.800,
2008-07-01 08:00:00,292.320,8.596,309.198,295.169,298.481,291.650,99381.800,292.402,291.650,99447.231,99237.800,
2008-07-01 08:05:00,292.402,9.283,309.283,295.248,298.746,291.717,99380.392,292.487,291.717,99447.178,99237.800,
2008-07-01 08:10:00,292.493,9.968,309.334,295.331,299.014,291.783,99378.983,292.580,291.783,99447.122,99237.800,
2008-07-01 08:15:00,292.573,10.541,309.367,295.421,299.286,291.850,99377.575,292.662,291.850,99447.069,99237.800,
2008-07-01 08:20:00,292.661,11.117,309.383,295.513,299.561,291.917,99376.167,292.752,291.917,99447.015,99237.800,
2008-07-01 08:25:00,292.743,11.723,309.381,295.607,299.840,291.983,99374.758,292.836,291.983,99446.962,99237.800,
2008-07-01 08:30:00,292.831,12.369,309.393,295.702,300.122,292.050,99373.350,292.928,292.050,99446.908,99237.800,
2008-07-01 08:35:00,292.914,12.952,309.414,295.799,300.407,292.117,99371.942,293.012,292.117,99446.855,99237.800,
2008-07-01 08:40:00,293.002,13.552,309.435,295.896,300.695,292.183,99370.533,293.103,292.183,99446.800,99237.800,
2008-07-01 08:45:00,293.085,14.096,309.451,295.995,300.986,292.250,99369.125,293.188,292.250,99446.747,99237.800,
2008-07-01 08:50:00,293.173,14.668,309.462,296.095,301.280,292.317,99367.717,293.279,292.317,99446.693,99237.800,
2008-07-01 08:55:00,293.257,15.205,309.465,296.196,301.577,292.383,99366.308,293.365,292.383,99446.640,99237.800,
2008-07-01 09:00:00,293.344,15.739,309.460,296.298,301.877,292.450,99364.900,293.455,292.450,99446.586,99237.800,
2008-07-01 09:05:00,293.426,16.153,309.448,296.402,302.179,292.517,99367.292,293.538,292.517,99446.533,99237.800,
2008-07-01 09:10:00,293.082,13.672,309.410,296.501,302.482,292.583,99369.683,293.162,292.583,99446.631,99237.800,
2008-07-01 09:15:00,293.381,15.546,309.362,296.599,302.785,292.650,99372.075,293.504,292.650,99446.522,99237.800,
2008-07-01 09:20:00,293.379,15.368,308.901,296.575,303.064,292.717,99374.467,293.483,292.717,99446.493,99237.800,
2008-07-01 09:25:00,293.499,16.014,308.945,296.670,303.357,292.783,99376.858,293.623,292.783,99446.433,99237.800,
2008-07-01 09:30:00,293.575,16.355,308.787,296.751,303.645,292.850,99379.250,293.694,292.850,99446.381,99237.800,
2008-07-01 09:35:00,293.632,16.565,308.704,296.835,303.935,292.917,99381.642,293.758,292.917,99446.339,99237.800,
2008-07-01 09:40:00,293.673,16.651,308.615,296.937,304.226,292.983,99384.033,293.785,292.983,99446.294,99237.800,
2008-07-01 09:45:00,293.896,17.971,308.461,297.015,304.515,293.050,99386.425,294.040,293.050,99446.208,99237.800,
2008-07-01 09:50:00,293.831,17.332,308.325,297.103,304.806,293.117,99388.817,293.953,293.117,99446.196,99237.800,
2008-07-01 09:55:00,293.943,17.876,308.264,297.217,305.101,293.183,99391.208,294.069,293.183,99446.133,99237.800,
2008-07-01 10:00:00,294.104,18.755,308.053,297.298,305.390,293.250,99393.600,294.246,293.250,99446.062,99237.800,
2008-07-01 10:05:00,294.104,18.470,307.909,297.382,305.684,293.308,99392.033,294.243,293.308,99446.039,99237.800,
2008-07-01 10:10:00,294.938,23.852,307.800,297.499,305.977,293.367,99390.467,295.123,293.367,99445.715,99237.800,
2008-07-01 10:15:00,294.495,20.550,307.558,297.571,306.263,293.425,99388.900,294.600,293.425,99445.809,99237.800,
2008-07-01 10:20:00,294.677,21.410,307.686,297.791,306.586,293.483,99387.333,294.841,293.483,99445.764,99237.800,
2008-07-01 10:25:00,294.740,21.390,307.295,297.864,306.887,293.542,99385.767,294.871,293.542,99445.705,99237.800,
2008-07-01 10:30:00,294.970,22.501,307.124,297.967,307.190,293.600,99384.200,295.152,293.600,99445.622,99237.800,
