cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:00:00,296.075,289.473,0.000,291.995,292.586,290.855,287.334,99733.833,294.154,100084.385,
2004-06-01 00:05:00,291.219,289.343,0.000,291.088,291.677,290.816,287.334,99731.472,289.952,100087.982,
2004-06-01 00:10:00,290.261,289.373,0.000,291.071,291.659,290.774,287.334,99729.111,289.520,100088.213,
2004-06-01 00:15:00,290.487,289.338,0.000,291.094,291.684,290.761,287.334,99726.750,289.511,100088.246,
2004-06-01 00:20:00,290.781,289.368,0.000,291.127,291.720,290.759,287.334,99724.389,289.576,100088.195,
2004-06-01 00:25:00,290.856,289.355,0.000,291.142,291.738,290.741,287.334,99722.028,289.607,100088.186,
2004-06-01 00:30:00,290.937,289.384,0.000,291.157,291.756,290.717,287.334,99719.667,289.644,100088.149,
2004-06-01 00:35:00,290.829,289.245,0.000,291.141,291.743,290.673,287.333,99717.306,289.566,100088.276,
2004-06-01 00:40:00,290.707,289.080,0.000,291.125,291.729,290.618,287.333,99714.944,289.414,100088.471,
2004-06-01 00:45:00,290.463,288.920,0.000,291.084,291.688,290.545,287.333,99712.583,289.234,100088.679,
2004-06-01 00:50:00,290.338,288.800,0.000,291.065,291.671,290.471,287.333,99710.222,289.096,100088.840,
2004-06-01 00:55:00,290.188,288.682,0.000,291.036,291.645,290.391,287.333,99707.861,288.976,100088.986,
2004-06-01 01:00:00,290.148,288.591,0.000,291.020,291.627,290.334,287.333,99705.500,288.887,100089.099,
2004-06-01 01:05:00,290.043,288.519,0.000,290.993,291.596,290.277,287.342,99703.931,288.812,100089.191,
2004-06-01 01:10:00,290.036,288.461,0.000,290.980,291.581,290.230,287.351,99702.361,288.759,100089.261,
2004-06-01 01:15:00,289.934,288.395,0.000,290.952,291.548,290.178,287.360,99700.792,288.698,100089.339,
2004-06-01 01:20:00,289.921,288.338,0.000,290.937,291.531,290.134,287.369,99699.222,288.646,100089.407,
2004-06-01 01:25:00,289.810,288.276,0.000,290.906,291.495,290.082,287.378,99697.653,288.583,100089.483,
2004-06-01 01:30:00,289.797,288.221,0.000,290.890,291.475,290.039,287.387,99696.083,288.531,100089.550,
2004-06-01 01:35:00,289.688,288.162,0.000,290.857,291.437,289.989,287.396,99694.514,288.470,100089.624,
2004-06-01 01:40:00,289.682,288.109,0.000,290.840,291.417,289.948,287.405,99692.944,288.420,100089.689,
2004-06-01 01:45:00,289.576,288.053,0.000,290.806,291.378,289.899,287.414,99691.375,288.361,100089.759,
2004-06-01 01:50:00,289.576,288.002,0.000,290.789,291.358,289.859,287.423,99689.806,288.313,100089.822,
2004-06-01 01:55:00,289.472,287.949,0.000,290.754,291.318,289.811,287.432,99688.236,288.257,100089.889,
2004-06-01 02:00:00,289.477,287.900,0.000,290.744,291.306,289.788,287.441,99686.667,288.212,100089.948,
2004-06-01 02:05:00,289.394,287.892,0.000,290.720,291.277,289.763,287.444,99685.875,288.187,100089.969,
2004-06-01 02:10:00,289.442,287.884,0.000,290.717,291.272,289.755,287.446,99685.083,288.183,100089.977,
2004-06-01 02:15:00,289.379,287.875,0.000,290.698,291.249,289.743,287.448,99684.292,288.173,100089.988,
2004-06-01 02:20:00,289.430,287.867,0.000,290.698,291.247,289.743,287.450,99683.500,288.172,100089.995,
2004-06-01 02:25:00,289.354,287.859,0.000,290.679,291.224,289.735,287.453,99682.708,288.159,100090.007,
2004-06-01 02:30:00,289.400,287.852,0.000,290.680,291.223,289.739,287.455,99681.917,288.156,100090.014,
2004-06-01 02:35:00,289.321,287.845,0.000,290.662,291.201,289.735,287.457,99681.125,288.143,100090.025,
2004-06-01 02:40:00,289.370,287.838,0.000,290.664,291.201,289.743,287.460,99680.333,288.142,100090.031,
2004-06-01 02:45:00,289.291,287.832,0.000,290.647,291.180,289.742,287.462,99679.542,288.130,100090.041,
2004-06-01 02:50:00,289.343,287.827,0.000,290.651,291.182,289.754,287.464,99678.750,288.130,100090.045,
2004-06-01 02:55:00,289.264,287.821,0.000,290.634,291.161,289.755,287.466,99677.958,288.120,100090.054,
2004-06-01 03:00:00,289.318,287.817,0.000,290.634,291.159,289.756,287.469,99677.167,288.120,100090.058,
2004-06-01 03:05:00,289.247,287.838,0.000,290.613,291.134,289.742,287.468,99678.042,288.126,100090.041,
2004-06-01 03:10:00,289.324,287.860,0.000,290.617,291.136,289.740,287.467,99678.917,288.152,100090.012,
2004-06-01 03:15:00,289.265,287.881,0.000,290.597,291.113,289.725,287.466,99679.792,288.167,100089.988,
2004-06-01 03:20:00,289.345,287.902,0.000,290.602,291.115,289.722,287.465,99680.667,288.193,100089.960,
2004-06-01 03:25:00,289.278,287.921,0.000,290.582,291.091,289.705,287.464,99681.542,288.204,100089.939,
2004-06-01 03:30:00,289.354,287.941,0.000,290.586,291.094,289.701,287.463,99682.417,288.227,100089.914,
2004-06-01 03:35:00,289.283,287.959,0.000,290.565,291.069,289.683,287.462,99683.292,288.236,100089.895,
2004-06-01 03:40:00,289.360,287.977,0.000,290.570,291.072,289.678,287.462,99684.167,288.257,100089.872,
2004-06-01 03:45:00,289.288,287.994,0.000,290.549,291.047,289.659,287.461,99685.042,288.266,100089.855,
2004-06-01 03:50:00,289.366,288.010,0.000,290.554,291.051,289.654,287.460,99685.917,288.286,100089.833,
2004-06-01 03:55:00,289.292,288.026,0.000,290.532,291.026,289.635,287.459,99686.792,288.293,100089.817,
2004-06-01 04:00:00,289.371,288.041,0.000,290.536,291.028,289.621,287.458,99687.667,288.312,100089.796,
2004-06-01 04:05:00,289.274,288.008,0.000,290.509,290.997,289.587,287.467,99687.667,288.288,100089.829,
2004-06-01 04:10:00,289.317,287.980,0.000,290.507,290.993,289.562,287.476,99687.667,288.264,100089.863,
2004-06-01 04:15:00,289.200,287.954,0.000,290.474,290.957,289.519,287.486,99687.667,288.227,100089.900,
2004-06-01 04:20:00,289.247,287.932,0.000,290.471,290.951,289.489,287.495,99687.667,288.208,100089.927,
2004-06-01 04:25:00,289.143,287.911,0.000,290.439,290.916,289.443,287.504,99687.667,288.179,100089.957,
2004-06-01 04:30:00,289.201,287.893,0.000,290.436,290.911,289.411,287.513,99687.667,288.167,100089.977,
2004-06-01 04:35:00,289.099,287.876,0.000,290.403,290.875,289.363,287.523,99687.667,288.142,100090.001,
2004-06-01 04:40:00,289.160,287.861,0.000,290.400,290.871,289.331,287.532,99687.667,288.133,100090.018,
2004-06-01 04:45:00,289.058,287.847,0.000,290.367,290.834,289.281,287.541,99687.667,288.111,100090.038,
2004-06-01 04:50:00,289.121,287.835,0.000,290.365,290.830,289.247,287.550,99687.667,288.104,100090.051,
2004-06-01 04:55:00,289.020,287.823,0.000,290.331,290.793,289.195,287.559,99687.667,288.084,100090.069,
2004-06-01 05:00:00,289.085,287.813,84.771,290.331,290.792,289.176,287.569,99687.667,288.079,100090.080,
2004-06-01 05:05:00,289.274,287.805,79.946,290.355,290.814,289.183,287.585,99689.319,288.317,100089.973,
2004-06-01 05:10:00,289.370,287.798,81.381,290.361,290.819,289.189,287.600,99690.972,288.348,100089.956,
2004-06-01 05:15:00,289.198,287.790,39.479,290.326,290.780,289.166,287.616,99692.625,288.286,100089.991,
2004-06-01 05:20:00,289.084,287.783,38.645,290.301,290.752,289.142,287.632,99694.278,288.146,100090.066,
2004-06-01 05:25:00,288.970,287.775,37.709,290.272,290.719,289.122,287.648,99695.931,288.106,100090.094,
2004-06-01 05:30:00,289.076,287.768,38.587,290.282,290.727,289.126,287.664,99697.583,288.115,100090.096,
2004-06-01 05:35:00,289.019,287.761,38.084,290.262,290.705,289.118,287.680,99699.236,288.117,100090.100,
2004-06-01 05:40:00,289.107,287.754,39.006,290.271,290.712,289.126,287.695,99700.889,288.122,100090.103,
2004-06-01 05:45:00,289.016,287.747,38.366,290.247,290.685,289.119,287.711,99702.542,288.111,100090.112,
2004-06-01 05:50:00,289.089,287.741,39.016,290.255,290.691,289.129,287.727,99704.194,288.109,100090.118,
2004-06-01 05:55:00,288.996,287.734,38.238,290.231,290.664,289.126,287.743,99705.847,288.096,100090.130,
