,Urban_DBT_C,Rural_DBT_C,Rural_Pres_Pa,MeteoData.Pre,3_TempProf_cur[20.0],3_PresProf_cur[20.0],3_sensor_idx_20.0
2004-03-01 00:00:00,1.524,0.212,99616.0,,,,
2004-03-01 00:05:00,1.52,0.2319999999999999,99630.0,99625.806,275.392,99998.658,2.5363761226963106
2004-03-01 00:10:00,1.608,0.162,99622.0,99625.778,274.672,99999.123,1.815994272605053
2004-03-01 00:15:00,1.6960000000000002,0.102,99624.0,99625.75,274.704,99999.127,1.8480537742714205
2004-03-01 00:20:00,1.66,0.07,99630.0,99625.722,274.847,99999.048,1.9911667971076668
2004-03-01 00:25:00,1.61,0.014,99630.0,99625.694,274.838,99999.056,1.9821855749154906
2004-03-01 00:30:00,1.64,0.048,99630.0,99625.667,274.925,99999.008,2.0692622492082933
2004-03-01 00:35:00,1.626,0.114,99628.0,99625.639,274.984,99998.981,2.128326268973467
2004-03-01 00:40:00,1.598,0.1,99624.0,99625.611,275.063,99998.95,2.207408545846249
2004-03-01 00:45:00,1.5539999999999998,0.072,99626.0,99625.583,275.04,99998.954,2.1844092097242083
2004-03-01 00:50:00,1.494,0.01,99626.0,99625.556,275.122,99998.907,2.266481310143206
2004-03-01 00:55:00,1.444,0.032,99624.0,99625.528,275.031,99998.941,2.17543281067276
2004-03-01 01:00:00,1.394,0.074,99630.0,99625.5,275.054,99998.946,2.1984835035011656
2004-03-01 01:05:00,1.29,0.02,99628.0,99624.75,274.921,99999.034,2.0660029344834356
2004-03-01 01:10:00,1.288,0.032,99628.0,99624.0,274.991,99999.052,2.1366849352725694
2004-03-01 01:15:00,1.286,0.052,99628.0,99623.25,274.836,99999.147,1.9821854124541574
2004-03-01 01:20:00,1.292,0.082,99630.0,99622.5,274.96,99999.136,2.1069030456969244
2004-03-01 01:25:00,1.352,0.096,99626.0,99621.75,274.763,99999.249,1.9103714605283244
