,Urban_DBT_C,Rural_DBT_C,Rural_Pres_Pa,MeteoData.Pre,3_TempProf_cur[20.0],3_PresProf_cur[20.0],3_sensor_idx_20.0
2004-03-01 00:00:00,1.524,0.212,99616.0,99625.833,285.818,99990.084,12.966482134259877
2004-03-01 00:05:00,1.52,0.2319999999999999,99630.0,99625.806,275.392,99998.658,2.5363761226963106
2004-03-01 00:10:00,1.608,0.162,99622.0,99625.778,274.672,99999.122,1.8159934861953957
2004-03-01 00:15:00,1.6960000000000002,0.102,99624.0,99625.75,274.704,99999.126,1.8480529877700747
2004-03-01 00:20:00,1.66,0.07,99630.0,99625.722,274.847,99999.048,1.9911667971076668
2004-03-01 00:25:00,1.61,0.014,99630.0,99625.694,274.838,99999.056,1.9821855749154906
2004-03-01 00:30:00,1.64,0.048,99630.0,99625.667,274.924,99999.008,2.0682611788718077
2004-03-01 00:35:00,1.626,0.114,99628.0,99625.639,274.984,99998.981,2.128326268973467
2004-03-01 00:40:00,1.598,0.1,99624.0,99625.611,275.063,99998.95,2.207408545846249
2004-03-01 00:45:00,1.5539999999999998,0.072,99626.0,99625.583,275.04,99998.954,2.1844092097242083
2004-03-01 00:50:00,1.494,0.01,99626.0,99625.556,275.122,99998.907,2.266481310143206
2004-03-01 00:55:00,1.444,0.032,99624.0,99625.528,275.031,99998.941,2.17543281067276
2004-03-01 01:00:00,1.394,0.074,99630.0,99625.5,275.053,99998.946,2.19748243286233
2004-03-01 01:05:00,1.29,0.02,99628.0,99624.75,274.921,99999.034,2.0660029344834356
2004-03-01 01:10:00,1.288,0.032,99628.0,99624.0,274.99,99999.053,2.1356846473439646
2004-03-01 01:15:00,1.286,0.052,99628.0,99623.25,274.836,99999.148,1.9821861993388552
2004-03-01 01:20:00,1.292,0.082,99630.0,99622.5,274.96,99999.137,2.1069038329384853
2004-03-01 01:25:00,1.352,0.096,99626.0,99621.75,274.763,99999.249,1.9103714605283244
2004-03-01 01:30:00,1.316,0.022,99626.0,99621.0,274.899,99999.233,2.047098598644027
2004-03-01 01:35:00,1.3,-0.05,99626.0,99620.25,274.673,99999.362,1.8215470337241868
2004-03-01 01:40:00,1.238,-0.156,99622.0,99619.5,274.827,99999.337,1.9762871445836936
2004-03-01 01:45:00,1.12,-0.168,99622.0,99618.75,274.581,99999.476,1.7307203993781286
2004-03-01 01:50:00,1.106,-0.18,99620.0,99618.0,274.757,99999.441,1.9074772376580995
2004-03-01 01:55:00,1.032,-0.248,99620.0,99617.25,274.5,99999.586,1.6509018497382044
2004-03-01 02:00:00,1.062,-0.228,99620.0,99616.5,274.684,99999.546,1.8356642008666881
2004-03-01 02:05:00,0.984,-0.214,99620.0,99616.944,274.425,99999.673,1.576129347021265
2004-03-01 02:10:00,0.936,-0.2679999999999999,99616.0,99617.389,274.649,99999.59,1.7999586027197552
2004-03-01 02:15:00,0.834,-0.27,99616.0,99617.833,274.389,99999.713,1.539420176310216
2004-03-01 02:20:00,0.818,-0.39,99618.0,99618.278,274.622,99999.622,1.7722524940261906
2004-03-01 02:25:00,0.788,-0.474,99616.0,99618.722,274.364,99999.741,1.5137137794332602
2004-03-01 02:30:00,0.806,-0.5640000000000001,99612.0,99619.167,274.602,99999.644,1.7515463001321336
2004-03-01 02:35:00,0.6699999999999999,-0.682,99614.0,99619.611,274.343,99999.761,1.4920055900846592
2004-03-01 02:40:00,0.664,-0.672,99616.0,99620.056,274.585,99999.658,1.733837189555743
2004-03-01 02:45:00,0.6839999999999999,-0.784,99620.0,99620.5,274.331,99999.768,1.4792970894561108
2004-03-01 02:50:00,0.614,-0.788,99616.0,99620.944,274.578,99999.658,1.7261288136222106
2004-03-01 02:55:00,0.5900000000000001,-0.8160000000000001,99614.0,99621.389,274.329,99999.761,1.476588509877672
2004-03-01 03:00:00,0.588,-0.85,99616.0,99621.833,274.581,99999.644,1.7284195183324869
2004-03-01 03:05:00,0.518,-1.066,99610.0,99625.806,274.335,99999.756,1.4791086762788836
2004-03-01 03:10:00,0.444,-1.216,99602.0,99629.778,274.555,99999.673,1.6961453769513355
2004-03-01 03:15:00,0.4859999999999999,-1.044,99604.0,99633.75,274.31,99999.787,1.4478441469711925
2004-03-01 03:20:00,0.4439999999999999,-0.994,99610.0,99637.722,274.52,99999.708,1.6548692256330355
2004-03-01 03:25:00,0.466,-0.992,99612.0,99641.694,274.285,99999.817,1.4165806102636793
2004-03-01 03:30:00,0.438,-0.936,99614.0,99645.667,274.487,99999.741,1.6155949760129147
2004-03-01 03:35:00,0.406,-0.974,99622.0,99649.639,274.271,99999.84,1.396323609384524
2004-03-01 03:40:00,0.396,-1.06,99632.0,99653.611,274.46,99999.77,1.582326466909251
2004-03-01 03:45:00,0.29,-1.106,99642.0,99657.583,274.252,99999.864,1.3710645543985152
2004-03-01 03:50:00,0.2239999999999999,-1.186,99644.0,99661.556,274.43,99999.799,1.5460561299793767
2004-03-01 03:55:00,0.2319999999999999,-1.296,99654.0,99665.528,274.235,99999.886,1.3478065635160874
2004-03-01 04:00:00,0.2679999999999999,-1.232,99656.0,99669.5,274.404,99999.825,1.513790016944938
2004-03-01 04:05:00,0.206,-1.27,99652.0,99672.569,274.188,99999.963,1.2952769788524279
2004-03-01 04:10:00,0.194,-1.278,99656.0,99675.639,274.297,99999.984,1.4019772321013306
2004-03-01 04:15:00,0.238,-1.29,99656.0,99678.708,274.07,100000.133,1.1724674908126076
2004-03-01 04:20:00,0.188,-1.32,99662.0,99681.778,274.165,100000.16,1.265159033669704
2004-03-01 04:25:00,0.044,-1.334,99670.0,99684.847,273.939,100000.308,1.036654594919753
2004-03-01 04:30:00,-0.018,-1.356,99668.0,99687.917,274.045,100000.326,1.1403486333238675
2004-03-01 04:35:00,0.024,-1.34,99672.0,99690.986,273.817,100000.474,0.9098474920650119
2004-03-01 04:40:00,-0.0099999999999999,-1.408,99676.0,99694.056,273.928,100000.489,1.0185430096091181
2004-03-01 04:45:00,-0.122,-1.614,99686.0,99697.125,273.703,100000.635,0.7910479925301388
2004-03-01 04:50:00,-0.112,-1.682,99688.0,99700.194,273.817,100000.647,0.9027438121325986
2004-03-01 04:55:00,-0.086,-1.6780000000000002,99692.0,99703.264,273.582,100000.797,0.6652475992724476
2004-03-01 05:00:00,-0.1699999999999999,-1.6919999999999995,99690.0,99706.333,273.704,100000.804,0.7849455472328941
2004-03-01 05:05:00,-0.29,-1.784,99696.0,99710.278,273.473,100000.944,0.5507630892028033
2004-03-01 05:10:00,-0.284,-1.87,99696.0,99714.222,273.61,100000.933,0.6847708317156957
2004-03-01 05:15:00,-0.278,-1.856,99698.0,99718.167,273.378,100001.072,0.449593264941484
2004-03-01 05:20:00,-0.3259999999999999,-1.8,99692.0,99722.111,273.524,100001.055,0.5926018434726643
2004-03-01 05:25:00,-0.354,-1.886,99698.0,99726.056,273.295,100001.193,0.3604322827068813
2004-03-01 05:30:00,-0.3259999999999999,-1.912,99708.0,99730.0,273.432,100001.18,0.494435001913871
