,Urban_DBT_C,Rural_DBT_C,Rural_Pres_Pa,MeteoData.Pre,sensWaste_CAPITOUL_WithShading_WithoutCooling_3_12.csv,5_TempProf_cur[20.0],5_PresProf_cur[20.0],5_sensor_idx_20.0
2004-05-01 00:00:00,7.448,5.248,98304.0,98297.5,0.0,279.059,99993.235,7.277424588729787
2004-05-01 00:05:00,7.458,5.142,98298.0,98297.194,0.0,279.007,99993.292,7.2254649291241435
2004-05-01 00:10:00,7.548,5.0920000000000005,98300.0,98296.889,0.0,278.978,99993.332,7.19660354748811
2004-05-01 00:15:00,7.478,5.076,98300.0,98296.583,0.0,278.956,99993.366,7.17477246091039
2004-05-01 00:20:00,7.502,5.006,98294.0,98296.278,0.0,278.932,99993.401,7.150931502344065
2004-05-01 00:25:00,7.376,4.98,98294.0,98295.972,0.0,278.908,99993.435,7.127090511022743
2004-05-01 00:30:00,7.358,4.95,98302.0,98295.667,0.0,278.884,99993.467,7.1032470545308115
2004-05-01 00:35:00,7.514,4.882,98304.0,98295.361,0.0,278.862,99993.495,7.081410982596822
2004-05-01 00:40:00,7.423999999999999,4.89,98302.0,98295.056,0.0,278.843,99993.521,7.062587185622192
2004-05-01 00:45:00,7.428,4.862,98298.0,98294.75,0.0,278.827,99993.543,7.046775700487501
2004-05-01 00:50:00,7.359999999999999,4.878,98288.0,98294.444,0.0,278.814,99993.56,7.033974919620334
2004-05-01 00:55:00,7.328,4.91,98286.0,98294.139,0.0,278.804,99993.573,7.024184838209294
2004-05-01 01:00:00,7.292,4.924,98286.0,98293.833,0.0,278.798,99993.581,7.018411209503142
2004-05-01 01:05:00,6.984,4.884,98284.0,98295.903,0.0,278.806,99993.566,7.024751043444553
2004-05-01 01:10:00,6.779999999999999,4.848,98290.0,98297.972,0.0,278.826,99993.537,7.043139260101327
2004-05-01 01:15:00,6.566,4.604,98294.0,98300.042,0.0,278.854,99993.497,7.069556822342861
2004-05-01 01:20:00,6.465999999999999,4.18,98290.0,98302.111,0.0,278.884,99993.458,7.097985483953266
2004-05-01 01:25:00,6.634,3.996,98294.0,98304.181,0.0,278.866,99993.497,7.078241057999662
2004-05-01 01:30:00,6.674,4.024,98296.0,98306.25,0.0,278.822,99993.557,7.032387681389139
2004-05-01 01:35:00,6.659999999999999,3.996,98290.0,98308.319,0.0,278.77,99993.622,6.97849988759981
2004-05-01 01:40:00,6.717999999999999,3.99,98294.0,98310.389,0.0,278.72,99993.686,6.926620867216116
2004-05-01 01:45:00,6.545999999999999,4.006,98300.0,98312.458,0.0,278.674,99993.748,6.878761137189031
2004-05-01 01:50:00,6.566,3.896,98302.0,98314.528,0.0,278.629,99993.809,6.8319052325072676
2004-05-01 01:55:00,6.42,3.3240000000000003,98306.0,98316.597,0.0,278.584,99993.869,6.78504991533066
2004-05-01 02:00:00,6.414,3.554,98324.0,98318.667,0.0,278.539,99993.931,6.738195958826566
2004-05-01 02:05:00,6.546000000000001,4.220000000000001,98330.0,98315.0,0.0,278.549,99993.901,6.751206117162951
2004-05-01 02:10:00,6.722,3.446,98336.0,98311.333,0.0,278.584,99993.852,6.789323045451965
2004-05-01 02:15:00,7.074,2.964,98338.0,98307.667,0.0,278.572,99993.892,6.780282145879653
2004-05-01 02:20:00,7.008,2.898,98332.0,98304.0,0.0,278.414,99994.147,6.624700528571225
2004-05-01 02:25:00,7.062,3.544,98322.0,98300.333,0.0,278.212,99994.405,6.42490229157562
2004-05-01 02:30:00,6.986,3.696,98328.0,98296.667,0.0,278.043,99994.613,6.25822083862937
2004-05-01 02:35:00,7.044,3.588,98314.0,98293.0,0.0,277.921,99994.772,6.138728684886587
2004-05-01 02:40:00,6.756,3.528,98306.0,98289.333,0.0,277.832,99994.896,6.052368770714281
2004-05-01 02:45:00,6.634,3.49,98300.0,98285.667,0.0,277.761,99994.996,5.984076038433784
2004-05-01 02:50:00,6.590000000000001,3.592,98294.0,98282.0,0.0,277.702,99995.079,5.927828582771724
2004-05-01 02:55:00,6.626,3.186,98300.0,98278.333,0.0,277.652,99995.15,5.88061508869373
2004-05-01 03:00:00,6.558,2.364,98298.0,98274.667,0.0,277.608,99995.21,5.839420913635536
