,Urban_DBT_C,Rural_DBT_C,Rural_Pres_Pa,MeteoData.Pre,sensWaste_CAPITOUL_WithShading_WithCooling_3_12.csv,8_TempProf_cur[20.0],8_PresProf_cur[20.0],8_sensor_idx_20.0
2004-08-01 00:00:00,25.860000000000003,23.195,99255.0,99247.966,73.29,300.876,99967.1,28.347901429637886
2004-08-01 00:05:00,25.706,23.728,99248.0,99245.122,36.316,301.218,99966.624,28.692671052134756
2004-08-01 00:10:00,25.5,24.048,99252.0,99242.277,36.128,301.172,99966.38,28.64883933039664
2004-08-01 00:15:00,25.506,24.018,99244.0,99239.433,36.017,301.173,99966.334,28.652275272996462
2004-08-01 00:20:00,25.524,23.788,99250.0,99236.589,0.0,301.189,99966.341,28.67078855010959
2004-08-01 00:25:00,25.592,22.938,99246.0,99233.744,0.0,300.944,99966.415,28.4278112237173
2004-08-01 00:30:00,25.512,22.126,99254.0,99230.9,0.0,300.815,99966.455,28.301044950259268
2004-08-01 00:35:00,25.328,22.65,99248.0,99228.055,0.0,300.75,99966.467,28.238389199999517
2004-08-01 00:40:00,25.22,23.134,99250.0,99225.211,0.0,300.717,99966.46,28.207783407506383
2004-08-01 00:45:00,25.306,22.61,99250.0,99222.367,0.0,300.695,99966.448,28.18819638404881
2004-08-01 00:50:00,25.18,22.122,99244.0,99219.522,0.0,300.672,99966.447,28.167617295491652
2004-08-01 00:55:00,24.948,21.77,99236.0,99216.678,0.0,300.646,99966.45,28.144034033193464
2004-08-01 01:00:00,24.852,22.576,99228.0,99213.833,0.0,300.622,99966.449,28.122452182470397
2004-08-01 01:05:00,24.828,22.712,99226.0,99213.0,0.0,300.607,99966.363,28.108069005471123
2004-08-01 01:10:00,24.854,22.714,99222.0,99212.167,96.965,300.609,99966.216,28.110670051527734
2004-08-01 01:15:00,24.81,23.012,99216.0,99211.333,89.209,301.562,99965.69,29.066007784567034
2004-08-01 01:20:00,24.732,22.878,99214.0,99210.5,86.448,302.265,99965.074,29.77072595829776
2004-08-01 01:25:00,24.518,23.06,99216.0,99209.667,42.459,302.723,99964.349,30.229818772365036
2004-08-01 01:30:00,24.416,23.27,99216.0,99208.833,42.046,302.829,99963.874,30.336365983979476
2004-08-01 01:35:00,24.438,23.122,99216.0,99208.0,41.878,303.072,99963.614,30.580396914753294
2004-08-01 01:40:00,24.508,22.41,99214.0,99207.167,78.146,303.296,99963.432,30.805455183044558
2004-08-01 01:45:00,24.448,22.23,99202.0,99206.333,76.777,303.845,99963.176,31.356157969749404
2004-08-01 01:50:00,24.422,21.546,99196.0,99205.5,74.514,304.284,99962.933,31.79663352446846
2004-08-01 01:55:00,24.414,21.372,99200.0,99204.667,72.359,304.535,99962.722,32.0487288037188
2004-08-01 02:00:00,24.37,21.7,99200.0,99203.833,35.385,304.541,99962.782,32.05552810025614
2004-08-01 02:05:00,24.45,21.892000000000003,99206.0,99203.694,175.753,304.154,99963.009,31.668003758483394
2004-08-01 02:10:00,24.536,21.244,99208.0,99203.556,102.445,304.841,99962.809,32.356450290547855
2004-08-01 02:15:00,24.606,21.358,99206.0,99203.417,99.692,304.765,99962.793,32.28039280092037
2004-08-01 02:20:00,25.12,21.958,99208.0,99203.278,98.406,304.659,99962.802,32.17429158663151
2004-08-01 02:25:00,24.956,21.536,99208.0,99203.139,48.984,304.614,99962.817,32.12932875581885
2004-08-01 02:30:00,25.414,20.902,99204.0,99203.0,49.016,304.32,99962.924,31.834902193601238
2004-08-01 02:35:00,24.662,20.498,99196.0,99202.861,0.0,304.212,99962.974,31.726832014787476
2004-08-01 02:40:00,24.346,20.588,99196.0,99202.722,0.0,303.865,99963.098,31.379303746454525
2004-08-01 02:45:00,24.05,21.172,99200.0,99202.583,0.0,303.703,99963.168,31.217132512566423
2004-08-01 02:50:00,23.802,21.43,99210.0,99202.444,0.0,303.626,99963.197,31.140111317313824
2004-08-01 02:55:00,23.56,21.552,99204.0,99202.306,0.0,303.586,99963.205,31.100151837339013
2004-08-01 03:00:00,23.402,21.048,99200.0,99202.167,123.885,303.569,99963.203,31.083234823236353
2004-08-01 03:05:00,23.352,21.038,99208.0,99202.583,116.703,304.833,99963.015,32.349469847344494
2004-08-01 03:10:00,23.334,20.776,99208.0,99203.0,200.569,306.179,99962.72,33.69778478863287
2004-08-01 03:15:00,23.37,20.516,99202.0,99203.417,196.866,307.144,99961.813,34.663723799887805
2004-08-01 03:20:00,23.374,20.592,99200.0,99203.833,193.125,305.95,99962.497,33.46735261180146
2004-08-01 03:25:00,23.232,20.452,99200.0,99204.25,94.695,304.4,99964.001,31.91491763222257
2004-08-01 03:30:00,22.972,20.17,99196.0,99204.667,80.348,302.78,99965.206,30.29206030602853
2004-08-01 03:35:00,22.82,20.048,99198.0,99205.083,78.332,301.862,99965.997,29.372374808255984
2004-08-01 03:40:00,22.796,20.002,99200.0,99205.5,0.0,301.328,99966.593,28.837358479634247
2004-08-01 03:45:00,22.796,20.006,99204.0,99205.917,0.0,300.472,99967.272,27.979708362058545
2004-08-01 03:50:00,22.774,19.898,99204.0,99206.333,0.0,299.874,99967.853,27.38053851058652
2004-08-01 03:55:00,22.664,19.742,99206.0,99206.75,0.0,299.413,99968.357,26.918601144651063
2004-08-01 04:00:00,22.606,19.552,99210.0,99207.167,0.0,299.015,99968.812,26.51975950902056
2004-08-01 04:05:00,22.642000000000003,19.484,99210.0,99208.458,0.0,298.696,99969.136,26.19922436088177
2004-08-01 04:10:00,22.726,19.282,99208.0,99209.75,0.0,298.438,99969.402,25.939773756547538
2004-08-01 04:15:00,22.894,19.374,99206.0,99211.042,0.0,298.222,99969.634,25.722387231275377
2004-08-01 04:20:00,23.074,19.522,99210.0,99212.333,0.0,298.034,99969.84,25.53304167105756
2004-08-01 04:25:00,22.948,19.412,99206.0,99213.625,0.0,297.862,99970.027,25.35971501544742
2004-08-01 04:30:00,22.906,19.26,99204.0,99214.917,0.0,297.705,99970.197,25.201407536697673
2004-08-01 04:35:00,22.648,19.046,99208.0,99216.208,0.0,297.56,99970.352,25.05511517374174
