,Urban_DBT_C,Rural_DBT_C,Rural_Pres_Pa,MeteoData.Pre,8_TempProf_cur[20.0],8_PresProf_cur[20.0],8_sensor_idx_20.0
2004-08-01 00:00:00,25.860000000000003,23.195,99255.0,99247.966,299.566,99967.598,27.035621387682284
2004-08-01 00:05:00,25.706,23.728,99248.0,99245.122,299.66,99967.466,27.1321633980196
2004-08-01 00:10:00,25.5,24.048,99252.0,99242.277,299.751,99967.356,27.225720489183175
2004-08-01 00:15:00,25.506,24.018,99244.0,99239.433,299.833,99967.263,27.310274026386026
2004-08-01 00:20:00,25.524,23.788,99250.0,99236.589,299.909,99967.18,27.38882495432557
2004-08-01 00:25:00,25.592,22.938,99246.0,99233.744,299.975,99967.108,27.45736643044347
2004-08-01 00:30:00,25.512,22.126,99254.0,99230.9,300.033,99967.042,27.517896419755232
2004-08-01 00:35:00,25.328,22.65,99248.0,99228.055,300.083,99966.985,27.570419046787663
2004-08-01 00:40:00,25.22,23.134,99250.0,99225.211,300.126,99966.933,27.61593107940871
2004-08-01 00:45:00,25.306,22.61,99250.0,99222.367,300.161,99966.886,27.653431076532286
2004-08-01 00:50:00,25.18,22.122,99244.0,99219.522,300.189,99966.844,27.68392186142171
2004-08-01 00:55:00,24.948,21.77,99236.0,99216.678,300.211,99966.805,27.708401966230497
2004-08-01 01:00:00,24.852,22.576,99228.0,99213.833,300.229,99966.768,27.728876448527842
2004-08-01 01:05:00,24.828,22.712,99226.0,99213.0,300.25,99966.651,27.750543726507942
2004-08-01 01:10:00,24.854,22.714,99222.0,99212.167,300.284,99966.476,27.78518935652454
2004-08-01 01:15:00,24.81,23.012,99216.0,99211.333,300.324,99966.243,27.825799070772575
2004-08-01 01:20:00,24.732,22.878,99214.0,99210.5,300.379,99965.943,27.881382940695858
2004-08-01 01:25:00,24.518,23.06,99216.0,99209.667,300.454,99965.562,27.95694067653818
2004-08-01 01:30:00,24.416,23.27,99216.0,99208.833,300.55,99965.195,28.053557211927853
2004-08-01 01:35:00,24.438,23.122,99216.0,99208.0,300.653,99964.986,28.15732457854807
2004-08-01 01:40:00,24.508,22.41,99214.0,99207.167,300.767,99964.844,28.27217406268312
2004-08-01 01:45:00,24.448,22.23,99202.0,99206.333,300.893,99964.748,28.3990907290584
2004-08-01 01:50:00,24.422,21.546,99196.0,99205.5,301.021,99964.687,28.52804164482285
2004-08-01 01:55:00,24.414,21.372,99200.0,99204.667,301.144,99964.658,28.652009845452483
2004-08-01 02:00:00,24.37,21.7,99200.0,99203.833,301.256,99964.654,28.764977029412762
2004-08-01 02:05:00,24.45,21.892000000000003,99206.0,99203.694,301.356,99964.631,28.865296925828545
2004-08-01 02:10:00,24.536,21.244,99208.0,99203.556,301.441,99964.607,28.950582332766942
2004-08-01 02:15:00,24.606,21.358,99206.0,99203.417,301.514,99964.581,29.0238406769638
2004-08-01 02:20:00,25.12,21.958,99208.0,99203.278,301.575,99964.549,29.08506761589365
2004-08-01 02:25:00,24.956,21.536,99208.0,99203.139,301.617,99964.506,29.127243487954274
