cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],canTemp_C
3/1/2004 0:00,290.479,274.465,0,278.698,279.163,274.545,273.247,99625.833,285.818,99990.084,17.329
3/1/2004 0:05,277.808,274.406,0,276.38,276.839,274.269,273.236,99625.806,275.392,99998.658,4.658
3/1/2004 0:10,276.306,274.411,0,276.512,276.975,274.292,273.225,99625.778,274.672,99999.122,3.156
3/1/2004 0:15,276.756,274.389,0,276.559,277.018,274.3,273.214,99625.75,274.704,99999.126,3.606
3/1/2004 0:20,277.8,274.393,1.583,276.731,277.191,274.371,273.203,99625.722,274.847,99999.048,4.65
3/1/2004 0:25,277.179,274.381,0.465,276.618,277.076,274.374,273.192,99625.694,274.838,99999.056,4.029
3/1/2004 0:30,277.917,274.385,0.379,276.795,277.253,274.465,273.181,99625.667,274.924,99999.008,4.767
3/1/2004 0:35,278.284,274.377,0.286,276.895,277.353,274.524,273.17,99625.639,274.984,99998.981,5.134
3/1/2004 0:40,280.506,274.38,0.324,277.379,277.849,274.753,273.159,99625.611,275.063,99998.95,7.356
3/1/2004 0:45,278.573,274.374,0,277.062,277.527,274.759,273.148,99625.583,275.04,99998.954,5.423
3/1/2004 0:50,279.379,274.378,0,277.314,277.783,274.918,273.137,99625.556,275.122,99998.907,6.229
3/1/2004 0:55,277.56,274.374,0,276.974,277.431,274.788,273.126,99625.528,275.031,99998.941,4.41
3/1/2004 1:00,279.299,274.377,0,277.371,277.84,274.864,273.115,99625.5,275.053,99998.946,6.149
3/1/2004 1:05,277.14,274.333,0,276.955,277.41,274.682,273.075,99624.75,274.921,99999.034,3.99
3/1/2004 1:10,279.585,274.294,1.309,277.495,277.964,274.877,273.035,99624,274.99,99999.053,6.435
3/1/2004 1:15,276.866,274.251,0.307,276.965,277.419,274.725,272.995,99623.25,274.836,99999.148,3.716
3/1/2004 1:20,279.456,274.212,0.593,277.542,278.009,275.054,272.956,99622.5,274.96,99999.137,6.306
3/1/2004 1:25,276.593,274.17,0.466,276.973,277.425,274.813,272.916,99621.75,274.763,99999.249,3.443
3/1/2004 1:30,279.061,274.131,0.524,277.517,277.98,275.146,272.876,99621,274.899,99999.233,5.911
3/1/2004 1:35,276.347,274.089,0.481,276.966,277.415,274.846,272.836,99620.25,274.673,99999.362,3.197
3/1/2004 1:40,278.697,274.05,0,277.473,277.932,275.158,272.797,99619.5,274.827,99999.337,5.547
3/1/2004 1:45,276.151,274.009,0.945,276.947,277.393,274.832,272.757,99618.75,274.581,99999.476,3.001
3/1/2004 1:50,278.384,273.97,1.132,277.421,277.875,275.121,272.717,99618,274.757,99999.441,5.234
3/1/2004 1:55,275.999,273.929,0.332,276.922,277.365,274.792,272.677,99617.25,274.5,99999.586,2.849
3/1/2004 2:00,278.104,273.89,0.782,277.364,277.813,275.058,272.637,99616.5,274.684,99999.546,4.954
3/1/2004 2:05,275.863,273.875,0.711,276.89,277.329,274.735,272.592,99616.944,274.425,99999.673,2.713
3/1/2004 2:10,277.883,273.863,0.771,277.311,277.755,274.984,272.546,99617.389,274.649,99999.59,4.733
3/1/2004 2:15,275.776,273.851,0,276.86,277.296,274.671,272.501,99617.833,274.389,99999.713,2.626
3/1/2004 2:20,277.734,273.842,1.373,277.268,277.706,274.9,272.455,99618.278,274.622,99999.622,4.584
3/1/2004 2:25,275.725,273.833,0.469,276.835,277.266,274.602,272.409,99618.722,274.364,99999.741,2.575
3/1/2004 2:30,277.632,273.828,0.956,277.233,277.666,274.816,272.364,99619.167,274.602,99999.644,4.482
3/1/2004 2:35,275.688,273.824,0.39,276.812,277.24,274.531,272.318,99619.611,274.343,99999.761,2.538
3/1/2004 2:40,277.564,273.824,0.5,277.205,277.633,274.733,272.272,99620.056,274.585,99999.658,4.414
3/1/2004 2:45,275.666,273.825,0.847,276.793,277.217,274.46,272.227,99620.5,274.331,99999.768,2.516
3/1/2004 2:50,277.526,273.829,0,277.185,277.608,274.65,272.181,99620.944,274.578,99999.658,4.376
3/1/2004 2:55,275.659,273.836,1.436,276.779,277.198,274.388,272.136,99621.389,274.329,99999.761,2.509
3/1/2004 3:00,277.511,273.846,1.167,277.171,277.591,274.569,272.09,99621.833,274.581,99999.644,4.361
