cur_datetime,canTemp,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-07-01 00:05:00,296.137,71.544,299.881,299.881,298.335,293.783,100116.167,294.936,100465.535,
2004-07-01 00:10:00,295.269,60.346,299.694,299.694,296.608,293.717,100116.333,294.509,100465.814,
2004-07-01 00:15:00,295.235,58.895,299.419,299.419,294.946,293.650,100116.500,294.424,100465.926,
2004-07-01 00:20:00,295.213,57.684,299.157,299.157,293.895,293.583,100116.667,294.366,100466.014,
2004-07-01 00:25:00,295.880,64.502,298.946,298.946,293.258,293.517,100116.833,294.509,100466.015,
2004-07-01 00:30:00,296.231,67.763,298.777,298.777,292.885,293.450,100117.000,294.613,100466.031,
2004-07-01 00:35:00,296.231,67.065,298.680,298.680,292.838,293.383,100117.167,294.574,100466.092,
2004-07-01 00:40:00,296.002,63.807,298.616,298.616,293.056,293.317,100117.333,294.466,100466.185,
2004-07-01 00:45:00,295.892,61.974,298.564,298.564,293.312,293.250,100117.500,294.339,100466.305,
2004-07-01 00:50:00,295.697,59.213,298.503,298.503,293.468,293.183,100117.667,294.238,100466.420,
2004-07-01 00:55:00,295.662,56.669,298.445,298.445,293.519,293.117,100117.833,294.135,100466.534,
2004-07-01 01:00:00,295.503,54.410,298.382,298.382,293.536,293.050,100118.000,294.045,100466.640,
2004-07-01 01:05:00,295.511,54.103,298.327,298.327,293.526,293.017,100117.917,293.981,100466.704,
2004-07-01 01:10:00,295.388,52.317,298.267,298.267,293.478,292.983,100117.833,293.935,100466.752,
2004-07-01 01:15:00,295.406,52.172,298.215,298.215,293.428,292.950,100117.750,293.887,100466.802,
2004-07-01 01:20:00,295.289,50.497,298.159,298.159,293.390,292.917,100117.667,293.845,100466.848,
2004-07-01 01:25:00,295.306,50.380,298.110,298.110,293.351,292.883,100117.583,293.798,100466.897,
2004-07-01 01:30:00,295.190,48.758,298.059,298.059,293.320,292.850,100117.500,293.757,100466.943,
2004-07-01 01:35:00,295.207,48.666,298.013,298.013,293.285,292.817,100117.417,293.711,100466.992,
2004-07-01 01:40:00,295.094,47.099,297.965,297.965,293.255,292.783,100117.333,293.669,100467.038,
2004-07-01 01:45:00,295.111,47.033,297.922,297.922,293.221,292.750,100117.250,293.625,100467.086,
2004-07-01 01:50:00,295.000,45.511,297.876,297.876,293.191,292.717,100117.167,293.584,100467.131,
2004-07-01 01:55:00,295.018,44.573,297.835,297.835,293.158,292.683,100117.083,293.540,100467.179,
2004-07-01 02:00:00,294.905,43.043,297.791,297.791,293.128,292.650,100117.000,293.495,100467.226,
2004-07-01 02:05:00,294.924,43.039,297.751,297.751,293.096,292.617,100118.167,293.457,100467.265,
2004-07-01 02:10:00,294.817,41.582,297.708,297.708,293.042,292.583,100119.333,293.420,100467.302,
2004-07-01 02:15:00,294.835,41.572,297.667,297.667,292.985,292.550,100120.500,293.381,100467.339,
2004-07-01 02:20:00,294.729,40.149,297.623,297.623,292.926,292.517,100121.667,293.344,100467.377,
2004-07-01 02:25:00,294.747,40.147,297.582,297.582,292.866,292.483,100122.833,293.306,100467.414,
2004-07-01 02:30:00,294.643,38.747,297.538,297.538,292.806,292.450,100124.000,293.268,100467.452,
2004-07-01 02:35:00,294.660,38.746,297.496,297.496,292.746,292.417,100125.167,293.230,100467.489,
2004-07-01 02:40:00,294.557,37.363,297.453,297.453,292.686,292.383,100126.333,293.192,100467.527,
2004-07-01 02:45:00,294.574,37.365,297.411,297.411,292.626,292.350,100127.500,293.155,100467.565,
2004-07-01 02:50:00,294.471,35.995,297.368,297.368,292.567,292.317,100128.667,293.117,100467.603,
2004-07-01 02:55:00,294.488,35.639,297.327,297.327,292.507,292.283,100129.833,293.079,100467.641,
2004-07-01 03:00:00,294.384,34.262,297.284,297.284,292.448,292.250,100131.000,293.039,100467.679,
2004-07-01 03:05:00,294.396,34.323,297.243,297.243,292.389,292.183,100128.583,292.995,100467.729,
2004-07-01 03:10:00,294.286,32.876,297.202,297.199,292.317,292.117,100126.167,292.947,100467.781,
2004-07-01 03:15:00,294.303,32.900,297.161,297.156,292.218,292.050,100123.750,292.897,100467.834,
2004-07-01 03:20:00,294.197,31.502,297.115,297.109,292.105,291.983,100121.333,292.848,100467.885,
2004-07-01 03:25:00,294.223,31.632,297.071,297.063,291.983,291.917,100118.917,292.801,100467.934,
2004-07-01 03:30:00,294.122,30.295,297.024,297.015,291.855,291.850,100116.500,292.755,100467.981,
2004-07-01 03:35:00,294.152,30.465,296.978,296.969,291.724,291.783,100114.083,292.711,100468.025,
2004-07-01 03:40:00,294.054,29.168,296.931,296.921,291.589,291.717,100111.667,292.669,100468.066,
2004-07-01 03:45:00,294.086,29.365,296.885,296.875,291.452,291.650,100109.250,292.629,100468.104,
2004-07-01 03:50:00,293.992,28.118,296.838,296.827,291.311,291.583,100106.833,292.592,100468.139,
2004-07-01 03:55:00,294.027,32.801,296.792,296.781,291.166,291.517,100104.417,292.558,100468.169,
2004-07-01 04:00:00,293.960,31.872,296.745,296.733,291.017,291.450,100102.000,292.551,100468.183,
2004-07-01 04:05:00,293.988,32.144,296.700,296.688,290.865,291.392,100099.750,292.497,100468.266,
2004-07-01 04:10:00,293.895,31.020,296.664,296.648,290.821,291.333,100097.500,292.429,100468.364,
2004-07-01 04:15:00,293.917,31.229,296.637,296.616,290.819,291.275,100095.250,292.358,100468.466,
2004-07-01 04:20:00,293.820,30.070,296.613,296.586,290.840,291.217,100093.000,292.287,100468.568,
2004-07-01 04:25:00,293.842,30.286,296.596,296.560,290.876,291.158,100090.750,292.218,100468.669,
