cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-03-01 00:05:00,277.807,274.406,0.000,276.389,276.849,274.248,273.236,99625.806,275.392,99998.658,
2004-03-01 00:10:00,276.305,274.411,0.000,276.522,276.985,274.271,273.225,99625.778,274.672,99999.123,
2004-03-01 00:15:00,276.755,274.389,0.000,276.569,277.028,274.276,273.214,99625.750,274.704,99999.127,
2004-03-01 00:20:00,277.804,274.393,0.000,276.742,277.202,274.346,273.203,99625.722,274.847,99999.047,
2004-03-01 00:25:00,277.173,274.381,0.000,276.627,277.085,274.348,273.192,99625.694,274.834,99999.058,
2004-03-01 00:30:00,277.920,274.385,0.000,276.805,277.264,274.439,273.181,99625.667,274.923,99999.009,
2004-03-01 00:35:00,278.279,274.377,0.000,276.905,277.362,274.496,273.170,99625.639,274.982,99998.983,
2004-03-01 00:40:00,280.515,274.380,0.000,277.391,277.862,274.724,273.159,99625.611,275.061,99998.951,
2004-03-01 00:45:00,278.565,274.374,0.000,277.071,277.536,274.730,273.148,99625.583,275.037,99998.956,
2004-03-01 00:50:00,279.388,274.378,0.000,277.327,277.796,274.891,273.137,99625.556,275.122,99998.907,
2004-03-01 00:55:00,277.554,274.374,0.000,276.984,277.441,274.760,273.126,99625.528,275.030,99998.941,
2004-03-01 01:00:00,279.310,274.377,0.000,277.385,277.854,274.836,273.115,99625.500,275.054,99998.946,
2004-03-01 01:05:00,277.134,274.333,0.000,276.965,277.420,274.653,273.075,99624.750,274.921,99999.034,
2004-03-01 01:10:00,279.596,274.294,0.000,277.509,277.978,274.847,273.035,99624.000,274.991,99999.052,
2004-03-01 01:15:00,276.858,274.251,0.000,276.975,277.430,274.696,272.995,99623.250,274.829,99999.151,
2004-03-01 01:20:00,279.459,274.212,0.000,277.555,278.022,275.027,272.956,99622.500,274.957,99999.138,
2004-03-01 01:25:00,276.596,274.170,0.000,276.985,277.438,274.788,272.916,99621.750,274.759,99999.251,
2004-03-01 01:30:00,279.058,274.131,0.000,277.529,277.992,275.120,272.876,99621.000,274.897,99999.234,
2004-03-01 01:35:00,276.347,274.089,0.000,276.977,277.427,274.823,272.836,99620.250,274.670,99999.363,
2004-03-01 01:40:00,278.693,274.050,0.000,277.484,277.943,275.133,272.797,99619.500,274.825,99999.339,
2004-03-01 01:45:00,276.154,274.009,0.000,276.959,277.406,274.811,272.757,99618.750,274.580,99999.477,
