cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-09-01 00:05:00,294.224,292.727,0.000,293.876,294.679,290.695,287.305,99235.972,293.266,99587.343,
2004-09-01 00:10:00,293.314,292.651,0.000,293.809,294.622,290.620,287.258,99232.944,292.779,99587.668,
2004-09-01 00:15:00,293.247,292.389,0.000,293.782,294.603,290.568,287.211,99229.917,292.553,99587.960,
2004-09-01 00:20:00,293.311,292.315,0.000,293.785,294.612,290.531,287.163,99226.889,292.476,99588.056,
2004-09-01 00:25:00,293.251,292.124,0.000,293.771,294.607,290.505,287.116,99223.861,292.344,99588.249,
2004-09-01 00:30:00,293.207,292.048,0.000,293.762,294.607,290.488,287.069,99220.833,292.255,99588.352,
2004-09-01 00:35:00,293.081,291.890,0.000,293.748,294.577,290.478,287.022,99217.806,292.126,99588.522,
2004-09-01 00:40:00,293.001,291.814,0.000,293.737,294.571,290.474,286.974,99214.778,292.031,99588.627,
2004-09-01 00:45:00,292.878,291.676,0.000,293.720,294.556,290.476,286.927,99211.750,291.911,99588.781,
2004-09-01 00:50:00,292.807,291.600,0.000,293.713,294.553,290.484,286.880,99208.722,291.821,99588.882,
2004-09-01 00:55:00,292.697,291.476,0.000,293.701,294.545,290.496,286.832,99205.694,291.712,99589.022,
2004-09-01 01:00:00,292.633,291.400,0.000,293.683,294.526,290.486,286.785,99202.667,291.627,99589.121,
2004-09-01 01:05:00,292.548,291.334,0.000,293.661,294.503,290.469,286.698,99201.736,291.556,99589.204,
2004-09-01 01:10:00,292.526,291.306,0.000,293.649,294.490,290.448,286.611,99200.806,291.518,99589.244,
2004-09-01 01:15:00,292.474,291.244,0.000,293.630,294.471,290.423,286.524,99199.875,291.469,99589.310,
2004-09-01 01:20:00,292.457,291.215,0.000,293.618,294.458,290.396,286.437,99198.944,291.435,99589.350,
2004-09-01 01:25:00,292.395,291.156,0.000,293.598,294.436,290.368,286.349,99198.014,291.385,99589.415,
2004-09-01 01:30:00,292.370,291.124,0.000,293.584,294.422,290.338,286.262,99197.083,291.347,99589.458,
2004-09-01 01:35:00,292.104,290.560,0.000,293.532,294.365,290.305,286.175,99196.153,290.981,99590.007,
