cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:00:00,298.876,291.611,0.000,293.580,292.506,289.679,291.250,99200.000,299.188,100695.699,
2004-06-01 00:05:00,294.758,291.593,0.000,293.221,292.197,289.079,291.258,99200.000,295.292,100720.444,
2004-06-01 00:10:00,292.379,291.595,0.000,293.226,292.231,289.135,291.267,99200.000,292.540,100726.001,
2004-06-01 00:15:00,291.971,291.590,0.000,293.159,292.189,289.147,291.275,99200.000,292.048,100726.900,
2004-06-01 00:20:00,291.938,291.594,0.000,293.168,292.215,289.315,291.283,99200.000,292.009,100726.996,
2004-06-01 00:25:00,291.976,291.592,0.000,293.203,292.262,289.504,291.292,99200.000,292.055,100726.948,
2004-06-01 00:30:00,292.029,291.595,0.000,293.240,292.313,289.696,291.300,99200.000,292.117,100726.846,
2004-06-01 00:35:00,292.074,291.595,0.000,293.293,292.376,289.902,291.308,99200.000,292.170,100726.755,
2004-06-01 00:40:00,292.108,291.598,0.000,293.342,292.438,290.101,291.317,99200.000,292.210,100726.670,
2004-06-01 00:45:00,292.132,291.599,0.000,293.445,292.483,290.296,291.325,99200.000,292.237,100726.609,
2004-06-01 00:50:00,292.149,291.603,0.000,293.498,292.543,290.485,291.333,99200.000,292.255,100726.557,
2004-06-01 00:55:00,292.159,291.605,0.000,293.561,292.598,290.666,291.342,99200.000,292.267,100726.524,
2004-06-01 01:00:00,292.166,291.608,0.000,293.601,292.631,290.756,291.350,99200.000,292.275,100726.494,
2004-06-01 01:05:00,292.169,291.606,0.000,293.631,292.658,290.825,291.350,99200.000,292.278,100726.488,
2004-06-01 01:10:00,292.168,291.605,0.000,293.661,292.684,290.891,291.350,99200.000,292.276,100726.490,
2004-06-01 01:15:00,292.166,291.603,0.000,293.680,292.702,290.932,291.350,99200.000,292.275,100726.499,
2004-06-01 01:20:00,292.163,291.602,0.000,293.699,292.720,290.972,291.350,99200.000,292.272,100726.506,
2004-06-01 01:25:00,292.161,291.600,0.000,293.713,292.733,290.999,291.350,99200.000,292.270,100726.515,
2004-06-01 01:30:00,292.159,291.600,0.000,293.726,292.746,291.025,291.350,99200.000,292.267,100726.522,
2004-06-01 01:35:00,292.158,291.598,0.000,293.735,292.756,291.044,291.350,99200.000,292.266,100726.529,
2004-06-01 01:40:00,292.156,291.597,0.000,293.744,292.766,291.063,291.350,99200.000,292.264,100726.534,
2004-06-01 01:45:00,292.155,291.595,0.000,293.751,292.774,291.077,291.350,99200.000,292.263,100726.541,
2004-06-01 01:50:00,292.153,291.595,0.000,293.757,292.781,291.091,291.350,99200.000,292.261,100726.546,
2004-06-01 01:55:00,292.152,291.593,0.000,293.693,292.787,291.103,291.350,99200.000,292.259,100726.553,
2004-06-01 02:00:00,292.146,291.592,0.000,293.764,292.791,291.109,291.350,99200.000,292.253,100726.566,
2004-06-01 02:05:00,292.147,291.596,0.000,293.765,292.795,291.115,291.358,99208.333,292.254,100726.556,
2004-06-01 02:10:00,292.149,291.600,0.000,293.767,292.799,291.122,291.367,99216.667,292.255,100726.539,
2004-06-01 02:15:00,292.152,291.603,0.000,293.768,292.802,291.128,291.375,99225.000,292.257,100726.522,
2004-06-01 02:20:00,292.154,291.607,0.000,293.768,292.805,291.134,291.383,99233.333,292.260,100726.502,
2004-06-01 02:25:00,292.157,291.611,0.000,293.768,292.807,291.139,291.392,99241.667,292.262,100726.483,
2004-06-01 02:30:00,292.159,291.616,0.000,293.767,292.809,291.143,291.400,99250.000,292.263,100726.464,
2004-06-01 02:35:00,292.161,291.620,0.000,293.766,292.811,291.147,291.408,99258.333,292.265,100726.446,
2004-06-01 02:40:00,292.163,291.624,0.000,293.764,292.812,291.151,291.417,99266.667,292.266,100726.427,
2004-06-01 02:45:00,292.165,291.628,0.000,293.762,292.812,291.155,291.425,99275.000,292.268,100726.408,
2004-06-01 02:50:00,292.167,291.633,0.000,293.759,292.813,291.158,291.433,99283.333,292.269,100726.389,
2004-06-01 02:55:00,292.168,291.637,0.000,293.756,292.813,291.161,291.442,99291.667,292.271,100726.369,
2004-06-01 03:00:00,292.170,291.642,0.000,293.753,292.813,291.168,291.450,99300.000,292.272,100726.350,
2004-06-01 03:05:00,292.159,291.595,0.000,293.747,292.810,291.168,291.408,99308.333,292.263,100726.484,
2004-06-01 03:10:00,292.132,291.548,0.000,293.739,292.804,291.161,291.367,99316.667,292.239,100726.685,
2004-06-01 03:15:00,292.093,291.501,0.000,293.725,292.793,291.146,291.325,99325.000,292.202,100726.921,
2004-06-01 03:20:00,292.047,291.454,0.000,293.710,292.780,291.127,291.283,99333.333,292.157,100727.170,
2004-06-01 03:25:00,292.000,291.407,0.000,293.693,292.763,291.103,291.242,99341.667,292.111,100727.419,
2004-06-01 03:30:00,291.955,291.360,0.000,293.675,292.747,291.080,291.200,99350.000,292.067,100727.665,
2004-06-01 03:35:00,291.913,291.313,0.000,293.655,292.729,291.054,291.158,99358.333,292.025,100727.907,
2004-06-01 03:40:00,291.871,291.266,0.000,293.636,292.711,291.030,291.117,99366.667,291.984,100728.147,
2004-06-01 03:45:00,291.830,291.219,0.000,293.615,292.692,291.004,291.075,99375.000,291.945,100728.385,
2004-06-01 03:50:00,291.789,291.172,0.000,293.595,292.673,290.978,291.033,99383.333,291.905,100728.623,
2004-06-01 03:55:00,291.748,291.124,0.000,293.573,292.652,290.952,290.992,99391.667,291.865,100728.862,
2004-06-01 04:00:00,291.707,291.077,0.000,293.551,292.632,290.915,290.950,99400.000,291.825,100729.102,
2004-06-01 04:05:00,291.627,290.899,0.000,293.520,292.601,290.857,290.808,99400.000,291.755,100729.755,
2004-06-01 04:10:00,291.506,290.730,0.000,293.481,292.562,290.780,290.667,99400.000,291.643,100730.559,
2004-06-01 04:15:00,291.353,290.564,0.000,293.430,292.509,290.676,290.525,99400.000,291.495,100731.430,
2004-06-01 04:20:00,291.191,290.402,0.000,293.455,292.574,290.704,290.383,99400.000,291.334,100732.303,
2004-06-01 04:25:00,291.045,290.242,0.000,293.423,292.528,290.625,290.242,99400.000,291.191,100733.133,
2004-06-01 04:30:00,290.902,290.081,0.000,293.406,292.522,290.576,290.100,99400.000,291.052,100733.958,
2004-06-01 04:35:00,290.780,289.920,0.000,293.390,292.506,290.532,289.958,99400.000,290.937,100734.744,
2004-06-01 04:40:00,290.609,289.761,0.000,293.365,292.479,290.465,289.817,99400.000,290.759,100735.591,
2004-06-01 04:45:00,290.559,289.603,0.000,293.364,292.479,290.456,289.675,99400.000,290.726,100736.212,
2004-06-01 04:50:00,290.472,289.446,0.000,293.356,292.471,290.432,289.533,99400.000,290.654,100736.906,
2004-06-01 04:55:00,290.431,289.289,0.000,293.364,292.476,290.441,289.392,99400.000,290.632,100737.508,
2004-06-01 05:00:00,290.343,289.133,0.000,293.340,292.443,290.405,289.250,99400.000,290.556,100738.181,
2004-06-01 05:05:00,290.308,289.054,0.000,293.325,292.419,290.393,289.208,99408.333,290.535,100738.572,
2004-06-01 05:10:00,290.234,288.976,0.000,293.302,292.386,290.361,289.167,99416.667,290.463,100738.973,
2004-06-01 05:15:00,290.196,288.899,0.000,293.283,292.355,290.343,289.125,99425.000,290.433,100739.314,
2004-06-01 05:20:00,290.126,288.822,0.000,293.258,292.318,290.308,289.083,99433.333,290.364,100739.696,
2004-06-01 05:25:00,290.086,288.746,0.000,293.236,292.284,290.286,289.042,99441.667,290.332,100740.041,
2004-06-01 05:30:00,290.020,288.671,0.000,293.221,292.258,290.269,289.000,99450.000,290.267,100740.418,
2004-06-01 05:35:00,289.980,288.596,0.000,293.212,292.239,290.265,288.958,99458.333,290.235,100740.758,
2004-06-01 05:40:00,289.922,288.521,0.000,293.199,292.213,290.249,288.917,99466.667,290.179,100741.117,
