cur_datetime,canTemp_K,canHum_Ratio,canPres_Pa,sensWaste,coolConsump[J_m2],heatConsump[J_m2],ElecTotal[J_m2],GasTotal[J_m2],sensCoolDemand[W_m2],wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:00:00,298.876,0.010,100575.447,131.158,9283.711,0.000,1877.083,17.667,30.946,300.000,300.000,300.000,291.250,99200.000,299.188,100695.699,
2004-06-01 00:05:00,295.471,0.011,100596.754,0.258,0.000,0.000,1453.126,17.667,0.000,299.946,299.946,298.677,291.258,99200.000,296.140,100719.127,
2004-06-01 00:10:00,292.916,0.011,100601.625,0.258,0.000,0.000,1453.126,17.667,0.000,299.855,299.855,297.489,291.267,99200.000,293.194,100724.999,
2004-06-01 00:15:00,292.545,0.011,100602.269,0.258,0.000,0.000,1453.126,17.667,0.000,299.613,299.613,296.172,291.275,99200.000,292.735,100725.777,
2004-06-01 00:20:00,292.684,0.011,100602.074,0.258,0.000,0.000,1453.126,17.667,0.000,299.311,299.311,295.005,291.283,99200.000,292.900,100725.530,
2004-06-01 00:25:00,292.853,0.011,100601.818,0.258,0.000,0.000,1453.126,17.667,0.000,299.046,299.046,294.083,291.292,99200.000,293.101,100725.211,
2004-06-01 00:30:00,292.971,0.011,100601.614,0.258,0.000,0.000,1453.126,17.667,0.000,298.841,298.841,293.365,291.300,99200.000,293.239,100724.962,
2004-06-01 00:35:00,293.012,0.011,100601.532,0.258,0.000,0.000,1453.126,17.667,0.000,298.679,298.679,292.794,291.308,99200.000,293.286,100724.863,
2004-06-01 00:40:00,293.009,0.011,100601.516,0.258,0.000,0.000,1453.126,17.667,0.000,298.548,298.548,292.333,291.317,99200.000,293.283,100724.847,
2004-06-01 00:45:00,292.986,0.011,100601.544,0.258,0.000,0.000,1453.126,17.667,0.000,298.437,298.437,291.951,291.325,99200.000,293.255,100724.883,
2004-06-01 00:50:00,292.963,0.011,100601.571,0.258,0.000,0.000,1453.126,17.667,0.000,298.339,298.339,291.625,291.333,99200.000,293.226,100724.919,
2004-06-01 00:55:00,292.943,0.011,100601.596,0.258,0.000,0.000,1453.126,17.667,0.000,298.250,298.250,291.340,291.342,99200.000,293.202,100724.951,
2004-06-01 01:00:00,292.930,0.012,100601.606,0.258,0.000,0.000,1453.126,17.667,0.000,298.169,298.169,291.090,291.350,99200.000,293.185,100724.966,
2004-06-01 01:05:00,292.918,0.012,100601.629,0.258,0.000,0.000,1453.126,17.667,0.000,298.094,298.094,290.870,291.350,99200.000,293.172,100724.993,
2004-06-01 01:10:00,292.907,0.012,100601.649,0.258,0.000,0.000,1453.126,17.667,0.000,298.025,298.025,290.675,291.350,99200.000,293.159,100725.017,
2004-06-01 01:15:00,292.896,0.012,100601.673,0.258,0.000,0.000,1453.126,17.667,0.000,297.960,297.960,290.500,291.350,99200.000,293.145,100725.046,
2004-06-01 01:20:00,292.885,0.011,100601.693,0.258,0.000,0.000,1453.126,17.667,0.000,297.898,297.898,290.344,291.350,99200.000,293.132,100725.070,
2004-06-01 01:25:00,292.874,0.011,100601.716,0.258,0.000,0.000,1453.126,17.667,0.000,297.841,297.841,290.205,291.350,99200.000,293.120,100725.096,
2004-06-01 01:30:00,292.864,0.011,100601.734,0.258,0.000,0.000,1453.126,17.667,0.000,297.786,297.786,290.080,291.350,99200.000,293.109,100725.118,
2004-06-01 01:35:00,292.855,0.011,100601.754,0.258,0.000,0.000,1453.126,17.667,0.000,297.733,297.733,289.968,291.350,99200.000,293.098,100725.142,
2004-06-01 01:40:00,292.846,0.011,100601.771,0.258,0.000,0.000,1453.126,17.667,0.000,297.684,297.684,289.867,291.350,99200.000,293.087,100725.162,
2004-06-01 01:45:00,292.837,0.011,100601.789,0.258,0.000,0.000,1453.126,17.667,0.000,297.636,297.636,289.777,291.350,99200.000,293.077,100725.183,
2004-06-01 01:50:00,292.829,0.011,100601.805,0.258,0.000,0.000,1453.126,17.667,0.000,297.590,297.590,289.696,291.350,99200.000,293.067,100725.202,
2004-06-01 01:55:00,292.821,0.011,100601.822,0.258,0.000,0.000,1453.126,17.667,0.000,297.545,297.545,289.622,291.350,99200.000,293.058,100725.222,
2004-06-01 02:00:00,292.813,0.011,100601.837,0.258,0.000,0.000,1453.126,17.667,0.000,297.503,297.503,289.556,291.350,99200.000,293.049,100725.240,
2004-06-01 02:05:00,292.807,0.011,100601.838,0.258,0.000,0.000,1453.126,17.667,0.000,297.462,297.462,289.496,291.358,99208.333,293.042,100725.243,
2004-06-01 02:10:00,292.804,0.011,100601.831,0.258,0.000,0.000,1453.126,17.667,0.000,297.422,297.422,289.444,291.367,99216.667,293.036,100725.237,
2004-06-01 02:15:00,292.801,0.011,100601.822,0.258,0.000,0.000,1453.126,17.667,0.000,297.384,297.384,289.401,291.375,99225.000,293.033,100725.229,
2004-06-01 02:20:00,292.800,0.011,100601.811,0.258,0.000,0.000,1453.126,17.667,0.000,297.347,297.347,289.364,291.383,99233.333,293.030,100725.218,
2004-06-01 02:25:00,292.798,0.011,100601.800,0.258,0.000,0.000,1453.126,17.667,0.000,297.311,297.311,289.334,291.392,99241.667,293.027,100725.208,
2004-06-01 02:30:00,292.796,0.011,100601.789,0.258,0.000,0.000,1453.126,17.667,0.000,297.277,297.277,289.309,291.400,99250.000,293.024,100725.197,
2004-06-01 02:35:00,292.794,0.011,100601.778,0.258,0.000,0.000,1453.126,17.667,0.000,297.243,297.243,289.289,291.408,99258.333,293.021,100725.186,
2004-06-01 02:40:00,292.792,0.011,100601.766,0.258,0.000,0.000,1453.126,17.667,0.000,297.211,297.211,289.273,291.417,99266.667,293.018,100725.175,
2004-06-01 02:45:00,292.791,0.011,100601.754,0.258,0.000,0.000,1453.126,17.667,0.000,297.180,297.180,289.261,291.425,99275.000,293.015,100725.163,
2004-06-01 02:50:00,292.790,0.011,100601.741,0.258,0.000,0.000,1453.126,17.667,0.000,297.149,297.149,289.253,291.433,99283.333,293.013,100725.150,
2004-06-01 02:55:00,292.788,0.011,100601.728,0.258,0.000,0.000,1453.126,17.667,0.000,297.120,297.120,289.248,291.442,99291.667,293.010,100725.137,
2004-06-01 03:00:00,292.787,0.011,100601.714,0.258,0.000,0.000,1453.126,17.667,0.000,297.091,297.091,289.246,291.450,99300.000,293.008,100725.124,
2004-06-01 03:05:00,292.769,0.011,100601.864,0.258,0.000,0.000,1453.126,17.667,0.000,297.063,297.063,289.246,291.408,99308.333,292.992,100725.282,
2004-06-01 03:10:00,292.731,0.011,100602.076,0.258,0.000,0.000,1453.126,17.667,0.000,297.036,297.036,289.252,291.367,99316.667,292.955,100725.511,
2004-06-01 03:15:00,292.680,0.011,100602.314,0.258,0.000,0.000,1453.126,17.667,0.000,297.009,297.009,289.264,291.325,99325.000,292.904,100725.771,
2004-06-01 03:20:00,292.626,0.011,100602.554,0.258,0.000,0.000,1453.126,17.667,0.000,296.982,296.982,289.281,291.283,99333.333,292.850,100726.034,
2004-06-01 03:25:00,292.576,0.011,100602.789,0.258,0.000,0.000,1453.126,17.667,0.000,296.953,296.953,289.303,291.242,99341.667,292.800,100726.290,
2004-06-01 03:30:00,292.529,0.011,100603.018,0.258,0.000,0.000,1453.126,17.667,0.000,296.924,296.924,289.327,291.200,99350.000,292.753,100726.539,
2004-06-01 03:35:00,292.485,0.011,100603.243,0.258,0.000,0.000,1453.126,17.667,0.000,296.894,296.894,289.356,291.158,99358.333,292.710,100726.783,
2004-06-01 03:40:00,292.442,0.011,100603.467,0.258,0.000,0.000,1453.126,17.667,0.000,296.864,296.864,289.387,291.117,99366.667,292.667,100727.026,
2004-06-01 03:45:00,292.398,0.011,100603.691,0.258,0.000,0.000,1453.126,17.667,0.000,296.834,296.834,289.421,291.075,99375.000,292.624,100727.269,
2004-06-01 03:50:00,292.354,0.011,100603.915,0.258,0.000,0.000,1453.126,17.667,0.000,296.804,296.804,289.457,291.033,99383.333,292.581,100727.512,
2004-06-01 03:55:00,292.310,0.011,100604.141,0.258,0.000,0.000,1453.126,17.667,0.000,296.774,296.774,289.496,290.992,99391.667,292.538,100727.757,
2004-06-01 04:00:00,292.266,0.011,100604.366,0.258,0.000,0.000,1453.126,17.667,0.000,296.745,296.745,289.537,290.950,99400.000,292.494,100728.001,
2004-06-01 04:05:00,292.175,0.010,100605.016,0.258,0.000,0.000,1453.126,17.667,0.000,296.716,296.716,289.579,290.808,99400.000,292.412,100728.692,
2004-06-01 04:10:00,292.038,0.010,100605.796,0.258,0.000,0.000,1453.126,17.667,0.000,296.689,296.687,289.658,290.667,99400.000,292.283,100729.533,
2004-06-01 04:15:00,291.872,0.010,100606.617,0.258,0.000,0.000,1453.126,17.667,0.000,296.660,296.657,289.756,290.525,99400.000,292.118,100730.428,
2004-06-01 04:20:00,291.705,0.010,100607.422,0.258,0.000,0.000,1453.126,17.667,0.000,296.627,296.624,289.872,290.383,99400.000,291.952,100731.305,
2004-06-01 04:25:00,291.551,0.010,100608.200,0.258,0.000,0.000,1453.126,17.667,0.000,296.589,296.585,290.003,290.242,99400.000,291.798,100732.150,
2004-06-01 04:30:00,291.405,0.010,100608.966,0.258,0.000,0.000,1453.126,17.667,0.000,296.547,296.543,290.148,290.100,99400.000,291.655,100732.979,
2004-06-01 04:35:00,291.459,0.010,100609.399,0.258,0.000,0.000,1453.126,17.667,0.000,296.504,296.499,290.305,289.958,99400.000,291.743,100733.399,
2004-06-01 04:40:00,291.410,0.010,100609.994,0.258,0.000,0.000,1453.126,17.667,0.000,296.446,296.441,290.480,289.817,99400.000,291.716,100734.022,
2004-06-01 04:45:00,291.451,0.010,100610.435,0.258,0.000,0.000,1453.126,17.667,0.000,296.407,296.401,290.652,289.675,99400.000,291.791,100734.457,
2004-06-01 04:50:00,291.391,0.010,100611.017,0.258,0.000,0.000,1453.126,17.667,0.000,296.362,296.356,290.810,289.533,99400.000,291.749,100735.071,
2004-06-01 04:55:00,291.390,0.010,100611.518,0.413,0.000,0.000,1614.585,28.267,0.000,296.331,296.324,290.954,289.392,99400.000,291.776,100735.582,
2004-06-01 05:00:00,291.311,0.010,100612.119,0.413,0.000,0.000,1614.585,28.267,0.000,296.293,296.286,291.074,289.250,99400.000,291.711,100736.221,
2004-06-01 05:05:00,291.295,0.009,100612.457,0.413,0.000,0.000,1614.585,28.267,0.000,296.263,296.256,291.178,289.208,99408.333,291.713,100736.574,
