cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:00:00,298.876,291.611,0.000,293.580,292.506,283.885,291.250,99200.000,299.188,100695.699,
2004-06-01 00:05:00,294.757,291.593,0.000,293.221,292.197,283.391,291.258,99200.000,295.292,100720.444,
2004-06-01 00:10:00,292.372,291.595,0.000,293.225,292.230,283.432,291.267,99200.000,292.532,100726.010,
2004-06-01 00:15:00,291.958,291.590,0.000,293.156,292.186,283.430,291.275,99200.000,292.032,100726.920,
2004-06-01 00:20:00,291.925,291.594,0.000,293.165,292.212,283.429,291.283,99200.000,291.993,100727.016,
2004-06-01 00:25:00,291.967,291.592,0.000,293.200,292.260,283.554,291.292,99200.000,292.044,100726.963,
2004-06-01 00:30:00,292.025,291.595,0.000,293.238,292.311,283.680,291.300,99200.000,292.113,100726.853,
2004-06-01 00:35:00,292.076,291.595,0.000,293.292,292.375,283.904,291.308,99200.000,292.173,100726.753,
2004-06-01 00:40:00,292.115,291.598,0.000,293.343,292.438,284.128,291.317,99200.000,292.219,100726.658,
2004-06-01 00:45:00,292.143,291.599,0.000,293.446,292.485,284.433,291.325,99200.000,292.251,100726.591,
2004-06-01 00:50:00,292.163,291.603,0.000,293.501,292.546,284.737,291.333,99200.000,292.273,100726.533,
2004-06-01 00:55:00,292.176,291.605,0.000,293.565,292.603,285.107,291.342,99200.000,292.287,100726.496,
2004-06-01 01:00:00,292.184,291.608,0.000,293.606,292.636,285.323,291.350,99200.000,292.297,100726.463,
2004-06-01 01:05:00,292.188,291.606,0.000,293.636,292.664,285.548,291.350,99200.000,292.301,100726.456,
2004-06-01 01:10:00,292.189,291.605,0.000,293.667,292.690,285.772,291.350,99200.000,292.302,100726.456,
2004-06-01 01:15:00,292.188,291.603,0.000,293.687,292.709,285.959,291.350,99200.000,292.302,100726.463,
2004-06-01 01:20:00,292.186,291.602,0.000,293.707,292.728,286.146,291.350,99200.000,292.300,100726.469,
2004-06-01 01:25:00,292.185,291.600,0.000,293.720,292.742,286.304,291.350,99200.000,292.299,100726.476,
2004-06-01 01:30:00,292.184,291.600,0.000,293.734,292.756,286.463,291.350,99200.000,292.297,100726.481,
