cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:05:00,294.744,291.593,0.000,295.994,292.976,283.393,291.258,99200.000,295.312,100720.629,
2004-06-01 00:10:00,292.538,291.595,0.000,295.989,293.055,283.434,291.267,99200.000,292.764,100725.890,
2004-06-01 00:15:00,292.277,291.590,0.000,295.918,293.049,283.433,291.275,99200.000,292.439,100726.467,
2004-06-01 00:20:00,292.404,291.594,0.000,295.930,293.115,283.432,291.283,99200.000,292.593,100726.272,
2004-06-01 00:25:00,292.553,291.592,0.000,295.968,293.200,283.558,291.292,99200.000,292.772,100726.013,
2004-06-01 00:30:00,292.689,291.595,0.000,296.004,293.282,283.684,291.300,99200.000,292.937,100725.752,
2004-06-01 00:35:00,292.767,291.595,0.000,296.047,293.369,283.910,291.308,99200.000,293.028,100725.587,
2004-06-01 00:40:00,292.816,291.598,0.000,296.084,293.449,284.135,291.317,99200.000,293.086,100725.475,
2004-06-01 00:45:00,292.835,291.599,0.000,296.116,293.524,284.441,291.325,99200.000,293.108,100725.425,
2004-06-01 00:50:00,292.845,291.603,0.000,296.146,293.597,284.747,291.333,99200.000,293.119,100725.393,
2004-06-01 00:55:00,292.848,291.605,0.000,296.172,293.664,285.119,291.342,99200.000,293.123,100725.378,
2004-06-01 01:00:00,292.854,291.608,0.000,296.182,293.708,285.338,291.350,99200.000,293.130,100725.356,
2004-06-01 01:05:00,292.856,291.606,0.000,296.186,293.744,285.564,291.350,99200.000,293.132,100725.355,
2004-06-01 01:10:00,292.856,291.605,0.000,296.190,293.779,285.790,291.350,99200.000,293.133,100725.358,
2004-06-01 01:15:00,292.855,291.603,0.000,296.187,293.804,285.978,291.350,99200.000,293.133,100725.365,
2004-06-01 01:20:00,292.854,291.602,0.000,296.184,293.830,286.166,291.350,99200.000,293.132,100725.370,
2004-06-01 01:25:00,292.854,291.600,0.000,296.177,293.849,286.326,291.350,99200.000,293.131,100725.377,
2004-06-01 01:30:00,292.853,291.600,0.000,296.170,293.867,286.486,291.350,99200.000,293.130,100725.382,
2004-06-01 01:35:00,292.852,291.598,0.000,296.160,293.882,286.624,291.350,99200.000,293.130,100725.389,
2004-06-01 01:40:00,292.850,291.597,0.000,296.151,293.896,286.761,291.350,99200.000,293.128,100725.394,
2004-06-01 01:45:00,292.849,291.595,0.000,296.139,293.907,286.881,291.350,99200.000,293.127,100725.401,
2004-06-01 01:50:00,292.847,291.595,0.000,296.127,293.918,287.000,291.350,99200.000,293.125,100725.408,
2004-06-01 01:55:00,292.845,291.593,0.000,296.114,293.926,287.105,291.350,99200.000,293.123,100725.415,
2004-06-01 02:00:00,292.843,291.592,0.000,296.101,293.933,287.205,291.350,99200.000,293.120,100725.422,
2004-06-01 02:05:00,292.842,291.596,0.000,296.087,293.939,287.290,291.358,99208.333,293.118,100725.416,
2004-06-01 02:10:00,292.842,291.600,0.000,296.074,293.944,287.376,291.367,99216.667,293.118,100725.402,
2004-06-01 02:15:00,292.843,291.603,0.000,296.060,293.948,287.449,291.375,99225.000,293.118,100725.386,
2004-06-01 02:20:00,292.845,291.607,0.000,296.046,293.952,287.522,291.383,99233.333,293.119,100725.368,
2004-06-01 02:25:00,292.846,291.611,0.000,296.032,293.955,287.584,291.392,99241.667,293.120,100725.351,
2004-06-01 02:30:00,292.847,291.616,0.000,296.017,293.957,287.647,291.400,99250.000,293.120,100725.334,
2004-06-01 02:35:00,292.847,291.620,0.000,296.002,293.958,287.700,291.408,99258.333,293.120,100725.318,
2004-06-01 02:40:00,292.848,291.624,0.000,295.988,293.959,287.754,291.417,99266.667,293.119,100725.302,
2004-06-01 02:45:00,292.848,291.628,0.000,295.972,293.959,287.800,291.425,99275.000,293.118,100725.286,
2004-06-01 02:50:00,292.848,291.633,0.000,295.957,293.959,287.846,291.433,99283.333,293.118,100725.269,
2004-06-01 02:55:00,292.848,291.637,0.000,295.941,293.958,287.886,291.442,99291.667,293.117,100725.252,
2004-06-01 03:00:00,292.849,291.642,0.000,295.925,293.958,287.932,291.450,99300.000,293.116,100725.236,
2004-06-01 03:05:00,292.834,291.595,0.000,295.906,293.954,287.974,291.408,99308.333,293.104,100725.383,
2004-06-01 03:10:00,292.801,291.548,0.000,295.882,293.946,288.015,291.367,99316.667,293.074,100725.602,
2004-06-01 03:15:00,292.754,291.501,0.000,295.853,293.934,288.055,291.325,99325.000,293.029,100725.855,
2004-06-01 03:20:00,292.704,291.454,0.000,295.823,293.920,288.094,291.283,99333.333,292.979,100726.113,
2004-06-01 03:25:00,292.658,291.407,0.000,295.791,293.904,288.131,291.242,99341.667,292.933,100726.363,
2004-06-01 03:30:00,292.615,291.360,0.000,295.759,293.889,288.167,291.200,99350.000,292.892,100726.606,
2004-06-01 03:35:00,292.575,291.313,0.000,295.726,293.872,288.202,291.158,99358.333,292.853,100726.844,
2004-06-01 03:40:00,292.535,291.266,0.000,295.693,293.855,288.237,291.117,99366.667,292.815,100727.080,
2004-06-01 03:45:00,292.496,291.219,0.000,295.659,293.837,288.270,291.075,99375.000,292.778,100727.317,
2004-06-01 03:50:00,292.456,291.172,0.000,295.625,293.819,288.303,291.033,99383.333,292.740,100727.554,
2004-06-01 03:55:00,292.416,291.124,0.000,295.591,293.799,288.335,290.992,99391.667,292.701,100727.792,
2004-06-01 04:00:00,292.375,291.077,0.000,295.560,293.779,288.350,290.950,99400.000,292.662,100728.032,
2004-06-01 04:05:00,292.294,290.899,0.000,295.520,293.750,288.359,290.808,99400.000,292.592,100728.701,
2004-06-01 04:10:00,292.168,290.730,0.000,295.469,293.712,288.371,290.667,99400.000,292.478,100729.528,
2004-06-01 04:15:00,292.009,290.564,0.000,295.407,293.661,288.376,290.525,99400.000,292.323,100730.416,
2004-06-01 04:20:00,291.848,290.402,0.000,295.419,293.768,288.642,290.383,99400.000,292.165,100731.288,
