cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:00:00,296.836,291.514,0.000,288.589,288.455,283.747,291.250,99200.000,295.287,99546.855,
2004-06-01 00:05:00,292.633,291.505,0.000,288.615,288.493,282.857,291.258,99200.000,291.966,99549.710,
2004-06-01 00:10:00,291.557,291.510,0.000,288.668,288.557,283.373,291.267,99200.000,291.532,99549.951,
2004-06-01 00:15:00,291.934,291.509,0.000,289.000,288.896,283.414,291.275,99200.000,291.532,99549.956,
2004-06-01 00:20:00,291.003,291.514,0.000,288.981,288.887,283.604,291.283,99200.000,291.397,99550.010,
2004-06-01 00:25:00,292.590,291.516,0.000,289.591,289.502,284.294,291.292,99200.000,291.323,99550.042,
2004-06-01 00:30:00,291.135,291.521,0.000,289.486,289.406,284.914,291.300,99200.000,291.048,99550.143,
2004-06-01 00:35:00,292.225,291.523,0.000,289.918,289.844,286.062,291.308,99200.000,290.882,99550.260,
2004-06-01 00:40:00,290.966,291.528,0.000,289.796,289.730,286.589,291.317,99200.000,290.640,99550.459,
2004-06-01 00:45:00,292.092,291.532,0.000,290.207,290.155,287.701,291.325,99200.000,290.626,99550.583,
2004-06-01 00:50:00,291.000,291.537,0.000,290.118,290.072,288.094,291.333,99200.000,290.646,99550.520,
2004-06-01 00:55:00,292.162,291.541,0.000,290.551,290.509,289.110,291.342,99200.000,290.827,99550.387,
2004-06-01 01:00:00,291.191,291.546,0.000,290.448,290.410,289.146,291.350,99200.000,290.847,99550.459,
2004-06-01 01:05:00,292.280,291.544,0.000,290.798,290.762,289.846,291.350,99200.000,291.000,99550.315,
2004-06-01 01:10:00,291.405,291.544,0.000,290.689,290.657,289.773,291.350,99200.000,291.103,99550.215,
2004-06-01 01:15:00,292.404,291.542,0.000,291.000,290.970,290.366,291.350,99200.000,291.218,99550.143,
2004-06-01 01:20:00,291.571,291.542,0.000,290.885,290.856,290.189,291.350,99200.000,291.272,99550.099,
2004-06-01 01:25:00,292.481,291.540,0.000,291.160,291.133,290.685,291.350,99200.000,291.347,99550.054,
2004-06-01 01:30:00,291.639,291.540,0.000,291.024,290.999,290.449,291.350,99200.000,291.449,99549.988,
2004-06-01 01:35:00,291.945,291.539,0.000,291.099,291.076,290.628,291.350,99200.000,291.550,99549.929,
2004-06-01 01:40:00,291.503,291.538,0.000,291.003,290.980,290.376,291.350,99200.000,291.509,99549.947,
2004-06-01 01:45:00,292.068,291.537,0.000,291.153,291.131,290.460,291.350,99200.000,291.571,99549.919,
2004-06-01 01:50:00,291.512,291.536,0.000,291.045,291.024,290.286,291.350,99200.000,291.509,99549.947,
2004-06-01 01:55:00,292.118,291.535,0.000,291.206,291.186,290.442,291.350,99200.000,291.567,99549.922,
2004-06-01 02:00:00,291.524,291.535,0.000,291.089,291.070,290.288,291.350,99200.000,291.505,99549.950,
2004-06-01 02:05:00,292.080,291.540,0.000,291.229,291.211,290.451,291.358,99208.333,291.564,99549.921,
2004-06-01 02:10:00,291.520,291.545,0.000,291.113,291.096,290.309,291.367,99216.667,291.509,99549.941,
2004-06-01 02:15:00,292.048,291.550,0.000,291.243,291.226,290.466,291.375,99225.000,291.568,99549.911,
2004-06-01 02:20:00,291.520,291.555,0.000,291.131,291.115,290.329,291.383,99233.333,291.517,99549.930,
2004-06-01 02:25:00,292.023,291.561,0.000,291.252,291.238,290.478,291.392,99241.667,291.574,99549.901,
2004-06-01 02:30:00,291.520,291.566,0.000,291.144,291.130,290.348,291.400,99250.000,291.525,99549.919,
2004-06-01 02:35:00,292.004,291.572,0.000,291.260,291.247,290.491,291.408,99258.333,291.580,99549.891,
2004-06-01 02:40:00,291.519,291.577,0.000,291.155,291.143,290.365,291.417,99266.667,291.532,99549.908,
2004-06-01 02:45:00,291.985,291.583,0.000,291.266,291.254,290.503,291.425,99275.000,291.586,99549.880,
2004-06-01 02:50:00,291.522,291.588,0.000,291.165,291.154,290.382,291.433,99283.333,291.541,99549.896,
2004-06-01 02:55:00,291.967,291.594,0.000,291.270,291.259,290.515,291.442,99291.667,291.592,99549.869,
2004-06-01 03:00:00,291.524,291.600,0.000,291.175,291.165,290.402,291.450,99300.000,291.549,99549.884,
2004-06-01 03:05:00,291.931,291.554,0.000,291.273,291.263,290.528,291.408,99308.333,291.568,99549.905,
2004-06-01 03:10:00,291.473,291.508,0.000,291.170,291.161,290.408,291.367,99316.667,291.486,99549.975,
2004-06-01 03:15:00,291.851,291.462,0.000,291.255,291.245,290.521,291.325,99325.000,291.488,99550.009,
2004-06-01 03:20:00,291.402,291.417,0.000,291.149,291.140,290.399,291.283,99333.333,291.404,99550.080,
2004-06-01 03:25:00,291.771,291.371,0.000,291.228,291.219,290.501,291.242,99341.667,291.403,99550.116,
2004-06-01 03:30:00,291.327,291.325,0.000,291.120,291.112,290.377,291.200,99350.000,291.320,99550.187,
2004-06-01 03:35:00,291.694,291.279,0.000,291.196,291.187,290.474,291.158,99358.333,291.317,99550.223,
2004-06-01 03:40:00,291.253,291.233,0.000,291.087,291.079,290.351,291.117,99366.667,291.235,99550.294,
2004-06-01 03:45:00,291.614,291.188,0.000,291.160,291.152,290.444,291.075,99375.000,291.231,99550.331,
2004-06-01 03:50:00,291.178,291.142,0.000,291.050,291.043,290.322,291.033,99383.333,291.149,99550.402,
2004-06-01 03:55:00,291.537,291.096,0.000,291.122,291.115,290.412,290.992,99391.667,291.145,99550.439,
2004-06-01 04:00:00,291.102,291.050,0.000,291.005,290.999,290.278,290.950,99400.000,291.063,99550.510,
2004-06-01 04:05:00,291.403,290.882,0.000,291.049,291.043,290.335,290.808,99400.000,290.982,99550.663,
2004-06-01 04:10:00,290.884,290.719,0.000,290.896,290.891,290.191,290.667,99400.000,290.795,99550.870,
2004-06-01 04:15:00,291.142,290.558,0.000,290.909,290.903,290.260,290.525,99400.000,290.676,99551.048,
2004-06-01 04:20:00,290.593,290.399,0.000,290.968,290.873,290.253,290.383,99400.000,290.482,99551.255,
2004-06-01 04:25:00,290.878,290.242,0.000,291.048,290.955,290.381,290.242,99400.000,290.379,99551.422,
2004-06-01 04:30:00,290.338,290.084,0.000,290.974,290.863,290.241,290.100,99400.000,290.192,99551.627,
2004-06-01 04:35:00,290.960,289.926,0.000,291.184,291.058,290.588,289.958,99400.000,290.157,99551.755,
2004-06-01 04:40:00,290.366,289.769,0.000,291.133,290.996,290.323,289.817,99400.000,290.075,99551.899,
2004-06-01 04:45:00,290.963,289.613,0.000,291.350,291.207,290.712,289.675,99400.000,289.966,99552.056,
2004-06-01 04:50:00,290.230,289.458,0.000,291.266,291.117,290.300,289.533,99400.000,289.842,99552.227,
2004-06-01 04:55:00,290.773,289.303,0.000,291.451,291.306,290.670,289.392,99400.000,289.692,99552.416,
2004-06-01 05:00:00,290.035,289.150,147.688,291.326,291.190,290.200,289.250,99400.000,289.592,99552.577,
2004-06-01 05:05:00,291.164,289.075,148.266,291.663,291.536,290.954,289.208,99408.333,289.991,99552.434,
2004-06-01 05:10:00,290.558,289.002,125.303,291.628,291.514,290.554,289.167,99416.667,290.014,99552.455,
2004-06-01 05:15:00,290.995,288.929,71.925,291.807,291.703,290.897,289.125,99425.000,289.840,99552.595,
2004-06-01 05:20:00,290.190,288.856,58.582,291.646,291.560,290.401,289.083,99433.333,289.627,99552.759,
2004-06-01 05:25:00,290.724,288.784,69.097,291.804,291.727,290.769,289.042,99441.667,289.492,99552.884,
2004-06-01 05:30:00,290.075,288.712,57.028,291.689,291.626,290.347,289.000,99450.000,289.491,99552.937,
2004-06-01 05:35:00,290.639,288.641,67.400,291.900,291.838,290.753,288.958,99458.333,289.371,99553.047,
2004-06-01 05:40:00,289.990,288.570,55.612,291.792,291.746,290.330,288.917,99466.667,289.372,99553.099,
2004-06-01 05:45:00,290.565,288.499,66.052,292.017,291.972,290.749,288.875,99475.000,289.254,99553.207,
2004-06-01 05:50:00,289.916,288.429,54.389,291.905,291.879,290.327,288.833,99483.333,289.260,99553.255,
2004-06-01 05:55:00,290.498,288.359,64.823,292.136,292.113,290.753,288.792,99491.667,289.145,99553.362,
2004-06-01 06:00:00,289.847,288.290,106.539,292.034,292.034,290.335,288.750,99500.000,289.153,99553.409,
2004-06-01 06:05:00,290.626,288.254,65.605,292.364,292.359,290.907,288.842,99508.333,289.228,99553.396,
2004-06-01 06:10:00,289.866,288.216,53.242,292.256,292.276,290.423,288.933,99516.667,289.121,99553.474,
2004-06-01 06:15:00,290.492,288.174,64.304,292.536,292.556,290.905,289.025,99525.000,289.019,99553.559,
2004-06-01 06:20:00,289.877,288.130,53.173,292.464,292.508,290.538,289.117,99533.333,289.062,99553.572,
2004-06-01 06:25:00,290.593,288.082,65.601,292.788,292.831,291.084,289.208,99541.667,288.999,99553.635,
2004-06-01 06:30:00,289.970,288.032,54.278,292.911,292.908,290.839,289.300,99550.000,289.052,99553.645,
