cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:00:00,295.530,291.494,0.000,288.046,288.139,283.560,291.250,99200.000,293.846,99385.460,
2004-06-01 00:05:00,292.568,291.486,0.000,288.313,288.396,282.808,291.258,99200.000,291.782,99386.381,
2004-06-01 00:10:00,291.618,291.491,0.000,288.461,288.534,283.429,291.267,99200.000,291.523,99386.454,
2004-06-01 00:15:00,292.183,291.491,0.000,288.898,288.965,283.767,291.275,99200.000,291.595,99386.435,
2004-06-01 00:20:00,291.462,291.497,0.000,288.992,289.049,283.937,291.283,99200.000,291.496,99386.459,
2004-06-01 00:25:00,293.158,291.499,0.000,289.707,289.759,284.972,291.292,99200.000,291.607,99386.431,
2004-06-01 00:30:00,291.673,291.504,0.000,289.638,289.682,285.744,291.300,99200.000,291.471,99386.461,
2004-06-01 00:35:00,292.786,291.507,0.000,290.118,290.155,287.169,291.308,99200.000,291.539,99386.445,
2004-06-01 00:40:00,291.436,291.513,0.000,289.985,290.017,287.584,291.317,99200.000,291.387,99386.484,
2004-06-01 00:45:00,292.666,291.517,0.000,290.446,290.479,288.722,291.325,99200.000,291.535,99386.445,
2004-06-01 00:50:00,291.461,291.522,0.000,290.330,290.362,288.817,291.333,99200.000,291.431,99386.469,
2004-06-01 00:55:00,292.241,291.526,0.000,290.647,290.680,289.552,291.342,99200.000,291.607,99386.419,
2004-06-01 01:00:00,291.368,291.532,0.000,290.520,290.550,289.436,291.350,99200.000,291.480,99386.452,
2004-06-01 01:05:00,292.346,291.530,0.000,290.822,290.853,289.786,291.350,99200.000,291.650,99386.406,
2004-06-01 01:10:00,291.384,291.530,0.000,290.653,290.681,289.672,291.350,99200.000,291.505,99386.444,
2004-06-01 01:15:00,292.428,291.528,0.000,290.953,290.983,290.102,291.350,99200.000,291.672,99386.400,
2004-06-01 01:20:00,291.380,291.528,0.000,290.750,290.776,289.905,291.350,99200.000,291.514,99386.442,
2004-06-01 01:25:00,292.422,291.527,0.000,291.032,291.060,290.319,291.350,99200.000,291.677,99386.399,
2004-06-01 01:30:00,291.350,291.526,0.000,290.809,290.832,290.065,291.350,99200.000,291.512,99386.443,
2004-06-01 01:35:00,292.425,291.525,0.000,291.089,291.114,290.465,291.350,99200.000,291.679,99386.399,
2004-06-01 01:40:00,291.324,291.525,0.000,290.851,290.873,290.167,291.350,99200.000,291.510,99386.444,
2004-06-01 01:45:00,292.430,291.523,0.000,291.132,291.156,290.566,291.350,99200.000,291.681,99386.399,
2004-06-01 01:50:00,291.301,291.523,0.000,290.883,290.903,290.238,291.350,99200.000,291.508,99386.445,
2004-06-01 01:55:00,292.431,291.522,0.000,291.172,291.189,290.640,291.350,99200.000,291.681,99386.400,
2004-06-01 02:00:00,291.279,291.521,0.000,290.909,290.925,290.285,291.350,99200.000,291.505,99386.447,
2004-06-01 02:05:00,292.427,291.527,0.000,291.189,291.209,290.684,291.358,99208.333,291.684,99386.398,
2004-06-01 02:10:00,291.260,291.532,0.000,290.921,290.938,290.314,291.367,99216.667,291.509,99386.442,
2004-06-01 02:15:00,292.426,291.538,0.000,291.203,291.223,290.717,291.375,99225.000,291.692,99386.391,
2004-06-01 02:20:00,291.246,291.543,0.000,290.932,290.948,290.334,291.383,99233.333,291.516,99386.436,
2004-06-01 02:25:00,292.419,291.549,0.000,291.213,291.232,290.740,291.392,99241.667,291.700,99386.385,
2004-06-01 02:30:00,291.234,291.555,0.000,290.939,290.954,290.348,291.400,99250.000,291.522,99386.430,
