cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0]
6/1/2004 0:00,295.53,291.494,0,288.163,288.034,282.999,291.25,99200,293.846,99385.46
6/1/2004 0:05,292.209,291.486,0,288.314,288.194,282.65,291.258,99200,291.703,99386.403
6/1/2004 0:10,291.72,291.491,0,288.557,288.446,282.866,291.267,99200,291.537,99386.451
6/1/2004 0:15,291.93,291.491,0,288.909,288.805,282.981,291.275,99200,291.553,99386.446
6/1/2004 0:20,292.07,291.497,0,289.239,289.143,283.271,291.283,99200,291.559,99386.443
6/1/2004 0:25,292.033,291.499,0,289.499,289.41,283.935,291.292,99200,291.545,99386.445
6/1/2004 0:30,291.913,291.504,0,289.698,289.617,284.483,291.3,99200,291.518,99386.451
6/1/2004 0:35,291.813,291.507,0,289.87,289.796,285.176,291.308,99200,291.487,99386.459
6/1/2004 0:40,291.746,291.513,0,290.031,289.963,285.791,291.317,99200,291.471,99386.462
6/1/2004 0:45,291.717,291.517,0,290.187,290.134,286.385,291.325,99200,291.467,99386.462
6/1/2004 0:50,291.715,291.522,0,290.35,290.304,286.928,291.333,99200,291.473,99386.459
6/1/2004 0:55,291.726,291.526,0,290.516,290.474,287.435,291.342,99200,291.484,99386.454
6/1/2004 1:00,291.746,291.532,0,290.629,290.59,287.818,291.35,99200,291.498,99386.448
6/1/2004 1:05,291.759,291.53,0,290.717,290.681,288.134,291.35,99200,291.509,99386.445
6/1/2004 1:10,291.771,291.53,0,290.789,290.757,288.443,291.35,99200,291.517,99386.443
6/1/2004 1:15,291.779,291.528,0,290.85,290.819,288.676,291.35,99200,291.524,99386.441
6/1/2004 1:20,291.787,291.528,0,290.902,290.873,288.904,291.35,99200,291.53,99386.44
6/1/2004 1:25,291.791,291.527,0,290.946,290.919,289.077,291.35,99200,291.535,99386.439
6/1/2004 1:30,291.797,291.526,0,290.985,290.96,289.248,291.35,99200,291.539,99386.438
6/1/2004 1:35,291.798,291.525,0,291.019,290.995,289.379,291.35,99200,291.542,99386.437
6/1/2004 1:40,291.801,291.525,0,291.05,291.027,289.508,291.35,99200,291.545,99386.436
6/1/2004 1:45,291.801,291.523,0,291.077,291.055,289.608,291.35,99200,291.547,99386.436
6/1/2004 1:50,291.803,291.523,0,291.101,291.081,289.707,291.35,99200,291.549,99386.436
6/1/2004 1:55,291.801,291.522,0,291.123,291.103,289.785,291.35,99200,291.55,99386.436
6/1/2004 2:00,291.802,291.521,0,291.141,291.122,289.858,291.35,99200,291.551,99386.436
6/1/2004 2:05,291.801,291.527,0,291.157,291.139,289.914,291.358,99208.333,291.555,99386.433
6/1/2004 2:10,291.694,291.532,0,291.138,291.121,289.946,291.367,99216.667,291.556,99386.43
6/1/2004 2:15,291.637,291.538,0,291.12,291.104,289.937,291.375,99225,291.554,99386.429
6/1/2004 2:20,291.651,291.543,0,291.12,291.105,289.835,291.383,99233.333,291.562,99386.425
6/1/2004 2:25,291.689,291.549,0,291.134,291.119,289.772,291.392,99241.667,291.572,99386.42
