cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:00:00,295.530,291.494,0.000,288.153,288.243,282.968,291.250,99200.000,293.846,99385.460,
2004-06-01 00:05:00,292.210,291.486,0.000,288.310,288.391,282.616,291.258,99200.000,291.703,99386.403,
2004-06-01 00:10:00,291.722,291.491,0.000,288.560,288.632,282.831,291.267,99200.000,291.537,99386.450,
2004-06-01 00:15:00,291.736,291.491,0.000,288.858,288.922,282.940,291.275,99200.000,291.531,99386.452,
2004-06-01 00:20:00,291.970,291.497,0.000,289.199,289.256,283.120,291.283,99200.000,291.557,99386.444,
2004-06-01 00:25:00,292.037,291.499,0.000,289.492,289.541,283.595,291.292,99200.000,291.558,99386.442,
2004-06-01 00:30:00,292.001,291.504,0.000,289.730,289.773,284.190,291.300,99200.000,291.541,99386.444,
2004-06-01 00:35:00,291.860,291.507,0.000,289.907,289.944,284.927,291.308,99200.000,291.507,99386.453,
2004-06-01 00:40:00,291.792,291.513,0.000,290.074,290.105,285.565,291.317,99200.000,291.483,99386.458,
2004-06-01 00:45:00,291.727,291.517,0.000,290.224,290.256,286.194,291.325,99200.000,291.472,99386.461,
2004-06-01 00:50:00,291.730,291.522,0.000,290.386,290.417,286.771,291.333,99200.000,291.476,99386.458,
2004-06-01 00:55:00,291.723,291.526,0.000,290.544,290.575,287.297,291.342,99200.000,291.484,99386.454,
2004-06-01 01:00:00,291.752,291.532,0.000,290.655,290.685,287.700,291.350,99200.000,291.498,99386.448,
2004-06-01 01:05:00,291.756,291.530,0.000,290.739,290.768,288.025,291.350,99200.000,291.508,99386.446,
2004-06-01 01:10:00,291.776,291.530,0.000,290.811,290.839,288.350,291.350,99200.000,291.517,99386.443,
2004-06-01 01:15:00,291.777,291.528,0.000,290.868,290.895,288.592,291.350,99200.000,291.523,99386.442,
2004-06-01 01:20:00,291.791,291.528,0.000,290.920,290.946,288.830,291.350,99200.000,291.530,99386.440,
2004-06-01 01:25:00,291.790,291.527,0.000,290.962,290.986,289.010,291.350,99200.000,291.534,99386.439,
2004-06-01 01:30:00,291.800,291.526,0.000,291.001,291.025,289.189,291.350,99200.000,291.539,99386.438,
2004-06-01 01:35:00,291.798,291.525,0.000,291.033,291.056,289.324,291.350,99200.000,291.541,99386.437,
2004-06-01 01:40:00,291.805,291.525,0.000,291.064,291.086,289.459,291.350,99200.000,291.545,99386.436,
2004-06-01 01:45:00,291.801,291.523,0.000,291.089,291.110,289.563,291.350,99200.000,291.546,99386.436,
2004-06-01 01:50:00,291.806,291.523,0.000,291.114,291.134,289.667,291.350,99200.000,291.549,99386.436,
2004-06-01 01:55:00,291.802,291.522,0.000,291.137,291.154,289.747,291.350,99200.000,291.550,99386.436,
2004-06-01 02:00:00,291.805,291.521,0.000,291.154,291.171,289.824,291.350,99200.000,291.551,99386.436,
2004-06-01 02:05:00,291.802,291.527,0.000,291.168,291.185,289.882,291.358,99208.333,291.555,99386.433,
2004-06-01 02:10:00,291.696,291.532,0.000,291.147,291.164,289.916,291.367,99216.667,291.556,99386.430,
2004-06-01 02:15:00,291.638,291.538,0.000,291.128,291.143,289.909,291.375,99225.000,291.554,99386.429,
2004-06-01 02:20:00,291.653,291.543,0.000,291.128,291.143,289.806,291.383,99233.333,291.562,99386.425,
2004-06-01 02:25:00,291.690,291.549,0.000,291.141,291.155,289.743,291.392,99241.667,291.572,99386.420,
2004-06-01 02:30:00,291.706,291.555,0.000,291.153,291.167,289.731,291.400,99250.000,291.580,99386.416,
2004-06-01 02:35:00,291.712,291.560,0.000,291.163,291.177,289.734,291.408,99258.333,291.586,99386.412,
2004-06-01 02:40:00,291.708,291.566,0.000,291.170,291.184,289.727,291.417,99266.667,291.591,99386.409,
2004-06-01 02:45:00,291.708,291.572,0.000,291.177,291.190,289.729,291.425,99275.000,291.595,99386.406,
2004-06-01 02:50:00,291.708,291.578,0.000,291.183,291.195,289.726,291.433,99283.333,291.599,99386.402,
2004-06-01 02:55:00,291.712,291.583,0.000,291.190,291.202,289.727,291.442,99291.667,291.604,99386.399,
2004-06-01 03:00:00,291.715,291.589,0.000,291.198,291.210,289.732,291.450,99300.000,291.610,99386.395,
2004-06-01 03:05:00,291.689,291.544,0.000,291.198,291.210,289.738,291.408,99308.333,291.576,99386.420,
2004-06-01 03:10:00,291.649,291.498,0.000,291.191,291.202,289.739,291.367,99316.667,291.533,99386.449,
2004-06-01 03:15:00,291.608,291.453,0.000,291.180,291.190,289.740,291.325,99325.000,291.489,99386.477,
2004-06-01 03:20:00,291.566,291.408,0.000,291.165,291.175,289.739,291.283,99333.333,291.444,99386.506,
2004-06-01 03:25:00,291.526,291.362,0.000,291.149,291.159,289.737,291.242,99341.667,291.400,99386.535,
2004-06-01 03:30:00,291.485,291.317,0.000,291.131,291.141,289.736,291.200,99350.000,291.356,99386.564,
2004-06-01 03:35:00,291.444,291.271,0.000,291.112,291.121,289.734,291.158,99358.333,291.312,99386.593,
2004-06-01 03:40:00,291.403,291.226,0.000,291.092,291.101,289.732,291.117,99366.667,291.267,99386.622,
2004-06-01 03:45:00,291.361,291.180,0.000,291.072,291.080,289.730,291.075,99375.000,291.223,99386.651,
2004-06-01 03:50:00,291.320,291.134,0.000,291.050,291.058,289.727,291.033,99383.333,291.179,99386.679,
2004-06-01 03:55:00,291.279,291.089,0.000,291.028,291.036,289.724,290.992,99391.667,291.134,99386.708,
2004-06-01 04:00:00,291.238,291.043,0.000,290.999,291.006,289.707,290.950,99400.000,291.090,99386.737,
2004-06-01 04:05:00,291.127,290.877,0.000,290.946,290.952,289.677,290.808,99400.000,290.953,99386.834,
2004-06-01 04:10:00,290.986,290.715,0.000,290.874,290.879,289.662,290.667,99400.000,290.795,99386.938,
2004-06-01 04:15:00,290.828,290.556,0.000,290.785,290.790,289.640,290.525,99400.000,290.635,99387.041,
2004-06-01 04:20:00,290.673,290.398,0.000,290.835,290.926,289.832,290.383,99400.000,290.477,99387.143,
2004-06-01 04:25:00,290.526,290.242,0.000,290.810,290.898,289.873,290.242,99400.000,290.324,99387.243,
2004-06-01 04:30:00,290.378,290.085,0.000,290.794,290.899,289.947,290.100,99400.000,290.169,99387.344,
2004-06-01 04:35:00,290.267,289.928,0.000,290.792,290.910,290.040,289.958,99400.000,290.021,99387.443,
2004-06-01 04:40:00,290.008,289.772,0.000,290.751,290.877,290.033,289.817,99400.000,289.850,99387.548,
2004-06-01 04:45:00,289.986,289.616,0.000,290.768,290.901,290.092,289.675,99400.000,289.722,99387.641,
