cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:00:00,295.530,291.494,0.000,288.112,288.213,282.983,291.250,99200.000,293.846,99385.460,
2004-06-01 00:05:00,292.210,291.486,0.000,288.270,288.362,282.634,291.258,99200.000,291.703,99386.403,
2004-06-01 00:10:00,291.721,291.491,0.000,288.520,288.604,282.849,291.267,99200.000,291.537,99386.451,
2004-06-01 00:15:00,291.933,291.491,0.000,288.880,288.957,282.964,291.275,99200.000,291.554,99386.446,
2004-06-01 00:20:00,292.075,291.497,0.000,289.218,289.287,283.253,291.283,99200.000,291.560,99386.443,
2004-06-01 00:25:00,292.039,291.499,0.000,289.484,289.547,283.919,291.292,99200.000,291.546,99386.445,
2004-06-01 00:30:00,291.919,291.504,0.000,289.689,289.745,284.468,291.300,99200.000,291.520,99386.450,
2004-06-01 00:35:00,291.819,291.507,0.000,289.865,289.915,285.162,291.308,99200.000,291.489,99386.458,
2004-06-01 00:40:00,291.752,291.513,0.000,290.030,290.074,285.779,291.317,99200.000,291.472,99386.462,
2004-06-01 00:45:00,291.721,291.517,0.000,290.194,290.232,286.374,291.325,99200.000,291.468,99386.462,
2004-06-01 00:50:00,291.720,291.522,0.000,290.360,290.394,286.918,291.333,99200.000,291.475,99386.458,
2004-06-01 00:55:00,291.730,291.526,0.000,290.528,290.559,287.426,291.342,99200.000,291.485,99386.454,
2004-06-01 01:00:00,291.750,291.532,0.000,290.641,290.670,287.811,291.350,99200.000,291.500,99386.448,
2004-06-01 01:05:00,291.763,291.530,0.000,290.730,290.757,288.127,291.350,99200.000,291.510,99386.445,
2004-06-01 01:10:00,291.775,291.530,0.000,290.804,290.829,288.438,291.350,99200.000,291.519,99386.442,
2004-06-01 01:15:00,291.783,291.528,0.000,290.865,290.888,288.672,291.350,99200.000,291.525,99386.441,
2004-06-01 01:20:00,291.791,291.528,0.000,290.917,290.939,288.901,291.350,99200.000,291.531,99386.439,
