cur_datetime,canTemp_K,canHum_Ratio,canPres_Pa,sensWaste,coolConsump[J],heatConsump[J],ElecTotal[J],GasTotal[J],wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:05:00,292.417,0.011,99549.444,0.051,0.000,0.000,2413257.665,29339.856,299.847,299.847,298.677,291.258,99200.000,291.744,99386.392,
2004-06-01 00:10:00,291.943,0.011,99549.659,0.051,0.000,0.000,2413257.665,29339.856,299.512,299.512,297.133,291.267,99200.000,291.593,99386.435,
2004-06-01 00:15:00,292.064,0.011,99549.615,0.051,0.000,0.000,2413257.665,29339.856,299.028,299.028,295.501,291.275,99200.000,291.618,99386.428,
2004-06-01 00:20:00,292.178,0.011,99549.563,0.051,0.000,0.000,2413257.665,29339.856,298.604,298.604,294.279,291.283,99200.000,291.653,99386.416,
2004-06-01 00:25:00,292.175,0.011,99549.556,0.051,0.000,0.000,2413257.665,29339.856,298.285,298.285,293.373,291.292,99200.000,291.662,99386.413,
2004-06-01 00:30:00,292.122,0.011,99549.572,0.051,0.000,0.000,2413257.665,29339.856,298.033,298.033,292.689,291.300,99200.000,291.656,99386.412,
2004-06-01 00:35:00,292.062,0.011,99549.594,0.051,0.000,0.000,2413257.665,29339.856,297.827,297.827,292.170,291.308,99200.000,291.642,99386.415,
2004-06-01 00:40:00,292.035,0.011,99549.603,0.051,0.000,0.000,2413257.665,29339.856,297.648,297.648,291.772,291.317,99200.000,291.637,99386.415,
2004-06-01 00:45:00,292.015,0.011,99549.608,0.051,0.000,0.000,2413257.665,29339.856,297.493,297.493,291.464,291.325,99200.000,291.634,99386.414,
2004-06-01 00:50:00,292.010,0.011,99549.606,0.051,0.000,0.000,2413257.665,29339.856,297.356,297.356,291.223,291.333,99200.000,291.636,99386.411,
2004-06-01 00:55:00,291.998,0.011,99549.608,0.051,0.000,0.000,2413257.665,29339.856,297.235,297.235,291.032,291.342,99200.000,291.637,99386.410,
2004-06-01 01:00:00,291.993,0.012,99549.605,0.051,0.000,0.000,2413257.665,29339.856,297.126,297.126,290.881,291.350,99200.000,291.639,99386.407,
2004-06-01 01:05:00,291.978,0.012,99549.612,0.051,0.000,0.000,2413257.665,29339.856,297.028,297.028,290.761,291.350,99200.000,291.636,99386.409,
2004-06-01 01:10:00,291.969,0.011,99549.616,0.051,0.000,0.000,2413257.665,29339.856,296.936,296.936,290.663,291.350,99200.000,291.633,99386.410,
2004-06-01 01:15:00,291.955,0.011,99549.622,0.051,0.000,0.000,2413257.665,29339.856,296.852,296.852,290.582,291.350,99200.000,291.628,99386.411,
2004-06-01 01:20:00,291.948,0.011,99549.626,0.051,0.000,0.000,2413257.665,29339.856,296.772,296.772,290.514,291.350,99200.000,291.626,99386.412,
2004-06-01 01:25:00,291.936,0.011,99549.631,0.051,0.000,0.000,2413257.665,29339.856,296.698,296.698,290.457,291.350,99200.000,291.622,99386.414,
2004-06-01 01:30:00,291.931,0.011,99549.634,0.051,0.000,0.000,2413257.665,29339.856,296.626,296.626,290.408,291.350,99200.000,291.620,99386.414,
2004-06-01 01:35:00,291.920,0.011,99549.639,0.051,0.000,0.000,2413257.665,29339.856,296.560,296.560,290.367,291.350,99200.000,291.617,99386.416,
2004-06-01 01:40:00,291.915,0.011,99549.641,0.051,0.000,0.000,2413257.665,29339.856,296.495,296.495,290.332,291.350,99200.000,291.615,99386.416,
2004-06-01 01:45:00,291.906,0.011,99549.646,0.051,0.000,0.000,2413257.665,29339.856,296.435,296.435,290.302,291.350,99200.000,291.613,99386.418,
2004-06-01 01:50:00,291.901,0.011,99549.648,0.051,0.000,0.000,2413257.665,29339.856,296.376,296.376,290.275,291.350,99200.000,291.611,99386.418,
2004-06-01 01:55:00,291.893,0.011,99549.652,0.051,0.000,0.000,2413257.665,29339.856,296.320,296.320,290.252,291.350,99200.000,291.608,99386.419,
2004-06-01 02:00:00,291.888,0.011,99549.654,0.051,0.000,0.000,2413257.665,29339.856,296.266,296.266,290.232,291.350,99200.000,291.607,99386.420,
2004-06-01 02:05:00,291.884,0.011,99549.652,0.051,0.000,0.000,2413257.665,29339.856,296.215,296.215,290.214,291.358,99208.333,291.609,99386.418,
2004-06-01 02:10:00,291.886,0.011,99549.647,0.051,0.000,0.000,2413257.665,29339.856,296.165,296.165,290.202,291.367,99216.667,291.613,99386.414,
2004-06-01 02:15:00,291.884,0.011,99549.643,0.051,0.000,0.000,2413257.665,29339.856,296.118,296.118,290.193,291.375,99225.000,291.617,99386.411,
2004-06-01 02:20:00,291.886,0.011,99549.638,0.051,0.000,0.000,2413257.665,29339.856,296.073,296.073,290.189,291.383,99233.333,291.622,99386.408,
2004-06-01 02:25:00,291.885,0.011,99549.634,0.051,0.000,0.000,2413257.665,29339.856,296.029,296.029,290.189,291.392,99241.667,291.626,99386.405,
2004-06-01 02:30:00,291.887,0.011,99549.628,0.051,0.000,0.000,2413257.665,29339.856,295.988,295.988,290.192,291.400,99250.000,291.631,99386.401,
2004-06-01 02:35:00,291.886,0.011,99549.624,0.051,0.000,0.000,2413257.665,29339.856,295.948,295.948,290.196,291.408,99258.333,291.635,99386.398,
2004-06-01 02:40:00,291.889,0.011,99549.618,0.051,0.000,0.000,2413257.665,29339.856,295.909,295.909,290.203,291.417,99266.667,291.640,99386.395,
2004-06-01 02:45:00,291.889,0.011,99549.613,0.051,0.000,0.000,2413257.665,29339.856,295.872,295.872,290.212,291.425,99275.000,291.645,99386.391,
