cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0]
6/1/2004 0:00,295.53,291.494,0,288.163,288.034,282.999,291.25,99200,293.846,99385.46
6/1/2004 0:05,292.196,291.486,0,288.31,288.19,282.65,291.258,99200,291.701,99386.404
6/1/2004 0:10,291.695,291.491,0,288.548,288.437,282.864,291.267,99200,291.533,99386.452
6/1/2004 0:15,291.711,291.491,0,288.838,288.734,282.976,291.275,99200,291.527,99386.454
6/1/2004 0:20,291.924,291.497,0,289.165,289.069,283.155,291.283,99200,291.549,99386.446
6/1/2004 0:25,292.006,291.499,0,289.453,289.365,283.631,291.292,99200,291.55,99386.444
6/1/2004 0:30,291.973,291.504,0,289.688,289.607,284.225,291.3,99200,291.534,99386.446
6/1/2004 0:35,291.854,291.507,0,289.87,289.796,284.962,291.308,99200,291.503,99386.454
6/1/2004 0:40,291.785,291.513,0,290.037,289.97,285.599,291.317,99200,291.481,99386.459
6/1/2004 0:45,291.734,291.517,0,290.192,290.139,286.23,291.325,99200,291.472,99386.461
6/1/2004 0:50,291.738,291.522,0,290.358,290.312,286.806,291.333,99200,291.478,99386.457
6/1/2004 0:55,291.743,291.526,0,290.524,290.482,287.333,291.342,99200,291.488,99386.453
6/1/2004 1:00,291.773,291.532,0,290.64,290.602,287.736,291.35,99200,291.504,99386.446
6/1/2004 1:05,291.787,291.53,0,290.731,290.695,288.063,291.35,99200,291.515,99386.443
6/1/2004 1:10,291.808,291.53,0,290.807,290.775,288.388,291.35,99200,291.525,99386.44
6/1/2004 1:15,291.817,291.528,0,290.87,290.84,288.631,291.35,99200,291.533,99386.438
6/1/2004 1:20,291.832,291.528,0,290.926,290.898,288.87,291.35,99200,291.541,99386.437
6/1/2004 1:25,291.838,291.527,0,290.973,290.946,289.051,291.35,99200,291.546,99386.435
6/1/2004 1:30,291.848,291.526,0,291.015,290.99,289.23,291.35,99200,291.551,99386.434
6/1/2004 1:35,291.852,291.525,0,291.052,291.028,289.367,291.35,99200,291.555,99386.433
6/1/2004 1:40,291.859,291.525,0,291.085,291.062,289.503,291.35,99200,291.559,99386.432
6/1/2004 1:45,291.861,291.523,0,291.114,291.093,289.608,291.35,99200,291.562,99386.432
6/1/2004 1:50,291.866,291.523,0,291.141,291.121,289.713,291.35,99200,291.564,99386.431
6/1/2004 1:55,291.866,291.522,0,291.165,291.145,289.794,291.35,99200,291.566,99386.431
