cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:00:00,295.530,291.494,0.000,288.163,288.034,282.999,291.250,99200.000,293.846,99385.460,
2004-06-01 00:05:00,292.152,291.486,0.000,288.296,288.176,282.650,291.258,99200.000,291.696,99386.405,
2004-06-01 00:10:00,291.612,291.491,0.000,288.517,288.406,282.865,291.267,99200.000,291.520,99386.455,
2004-06-01 00:15:00,291.564,291.491,0.000,288.779,288.676,282.975,291.275,99200.000,291.501,99386.461,
2004-06-01 00:20:00,291.593,291.497,0.000,289.036,288.941,283.151,291.283,99200.000,291.495,99386.461,
2004-06-01 00:25:00,291.554,291.499,0.000,289.256,289.169,283.614,291.292,99200.000,291.471,99386.466,
2004-06-01 00:30:00,291.481,291.504,0.000,289.444,289.364,284.180,291.300,99200.000,291.422,99386.478,
2004-06-01 00:35:00,291.383,291.507,0.000,289.603,289.530,284.888,291.308,99200.000,291.368,99386.494,
2004-06-01 00:40:00,291.337,291.513,0.000,289.759,289.693,285.512,291.317,99200.000,291.346,99386.501,
2004-06-01 00:45:00,291.314,291.517,0.000,289.912,289.859,286.136,291.325,99200.000,291.349,99386.499,
2004-06-01 00:50:00,291.331,291.522,0.000,290.076,290.030,286.696,291.333,99200.000,291.361,99386.493,
2004-06-01 00:55:00,291.352,291.526,0.000,290.244,290.202,287.211,291.342,99200.000,291.375,99386.488,
2004-06-01 01:00:00,291.388,291.532,0.000,290.361,290.322,287.603,291.350,99200.000,291.394,99386.480,
2004-06-01 01:05:00,291.413,291.530,0.000,290.454,290.418,287.922,291.350,99200.000,291.409,99386.476,
2004-06-01 01:10:00,291.440,291.530,0.000,290.533,290.500,288.239,291.350,99200.000,291.423,99386.472,
2004-06-01 01:15:00,291.459,291.528,0.000,290.599,290.569,288.478,291.350,99200.000,291.434,99386.469,
2004-06-01 01:20:00,291.479,291.528,0.000,290.657,290.629,288.711,291.350,99200.000,291.444,99386.466,
2004-06-01 01:25:00,291.493,291.527,0.000,290.708,290.681,288.889,291.350,99200.000,291.452,99386.464,
2004-06-01 01:30:00,291.507,291.526,0.000,290.753,290.727,289.064,291.350,99200.000,291.459,99386.462,
2004-06-01 01:35:00,291.518,291.525,0.000,290.792,290.768,289.199,291.350,99200.000,291.465,99386.460,
2004-06-01 01:40:00,291.528,291.525,0.000,290.828,290.805,289.332,291.350,99200.000,291.471,99386.459,
2004-06-01 01:45:00,291.535,291.523,0.000,290.860,290.838,289.436,291.350,99200.000,291.475,99386.458,
2004-06-01 01:50:00,291.543,291.523,0.000,290.889,290.869,289.539,291.350,99200.000,291.479,99386.457,
2004-06-01 01:55:00,291.548,291.522,0.000,290.916,290.896,289.620,291.350,99200.000,291.482,99386.456,
2004-06-01 02:00:00,291.553,291.521,0.000,290.938,290.919,289.696,291.350,99200.000,291.485,99386.455,
2004-06-01 02:05:00,291.558,291.527,0.000,290.958,290.940,289.756,291.358,99208.333,291.490,99386.452,
2004-06-01 02:10:00,291.552,291.532,0.000,290.972,290.955,289.813,291.367,99216.667,291.514,99386.443,
2004-06-01 02:15:00,291.560,291.538,0.000,290.988,290.972,289.825,291.375,99225.000,291.533,99386.435,
2004-06-01 02:20:00,291.577,291.543,0.000,291.006,290.990,289.727,291.383,99233.333,291.544,99386.430,
2004-06-01 02:25:00,291.597,291.549,0.000,291.026,291.011,289.669,291.392,99241.667,291.551,99386.426,
2004-06-01 02:30:00,291.604,291.555,0.000,291.042,291.028,289.664,291.400,99250.000,291.557,99386.423,
2004-06-01 02:35:00,291.610,291.560,0.000,291.056,291.043,289.671,291.408,99258.333,291.562,99386.419,
2004-06-01 02:40:00,291.610,291.566,0.000,291.068,291.055,289.669,291.417,99266.667,291.566,99386.416,
2004-06-01 02:45:00,291.614,291.572,0.000,291.079,291.067,289.676,291.425,99275.000,291.572,99386.412,
2004-06-01 02:50:00,291.618,291.578,0.000,291.089,291.077,289.677,291.433,99283.333,291.577,99386.409,
2004-06-01 02:55:00,291.623,291.583,0.000,291.099,291.088,289.680,291.442,99291.667,291.583,99386.405,
2004-06-01 03:00:00,291.627,291.589,0.000,291.111,291.100,289.689,291.450,99300.000,291.588,99386.401,
2004-06-01 03:05:00,291.603,291.544,0.000,291.114,291.104,289.697,291.408,99308.333,291.555,99386.426,
2004-06-01 03:10:00,291.565,291.498,0.000,291.110,291.100,289.700,291.367,99316.667,291.513,99386.454,
2004-06-01 03:15:00,291.525,291.453,0.000,291.101,291.092,289.703,291.325,99325.000,291.469,99386.483,
2004-06-01 03:20:00,291.483,291.408,0.000,291.089,291.080,289.703,291.283,99333.333,291.425,99386.512,
2004-06-01 03:25:00,291.441,291.362,0.000,291.074,291.066,289.702,291.242,99341.667,291.381,99386.541,
2004-06-01 03:30:00,291.400,291.317,0.000,291.058,291.050,289.702,291.200,99350.000,291.337,99386.569,
2004-06-01 03:35:00,291.358,291.271,0.000,291.040,291.032,289.700,291.158,99358.333,291.292,99386.598,
2004-06-01 03:40:00,291.316,291.226,0.000,291.022,291.014,289.699,291.117,99366.667,291.248,99386.627,
2004-06-01 03:45:00,291.274,291.180,0.000,291.002,290.994,289.697,291.075,99375.000,291.203,99386.656,
2004-06-01 03:50:00,291.231,291.134,0.000,290.981,290.974,289.695,291.033,99383.333,291.159,99386.685,
2004-06-01 03:55:00,291.189,291.089,0.000,290.960,290.953,289.692,290.992,99391.667,291.114,99386.714,
2004-06-01 04:00:00,291.147,291.043,0.000,290.932,290.925,289.675,290.950,99400.000,291.070,99386.743,
2004-06-01 04:05:00,291.036,290.877,0.000,290.880,290.874,289.645,290.808,99400.000,290.934,99386.840,
2004-06-01 04:10:00,290.894,290.715,0.000,290.808,290.803,289.629,290.667,99400.000,290.777,99386.943,
2004-06-01 04:15:00,290.737,290.556,0.000,290.722,290.717,289.606,290.525,99400.000,290.616,99387.046,
2004-06-01 04:20:00,290.581,290.398,0.000,290.865,290.770,289.795,290.383,99400.000,290.458,99387.148,
2004-06-01 04:25:00,290.433,290.242,0.000,290.842,290.749,289.833,290.242,99400.000,290.304,99387.248,
2004-06-01 04:30:00,290.284,290.085,0.000,290.848,290.737,289.905,290.100,99400.000,290.150,99387.349,
2004-06-01 04:35:00,290.162,289.928,0.000,290.861,290.735,289.986,289.958,99400.000,289.999,99387.449,
2004-06-01 04:40:00,289.943,289.772,0.000,290.846,290.709,289.990,289.817,99400.000,289.834,99387.553,
2004-06-01 04:45:00,289.875,289.616,0.000,290.865,290.720,290.031,289.675,99400.000,289.698,99387.648,
2004-06-01 04:50:00,289.711,289.462,0.000,290.865,290.715,290.036,289.533,99400.000,289.553,99387.745,
2004-06-01 04:55:00,289.653,289.308,0.000,290.886,290.738,290.047,289.392,99400.000,289.422,99387.838,
2004-06-01 05:00:00,289.467,289.155,104.578,290.855,290.718,290.002,289.250,99400.000,289.271,99387.937,
2004-06-01 05:05:00,289.711,289.082,89.535,290.939,290.813,290.108,289.208,99408.333,289.330,99387.947,
2004-06-01 05:10:00,289.559,289.010,86.079,290.941,290.829,290.068,289.167,99416.667,289.244,99387.997,
2004-06-01 05:15:00,289.544,288.939,42.712,290.963,290.865,290.097,289.125,99425.000,289.175,99388.043,
2004-06-01 05:20:00,289.368,288.867,40.840,290.936,290.853,290.067,289.083,99433.333,289.066,99388.100,
2004-06-01 05:25:00,289.361,288.797,40.593,290.945,290.876,290.076,289.042,99441.667,289.006,99388.144,
2004-06-01 05:30:00,289.249,288.726,39.266,290.955,290.896,290.073,289.000,99450.000,288.932,99388.190,
2004-06-01 05:35:00,289.228,288.656,38.624,290.996,290.946,290.104,288.958,99458.333,288.868,99388.234,
2004-06-01 05:40:00,289.133,288.587,37.600,291.021,290.982,290.114,288.917,99466.667,288.798,99388.280,
2004-06-01 05:45:00,289.125,288.517,37.176,291.071,291.043,290.158,288.875,99475.000,288.743,99388.321,
2004-06-01 05:50:00,289.039,288.448,36.268,291.101,291.085,290.172,288.833,99483.333,288.677,99388.365,
2004-06-01 05:55:00,289.022,288.380,35.795,291.148,291.147,290.212,288.792,99491.667,288.619,99388.407,
2004-06-01 06:00:00,288.939,288.311,69.834,291.196,291.208,290.242,288.750,99500.000,288.553,99388.451,
2004-06-01 06:05:00,289.037,288.281,35.590,291.313,291.333,290.351,288.842,99508.333,288.571,99388.457,
2004-06-01 06:10:00,288.920,288.247,34.444,291.374,291.407,290.387,288.933,99516.667,288.504,99388.488,
2004-06-01 06:15:00,288.940,288.210,34.450,291.471,291.516,290.497,289.025,99525.000,288.474,99388.511,
2004-06-01 06:20:00,288.919,288.169,34.099,291.563,291.621,290.595,289.117,99533.333,288.447,99388.533,
2004-06-01 06:25:00,288.961,288.125,34.271,291.679,291.750,290.726,289.208,99541.667,288.426,99388.555,
2004-06-01 06:30:00,288.940,288.078,33.905,291.963,291.975,291.033,289.300,99550.000,288.394,99388.581,
2004-06-01 06:35:00,288.995,288.029,34.151,292.400,292.274,291.417,289.392,99558.333,288.374,99388.605,
2004-06-01 06:40:00,289.008,287.976,34.043,292.797,292.581,291.803,289.483,99566.667,288.351,99388.631,
2004-06-01 06:45:00,289.080,287.921,34.398,293.205,292.920,292.284,289.575,99575.000,288.335,99388.655,
2004-06-01 06:50:00,289.107,287.864,34.368,293.589,293.258,292.763,289.667,99583.333,288.313,99388.682,
2004-06-01 06:55:00,289.183,287.804,34.724,293.972,293.619,293.315,289.758,99591.667,288.296,99388.709,
2004-06-01 07:00:00,289.219,287.742,69.476,294.425,294.009,293.843,289.850,99600.000,288.274,99388.737,
2004-06-01 07:05:00,289.486,287.819,38.115,294.888,294.464,294.506,290.033,99600.000,288.411,99388.672,
2004-06-01 07:10:00,289.603,287.891,39.284,295.292,294.895,295.057,290.217,99600.000,288.493,99388.620,
2004-06-01 07:15:00,289.795,287.961,40.693,295.694,295.352,295.658,290.400,99600.000,288.603,99388.563,
2004-06-01 07:20:00,289.975,288.027,41.935,296.075,295.816,296.249,290.583,99600.000,288.714,99388.506,
2004-06-01 07:25:00,290.159,288.091,43.156,296.438,296.289,296.850,290.767,99600.000,288.820,99388.451,
2004-06-01 07:30:00,290.336,288.152,44.292,296.619,296.598,297.384,290.950,99600.000,288.924,99388.399,
2004-06-01 07:35:00,290.513,288.211,45.381,296.916,296.768,297.927,291.133,99600.000,289.024,99388.348,
2004-06-01 07:40:00,290.681,288.268,46.376,297.292,296.929,298.478,291.317,99600.000,289.121,99388.298,
2004-06-01 07:45:00,290.854,288.324,47.372,297.712,297.088,299.035,291.500,99600.000,289.218,99388.250,
