cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:00:00,295.507,291.494,0.000,288.047,288.207,282.997,291.250,99200.000,293.818,99385.475,
2004-06-01 00:05:00,292.342,291.486,0.000,288.253,288.402,282.655,291.258,99200.000,291.721,99386.399,
2004-06-01 00:10:00,291.952,291.491,0.000,288.552,288.692,282.870,291.267,99200.000,291.581,99386.438,
2004-06-01 00:15:00,292.095,291.491,0.000,288.912,289.046,282.993,291.275,99200.000,291.606,99386.432,
2004-06-01 00:20:00,292.697,291.497,0.000,289.398,289.524,283.173,291.283,99200.000,291.702,99386.404,
2004-06-01 00:25:00,292.852,291.499,0.000,289.784,289.905,283.635,291.292,99200.000,291.740,99386.392,
2004-06-01 00:30:00,292.874,291.504,0.000,290.095,290.213,284.245,291.300,99200.000,291.773,99386.380,
2004-06-01 00:35:00,292.668,291.507,0.000,290.299,290.414,284.983,291.308,99200.000,291.760,99386.380,
2004-06-01 00:40:00,292.618,291.513,0.000,290.498,290.611,285.618,291.317,99200.000,291.742,99386.383,
2004-06-01 00:45:00,292.492,291.517,0.000,290.656,290.767,286.239,291.325,99200.000,291.716,99386.389,
2004-06-01 00:50:00,292.516,291.522,0.000,290.838,290.947,286.832,291.333,99200.000,291.716,99386.388,
2004-06-01 00:55:00,292.449,291.526,0.000,290.993,291.100,287.370,291.342,99200.000,291.712,99386.387,
2004-06-01 01:00:00,292.500,291.532,0.000,291.116,291.221,287.795,291.350,99200.000,291.725,99386.382,
2004-06-01 01:05:00,292.443,291.530,0.000,291.190,291.291,288.130,291.350,99200.000,291.722,99386.383,
2004-06-01 01:10:00,292.488,291.530,0.000,291.270,291.369,288.480,291.350,99200.000,291.729,99386.381,
2004-06-01 01:15:00,292.428,291.528,0.000,291.314,291.409,288.729,291.350,99200.000,291.723,99386.383,
2004-06-01 01:20:00,292.472,291.528,0.000,291.372,291.465,288.991,291.350,99200.000,291.729,99386.382,
