cur_datetime,canTemp_K,canHum_Ratio,canPres_Pa,sensWaste,coolConsump[J],heatConsump[J],ElecTotal[J],wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:05:00,293.500,0.013,99549.153,0.051,0.000,0.000,2413257.665,299.901,299.901,298.677,291.258,99200.000,291.863,99386.359,
2004-06-01 00:10:00,292.169,0.012,99549.653,0.051,0.000,0.000,2413257.665,299.637,299.637,289.394,291.267,99200.000,291.556,99386.444,
2004-06-01 00:15:00,292.750,0.013,99549.525,0.051,0.000,0.000,2413257.665,299.168,299.168,289.758,291.275,99200.000,291.590,99386.436,
2004-06-01 00:20:00,292.591,0.012,99549.568,0.051,0.000,0.000,2413257.665,298.795,298.795,289.773,291.283,99200.000,291.552,99386.444,
2004-06-01 00:25:00,293.351,0.014,99549.401,0.051,0.000,0.000,2413257.665,298.449,298.449,289.955,291.292,99200.000,291.612,99386.428,
2004-06-01 00:30:00,292.486,0.013,99549.612,0.051,0.000,0.000,2413257.665,298.255,298.255,290.056,291.300,99200.000,291.533,99386.445,
2004-06-01 00:35:00,293.028,0.013,99549.429,0.051,0.000,0.000,2413257.665,298.031,298.031,290.549,291.308,99200.000,291.643,99386.415,
2004-06-01 00:40:00,292.196,0.012,99549.682,0.051,0.000,0.000,2413257.665,297.912,297.912,290.067,291.317,99200.000,291.513,99386.448,
2004-06-01 00:45:00,292.841,0.013,99549.445,0.051,0.000,0.000,2413257.665,297.706,297.706,290.823,291.325,99200.000,291.652,99386.410,
2004-06-01 00:50:00,291.998,0.012,99549.744,0.051,0.000,0.000,2413257.665,297.619,297.619,289.818,291.333,99200.000,291.485,99386.453,
2004-06-01 00:55:00,292.768,0.013,99549.450,0.051,0.000,0.000,2413257.665,297.424,297.424,290.737,291.342,99200.000,291.653,99386.406,
2004-06-01 01:00:00,291.913,0.012,99549.756,0.051,0.000,0.000,2413257.665,297.367,297.367,289.881,291.350,99200.000,291.485,99386.449,
2004-06-01 01:05:00,292.749,0.013,99549.440,0.051,0.000,0.000,2413257.665,297.186,297.186,290.762,291.350,99200.000,291.665,99386.401,
2004-06-01 01:10:00,291.813,0.012,99549.780,0.051,0.000,0.000,2413257.665,297.153,297.153,289.903,291.350,99200.000,291.478,99386.451,
2004-06-01 01:15:00,292.740,0.013,99549.436,0.051,0.000,0.000,2413257.665,296.981,296.981,290.781,291.350,99200.000,291.669,99386.401,
2004-06-01 01:20:00,291.685,0.012,99549.820,0.051,0.000,0.000,2413257.665,296.967,296.967,289.825,291.350,99200.000,291.460,99386.457,
2004-06-01 01:25:00,292.742,0.013,99549.433,0.051,0.000,0.000,2413257.665,296.798,296.798,290.751,291.350,99200.000,291.671,99386.401,
2004-06-01 01:30:00,291.548,0.012,99549.861,0.051,0.000,0.000,2413257.665,296.798,296.798,289.750,291.350,99200.000,291.441,99386.463,
2004-06-01 01:35:00,292.763,0.013,99549.425,0.051,0.000,0.000,2413257.665,296.631,296.631,290.718,291.350,99200.000,291.675,99386.401,
2004-06-01 01:40:00,291.396,0.012,99549.905,0.051,0.000,0.000,2413257.665,296.641,296.641,289.689,291.350,99200.000,291.421,99386.469,
2004-06-01 01:45:00,292.799,0.013,99549.413,0.051,0.000,0.000,2413257.665,296.475,296.475,290.693,291.350,99200.000,291.681,99386.400,
2004-06-01 01:50:00,291.228,0.012,99549.955,0.051,0.000,0.000,2413257.665,296.495,296.495,289.578,291.350,99200.000,291.398,99386.476,
2004-06-01 01:55:00,292.843,0.013,99549.399,0.051,0.000,0.000,2413257.665,296.329,296.329,290.648,291.350,99200.000,291.687,99386.399,
