cur_datetime,canTemp_K,canHum_Ratio,canPres_Pa,sensWaste,coolConsump[J],heatConsump[J],ElecTotal[J],wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:05:00,292.719,0.012,99549.380,0.000,0.000,0.000,2413257.665,299.877,299.877,282.888,291.258,99200.000,291.763,99386.386,
2004-06-01 00:10:00,292.014,0.012,99549.667,0.000,0.000,0.000,2413257.665,299.579,299.579,283.576,291.267,99200.000,291.573,99386.440,
2004-06-01 00:15:00,292.326,0.012,99549.578,0.000,0.000,0.000,2413257.665,299.077,299.077,283.833,291.275,99200.000,291.613,99386.430,
2004-06-01 00:20:00,292.668,0.013,99549.477,0.000,0.000,0.000,2413257.665,298.668,298.668,284.247,291.283,99200.000,291.646,99386.418,
2004-06-01 00:25:00,293.230,0.013,99549.395,0.000,0.000,0.000,2413257.665,298.348,298.348,285.377,291.292,99200.000,291.641,99386.419,
2004-06-01 00:30:00,292.513,0.013,99549.652,0.000,0.000,0.000,2413257.665,298.144,298.144,286.505,291.300,99200.000,291.515,99386.449,
2004-06-01 00:35:00,292.762,0.013,99549.647,0.000,0.000,0.000,2413257.665,297.984,297.984,287.855,291.308,99200.000,291.473,99386.462,
2004-06-01 00:40:00,292.125,0.013,99549.788,0.000,0.000,0.000,2413257.665,297.837,297.837,288.484,291.317,99200.000,291.421,99386.476,
2004-06-01 00:45:00,292.721,0.013,99549.609,0.000,0.000,0.000,2413257.665,297.690,297.690,289.381,291.325,99200.000,291.510,99386.451,
2004-06-01 00:50:00,292.128,0.013,99549.705,0.000,0.000,0.000,2413257.665,297.557,297.557,289.700,291.333,99200.000,291.506,99386.449,
2004-06-01 00:55:00,292.314,0.013,99549.584,0.000,0.000,0.000,2413257.665,297.435,297.435,290.183,291.342,99200.000,291.615,99386.415,
2004-06-01 01:00:00,291.762,0.012,99549.710,0.000,0.000,0.000,2413257.665,297.334,297.334,290.153,291.350,99200.000,291.568,99386.427,
2004-06-01 01:05:00,292.106,0.012,99549.600,0.000,0.000,0.000,2413257.665,297.186,297.186,290.117,291.350,99200.000,291.626,99386.411,
2004-06-01 01:10:00,291.842,0.012,99549.679,0.000,0.000,0.000,2413257.665,297.080,297.080,290.088,291.350,99200.000,291.586,99386.423,
2004-06-01 01:15:00,292.316,0.013,99549.539,0.000,0.000,0.000,2413257.665,296.964,296.964,290.271,291.350,99200.000,291.653,99386.405,
2004-06-01 01:20:00,291.851,0.012,99549.671,0.000,0.000,0.000,2413257.665,296.894,296.894,290.217,291.350,99200.000,291.593,99386.421,
2004-06-01 01:25:00,292.310,0.013,99549.541,0.000,0.000,0.000,2413257.665,296.806,296.806,290.430,291.350,99200.000,291.654,99386.405,
2004-06-01 01:30:00,291.809,0.012,99549.686,0.000,0.000,0.000,2413257.665,296.751,296.751,290.336,291.350,99200.000,291.585,99386.424,
2004-06-01 01:35:00,292.298,0.012,99549.546,0.000,0.000,0.000,2413257.665,296.666,296.666,290.532,291.350,99200.000,291.651,99386.406,
2004-06-01 01:40:00,291.796,0.012,99549.690,0.000,0.000,0.000,2413257.665,296.617,296.617,290.419,291.350,99200.000,291.583,99386.425,
2004-06-01 01:45:00,292.312,0.012,99549.543,0.000,0.000,0.000,2413257.665,296.535,296.535,290.616,291.350,99200.000,291.652,99386.407,
2004-06-01 01:50:00,291.792,0.012,99549.692,0.000,0.000,0.000,2413257.665,296.494,296.494,290.489,291.350,99200.000,291.582,99386.426,
2004-06-01 01:55:00,292.310,0.012,99549.544,0.000,0.000,0.000,2413257.665,296.416,296.416,290.684,291.350,99200.000,291.651,99386.407,
2004-06-01 02:00:00,291.783,0.012,99549.696,0.000,0.000,0.000,2413257.665,296.381,296.381,290.542,291.350,99200.000,291.580,99386.427,
2004-06-01 02:05:00,292.307,0.012,99549.542,0.000,0.000,0.000,2413257.665,296.306,296.306,290.731,291.358,99208.333,291.654,99386.405,
2004-06-01 02:10:00,291.784,0.012,99549.686,0.000,0.000,0.000,2413257.665,296.276,296.276,290.584,291.367,99216.667,291.588,99386.421,
2004-06-01 02:15:00,292.312,0.012,99549.531,0.000,0.000,0.000,2413257.665,296.204,296.204,290.771,291.375,99225.000,291.664,99386.398,
2004-06-01 02:20:00,291.787,0.012,99549.676,0.000,0.000,0.000,2413257.665,296.180,296.180,290.619,291.383,99233.333,291.598,99386.414,
2004-06-01 02:25:00,292.309,0.012,99549.522,0.000,0.000,0.000,2413257.665,296.110,296.110,290.803,291.392,99241.667,291.673,99386.392,
2004-06-01 02:30:00,291.787,0.011,99549.666,0.000,0.000,0.000,2413257.665,296.090,296.090,290.647,291.400,99250.000,291.607,99386.408,
2004-06-01 02:35:00,292.309,0.012,99549.512,0.000,0.000,0.000,2413257.665,296.021,296.021,290.829,291.408,99258.333,291.682,99386.385,
2004-06-01 02:40:00,291.789,0.011,99549.656,0.000,0.000,0.000,2413257.665,296.006,296.006,290.671,291.417,99266.667,291.617,99386.401,
2004-06-01 02:45:00,292.307,0.012,99549.502,0.000,0.000,0.000,2413257.665,295.938,295.938,290.851,291.425,99275.000,291.691,99386.378,
2004-06-01 02:50:00,291.792,0.011,99549.645,0.000,0.000,0.000,2413257.665,295.926,295.926,290.692,291.433,99283.333,291.627,99386.394,
