cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:05:00,292.219,291.486,0.000,288.237,288.387,282.913,291.258,99200.000,291.679,99386.408,
2004-06-01 00:10:00,291.380,291.491,0.000,288.375,288.518,283.925,291.267,99200.000,291.463,99386.470,
2004-06-01 00:15:00,290.982,291.491,0.000,288.502,288.640,284.853,291.275,99200.000,291.278,99386.520,
2004-06-01 00:20:00,289.802,291.497,0.000,288.335,288.473,285.809,291.283,99200.000,290.901,99386.614,
2004-06-01 00:25:00,289.586,291.499,0.000,288.317,288.452,286.612,291.292,99200.000,290.304,99386.726,
2004-06-01 00:30:00,289.363,291.504,0.000,288.318,288.451,287.004,291.300,99200.000,289.804,99386.873,
2004-06-01 00:35:00,289.701,291.507,0.000,288.491,288.619,287.703,291.308,99200.000,289.744,99387.097,
2004-06-01 00:40:00,289.755,291.513,0.000,288.647,288.772,288.216,291.317,99200.000,290.420,99386.870,
2004-06-01 00:45:00,290.406,291.517,0.000,288.991,289.112,288.934,291.325,99200.000,290.899,99386.637,
2004-06-01 00:50:00,290.045,291.522,0.000,289.108,289.225,288.987,291.333,99200.000,290.546,99386.805,
2004-06-01 00:55:00,290.572,291.526,0.000,289.422,289.536,289.437,291.342,99200.000,290.647,99386.797,
2004-06-01 01:00:00,290.476,291.532,0.000,289.556,289.667,289.574,291.350,99200.000,291.028,99386.598,
2004-06-01 01:05:00,290.937,291.530,0.000,289.802,289.908,289.964,291.350,99200.000,291.092,99386.579,
2004-06-01 01:10:00,290.689,291.530,0.000,289.864,289.967,289.925,291.350,99200.000,291.102,99386.580,
2004-06-01 01:15:00,291.110,291.528,0.000,290.063,290.163,290.230,291.350,99200.000,291.138,99386.569,
2004-06-01 01:20:00,291.115,291.528,0.000,290.176,290.272,290.317,291.350,99200.000,291.326,99386.507,
2004-06-01 01:25:00,291.436,291.527,0.000,290.357,290.450,290.546,291.350,99200.000,291.456,99386.463,
2004-06-01 01:30:00,291.348,291.526,0.000,290.435,290.525,290.416,291.350,99200.000,291.468,99386.458,
2004-06-01 01:35:00,291.490,291.525,0.000,290.546,290.633,290.437,291.350,99200.000,291.476,99386.456,
2004-06-01 01:40:00,291.290,291.525,0.000,290.558,290.641,290.398,291.350,99200.000,291.446,99386.465,
2004-06-01 01:45:00,291.469,291.523,0.000,290.645,290.726,290.502,291.350,99200.000,291.454,99386.463,
2004-06-01 01:50:00,291.285,291.523,0.000,290.642,290.720,290.454,291.350,99200.000,291.436,99386.469,
2004-06-01 01:55:00,291.468,291.522,0.000,290.718,290.794,290.557,291.350,99200.000,291.454,99386.464,
2004-06-01 02:00:00,291.302,291.521,0.000,290.709,290.782,290.505,291.350,99200.000,291.442,99386.468,
2004-06-01 02:05:00,291.476,291.527,0.000,290.774,290.845,290.593,291.358,99208.333,291.463,99386.460,
2004-06-01 02:10:00,291.316,291.532,0.000,290.760,290.829,290.539,291.367,99216.667,291.455,99386.460,
2004-06-01 02:15:00,291.483,291.538,0.000,290.818,290.885,290.621,291.375,99225.000,291.475,99386.453,
