cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:05:00,292.634,291.486,0.000,288.443,288.321,282.914,291.258,99200.000,291.808,99386.374,
2004-06-01 00:10:00,291.643,291.491,0.000,288.585,288.473,283.542,291.267,99200.000,291.531,99386.452,
2004-06-01 00:15:00,292.227,291.491,0.000,289.023,288.918,283.953,291.275,99200.000,291.617,99386.429,
2004-06-01 00:20:00,291.524,291.497,0.000,289.125,289.030,284.084,291.283,99200.000,291.517,99386.453,
2004-06-01 00:25:00,292.661,291.499,0.000,289.661,289.571,284.984,291.292,99200.000,291.676,99386.411,
2004-06-01 00:30:00,291.512,291.504,0.000,289.637,289.556,285.603,291.300,99200.000,291.510,99386.451,
2004-06-01 00:35:00,292.492,291.507,0.000,290.069,289.994,286.527,291.308,99200.000,291.672,99386.408,
2004-06-01 00:40:00,291.369,291.513,0.000,289.996,289.929,287.004,291.317,99200.000,291.477,99386.458,
2004-06-01 00:45:00,292.483,291.517,0.000,290.428,290.376,287.756,291.325,99200.000,291.677,99386.403,
2004-06-01 00:50:00,291.338,291.522,0.000,290.337,290.291,288.064,291.333,99200.000,291.487,99386.452,
2004-06-01 00:55:00,292.554,291.526,0.000,290.793,290.751,288.799,291.342,99200.000,291.707,99386.392,
2004-06-01 01:00:00,291.348,291.532,0.000,290.629,290.590,288.860,291.350,99200.000,291.512,99386.441,
2004-06-01 01:05:00,292.608,291.530,0.000,291.010,290.975,289.454,291.350,99200.000,291.729,99386.384,
2004-06-01 01:10:00,291.342,291.530,0.000,290.791,290.758,289.369,291.350,99200.000,291.522,99386.439,
2004-06-01 01:15:00,292.641,291.528,0.000,291.151,291.121,289.915,291.350,99200.000,291.739,99386.382,
2004-06-01 01:20:00,291.326,291.528,0.000,290.900,290.871,289.703,291.350,99200.000,291.526,99386.438,
2004-06-01 01:25:00,292.667,291.527,0.000,291.252,291.225,290.224,291.350,99200.000,291.746,99386.381,
2004-06-01 01:30:00,291.305,291.526,0.000,290.977,290.952,289.925,291.350,99200.000,291.527,99386.438,
2004-06-01 01:35:00,292.678,291.525,0.000,291.326,291.301,290.434,291.350,99200.000,291.748,99386.380,
2004-06-01 01:40:00,291.281,291.525,0.000,291.033,291.010,290.073,291.350,99200.000,291.526,99386.439,
2004-06-01 01:45:00,292.680,291.523,0.000,291.380,291.358,290.577,291.350,99200.000,291.749,99386.381,
2004-06-01 01:50:00,291.255,291.523,0.000,291.074,291.054,290.173,291.350,99200.000,291.523,99386.441,
2004-06-01 01:55:00,292.673,291.522,0.000,291.420,291.400,290.675,291.350,99200.000,291.746,99386.382,
2004-06-01 02:00:00,291.230,291.521,0.000,291.104,291.085,290.238,291.350,99200.000,291.518,99386.442,
2004-06-01 02:05:00,292.663,291.527,0.000,291.446,291.427,290.736,291.358,99208.333,291.747,99386.380,
2004-06-01 02:10:00,291.208,291.532,0.000,291.122,291.106,290.280,291.367,99216.667,291.522,99386.438,
2004-06-01 02:15:00,292.653,291.538,0.000,291.463,291.447,290.779,291.375,99225.000,291.754,99386.374,
2004-06-01 02:20:00,291.192,291.543,0.000,291.136,291.121,290.308,291.383,99233.333,291.527,99386.432,
2004-06-01 02:25:00,292.636,291.549,0.000,291.474,291.459,290.807,291.392,99241.667,291.759,99386.369,
2004-06-01 02:30:00,291.177,291.555,0.000,291.146,291.132,290.328,291.400,99250.000,291.532,99386.427,
2004-06-01 02:35:00,292.617,291.560,0.000,291.480,291.467,290.826,291.408,99258.333,291.764,99386.364,
2004-06-01 02:40:00,291.162,291.566,0.000,291.152,291.139,290.340,291.417,99266.667,291.536,99386.422,
2004-06-01 02:45:00,292.596,291.572,0.000,291.483,291.471,290.838,291.425,99275.000,291.768,99386.358,
2004-06-01 02:50:00,291.152,291.578,0.000,291.156,291.145,290.350,291.433,99283.333,291.542,99386.416,
2004-06-01 02:55:00,292.574,291.583,0.000,291.483,291.472,290.844,291.442,99291.667,291.772,99386.353,
2004-06-01 03:00:00,291.143,291.589,0.000,291.161,291.150,290.361,291.450,99300.000,291.547,99386.410,
2004-06-01 03:05:00,292.524,291.544,0.000,291.479,291.468,290.847,291.408,99308.333,291.739,99386.376,
2004-06-01 03:10:00,291.093,291.498,0.000,291.152,291.142,290.357,291.367,99316.667,291.479,99386.461,
2004-06-01 03:15:00,292.421,291.453,0.000,291.451,291.441,290.815,291.325,99325.000,291.646,99386.435,
2004-06-01 03:20:00,291.027,291.408,0.000,291.127,291.119,290.337,291.283,99333.333,291.394,99386.517,
2004-06-01 03:25:00,292.321,291.362,0.000,291.415,291.406,290.774,291.242,99341.667,291.553,99386.493,
2004-06-01 03:30:00,290.962,291.317,0.000,291.096,291.088,290.309,291.200,99350.000,291.310,99386.574,
2004-06-01 03:35:00,292.214,291.271,0.000,291.372,291.363,290.724,291.158,99358.333,291.459,99386.553,
2004-06-01 03:40:00,290.902,291.226,0.000,291.062,291.055,290.280,291.117,99366.667,291.226,99386.630,
2004-06-01 03:45:00,292.101,291.180,0.000,291.324,291.316,290.671,291.075,99375.000,291.364,99386.612,
2004-06-01 03:50:00,290.838,291.134,0.000,291.023,291.016,290.248,291.033,99383.333,291.141,99386.687,
2004-06-01 03:55:00,291.988,291.089,0.000,291.272,291.265,290.617,290.992,99391.667,291.268,99386.672,
2004-06-01 04:00:00,290.779,291.043,0.000,290.977,290.971,290.205,290.950,99400.000,291.056,99386.744,
2004-06-01 04:05:00,291.809,290.877,0.000,291.182,291.176,290.516,290.808,99400.000,291.085,99386.798,
2004-06-01 04:10:00,290.546,290.715,0.000,290.857,290.851,290.097,290.667,99400.000,290.783,99386.937,
2004-06-01 04:15:00,291.525,290.556,0.000,291.027,291.021,290.433,290.525,99400.000,290.774,99387.003,
2004-06-01 04:20:00,290.217,290.398,0.000,290.909,290.814,290.087,290.383,99400.000,290.458,99387.144,
2004-06-01 04:25:00,291.365,290.242,0.000,291.185,291.092,290.567,290.242,99400.000,290.498,99387.195,
2004-06-01 04:30:00,289.967,290.085,0.000,290.921,290.810,290.012,290.100,99400.000,290.173,99387.339,
2004-06-01 04:35:00,291.736,289.928,0.000,291.409,291.285,291.015,289.958,99400.000,290.325,99387.358,
2004-06-01 04:40:00,289.924,289.772,0.000,291.095,290.958,289.982,289.817,99400.000,289.961,99387.510,
2004-06-01 04:45:00,291.251,289.616,0.000,291.444,291.301,290.847,289.675,99400.000,290.032,99387.548,
2004-06-01 04:50:00,289.509,289.462,0.000,291.096,290.948,289.738,289.533,99400.000,289.565,99387.739,
2004-06-01 04:55:00,290.832,289.308,0.000,291.414,291.269,290.592,289.392,99400.000,289.681,99387.764,
2004-06-01 05:00:00,289.153,289.155,109.099,291.034,290.899,289.513,289.250,99400.000,289.253,99387.940,
2004-06-01 05:05:00,291.147,289.082,153.622,291.536,291.408,290.782,289.208,99408.333,289.645,99387.857,
2004-06-01 05:10:00,289.258,289.010,85.679,291.138,291.029,289.530,289.167,99416.667,289.195,99388.010,
2004-06-01 05:15:00,290.483,288.939,64.535,291.430,291.328,290.347,289.125,99425.000,289.346,99387.996,
2004-06-01 05:20:00,288.912,288.867,39.734,291.026,290.948,289.394,289.083,99433.333,289.007,99388.117,
2004-06-01 05:25:00,291.109,288.797,78.918,291.639,291.557,290.774,289.042,99441.667,289.384,99388.036,
2004-06-01 05:30:00,289.089,288.726,43.466,291.210,291.154,289.440,289.000,99450.000,289.031,99388.158,
2004-06-01 05:35:00,290.903,288.656,74.595,291.761,291.693,290.702,288.958,99458.333,289.253,99388.121,
2004-06-01 05:40:00,288.782,288.587,38.290,291.246,291.214,289.262,288.917,99466.667,288.803,99388.276,
2004-06-01 05:45:00,290.628,288.517,69.283,291.795,291.747,290.553,288.875,99475.000,289.065,99388.227,
2004-06-01 05:50:00,288.574,288.448,35.733,291.265,291.260,289.185,288.833,99483.333,288.649,99388.371,
2004-06-01 05:55:00,290.756,288.380,72.426,291.948,291.918,290.670,288.792,99491.667,288.993,99388.299,
2004-06-01 06:00:00,288.474,288.311,69.170,291.375,291.398,289.135,288.750,99500.000,288.537,99388.453,
2004-06-01 06:05:00,290.726,288.281,71.358,292.109,292.100,290.703,288.842,99508.333,288.924,99388.355,
2004-06-01 06:10:00,288.410,288.247,33.718,291.536,291.582,289.165,288.933,99516.667,288.474,99388.495,
2004-06-01 06:15:00,290.792,288.210,73.710,292.327,292.339,290.816,289.025,99525.000,288.868,99388.397,
2004-06-01 06:20:00,288.398,288.169,33.722,291.740,291.811,289.254,289.117,99533.333,288.430,99388.536,
2004-06-01 06:25:00,290.898,288.125,75.991,292.580,292.615,290.973,289.208,99541.667,288.832,99388.438,
2004-06-01 06:30:00,288.386,288.078,33.661,292.144,292.170,289.484,289.300,99550.000,288.379,99388.583,
2004-06-01 06:35:00,291.060,288.029,79.622,293.361,293.196,291.441,289.392,99558.333,288.804,99388.481,
2004-06-01 06:40:00,288.434,287.976,34.464,292.990,292.789,289.929,289.483,99566.667,288.350,99388.628,
2004-06-01 06:45:00,291.282,287.921,84.241,294.234,293.905,292.020,289.575,99575.000,288.792,99388.524,
2004-06-01 06:50:00,288.507,287.864,35.598,293.796,293.481,290.473,289.667,99583.333,288.325,99388.676,
2004-06-01 06:55:00,291.509,287.804,89.411,295.066,294.666,292.679,289.758,99591.667,288.774,99388.572,
2004-06-01 07:00:00,288.587,287.742,73.760,294.648,294.247,291.078,289.850,99600.000,288.297,99388.728,
2004-06-01 07:05:00,291.923,287.819,102.383,296.027,295.559,293.488,290.033,99600.000,288.902,99388.532,
