cur_datetime,canTemp_K,canHum_Ratio,canPres_Pa,sensWaste,coolConsump[J],heatConsump[J],ElecTotal[J],wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:05:00,292.528,0.011,99549.429,0.000,0.000,0.000,2413257.665,299.866,299.866,282.887,291.258,99200.000,291.743,99386.392,
2004-06-01 00:10:00,291.839,0.011,99549.716,0.000,0.000,0.000,2413257.665,299.556,299.556,283.567,291.267,99200.000,291.551,99386.446,
2004-06-01 00:15:00,291.943,0.012,99549.691,0.000,0.000,0.000,2413257.665,299.017,299.017,283.796,291.275,99200.000,291.557,99386.445,
2004-06-01 00:20:00,291.891,0.012,99549.703,0.000,0.000,0.000,2413257.665,298.577,298.577,284.180,291.283,99200.000,291.552,99386.444,
2004-06-01 00:25:00,292.263,0.012,99549.633,0.000,0.000,0.000,2413257.665,298.223,298.223,284.915,291.292,99200.000,291.558,99386.442,
2004-06-01 00:30:00,292.021,0.012,99549.764,0.000,0.000,0.000,2413257.665,297.959,297.959,285.798,291.300,99200.000,291.475,99386.462,
2004-06-01 00:35:00,292.044,0.012,99549.868,0.000,0.000,0.000,2413257.665,297.754,297.754,287.051,291.308,99200.000,291.365,99386.491,
2004-06-01 00:40:00,291.611,0.012,99550.009,0.000,0.000,0.000,2413257.665,297.593,297.593,287.852,291.317,99200.000,291.269,99386.521,
2004-06-01 00:45:00,291.813,0.012,99549.957,0.000,0.000,0.000,2413257.665,297.426,297.426,288.675,291.325,99200.000,291.286,99386.520,
2004-06-01 00:50:00,291.579,0.012,99549.965,0.000,0.000,0.000,2413257.665,297.284,297.284,289.167,291.333,99200.000,291.314,99386.510,
2004-06-01 00:55:00,291.921,0.012,99549.836,0.000,0.000,0.000,2413257.665,297.134,297.134,289.756,291.342,99200.000,291.397,99386.483,
2004-06-01 01:00:00,291.724,0.012,99549.830,0.000,0.000,0.000,2413257.665,297.025,297.025,289.983,291.350,99200.000,291.435,99386.468,
2004-06-01 01:05:00,291.842,0.012,99549.731,0.000,0.000,0.000,2413257.665,296.906,296.906,290.241,291.350,99200.000,291.531,99386.439,
2004-06-01 01:10:00,291.625,0.012,99549.762,0.000,0.000,0.000,2413257.665,296.831,296.831,290.281,291.350,99200.000,291.535,99386.438,
2004-06-01 01:15:00,291.780,0.012,99549.709,0.000,0.000,0.000,2413257.665,296.697,296.697,290.198,291.350,99200.000,291.566,99386.429,
2004-06-01 01:20:00,291.688,0.012,99549.735,0.000,0.000,0.000,2413257.665,296.623,296.623,290.187,291.350,99200.000,291.552,99386.433,
2004-06-01 01:25:00,291.894,0.012,99549.675,0.000,0.000,0.000,2413257.665,296.518,296.518,290.274,291.350,99200.000,291.581,99386.426,
2004-06-01 01:30:00,291.719,0.012,99549.725,0.000,0.000,0.000,2413257.665,296.474,296.474,290.277,291.350,99200.000,291.558,99386.432,
2004-06-01 01:35:00,291.877,0.012,99549.681,0.000,0.000,0.000,2413257.665,296.384,296.384,290.383,291.350,99200.000,291.578,99386.427,
2004-06-01 01:40:00,291.699,0.012,99549.733,0.000,0.000,0.000,2413257.665,296.345,296.345,290.370,291.350,99200.000,291.553,99386.434,
2004-06-01 01:45:00,291.855,0.012,99549.689,0.000,0.000,0.000,2413257.665,296.257,296.257,290.454,291.350,99200.000,291.574,99386.429,
2004-06-01 01:50:00,291.689,0.011,99549.738,0.000,0.000,0.000,2413257.665,296.221,296.221,290.434,291.350,99200.000,291.551,99386.435,
2004-06-01 01:55:00,291.848,0.012,99549.692,0.000,0.000,0.000,2413257.665,296.135,296.135,290.512,291.350,99200.000,291.572,99386.430,
2004-06-01 02:00:00,291.684,0.011,99549.740,0.000,0.000,0.000,2413257.665,296.105,296.105,290.484,291.350,99200.000,291.549,99386.436,
2004-06-01 02:05:00,291.843,0.012,99549.690,0.000,0.000,0.000,2413257.665,296.023,296.023,290.555,291.358,99208.333,291.574,99386.428,
2004-06-01 02:10:00,291.686,0.011,99549.731,0.000,0.000,0.000,2413257.665,295.999,295.999,290.525,291.367,99216.667,291.557,99386.430,
2004-06-01 02:15:00,291.839,0.012,99549.682,0.000,0.000,0.000,2413257.665,295.921,295.921,290.591,291.375,99225.000,291.583,99386.421,
2004-06-01 02:20:00,291.688,0.011,99549.721,0.000,0.000,0.000,2413257.665,295.899,295.899,290.558,291.383,99233.333,291.566,99386.424,
2004-06-01 02:25:00,291.836,0.012,99549.674,0.000,0.000,0.000,2413257.665,295.824,295.824,290.621,291.392,99241.667,291.591,99386.415,
2004-06-01 02:30:00,291.692,0.011,99549.710,0.000,0.000,0.000,2413257.665,295.806,295.806,290.587,291.400,99250.000,291.576,99386.417,
2004-06-01 02:35:00,291.834,0.011,99549.664,0.000,0.000,0.000,2413257.665,295.735,295.735,290.646,291.408,99258.333,291.600,99386.408,
2004-06-01 02:40:00,291.695,0.011,99549.699,0.000,0.000,0.000,2413257.665,295.720,295.720,290.612,291.417,99266.667,291.586,99386.410,
2004-06-01 02:45:00,291.833,0.011,99549.655,0.000,0.000,0.000,2413257.665,295.651,295.651,290.667,291.425,99275.000,291.609,99386.402,
2004-06-01 02:50:00,291.699,0.011,99549.688,0.000,0.000,0.000,2413257.665,295.639,295.639,290.633,291.433,99283.333,291.595,99386.403,
2004-06-01 02:55:00,291.831,0.011,99549.646,0.000,0.000,0.000,2413257.665,295.574,295.574,290.685,291.442,99291.667,291.618,99386.395,
2004-06-01 03:00:00,291.704,0.011,99549.677,0.000,0.000,0.000,2413257.665,295.562,295.562,290.655,291.450,99300.000,291.605,99386.396,
2004-06-01 03:05:00,291.801,0.011,99549.683,0.000,0.000,0.000,2413257.665,295.500,295.500,290.700,291.408,99308.333,291.589,99386.417,
2004-06-01 03:10:00,291.637,0.011,99549.770,0.000,0.000,0.000,2413257.665,295.491,295.491,290.654,291.367,99316.667,291.529,99386.450,
2004-06-01 03:15:00,291.717,0.011,99549.788,0.000,0.000,0.000,2413257.665,295.431,295.431,290.684,291.325,99325.000,291.501,99386.474,
2004-06-01 03:20:00,291.554,0.011,99549.876,0.000,0.000,0.000,2413257.665,295.422,295.422,290.631,291.283,99333.333,291.441,99386.507,
2004-06-01 03:25:00,291.636,0.011,99549.893,0.000,0.000,0.000,2413257.665,295.361,295.361,290.655,291.242,99341.667,291.413,99386.531,
2004-06-01 03:30:00,291.473,0.011,99549.980,0.000,0.000,0.000,2413257.665,295.352,295.352,290.599,291.200,99350.000,291.353,99386.564,
2004-06-01 03:35:00,291.555,0.011,99549.998,0.000,0.000,0.000,2413257.665,295.292,295.292,290.621,291.158,99358.333,291.325,99386.589,
2004-06-01 03:40:00,291.392,0.011,99550.086,0.000,0.000,0.000,2413257.665,295.283,295.283,290.563,291.117,99366.667,291.265,99386.622,
2004-06-01 03:45:00,291.473,0.011,99550.104,0.000,0.000,0.000,2413257.665,295.224,295.224,290.582,291.075,99375.000,291.237,99386.647,
2004-06-01 03:50:00,291.310,0.011,99550.191,0.000,0.000,0.000,2413257.665,295.216,295.216,290.523,291.033,99383.333,291.177,99386.680,
2004-06-01 03:55:00,291.392,0.011,99550.210,0.000,0.000,0.000,2413257.665,295.158,295.158,290.542,290.992,99391.667,291.148,99386.704,
2004-06-01 04:00:00,291.227,0.011,99550.297,0.000,0.000,0.000,2413257.665,295.150,295.150,290.470,290.950,99400.000,291.088,99386.738,
2004-06-01 04:05:00,291.240,0.011,99550.429,0.000,0.000,0.000,2413257.665,295.093,295.093,290.451,290.808,99400.000,290.967,99386.830,
2004-06-01 04:10:00,290.973,0.011,99550.652,0.000,0.000,0.000,2413257.665,295.098,295.088,290.361,290.667,99400.000,290.794,99386.937,
2004-06-01 04:15:00,290.943,0.011,99550.809,0.000,0.000,0.000,2413257.665,295.050,295.031,290.339,290.525,99400.000,290.650,99387.036,
2004-06-01 04:20:00,290.655,0.010,99551.036,0.000,0.000,0.000,2413257.665,295.044,295.018,290.382,290.383,99400.000,290.476,99387.142,
2004-06-01 04:25:00,290.671,0.011,99551.169,0.000,0.000,0.000,2413257.665,294.982,294.950,290.404,290.242,99400.000,290.349,99387.235,
2004-06-01 04:30:00,290.406,0.010,99551.383,0.000,0.000,0.000,2413257.665,294.965,294.927,290.338,290.100,99400.000,290.187,99387.338,
2004-06-01 04:35:00,290.727,0.011,99551.403,0.000,0.000,0.000,2413257.665,294.896,294.854,290.542,289.958,99400.000,290.127,99387.411,
2004-06-01 04:40:00,290.355,0.011,99551.600,0.000,0.000,0.000,2413257.665,294.843,294.797,290.347,289.817,99400.000,290.009,99387.499,
2004-06-01 04:45:00,290.474,0.011,99551.729,0.000,0.000,0.000,2413257.665,294.790,294.740,290.443,289.675,99400.000,289.876,99387.592,
2004-06-01 04:50:00,290.007,0.011,99552.003,0.000,0.000,0.000,2413257.665,294.742,294.689,290.148,289.533,99400.000,289.677,99387.705,
2004-06-01 04:55:00,290.172,0.011,99552.109,0.000,0.000,0.000,2681397.405,294.680,294.625,290.256,289.392,99400.000,289.558,99387.796,
2004-06-01 05:00:00,289.750,0.010,99552.345,136.285,0.000,0.000,2681397.405,294.621,294.563,289.962,289.250,99400.000,289.396,99387.898,
2004-06-01 05:05:00,290.500,0.011,99552.030,130.310,0.000,0.000,2681397.405,294.551,294.491,290.469,289.208,99408.333,289.610,99387.862,
2004-06-01 05:10:00,290.145,0.010,99552.176,117.660,0.000,0.000,2681397.405,294.498,294.438,290.213,289.167,99416.667,289.528,99387.910,
2004-06-01 05:15:00,290.283,0.011,99552.241,62.466,0.000,0.000,2681397.405,294.466,294.405,290.342,289.125,99425.000,289.446,99387.960,
2004-06-01 05:20:00,289.755,0.010,99552.514,54.300,0.000,0.000,2681397.405,294.461,294.400,290.004,289.083,99433.333,289.253,99388.042,
2004-06-01 05:25:00,289.942,0.011,99552.551,58.500,0.000,0.000,2681397.405,294.423,294.362,290.132,289.042,99441.667,289.191,99388.087,
2004-06-01 05:30:00,289.598,0.010,99552.697,52.045,0.000,0.000,2681397.405,294.406,294.345,289.899,289.000,99450.000,289.102,99388.138,
2004-06-01 05:35:00,289.806,0.010,99552.721,56.081,0.000,0.000,2681397.405,294.355,294.294,290.056,288.958,99458.333,289.053,99388.178,
2004-06-01 05:40:00,289.463,0.010,99552.866,50.035,0.000,0.000,2681397.405,294.346,294.286,289.826,288.917,99466.667,288.963,99388.229,
2004-06-01 05:45:00,289.682,0.010,99552.884,54.247,0.000,0.000,2681397.405,294.297,294.238,289.996,288.875,99475.000,288.919,99388.267,
2004-06-01 05:50:00,289.342,0.010,99553.025,48.285,0.000,0.000,2681397.405,294.295,294.237,289.770,288.833,99483.333,288.832,99388.317,
2004-06-01 05:55:00,289.568,0.010,99553.040,52.587,4359091.881,0.000,3686777.182,294.246,294.191,289.947,288.792,99491.667,288.790,99388.354,
2004-06-01 06:00:00,289.224,0.010,99553.183,93.210,4128934.314,0.000,3633693.703,294.250,294.197,289.723,288.750,99500.000,288.703,99388.404,
2004-06-01 06:05:00,289.652,0.010,99553.048,53.139,4562624.289,0.000,3733719.842,294.201,294.151,290.053,288.842,99508.333,288.778,99388.394,
2004-06-01 06:10:00,289.194,0.010,99553.243,46.051,4405782.409,0.000,3697545.873,294.317,294.177,289.760,288.933,99516.667,288.654,99388.441,
2004-06-01 06:15:00,289.479,0.010,99553.217,51.215,4730174.058,0.000,3772363.476,294.461,294.174,290.008,289.025,99525.000,288.639,99388.460,
2004-06-01 06:20:00,289.163,0.010,99553.318,45.425,4651624.852,0.000,3754246.908,294.704,294.236,289.831,289.117,99533.333,288.587,99388.490,
2004-06-01 06:25:00,289.526,0.010,99553.260,51.888,5011594.615,0.000,3837270.237,294.913,294.245,290.136,289.208,99541.667,288.596,99388.503,
2004-06-01 06:30:00,289.183,0.010,99553.369,45.573,4901542.611,0.000,3811887.873,295.208,294.333,290.056,289.300,99550.000,288.541,99388.536,
2004-06-01 06:35:00,289.611,0.010,99553.294,53.185,5289825.807,0.000,3901441.404,295.445,294.360,290.532,289.392,99558.333,288.559,99388.549,
2004-06-01 06:40:00,289.265,0.010,99553.392,46.616,5163555.634,0.000,3872318.486,295.758,294.471,290.484,289.483,99566.667,288.515,99388.580,
2004-06-01 06:45:00,289.763,0.010,99553.297,55.593,5585255.643,0.000,3969579.262,295.995,294.511,291.046,289.575,99575.000,288.543,99388.592,
2004-06-01 06:50:00,289.380,0.010,99553.402,48.189,5421236.005,0.000,3931749.817,296.312,294.645,291.016,289.667,99583.333,288.499,99388.624,
2004-06-01 06:55:00,289.955,0.011,99553.290,58.768,7741426.268,0.000,5539436.836,296.538,294.695,291.658,289.758,99591.667,288.533,99388.637,
2004-06-01 07:00:00,289.520,0.010,99553.404,100.347,7535005.542,0.000,5491828.016,296.850,294.848,291.616,289.850,99600.000,288.488,99388.671,
