cur_datetime,canTemp,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:05:00,293.174,0.051,299.885,299.885,298.677,291.258,99200.000,291.900,99386.349,
2004-06-01 00:10:00,291.974,0.051,299.592,299.592,289.680,291.267,99200.000,291.576,99386.439,
2004-06-01 00:15:00,292.471,0.051,299.095,299.095,289.875,291.275,99200.000,291.634,99386.424,
2004-06-01 00:20:00,291.883,0.051,298.700,298.700,289.817,291.283,99200.000,291.573,99386.438,
2004-06-01 00:25:00,292.686,0.051,298.333,298.333,289.929,291.292,99200.000,291.686,99386.406,
2004-06-01 00:30:00,292.159,0.051,298.098,298.098,289.900,291.300,99200.000,291.629,99386.419,
2004-06-01 00:35:00,292.954,0.051,297.842,297.842,290.173,291.308,99200.000,291.723,99386.393,
2004-06-01 00:40:00,292.081,0.051,297.724,297.724,290.177,291.317,99200.000,291.627,99386.415,
2004-06-01 00:45:00,292.749,0.051,297.527,297.527,290.620,291.325,99200.000,291.725,99386.389,
2004-06-01 00:50:00,291.929,0.051,297.450,297.450,290.272,291.333,99200.000,291.608,99386.418,
2004-06-01 00:55:00,292.694,0.051,297.262,297.262,290.703,291.342,99200.000,291.723,99386.386,
2004-06-01 01:00:00,291.862,0.051,297.212,297.212,290.254,291.350,99200.000,291.603,99386.416,
2004-06-01 01:05:00,292.684,0.051,297.037,297.037,290.707,291.350,99200.000,291.728,99386.383,
2004-06-01 01:10:00,291.810,0.051,297.008,297.008,290.268,291.350,99200.000,291.595,99386.418,
2004-06-01 01:15:00,292.670,0.051,296.843,296.843,290.729,291.350,99200.000,291.726,99386.385,
2004-06-01 01:20:00,291.749,0.051,296.829,296.829,290.218,291.350,99200.000,291.583,99386.422,
2004-06-01 01:25:00,292.655,0.051,296.670,296.670,290.724,291.350,99200.000,291.722,99386.386,
2004-06-01 01:30:00,291.694,0.051,296.668,296.668,290.151,291.350,99200.000,291.571,99386.426,
2004-06-01 01:35:00,292.639,0.051,296.514,296.514,290.667,291.350,99200.000,291.716,99386.389,
