cur_datetime,canTemp,sensWaste,coolConsump[J],heatConsump[J],ElecTotal[J],wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:00:00,295.565,8.161,955244.751,0.000,2633575.057,300.000,300.000,300.000,291.250,99200.000,293.867,99385.446,
2004-06-01 00:05:00,292.966,0.051,0.000,0.000,2413257.665,299.868,299.868,298.677,291.258,99200.000,291.879,99386.354,
2004-06-01 00:10:00,291.998,0.051,0.000,0.000,2413257.665,299.560,299.560,289.680,291.267,99200.000,291.576,99386.439,
2004-06-01 00:15:00,291.963,0.051,0.000,0.000,2413257.665,299.065,299.065,289.826,291.275,99200.000,291.565,99386.443,
2004-06-01 00:20:00,291.902,0.051,0.000,0.000,2413257.665,298.650,298.650,289.781,291.283,99200.000,291.563,99386.441,
2004-06-01 00:25:00,292.003,0.051,0.000,0.000,2413257.665,298.296,298.296,289.783,291.292,99200.000,291.580,99386.436,
2004-06-01 00:30:00,291.852,0.051,0.000,0.000,2413257.665,298.036,298.036,289.824,291.300,99200.000,291.563,99386.438,
2004-06-01 00:35:00,291.928,0.051,0.000,0.000,2413257.665,297.800,297.800,289.909,291.308,99200.000,291.574,99386.434,
2004-06-01 00:40:00,291.781,0.051,0.000,0.000,2413257.665,297.623,297.623,289.905,291.317,99200.000,291.556,99386.437,
2004-06-01 00:45:00,291.894,0.051,0.000,0.000,2413257.665,297.444,297.444,289.974,291.325,99200.000,291.574,99386.431,
2004-06-01 00:50:00,291.754,0.051,0.000,0.000,2413257.665,297.314,297.314,289.951,291.333,99200.000,291.557,99386.434,
2004-06-01 00:55:00,291.890,0.051,0.000,0.000,2413257.665,297.170,297.170,290.025,291.342,99200.000,291.580,99386.426,
2004-06-01 01:00:00,291.741,0.051,0.000,0.000,2413257.665,297.073,297.073,290.007,291.350,99200.000,291.563,99386.429,
2004-06-01 01:05:00,291.884,0.051,0.000,0.000,2413257.665,296.952,296.952,290.057,291.350,99200.000,291.583,99386.424,
2004-06-01 01:10:00,291.722,0.051,0.000,0.000,2413257.665,296.876,296.876,290.050,291.350,99200.000,291.559,99386.430,
2004-06-01 01:15:00,291.872,0.051,0.000,0.000,2413257.665,296.768,296.768,290.077,291.350,99200.000,291.579,99386.426,
