cur_datetime,canTemp_K,canHum_Ratio,canPres_Pa,sensWaste,coolConsump[J],heatConsump[J],ElecTotal[J],wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:05:00,293.105,0.013,99549.173,0.051,0.000,0.000,2413257.665,299.823,299.823,298.677,291.258,99200.000,291.915,99386.345,
2004-06-01 00:10:00,292.136,0.012,99549.616,0.051,0.000,0.000,2413257.665,299.475,299.475,289.634,291.267,99200.000,291.608,99386.431,
2004-06-01 00:15:00,292.279,0.012,99549.568,0.051,0.000,0.000,2413257.665,298.956,298.956,289.819,291.275,99200.000,291.635,99386.423,
2004-06-01 00:20:00,292.084,0.012,99549.612,0.051,0.000,0.000,2413257.665,298.529,298.529,289.840,291.283,99200.000,291.619,99386.425,
2004-06-01 00:25:00,292.397,0.013,99549.509,0.051,0.000,0.000,2413257.665,298.171,298.171,289.918,291.292,99200.000,291.676,99386.409,
2004-06-01 00:30:00,292.021,0.012,99549.620,0.051,0.000,0.000,2413257.665,297.910,297.910,289.975,291.300,99200.000,291.623,99386.421,
2004-06-01 00:35:00,292.322,0.013,99549.527,0.051,0.000,0.000,2413257.665,297.679,297.679,290.133,291.308,99200.000,291.671,99386.407,
2004-06-01 00:40:00,291.922,0.012,99549.648,0.051,0.000,0.000,2413257.665,297.503,297.503,290.093,291.317,99200.000,291.609,99386.422,
2004-06-01 00:45:00,292.295,0.013,99549.530,0.051,0.000,0.000,2413257.665,297.326,297.326,290.211,291.325,99200.000,291.670,99386.404,
2004-06-01 00:50:00,291.872,0.012,99549.658,0.051,0.000,0.000,2413257.665,297.197,297.197,290.129,291.333,99200.000,291.606,99386.420,
2004-06-01 00:55:00,292.301,0.013,99549.521,0.051,0.000,0.000,2413257.665,297.055,297.055,290.255,291.342,99200.000,291.678,99386.399,
2004-06-01 01:00:00,291.833,0.012,99549.662,0.051,0.000,0.000,2413257.665,296.959,296.959,290.171,291.350,99200.000,291.607,99386.416,
2004-06-01 01:05:00,292.306,0.013,99549.516,0.051,0.000,0.000,2413257.665,296.838,296.838,290.290,291.350,99200.000,291.682,99386.396,
2004-06-01 01:10:00,291.797,0.012,99549.676,0.051,0.000,0.000,2413257.665,296.762,296.762,290.202,291.350,99200.000,291.599,99386.419,
2004-06-01 01:15:00,292.310,0.013,99549.518,0.051,0.000,0.000,2413257.665,296.654,296.654,290.310,291.350,99200.000,291.680,99386.397,
2004-06-01 01:20:00,291.962,0.012,99549.617,0.051,0.000,0.000,2413257.665,296.593,296.593,290.159,291.350,99200.000,291.631,99386.410,
2004-06-01 01:25:00,292.565,0.013,99549.440,0.051,0.000,0.000,2413257.665,296.492,296.492,290.286,291.350,99200.000,291.717,99386.388,
2004-06-01 01:30:00,291.987,0.012,99549.607,0.051,0.000,0.000,2413257.665,296.467,296.467,290.236,291.350,99200.000,291.642,99386.407,
2004-06-01 01:35:00,292.446,0.013,99549.467,0.051,0.000,0.000,2413257.665,296.376,296.376,290.516,291.350,99200.000,291.712,99386.389,
2004-06-01 01:40:00,291.727,0.012,99549.706,0.051,0.000,0.000,2413257.665,296.356,296.356,290.286,291.350,99200.000,291.581,99386.425,
2004-06-01 01:45:00,292.163,0.012,99549.569,0.051,0.000,0.000,2413257.665,296.253,296.253,290.468,291.350,99200.000,291.652,99386.407,
2004-06-01 01:50:00,291.704,0.012,99549.719,0.051,0.000,0.000,2413257.665,296.213,296.213,290.045,291.350,99200.000,291.570,99386.430,
2004-06-01 01:55:00,292.293,0.012,99549.532,0.051,0.000,0.000,2413257.665,296.106,296.106,290.103,291.350,99200.000,291.667,99386.403,
2004-06-01 02:00:00,291.892,0.012,99549.649,0.051,0.000,0.000,2413257.665,296.078,296.078,289.914,291.350,99200.000,291.611,99386.418,
2004-06-01 02:05:00,292.529,0.013,99549.456,0.051,0.000,0.000,2413257.665,295.988,295.988,290.049,291.358,99208.333,291.706,99386.391,
2004-06-01 02:10:00,291.902,0.012,99549.637,0.051,0.000,0.000,2413257.665,295.990,295.990,290.022,291.367,99216.667,291.624,99386.410,
2004-06-01 02:15:00,292.412,0.013,99549.473,0.051,0.000,0.000,2413257.665,295.909,295.909,290.354,291.375,99225.000,291.710,99386.385,
2004-06-01 02:20:00,291.827,0.012,99549.657,0.051,0.000,0.000,2413257.665,295.913,295.913,290.085,291.383,99233.333,291.614,99386.409,
2004-06-01 02:25:00,292.372,0.012,99549.480,0.051,0.000,0.000,2413257.665,295.819,295.819,290.312,291.392,99241.667,291.707,99386.383,
2004-06-01 02:30:00,291.805,0.012,99549.658,0.051,0.000,0.000,2413257.665,295.822,295.822,290.012,291.400,99250.000,291.615,99386.405,
2004-06-01 02:35:00,292.368,0.012,99549.472,0.051,0.000,0.000,2413257.665,295.728,295.728,290.228,291.408,99258.333,291.714,99386.377,
2004-06-01 02:40:00,291.795,0.012,99549.654,0.051,0.000,0.000,2413257.665,295.735,295.735,289.942,291.417,99266.667,291.621,99386.399,
2004-06-01 02:45:00,292.363,0.012,99549.464,0.051,0.000,0.000,2413257.665,295.643,295.643,290.204,291.425,99275.000,291.722,99386.370,
2004-06-01 02:50:00,291.785,0.012,99549.649,0.051,0.000,0.000,2413257.665,295.655,295.655,289.926,291.433,99283.333,291.627,99386.393,
2004-06-01 02:55:00,292.357,0.012,99549.457,0.051,0.000,0.000,2413257.665,295.564,295.564,290.166,291.442,99291.667,291.730,99386.364,
2004-06-01 03:00:00,291.773,0.011,99549.645,0.051,0.000,0.000,2413257.665,295.579,295.579,289.871,291.450,99300.000,291.632,99386.387,
2004-06-01 03:05:00,292.325,0.012,99549.495,0.051,0.000,0.000,2413257.665,295.489,295.489,290.147,291.408,99308.333,291.700,99386.386,
2004-06-01 03:10:00,291.711,0.011,99549.732,0.051,0.000,0.000,2413257.665,295.507,295.507,289.831,291.367,99316.667,291.561,99386.439,
2004-06-01 03:15:00,292.251,0.012,99549.598,0.051,0.000,0.000,2413257.665,295.419,295.419,290.085,291.325,99325.000,291.613,99386.443,
2004-06-01 03:20:00,291.630,0.011,99549.836,0.051,0.000,0.000,2413257.665,295.440,295.440,289.789,291.283,99333.333,291.474,99386.496,
2004-06-01 03:25:00,292.183,0.012,99549.699,0.051,0.000,0.000,2413257.665,295.350,295.350,290.044,291.242,99341.667,291.526,99386.500,
2004-06-01 03:30:00,291.559,0.011,99549.936,0.051,0.000,0.000,2413257.665,295.371,295.371,289.740,291.200,99350.000,291.390,99386.552,
2004-06-01 03:35:00,292.118,0.012,99549.799,0.051,0.000,0.000,2413257.665,295.283,295.283,289.964,291.158,99358.333,291.441,99386.557,
2004-06-01 03:40:00,291.370,0.011,99550.085,0.051,0.000,0.000,2413257.665,295.307,295.307,289.703,291.117,99366.667,291.272,99386.620,
2004-06-01 03:45:00,291.822,0.012,99549.981,0.051,0.000,0.000,2413257.665,295.219,295.219,289.900,291.075,99375.000,291.310,99386.626,
2004-06-01 03:50:00,291.284,0.011,99550.193,0.051,0.000,0.000,2413257.665,295.227,295.227,289.554,291.033,99383.333,291.181,99386.678,
2004-06-01 03:55:00,291.870,0.012,99550.049,0.051,0.000,0.000,2413257.665,295.132,295.132,289.627,290.992,99391.667,291.238,99386.680,
2004-06-01 04:00:00,291.393,0.011,99550.218,0.051,0.000,0.000,2413257.665,295.145,295.145,289.463,290.950,99400.000,291.146,99386.720,
2004-06-01 04:05:00,292.012,0.012,99550.170,0.051,0.000,0.000,2413257.665,295.064,295.064,289.576,290.808,99400.000,291.110,99386.791,
2004-06-01 04:10:00,291.004,0.011,99550.628,0.051,0.000,0.000,2413257.665,295.118,295.102,289.561,290.667,99400.000,290.818,99386.930,
2004-06-01 04:15:00,291.345,0.011,99550.672,0.051,0.000,0.000,2413257.665,295.060,295.032,289.797,290.525,99400.000,290.729,99387.015,
2004-06-01 04:20:00,290.609,0.010,99551.048,0.051,0.000,0.000,2413257.665,295.079,295.042,289.333,290.383,99400.000,290.472,99387.144,
2004-06-01 04:25:00,291.211,0.011,99550.995,0.051,0.000,0.000,2413257.665,294.982,294.937,289.405,290.242,99400.000,290.442,99387.210,
2004-06-01 04:30:00,290.338,0.010,99551.410,0.051,0.000,0.000,2413257.665,294.988,294.937,289.023,290.100,99400.000,290.172,99387.342,
2004-06-01 04:35:00,291.561,0.012,99551.162,0.051,0.000,0.000,2413257.665,294.895,294.839,289.261,289.958,99400.000,290.239,99387.381,
2004-06-01 04:40:00,290.058,0.011,99551.789,0.051,0.000,0.000,2413257.665,294.854,294.795,288.075,289.817,99400.000,289.872,99387.536,
2004-06-01 04:45:00,291.780,0.013,99551.256,0.051,0.000,0.000,2413257.665,294.789,294.724,290.857,289.675,99400.000,290.162,99387.512,
2004-06-01 04:50:00,289.187,0.010,99552.524,0.051,0.000,0.000,2413257.665,294.762,294.692,284.724,289.533,99400.000,289.282,99387.819,
2004-06-01 04:55:00,292.676,0.014,99550.841,0.082,0.000,0.000,2681397.405,294.708,294.632,297.867,289.392,99400.000,290.469,99387.535,
2004-06-01 05:00:00,286.309,0.009,99554.507,0.082,0.000,0.000,2681397.405,294.626,294.545,257.599,289.250,99400.000,287.776,99388.365,
2004-06-01 05:05:00,294.324,0.015,99550.160,0.795,84049.659,0.000,2700782.596,294.634,294.547,302.610,289.208,99408.333,290.905,99387.504,
2004-06-01 05:10:00,284.997,0.009,99555.496,0.082,0.000,0.000,2681397.405,294.382,294.291,239.937,289.167,99416.667,286.984,99388.661,
2004-06-01 05:15:00,292.952,0.014,99551.209,0.082,0.000,0.000,2681397.405,294.516,294.424,295.592,289.125,99425.000,290.036,99387.808,
2004-06-01 05:20:00,285.204,0.009,99555.449,0.082,0.000,0.000,2681397.405,294.212,294.120,254.827,289.083,99433.333,286.987,99388.722,
2004-06-01 05:25:00,295.286,0.014,99549.793,5.679,659292.504,0.000,2833456.451,294.280,294.190,306.774,289.042,99441.667,291.172,99387.528,
2004-06-01 05:30:00,284.654,0.009,99555.868,0.082,0.000,0.000,2681397.405,294.045,293.959,235.582,289.000,99450.000,286.707,99388.845,
2004-06-01 05:35:00,292.590,0.013,99551.649,0.082,0.000,0.000,2681397.405,294.285,294.202,294.101,288.958,99458.333,289.664,99388.019,
2004-06-01 05:40:00,285.001,0.008,99555.732,0.082,0.000,0.000,2681397.405,294.023,293.944,258.747,288.917,99466.667,286.757,99388.891,
2004-06-01 05:45:00,296.026,0.014,99549.507,9.502,1109565.080,0.000,2937307.196,294.085,294.009,310.193,288.875,99475.000,291.397,99387.561,
2004-06-01 05:50:00,284.271,0.009,99556.256,0.082,0.000,0.000,2681397.405,293.887,293.816,232.754,288.833,99483.333,286.420,99389.026,
