cur_datetime,canTemp_K,canHum_Ratio,canPres_Pa,sensWaste,coolConsump[J],heatConsump[J],ElecTotal[J],wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:00:00,295.507,0.011,99546.833,7.829,916060.039,0.000,2624537.505,300.000,300.000,300.000,291.250,99200.000,293.818,99385.475,
2004-06-01 00:05:00,293.032,0.013,99549.187,0.051,0.000,0.000,2413257.665,299.828,299.828,298.677,291.258,99200.000,291.913,99386.346,
2004-06-01 00:10:00,291.868,0.012,99549.685,0.051,0.000,0.000,2413257.665,299.473,299.473,289.518,291.267,99200.000,291.579,99386.438,
2004-06-01 00:15:00,292.405,0.013,99549.521,0.051,0.000,0.000,2413257.665,298.912,298.912,289.737,291.275,99200.000,291.665,99386.415,
2004-06-01 00:20:00,291.967,0.012,99549.627,0.051,0.000,0.000,2413257.665,298.489,298.489,289.757,291.283,99200.000,291.619,99386.425,
2004-06-01 00:25:00,293.006,0.013,99549.308,0.051,0.000,0.000,2413257.665,298.066,298.066,289.921,291.292,99200.000,291.780,99386.382,
2004-06-01 00:30:00,292.070,0.012,99549.561,0.051,0.000,0.000,2413257.665,297.858,297.858,290.005,291.300,99200.000,291.679,99386.404,
2004-06-01 00:35:00,292.842,0.013,99549.327,0.051,0.000,0.000,2413257.665,297.568,297.568,290.548,291.308,99200.000,291.797,99386.372,
2004-06-01 00:40:00,291.886,0.012,99549.623,0.051,0.000,0.000,2413257.665,297.460,297.460,290.358,291.317,99200.000,291.645,99386.410,
2004-06-01 00:45:00,292.797,0.013,99549.341,0.051,0.000,0.000,2413257.665,297.203,297.203,290.740,291.325,99200.000,291.786,99386.372,
2004-06-01 00:50:00,291.806,0.012,99549.645,0.051,0.000,0.000,2413257.665,297.142,297.142,290.330,291.333,99200.000,291.634,99386.410,
2004-06-01 00:55:00,292.827,0.013,99549.323,0.051,0.000,0.000,2413257.665,296.907,296.907,290.762,291.342,99200.000,291.798,99386.366,
2004-06-01 01:00:00,291.762,0.012,99549.650,0.051,0.000,0.000,2413257.665,296.882,296.882,290.358,291.350,99200.000,291.636,99386.406,
2004-06-01 01:05:00,292.843,0.013,99549.313,0.051,0.000,0.000,2413257.665,296.664,296.664,290.808,291.350,99200.000,291.807,99386.362,
2004-06-01 01:10:00,291.709,0.012,99549.667,0.051,0.000,0.000,2413257.665,296.666,296.666,290.389,291.350,99200.000,291.627,99386.409,
2004-06-01 01:15:00,292.847,0.013,99549.314,0.051,0.000,0.000,2413257.665,296.455,296.455,290.844,291.350,99200.000,291.805,99386.363,
2004-06-01 01:20:00,291.653,0.012,99549.688,0.051,0.000,0.000,2413257.665,296.476,296.476,290.347,291.350,99200.000,291.615,99386.413,
2004-06-01 01:25:00,292.847,0.013,99549.316,0.051,0.000,0.000,2413257.665,296.268,296.268,290.835,291.350,99200.000,291.802,99386.364,
2004-06-01 01:30:00,291.601,0.012,99549.708,0.051,0.000,0.000,2413257.665,296.304,296.304,290.293,291.350,99200.000,291.604,99386.417,
2004-06-01 01:35:00,292.839,0.013,99549.322,0.051,0.000,0.000,2413257.665,296.098,296.098,290.779,291.350,99200.000,291.798,99386.366,
2004-06-01 01:40:00,291.552,0.012,99549.726,0.051,0.000,0.000,2413257.665,296.146,296.146,290.251,291.350,99200.000,291.593,99386.420,
2004-06-01 01:45:00,292.824,0.013,99549.330,0.051,0.000,0.000,2413257.665,295.941,295.941,290.722,291.350,99200.000,291.792,99386.369,
2004-06-01 01:50:00,291.504,0.012,99549.745,0.051,0.000,0.000,2413257.665,295.998,295.998,290.179,291.350,99200.000,291.581,99386.424,
2004-06-01 01:55:00,292.806,0.013,99549.338,0.051,0.000,0.000,2413257.665,295.795,295.795,290.688,291.350,99200.000,291.786,99386.371,
2004-06-01 02:00:00,291.460,0.012,99549.763,0.051,0.000,0.000,2413257.665,295.861,295.861,290.121,291.350,99200.000,291.570,99386.428,
2004-06-01 02:05:00,292.785,0.013,99549.344,0.051,0.000,0.000,2413257.665,295.659,295.659,290.617,291.358,99208.333,291.783,99386.370,
2004-06-01 02:10:00,291.427,0.012,99549.768,0.051,0.000,0.000,2413257.665,295.731,295.731,290.078,291.367,99216.667,291.569,99386.424,
2004-06-01 02:15:00,292.768,0.013,99549.341,0.051,0.000,0.000,2413257.665,295.533,295.533,290.598,291.375,99225.000,291.788,99386.365,
2004-06-01 02:20:00,291.396,0.012,99549.771,0.051,0.000,0.000,2413257.665,295.612,295.612,290.032,291.383,99233.333,291.570,99386.420,
2004-06-01 02:25:00,292.747,0.013,99549.340,0.051,0.000,0.000,2413257.665,295.416,295.416,290.542,291.392,99241.667,291.791,99386.360,
2004-06-01 02:30:00,291.372,0.012,99549.772,0.051,0.000,0.000,2413257.665,295.500,295.500,289.993,291.400,99250.000,291.572,99386.416,
2004-06-01 02:35:00,292.721,0.013,99549.341,0.051,0.000,0.000,2413257.665,295.308,295.308,290.482,291.408,99258.333,291.794,99386.355,
2004-06-01 02:40:00,291.345,0.012,99549.775,0.051,0.000,0.000,2413257.665,295.395,295.395,289.925,291.417,99266.667,291.573,99386.411,
2004-06-01 02:45:00,292.699,0.013,99549.340,0.051,0.000,0.000,2413257.665,295.205,295.205,290.446,291.425,99275.000,291.797,99386.350,
2004-06-01 02:50:00,291.325,0.011,99549.774,0.051,0.000,0.000,2413257.665,295.297,295.297,289.900,291.433,99283.333,291.575,99386.406,
2004-06-01 02:55:00,292.673,0.013,99549.340,0.051,0.000,0.000,2413257.665,295.110,295.110,290.398,291.442,99291.667,291.800,99386.345,
2004-06-01 03:00:00,291.305,0.011,99549.774,0.051,0.000,0.000,2413257.665,295.204,295.204,289.839,291.450,99300.000,291.577,99386.402,
2004-06-01 03:05:00,292.620,0.013,99549.387,0.051,0.000,0.000,2413257.665,295.019,295.019,290.365,291.408,99308.333,291.766,99386.368,
2004-06-01 03:10:00,291.245,0.011,99549.862,0.051,0.000,0.000,2413257.665,295.117,295.117,289.791,291.367,99316.667,291.506,99386.453,
2004-06-01 03:15:00,292.516,0.013,99549.502,0.051,0.000,0.000,2413257.665,294.935,294.935,290.290,291.325,99325.000,291.671,99386.428,
2004-06-01 03:20:00,291.171,0.011,99549.965,0.051,0.000,0.000,2413257.665,295.034,295.034,289.749,291.283,99333.333,291.419,99386.510,
2004-06-01 03:25:00,292.414,0.012,99549.615,0.051,0.000,0.000,2413257.665,294.853,294.853,290.222,291.242,99341.667,291.577,99386.487,
2004-06-01 03:30:00,291.105,0.011,99550.064,0.051,0.000,0.000,2413257.665,294.951,294.951,289.700,291.200,99350.000,291.335,99386.567,
2004-06-01 03:35:00,292.306,0.012,99549.731,0.051,0.000,0.000,2413257.665,294.775,294.775,290.119,291.158,99358.333,291.482,99386.546,
