cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[3.048],TempProf_cur[6.096],TempProf_cur[9.144],TempProf_cur[12.192],TempProf_cur[15.24],TempProf_cur[18.288],TempProf_cur[21.336],TempProf_cur[24.384],TempProf_cur[27.432],TempProf_cur[30.48],TempProf_cur[33.528],TempProf_cur[36.576],TempProf_cur[39.624],TempProf_cur[42.672],TempProf_cur[45.72],TempProf_cur[48.768],TempProf_cur[51.816],TempProf_cur[54.864],TempProf_cur[57.912],TempProf_cur[60.96],PresProf_cur[3.048],PresProf_cur[6.096],PresProf_cur[9.144],PresProf_cur[12.192],PresProf_cur[15.24],PresProf_cur[18.288],PresProf_cur[21.336],PresProf_cur[24.384],PresProf_cur[27.432],PresProf_cur[30.48],PresProf_cur[33.528],PresProf_cur[36.576],PresProf_cur[39.624],PresProf_cur[42.672],PresProf_cur[45.72],PresProf_cur[48.768],PresProf_cur[51.816],PresProf_cur[54.864],PresProf_cur[57.912],PresProf_cur[60.96],
2006-06-01 00:05:00,298.031,291.593,0.000,291.207,290.380,283.310,291.258,99200.000,298.130,298.113,298.094,298.075,298.057,298.040,298.025,298.011,297.998,297.988,297.979,297.972,297.968,297.968,297.972,297.983,298.001,298.032,298.078,298.233,100873.105,100838.411,100803.722,100769.040,100734.364,100699.695,100665.033,100630.377,100595.728,100561.087,100526.453,100491.826,100457.208,100422.597,100387.996,100353.403,100318.821,100284.250,100249.693,100215.152,
2006-06-01 00:10:00,296.389,291.595,0.000,291.277,290.458,283.266,291.267,99200.000,296.351,296.356,296.414,296.436,296.438,296.428,296.413,296.396,296.378,296.361,296.347,296.335,296.328,296.326,296.332,296.349,296.380,296.431,296.511,296.761,100877.001,100842.096,100807.205,100772.327,100737.459,100702.599,100667.746,100632.899,100598.060,100563.227,100528.400,100493.581,100458.769,100423.965,100389.171,100354.386,100319.612,100284.852,100250.108,100215.386,
2006-06-01 00:15:00,295.236,291.590,0.000,291.384,290.570,283.281,291.275,99200.000,295.378,295.331,295.314,295.298,295.279,295.259,295.238,295.216,295.195,295.175,295.159,295.146,295.138,295.137,295.144,295.161,295.190,295.236,295.303,295.517,100879.805,100844.781,100809.763,100774.751,100739.747,100704.748,100669.756,100634.770,100599.790,100564.816,100529.849,100494.889,100459.936,100424.991,100390.055,100355.130,100320.216,100285.315,100250.429,100215.563,
2006-06-01 00:20:00,294.340,291.594,0.000,291.493,290.683,283.297,291.283,99200.000,294.611,294.520,294.474,294.435,294.399,294.366,294.334,294.305,294.278,294.254,294.232,294.215,294.202,294.196,294.196,294.207,294.231,294.280,294.385,294.861,100882.004,100846.885,100811.768,100776.655,100741.545,100706.441,100671.341,100636.246,100601.157,100566.073,100530.996,100495.925,100460.860,100425.804,100390.756,100355.717,100320.688,100285.673,100250.675,100215.711,
2006-06-01 00:25:00,293.699,291.592,0.000,291.626,290.819,283.434,291.292,99200.000,294.097,293.977,293.893,293.825,293.767,293.718,293.675,293.636,293.602,293.573,293.547,293.528,293.514,293.508,293.513,293.533,293.575,293.647,293.750,293.970,100883.635,100848.453,100813.268,100778.083,100742.899,100707.717,100672.539,100637.364,100602.194,100567.029,100531.869,100496.716,100461.569,100426.430,100391.299,100356.179,100321.071,100285.978,100250.905,100215.856,
2006-06-01 00:30:00,293.223,291.595,0.000,291.761,290.955,283.570,291.300,99200.000,293.718,293.585,293.480,293.390,293.313,293.248,293.193,293.145,293.103,293.068,293.039,293.016,293.000,292.993,292.998,293.020,293.066,293.147,293.261,293.472,100884.867,100849.639,100814.405,100779.168,100743.931,100708.693,100673.457,100638.224,100602.994,100567.768,100532.547,100497.332,100462.123,100426.922,100391.730,100356.547,100321.378,100286.225,100251.092,100215.985,
2006-06-01 00:35:00,292.891,291.595,0.000,291.914,291.108,283.802,291.308,99200.000,293.452,293.311,293.192,293.090,293.000,292.924,292.857,292.801,292.752,292.712,292.679,292.654,292.638,292.633,292.643,292.673,292.729,292.809,292.897,293.050,100885.766,100850.505,100815.237,100779.965,100744.690,100709.413,100674.137,100638.863,100603.591,100568.322,100533.058,100497.799,100462.547,100427.302,100392.066,100356.841,100321.630,100286.437,100251.262,100216.108,
2006-06-01 00:40:00,292.665,291.598,0.000,292.068,291.262,284.033,291.317,99200.000,293.272,293.126,293.001,292.890,292.793,292.708,292.634,292.570,292.516,292.471,292.435,292.408,292.391,292.388,292.402,292.438,292.496,292.567,292.639,292.763,100886.410,100851.127,100815.836,100780.540,100745.240,100709.938,100674.635,100639.333,100604.033,100568.735,100533.441,100498.153,100462.870,100427.596,100392.330,100357.077,100321.838,100286.616,100251.411,100216.225,
2006-06-01 00:45:00,292.524,291.599,0.000,292.306,291.390,284.343,291.325,99200.000,293.161,293.012,292.882,292.767,292.665,292.575,292.496,292.428,292.370,292.321,292.283,292.255,292.239,292.237,292.253,292.290,292.343,292.403,292.462,292.566,100886.853,100851.556,100816.251,100780.940,100745.625,100710.307,100674.988,100639.668,100604.350,100569.035,100533.723,100498.416,100463.115,100427.822,100392.538,100357.267,100322.010,100286.768,100251.543,100216.334,
2006-06-01 00:50:00,292.451,291.603,0.000,292.470,291.566,284.652,291.333,99200.000,293.105,292.956,292.824,292.707,292.603,292.510,292.429,292.358,292.298,292.247,292.207,292.178,292.161,292.160,292.177,292.211,292.258,292.309,292.360,292.450,100887.128,100851.824,100816.512,100781.194,100745.872,100710.546,100675.219,100639.891,100604.565,100569.240,100533.919,100498.602,100463.292,100427.989,100392.697,100357.416,100322.149,100286.896,100251.659,100216.438,
2006-06-01 00:55:00,292.429,291.605,0.000,292.660,291.747,285.025,291.342,99200.000,293.093,292.944,292.811,292.694,292.589,292.496,292.413,292.341,292.279,292.227,292.186,292.156,292.139,292.137,292.153,292.183,292.223,292.267,292.311,292.390,100887.279,100851.974,100816.660,100781.341,100746.016,100710.689,100675.360,100640.030,100604.701,100569.374,100534.051,100498.732,100463.418,100428.113,100392.817,100357.533,100322.262,100287.006,100251.763,100216.535,
2006-06-01 01:00:00,292.449,291.608,0.000,292.751,291.819,285.245,291.350,99200.000,293.115,292.968,292.836,292.719,292.615,292.522,292.439,292.367,292.305,292.252,292.210,292.180,292.162,292.159,292.172,292.198,292.233,292.271,292.310,292.380,100887.326,100852.024,100816.713,100781.396,100746.075,100710.751,100675.425,100640.098,100604.773,100569.449,100534.128,100498.812,100463.502,100428.199,100392.905,100357.623,100322.354,100287.098,100251.855,100216.627,
2006-06-01 01:05:00,292.480,291.606,0.000,292.826,291.885,285.472,291.350,99200.000,293.146,293.001,292.870,292.755,292.651,292.559,292.476,292.404,292.342,292.289,292.247,292.215,292.197,292.192,292.202,292.225,292.255,292.289,292.324,292.387,100887.342,100852.043,100816.737,100781.424,100746.107,100710.788,100675.466,100640.144,100604.823,100569.503,100534.187,100498.875,100463.569,100428.270,100392.981,100357.702,100322.436,100287.182,100251.941,100216.714,
