cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[3.048],TempProf_cur[6.096],TempProf_cur[9.144],TempProf_cur[12.192],TempProf_cur[15.24],TempProf_cur[18.288],TempProf_cur[21.336],TempProf_cur[24.384],TempProf_cur[27.432],TempProf_cur[30.48],TempProf_cur[33.528],TempProf_cur[36.576],TempProf_cur[39.624],TempProf_cur[42.672],TempProf_cur[45.72],TempProf_cur[48.768],TempProf_cur[51.816],TempProf_cur[54.864],TempProf_cur[57.912],TempProf_cur[60.96],PresProf_cur[3.048],PresProf_cur[6.096],PresProf_cur[9.144],PresProf_cur[12.192],PresProf_cur[15.24],PresProf_cur[18.288],PresProf_cur[21.336],PresProf_cur[24.384],PresProf_cur[27.432],PresProf_cur[30.48],PresProf_cur[33.528],PresProf_cur[36.576],PresProf_cur[39.624],PresProf_cur[42.672],PresProf_cur[45.72],PresProf_cur[48.768],PresProf_cur[51.816],PresProf_cur[54.864],PresProf_cur[57.912],PresProf_cur[60.96],
2006-06-01 00:00:00,300.000,293.078,0.000,295.068,293.057,281.291,291.250,99200.000,300.000,300.000,300.000,300.000,300.000,300.000,300.000,300.000,300.000,300.000,300.000,300.000,300.000,300.000,300.000,300.000,300.000,300.000,300.000,300.000,100860.787,100826.479,100792.179,100757.888,100723.605,100689.330,100655.064,100620.806,100586.556,100552.315,100518.082,100483.857,100449.641,100415.433,100381.233,100347.041,100312.858,100278.684,100244.517,100210.359,
2006-06-01 00:05:00,298.761,292.903,0.000,295.121,293.113,281.063,291.258,99200.000,298.724,298.729,298.730,298.730,298.729,298.728,298.726,298.724,298.723,298.721,298.720,298.719,298.719,298.722,298.729,298.747,298.786,298.869,299.044,299.563,100872.050,100837.426,100802.810,100768.203,100733.605,100699.015,100664.433,100629.860,100595.294,100560.737,100526.189,100491.649,100457.117,100422.593,100388.079,100353.575,100319.082,100284.605,100250.150,100215.737,
2006-06-01 00:10:00,297.811,292.879,0.000,295.175,293.168,281.316,291.267,99200.000,297.632,297.652,297.705,297.731,297.742,297.746,297.747,297.745,297.743,297.741,297.740,297.741,297.745,297.756,297.780,297.828,297.920,298.091,298.399,299.158,100874.553,100839.800,100805.061,100770.335,100735.619,100700.913,100666.216,100631.527,100596.847,100562.175,100527.511,100492.856,100458.209,100423.572,100388.946,100354.332,100319.734,100285.160,100250.621,100216.143,
2006-06-01 00:15:00,297.101,292.799,0.000,295.255,293.250,281.495,291.275,99200.000,296.890,296.891,296.935,296.963,296.979,296.987,296.989,296.989,296.988,296.987,296.988,296.992,297.004,297.027,297.071,297.152,297.292,297.531,297.926,298.810,100876.478,100841.636,100806.806,100771.990,100737.184,100702.389,100667.602,100632.824,100598.055,100563.294,100528.542,100493.799,100459.065,100424.341,100389.630,100354.935,100320.261,100285.617,100251.018,100216.492,
2006-06-01 00:20:00,296.572,292.778,0.000,295.335,293.332,281.674,291.283,99200.000,296.372,296.346,296.369,296.389,296.402,296.409,296.412,296.413,296.413,296.414,296.418,296.428,296.448,296.484,296.548,296.656,296.834,297.120,297.567,298.514,100877.979,100843.074,100808.179,100773.294,100738.421,100703.557,100668.702,100633.856,100599.019,100564.191,100529.371,100494.561,100459.761,100424.973,100390.199,100355.444,100320.713,100286.018,100251.374,100216.809,
2006-06-01 00:25:00,296.182,292.722,0.000,295.432,293.431,281.946,291.292,99200.000,296.013,295.960,295.960,295.966,295.972,295.976,295.978,295.979,295.981,295.984,295.991,296.006,296.034,296.083,296.163,296.293,296.498,296.813,297.289,298.263,100879.161,100844.212,100809.269,100774.336,100739.411,100704.496,100669.590,100634.693,100599.804,100564.924,100530.054,100495.193,100460.344,100425.508,100390.687,100355.888,100321.117,100286.384,100251.705,100217.109,
2006-06-01 00:30:00,295.899,292.702,0.000,295.529,293.530,282.217,291.300,99200.000,295.767,295.693,295.672,295.664,295.661,295.660,295.660,295.661,295.663,295.668,295.679,295.699,295.735,295.793,295.886,296.032,296.254,296.585,297.074,298.051,100880.085,100845.105,100810.129,100775.160,100740.199,100705.247,100670.303,100635.368,100600.441,100565.524,100530.616,100495.719,100460.834,100425.962,100391.108,100356.277,100321.476,100286.715,100252.011,100217.389,
2006-06-01 00:35:00,295.699,292.657,0.000,295.639,293.642,282.561,291.308,99200.000,295.603,295.513,295.475,295.454,295.443,295.437,295.434,295.433,295.436,295.443,295.456,295.481,295.522,295.588,295.691,295.846,296.078,296.417,296.908,297.873,100880.812,100845.811,100810.813,100775.819,100740.833,100705.854,100670.883,100635.921,100600.967,100566.023,100531.089,100496.165,100461.254,100426.358,100391.480,100356.626,100321.804,100287.023,100252.299,100217.657,
2006-06-01 00:40:00,295.564,292.638,0.000,295.749,293.753,282.904,291.317,99200.000,295.501,295.399,295.348,295.317,295.299,295.287,295.281,295.279,295.282,295.290,295.306,295.334,295.380,295.451,295.560,295.721,295.957,296.297,296.782,297.725,100881.376,100846.363,100811.350,100776.340,100741.337,100706.341,100671.352,100636.371,100601.399,100566.437,100531.484,100496.543,100461.615,100426.702,100391.808,100356.939,100322.102,100287.306,100252.568,100217.911,
2006-06-01 00:45:00,295.480,292.600,0.000,295.869,293.875,283.307,291.325,99200.000,295.445,295.335,295.275,295.236,295.211,295.196,295.187,295.184,295.186,295.195,295.213,295.243,295.292,295.366,295.478,295.641,295.877,296.214,296.688,297.602,100881.816,100846.796,100811.774,100776.756,100741.742,100706.735,100671.735,100636.743,100601.759,100566.785,100531.821,100496.869,100461.930,100427.007,100392.103,100357.224,100322.377,100287.573,100252.824,100218.154,
