,Urban_DBT_C,Rural_DBT_C,Rural_Pres_Pa
2004-12-01 00:00:00,4.618,1.176,98120.0
2004-12-01 00:05:00,4.57,0.992,98114.0
2004-12-01 00:10:00,4.63,0.632,98114.0
2004-12-01 00:15:00,4.862,0.46799999999999997,98110.0
2004-12-01 00:20:00,5.116,0.5900000000000001,98108.0
2004-12-01 00:25:00,5.14,0.748,98104.0
2004-12-01 00:30:00,4.884,0.762,98106.0
2004-12-01 00:35:00,4.8740000000000006,1.04,98102.00000000001
2004-12-01 00:40:00,4.886,1.596,98096.0
2004-12-01 00:45:00,5.048,1.6199999999999999,98094.0
2004-12-01 00:50:00,4.9,1.552,98083.99999999999
2004-12-01 00:55:00,4.544,1.266,98086.0
2004-12-01 01:00:00,4.114,1.018,98086.0
2004-12-01 01:05:00,3.886,1.306,98078.0
2004-12-01 01:10:00,3.772,0.9339999999999999,98080.0
2004-12-01 01:15:00,3.7560000000000002,0.622,98078.0
2004-12-01 01:20:00,3.8939999999999997,0.662,98072.0
2004-12-01 01:25:00,3.946,1.1199999999999999,98072.0
2004-12-01 01:30:00,4.2700000000000005,1.05,98064.0
2004-12-01 01:35:00,5.148000000000001,1.1480000000000001,98060.0
2004-12-01 01:40:00,5.896,1.1640000000000001,98050.0
2004-12-01 01:45:00,6.1659999999999995,1.524,98052.00000000001
2004-12-01 01:50:00,6.343999999999999,1.714,98052.00000000001
2004-12-01 01:55:00,6.464,1.296,98052.00000000001
2004-12-01 02:00:00,6.434,1.176,98050.0
2004-12-01 02:05:00,6.484,1.184,98050.0
2004-12-01 02:10:00,6.516,1.436,98042.0
2004-12-01 02:15:00,6.481999999999999,1.54,98040.0
2004-12-01 02:20:00,6.478,1.3519999999999999,98040.0
2004-12-01 02:25:00,6.418000000000001,1.338,98037.99999999999
2004-12-01 02:30:00,6.4319999999999995,1.394,98032.0
2004-12-01 02:35:00,6.401999999999999,1.41,98028.0
2004-12-01 02:40:00,6.506,1.508,98036.0
2004-12-01 02:45:00,6.566,1.3880000000000001,98030.0
2004-12-01 02:50:00,6.384,1.272,98032.0
2004-12-01 02:55:00,6.34,1.814,98030.0
2004-12-01 03:00:00,6.304,1.798,98020.0
2004-12-01 03:05:00,6.25,2.092,98024.0
2004-12-01 03:10:00,6.286,2.396,98024.0
2004-12-01 03:15:00,6.318,1.214,98012.00000000001
2004-12-01 03:20:00,6.343999999999999,2.322,98000.0
2004-12-01 03:25:00,6.354,1.524,97996.0
2004-12-01 03:30:00,6.316,0.968,97987.99999999999
2004-12-01 03:35:00,6.386,1.802,97983.99999999999
2004-12-01 03:40:00,6.506,2.6900000000000004,97980.0
2004-12-01 03:45:00,6.392,2.63,97974.0
2004-12-01 03:50:00,6.364,3.268,97970.0
2004-12-01 03:55:00,6.29,3.6159999999999997,97964.0
2004-12-01 04:00:00,6.266,3.222,97960.0
2004-12-01 04:05:00,6.279999999999999,2.0420000000000003,97954.0
2004-12-01 04:10:00,6.214,2.5140000000000002,97956.0
2004-12-01 04:15:00,6.152,2.8760000000000003,97966.00000000001
2004-12-01 04:20:00,6.066,3.08,97964.0
2004-12-01 04:25:00,6.0920000000000005,3.3939999999999997,97962.00000000001
2004-12-01 04:30:00,6.07,2.812,97968.0
2004-12-01 04:35:00,5.996,2.896,97974.0
2004-12-01 04:40:00,6.016,2.564,97972.0
2004-12-01 04:45:00,6.042,3.228,97966.00000000001
2004-12-01 04:50:00,6.122,2.154,97958.0
2004-12-01 04:55:00,6.08,1.9260000000000002,97958.0
2004-12-01 05:00:00,6.247999999999999,2.2399999999999998,97958.0
2004-12-01 05:05:00,6.244,3.354,97958.0
2004-12-01 05:10:00,6.046,2.38,97960.0
2004-12-01 05:15:00,5.786,1.862,97950.0
2004-12-01 05:20:00,5.804,2.3899999999999997,97946.0
2004-12-01 05:25:00,5.974,2.252,97950.0
2004-12-01 05:30:00,6.154,2.322,97954.0
2004-12-01 05:35:00,5.9719999999999995,2.3579999999999997,97946.0
2004-12-01 05:40:00,5.926,2.452,97937.99999999999
2004-12-01 05:45:00,5.758,1.8240000000000003,97940.0
2004-12-01 05:50:00,5.82,1.318,97947.99999999999
2004-12-01 05:55:00,6.09,1.474,97960.0
2004-12-01 06:00:00,5.984,2.114,97960.0
2004-12-01 06:05:00,5.772,1.778,97960.0
2004-12-01 06:10:00,6.012,1.8439999999999999,97962.00000000001
2004-12-01 06:15:00,6.11,1.6640000000000001,97962.00000000001
2004-12-01 06:20:00,6.244,0.706,97960.0
2004-12-01 06:25:00,5.843999999999999,0.418,97966.00000000001
2004-12-01 06:30:00,5.716,0.756,97960.0
2004-12-01 06:35:00,5.866,0.89,97966.00000000001
2004-12-01 06:40:00,5.95,1.016,97970.0
2004-12-01 06:45:00,6.06,1.238,97974.0
2004-12-01 06:50:00,6.566,1.22,97980.0
2004-12-01 06:55:00,6.736,1.03,97980.0
2004-12-01 07:00:00,6.5120000000000005,1.434,97976.0
2004-12-01 07:05:00,6.318,1.51,97978.0
2004-12-01 07:10:00,6.232,1.166,97972.0
2004-12-01 07:15:00,6.122,1.216,97970.0
2004-12-01 07:20:00,5.95,1.4440000000000002,97968.0
2004-12-01 07:25:00,5.852,2.062,97962.00000000001
2004-12-01 07:30:00,6.058,2.182,97960.0
2004-12-01 07:35:00,6.0200000000000005,2.202,97960.0
2004-12-01 07:40:00,5.816,1.864,97964.0
2004-12-01 07:45:00,6.138,1.866,97970.0
2004-12-01 07:50:00,5.702,2.2640000000000002,97966.00000000001
2004-12-01 07:55:00,5.726000000000001,2.614,97970.0
2004-12-01 08:00:00,6.296,2.42,97972.0
2004-12-01 08:05:00,6.586,2.31,97970.0
2004-12-01 08:10:00,6.514,1.028,97962.00000000001
2004-12-01 08:15:00,6.388,0.884,97968.0
2004-12-01 08:20:00,6.458,1.3599999999999999,97976.0
2004-12-01 08:25:00,6.63,1.752,97980.0
2004-12-01 08:30:00,7.164,1.654,97983.99999999999
