cur_datetime,canTemp,ForcTemp_K,sensWaste,EP_floor_energy[0],EP_floor_energy[1],EP_floor_energy[2],wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,Floor[1]_OAT_K,Floor[2]_OAT_K,Floor[3]_OAT_K,Floor[1]_OATwet_K,Floor[2]_OATwet_K,Floor[3]_OATwet_K,TempProf_cur[2.62],TempProf_cur[6.58],TempProf_cur[10.54],
2006-06-01 00:00:00,295.530,291.494,0.000,0.000,0.000,0.000,288.039,288.169,283.004,291.250,99200.000,295.750,295.636,295.428,290.391,290.362,290.310,295.728,295.510,295.139,
2006-06-01 00:05:00,292.208,291.486,0.000,0.000,0.000,0.000,288.199,288.319,282.656,291.258,99200.000,292.371,292.256,292.123,289.623,289.591,289.556,292.339,292.167,291.996,
2006-06-01 00:10:00,291.719,291.491,0.000,0.000,0.000,0.000,288.451,288.562,282.873,291.267,99200.000,291.818,291.733,291.668,289.588,289.558,289.536,291.786,291.687,291.621,
2006-06-01 00:15:00,291.928,291.491,0.000,0.000,0.000,0.000,288.810,288.914,282.988,291.275,99200.000,292.142,291.954,291.818,289.715,289.647,289.597,292.071,291.856,291.719,
2006-06-01 00:20:00,292.068,291.497,0.000,0.000,0.000,0.000,289.147,289.244,283.278,291.283,99200.000,292.366,292.106,291.914,289.794,289.700,289.629,292.271,291.968,291.773,
2006-06-01 00:25:00,292.030,291.499,0.000,0.000,0.000,0.000,289.414,289.503,283.943,291.292,99200.000,292.388,292.069,291.843,289.782,289.665,289.576,292.272,291.903,291.692,
2006-06-01 00:30:00,291.910,291.504,0.000,0.000,0.000,0.000,289.621,289.703,284.491,291.300,99200.000,292.231,291.950,291.741,289.703,289.598,289.515,292.133,291.798,291.602,
2006-06-01 00:35:00,291.810,291.507,0.000,0.000,0.000,0.000,289.801,289.874,285.184,291.308,99200.000,292.111,291.842,291.653,289.655,289.556,289.484,292.014,291.703,291.529,
2006-06-01 00:40:00,291.744,291.513,0.000,0.000,0.000,0.000,289.968,290.035,285.800,291.317,99200.000,292.017,291.772,291.602,289.634,289.546,289.484,291.928,291.647,291.491,
2006-06-01 00:45:00,291.714,291.517,0.000,0.000,0.000,0.000,290.139,290.192,286.394,291.325,99200.000,291.972,291.738,291.580,289.655,289.573,289.519,291.885,291.622,291.478,
2006-06-01 00:50:00,291.713,291.522,0.000,0.000,0.000,0.000,290.309,290.355,286.937,291.333,99200.000,291.958,291.736,291.586,289.692,289.615,289.565,291.875,291.626,291.489,
2006-06-01 00:55:00,291.723,291.526,0.000,0.000,0.000,0.000,290.479,290.521,287.444,291.342,99200.000,291.960,291.745,291.601,289.730,289.655,289.606,291.880,291.639,291.507,
2006-06-01 01:00:00,291.744,291.532,0.000,0.000,0.000,0.000,290.596,290.634,287.827,291.350,99200.000,291.974,291.765,291.624,289.784,289.712,289.667,291.896,291.662,291.533,
2006-06-01 01:05:00,291.757,291.530,0.000,0.000,0.000,0.000,290.687,290.722,288.143,291.350,99200.000,291.980,291.777,291.640,289.816,289.745,289.698,291.905,291.677,291.551,
2006-06-01 01:10:00,291.769,291.530,0.000,0.000,0.000,0.000,290.762,290.795,288.452,291.350,99200.000,291.989,291.790,291.656,289.839,289.768,289.720,291.915,291.691,291.568,
2006-06-01 01:15:00,291.776,291.528,0.000,0.000,0.000,0.000,290.825,290.855,288.686,291.350,99200.000,291.989,291.796,291.666,289.855,289.786,289.739,291.917,291.701,291.580,
2006-06-01 01:20:00,291.785,291.528,0.000,0.000,0.000,0.000,290.879,290.907,288.914,291.350,99200.000,291.994,291.805,291.677,289.855,289.785,289.736,291.924,291.711,291.592,
2006-06-01 01:25:00,291.789,291.527,0.000,0.000,0.000,0.000,290.925,290.951,289.087,291.350,99200.000,291.992,291.808,291.683,289.849,289.781,289.733,291.924,291.716,291.601,
2006-06-01 01:30:00,291.795,291.526,0.000,0.000,0.000,0.000,290.966,290.991,289.258,291.350,99200.000,291.995,291.814,291.691,289.849,289.782,289.735,291.927,291.723,291.610,
2006-06-01 01:35:00,291.796,291.525,0.000,0.000,0.000,0.000,291.001,291.025,289.388,291.350,99200.000,291.991,291.814,291.695,289.833,289.767,289.719,291.925,291.727,291.615,
2006-06-01 01:40:00,291.800,291.525,0.000,0.000,0.000,0.000,291.033,291.055,289.518,291.350,99200.000,291.992,291.818,291.700,289.819,289.754,289.706,291.927,291.731,291.621,
2006-06-01 01:45:00,291.799,291.523,0.000,0.000,0.000,0.000,291.061,291.082,289.618,291.350,99200.000,291.987,291.817,291.702,289.810,289.746,289.700,291.924,291.732,291.625,
2006-06-01 01:50:00,291.801,291.523,0.000,0.000,0.000,0.000,291.086,291.107,289.717,291.350,99200.000,291.987,291.818,291.705,289.790,289.726,289.679,291.924,291.735,291.629,
