cur_datetime,canTemp,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre
6/1/2004 0:00,295.53,0,288.034,288.163,282.999,291.25,99200
6/1/2004 0:05,292.152,0,288.176,288.296,282.65,291.258,99200
6/1/2004 0:10,291.612,0,288.406,288.517,282.865,291.267,99200
6/1/2004 0:15,291.563,0,288.676,288.779,282.975,291.275,99200
6/1/2004 0:20,291.593,0,288.941,289.036,283.151,291.283,99200
6/1/2004 0:25,291.554,0,289.169,289.256,283.614,291.292,99200
6/1/2004 0:30,291.481,0,289.364,289.443,284.18,291.3,99200
6/1/2004 0:35,291.383,0,289.53,289.603,284.888,291.308,99200
6/1/2004 0:40,291.336,0,289.693,289.759,285.512,291.317,99200
6/1/2004 0:45,291.314,0,289.859,289.912,286.136,291.325,99200
6/1/2004 0:50,291.33,0,290.03,290.076,286.696,291.333,99200
6/1/2004 0:55,291.352,0,290.202,290.244,287.211,291.342,99200
6/1/2004 1:00,291.387,0,290.322,290.361,287.603,291.35,99200
6/1/2004 1:05,291.413,0,290.418,290.454,287.922,291.35,99200
6/1/2004 1:10,291.44,0,290.5,290.532,288.239,291.35,99200
6/1/2004 1:15,291.459,0,290.568,290.599,288.478,291.35,99200
6/1/2004 1:20,291.479,0,290.629,290.657,288.711,291.35,99200
6/1/2004 1:25,291.493,0,290.681,290.708,288.889,291.35,99200
6/1/2004 1:30,291.507,0,290.727,290.753,289.064,291.35,99200
6/1/2004 1:35,291.518,0,290.768,290.792,289.199,291.35,99200
6/1/2004 1:40,291.528,0,290.805,290.828,289.332,291.35,99200
6/1/2004 1:45,291.535,0,290.838,290.86,289.436,291.35,99200
6/1/2004 1:50,291.543,0,290.869,290.889,289.539,291.35,99200
6/1/2004 1:55,291.548,0,290.896,290.916,289.62,291.35,99200
6/1/2004 2:00,291.553,0,290.919,290.938,289.696,291.35,99200
6/1/2004 2:05,291.558,0,290.94,290.958,289.756,291.358,99208.333
6/1/2004 2:10,291.552,0,290.955,290.972,289.813,291.367,99216.667
6/1/2004 2:15,291.56,0,290.972,290.988,289.825,291.375,99225
6/1/2004 2:20,291.577,0,290.99,291.006,289.727,291.383,99233.333
6/1/2004 2:25,291.597,0,291.011,291.026,289.669,291.392,99241.667
6/1/2004 2:30,291.604,0,291.028,291.042,289.664,291.4,99250
6/1/2004 2:35,291.61,0,291.043,291.056,289.671,291.408,99258.333
6/1/2004 2:40,291.61,0,291.055,291.068,289.669,291.417,99266.667
6/1/2004 2:45,291.614,0,291.067,291.079,289.676,291.425,99275
6/1/2004 2:50,291.618,0,291.078,291.089,289.677,291.433,99283.333
6/1/2004 2:55,291.623,0,291.088,291.099,289.68,291.442,99291.667
6/1/2004 3:00,291.628,0,291.1,291.111,289.689,291.45,99300
6/1/2004 3:05,291.603,0,291.104,291.114,289.697,291.408,99308.333
6/1/2004 3:10,291.565,0,291.1,291.11,289.7,291.367,99316.667
6/1/2004 3:15,291.525,0,291.092,291.101,289.703,291.325,99325
6/1/2004 3:20,291.483,0,291.08,291.089,289.703,291.283,99333.333
6/1/2004 3:25,291.441,0,291.066,291.074,289.702,291.242,99341.667
6/1/2004 3:30,291.4,0,291.05,291.058,289.702,291.2,99350
6/1/2004 3:35,291.358,0,291.032,291.04,289.7,291.158,99358.333
6/1/2004 3:40,291.316,0,291.014,291.022,289.699,291.117,99366.667
6/1/2004 3:45,291.274,0,290.994,291.002,289.697,291.075,99375
6/1/2004 3:50,291.231,0,290.974,290.981,289.695,291.033,99383.333
6/1/2004 3:55,291.189,0,290.953,290.96,289.692,290.992,99391.667
6/1/2004 4:00,291.147,0,290.925,290.932,289.675,290.95,99400
6/1/2004 4:05,291.036,0,290.874,290.88,289.645,290.808,99400
6/1/2004 4:10,290.894,0,290.803,290.808,289.629,290.667,99400
6/1/2004 4:15,290.737,0,290.717,290.722,289.606,290.525,99400
6/1/2004 4:20,290.581,0,290.77,290.865,289.796,290.383,99400
6/1/2004 4:25,290.433,0,290.749,290.842,289.833,290.242,99400
6/1/2004 4:30,290.284,0,290.737,290.848,289.905,290.1,99400
6/1/2004 4:35,290.162,0,290.735,290.861,289.986,289.958,99400
6/1/2004 4:40,289.943,0,290.709,290.846,289.99,289.817,99400
6/1/2004 4:45,289.876,0,290.72,290.865,290.031,289.675,99400
6/1/2004 4:50,289.712,0,290.715,290.865,290.036,289.533,99400
6/1/2004 4:55,289.653,0,290.739,290.886,290.048,289.392,99400
6/1/2004 5:00,289.467,104.586,290.718,290.856,290.002,289.25,99400
6/1/2004 5:05,289.711,89.544,290.813,290.939,290.108,289.208,99408.333
6/1/2004 5:10,289.559,86.09,290.829,290.941,290.068,289.167,99416.667
6/1/2004 5:15,289.545,42.716,290.865,290.964,290.097,289.125,99425
6/1/2004 5:20,289.368,40.842,290.853,290.936,290.067,289.083,99433.333
6/1/2004 5:25,289.361,40.594,290.876,290.945,290.076,289.042,99441.667
6/1/2004 5:30,289.249,39.267,290.897,290.955,290.073,289,99450
6/1/2004 5:35,289.228,38.625,290.946,290.996,290.104,288.958,99458.333
6/1/2004 5:40,289.133,37.601,290.982,291.021,290.114,288.917,99466.667
6/1/2004 5:45,289.125,37.176,291.043,291.071,290.158,288.875,99475
6/1/2004 5:50,289.039,36.269,291.085,291.101,290.172,288.833,99483.333
6/1/2004 5:55,289.022,35.795,291.147,291.148,290.212,288.792,99491.667
6/1/2004 6:00,288.939,69.835,291.208,291.196,290.242,288.75,99500
6/1/2004 6:05,289.037,35.59,291.333,291.313,290.351,288.842,99508.333
6/1/2004 6:10,288.919,34.443,291.407,291.373,290.387,288.933,99516.667
6/1/2004 6:15,288.94,34.448,291.516,291.471,290.497,289.025,99525
6/1/2004 6:20,288.918,34.096,291.621,291.563,290.595,289.117,99533.333
6/1/2004 6:25,288.961,34.267,291.749,291.679,290.726,289.208,99541.667
6/1/2004 6:30,288.94,33.902,291.975,291.963,291.033,289.3,99550
6/1/2004 6:35,288.995,34.146,292.274,292.4,291.417,289.392,99558.333
6/1/2004 6:40,289.008,34.038,292.58,292.796,291.803,289.483,99566.667
6/1/2004 6:45,289.08,34.392,292.919,293.204,292.284,289.575,99575
6/1/2004 6:50,289.106,34.362,293.258,293.588,292.763,289.667,99583.333
6/1/2004 6:55,289.183,34.717,293.619,293.971,293.314,289.758,99591.667
6/1/2004 7:00,289.218,69.462,294.009,294.425,293.842,289.85,99600
6/1/2004 7:05,289.485,38.107,294.464,294.888,294.506,290.033,99600
6/1/2004 7:10,289.602,39.276,294.894,295.291,295.057,290.217,99600
6/1/2004 7:15,289.794,40.686,295.351,295.693,295.658,290.4,99600
