Time,CORE_BOTTOM:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_BOTTOM:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_BOTTOM:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_BOTTOM:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_MID:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_MID:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_MID:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_MID:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_TOP:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_TOP:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s]
00:05:00,6.058443E+03,3.456938E+03,2.048735E-01,2.436764E-01,8.018331E+03,8.096635E+03,2.711494E-01,5.707249E-01,2.630371E+04,9.980270E+03,8.894913E-01,7.034988E-01,9.839048E+03,6.584567E+01,3.326540E-01,4.641358E-03,6.553305E+03,8.930897E+00,2.215626E-01,6.295185E-04,9.839047E+03,1.679286E+01,3.326540E-01,1.183691E-03,6.542818E+03,2.094477E+02,2.212081E-01,1.476440E-02,1.063626E+04,1.165431E+03,3.596074E-01,8.216111E-02,7.027744E+03,7.164401E+02,2.376032E-01,5.050806E-02,1.063626E+04,1.089981E+03,3.596074E-01,7.684161E-02,7.061287E+03,9.813115E+02,2.387372E-01,6.918278E-02,1.482798E+04,1.541658E+03,5.013289E-01,1.086867E-01,9.665668E+03,9.548512E+02,3.267903E-01,6.731718E-02,1.482480E+04,1.459803E+03,5.012215E-01,1.029156E-01,9.723549E+03,1.225157E+03,3.287472E-01,8.637520E-02
00:10:00,6.061395E+03,3.469460E+03,2.049733E-01,2.445590E-01,8.020907E+03,8.139338E+03,2.712365E-01,5.737346E-01,2.632056E+04,9.991037E+03,8.900611E-01,7.042572E-01,9.839416E+03,6.139675E+01,3.326664E-01,4.327759E-03,6.553537E+03,9.992158E+01,2.215705E-01,7.044535E-03,9.839415E+03,1.613607E+02,3.326664E-01,1.137479E-02,6.543049E+03,2.030746E+02,2.212159E-01,1.431515E-02,1.063687E+04,1.164466E+03,3.596281E-01,8.209320E-02,7.028134E+03,7.157284E+02,2.376164E-01,5.045797E-02,1.063687E+04,1.089368E+03,3.596281E-01,7.679857E-02,7.061677E+03,9.769821E+02,2.387504E-01,6.887761E-02,1.483159E+04,1.533673E+03,5.014509E-01,1.081239E-01,9.667948E+03,9.496738E+02,3.268674E-01,6.695223E-02,1.482840E+04,1.452469E+03,5.013432E-01,1.023986E-01,9.725828E+03,1.215788E+03,3.288243E-01,8.571465E-02
00:15:00,6.064339E+03,3.479620E+03,2.050728E-01,2.452752E-01,8.023502E+03,8.179084E+03,2.713242E-01,5.765359E-01,2.633726E+04,9.998324E+03,8.906256E-01,7.047703E-01,9.839784E+03,5.637599E+01,3.326789E-01,3.973852E-03,6.553768E+03,9.807571E+01,2.215783E-01,6.914423E-03,9.839783E+03,1.579869E+02,3.326789E-01,1.113698E-02,6.543280E+03,1.964781E+02,2.212237E-01,1.385013E-02,1.063749E+04,1.162782E+03,3.596490E-01,8.197458E-02,7.028527E+03,7.145414E+02,2.376296E-01,5.037435E-02,1.063749E+04,1.088079E+03,3.596490E-01,7.670779E-02,7.062069E+03,9.721800E+02,2.387637E-01,6.853910E-02,1.483516E+04,1.524857E+03,5.015716E-01,1.075024E-01,9.670202E+03,9.439446E+02,3.269436E-01,6.654834E-02,1.483196E+04,1.444327E+03,5.014635E-01,1.018246E-01,9.728081E+03,1.205912E+03,3.289005E-01,8.501836E-02
00:20:00,6.067263E+03,3.487771E+03,2.051717E-01,2.458497E-01,8.026103E+03,8.216188E+03,2.714122E-01,5.791508E-01,2.635372E+04,1.000253E+04,8.911824E-01,7.050665E-01,9.840151E+03,5.087552E+01,3.326913E-01,3.586131E-03,6.553999E+03,1.878287E+02,2.215861E-01,1.324356E-02,9.840150E+03,3.007976E+02,3.326913E-01,2.120608E-02,6.543511E+03,1.897022E+02,2.212315E-01,1.337248E-02,1.063811E+04,1.160478E+03,3.596699E-01,8.181225E-02,7.028920E+03,7.129436E+02,2.376429E-01,5.026176E-02,1.063811E+04,1.086206E+03,3.596699E-01,7.657585E-02,7.062462E+03,9.669829E+02,2.387769E-01,6.817272E-02,1.483867E+04,1.515331E+03,5.016904E-01,1.068309E-01,9.672422E+03,9.377444E+02,3.270187E-01,6.611123E-02,1.483547E+04,1.435494E+03,5.015821E-01,1.012020E-01,9.730301E+03,1.195617E+03,3.289755E-01,8.429254E-02
00:25:00,6.070165E+03,3.494216E+03,2.052698E-01,2.463039E-01,8.028706E+03,8.250924E+03,2.715002E-01,5.815989E-01,2.636995E+04,1.000401E+04,8.917312E-01,7.051702E-01,9.840516E+03,4.497364E+01,3.327036E-01,3.170115E-03,6.554228E+03,1.860014E+02,2.215938E-01,1.311476E-02,9.840515E+03,2.973086E+02,3.327036E-01,2.096015E-02,6.543741E+03,1.827845E+02,2.212393E-01,1.288482E-02,1.063873E+04,1.157641E+03,3.596909E-01,8.161235E-02,7.029313E+03,7.109924E+02,2.376562E-01,5.012424E-02,1.063873E+04,1.083832E+03,3.596908E-01,7.640850E-02,7.062855E+03,9.614583E+02,2.387902E-01,6.778322E-02,1.484214E+04,1.505204E+03,5.018075E-01,1.061169E-01,9.674608E+03,9.311443E+02,3.270926E-01,6.564591E-02,1.483892E+04,1.426076E+03,5.016988E-01,1.005380E-01,9.732486E+03,1.184980E+03,3.290494E-01,8.354254E-02
00:30:00,6.073042E+03,3.499170E+03,2.053671E-01,2.466531E-01,8.031310E+03,8.283533E+03,2.715883E-01,5.838969E-01,2.638594E+04,1.000307E+04,8.922719E-01,7.051028E-01,9.840880E+03,3.873765E+01,3.327159E-01,2.730547E-03,6.554457E+03,2.748514E+02,2.216016E-01,1.938129E-02,9.840878E+03,4.388639E+02,3.327159E-01,3.094211E-02,6.543969E+03,1.757559E+02,2.212470E-01,1.238935E-02,1.063934E+04,1.154350E+03,3.597118E-01,8.138032E-02,7.029706E+03,7.087384E+02,2.376695E-01,4.996536E-02,1.063934E+04,1.081028E+03,3.597117E-01,7.621086E-02,7.063248E+03,9.556646E+02,2.388035E-01,6.737474E-02,1.484554E+04,1.494570E+03,5.019226E-01,1.053671E-01,9.676760E+03,9.242064E+02,3.271653E-01,6.515675E-02,1.484232E+04,1.416163E+03,5.018136E-01,9.983912E-02,9.734636E+03,1.174067E+03,3.291221E-01,8.277302E-02
00:35:00,6.076036E+03,3.520830E+03,2.054684E-01,2.481797E-01,8.034240E+03,8.332537E+03,2.716874E-01,5.873506E-01,2.640190E+04,1.001832E+04,8.928115E-01,7.061770E-01,9.841273E+03,3.586519E+01,3.327292E-01,2.528069E-03,6.554704E+03,2.748514E+02,2.216099E-01,1.938129E-02,9.841272E+03,4.388639E+02,3.327292E-01,3.094211E-02,6.544217E+03,1.709246E+02,2.212554E-01,1.204876E-02,1.064004E+04,1.154334E+03,3.597351E-01,8.137923E-02,7.030144E+03,7.085393E+02,2.376843E-01,4.995133E-02,1.064003E+04,1.081517E+03,3.597351E-01,7.624538E-02,7.063687E+03,9.519789E+02,2.388183E-01,6.711486E-02,1.484894E+04,1.487180E+03,5.020375E-01,1.048460E-01,9.678905E+03,9.193026E+02,3.272379E-01,6.481099E-02,1.484571E+04,1.409505E+03,5.019282E-01,9.936961E-02,9.736780E+03,1.165259E+03,3.291946E-01,8.215196E-02
00:40:00,6.079005E+03,3.541799E+03,2.055688E-01,2.496577E-01,8.037168E+03,8.380246E+03,2.717864E-01,5.907131E-01,2.641762E+04,1.003211E+04,8.933431E-01,7.071487E-01,9.841664E+03,3.266327E+01,3.327425E-01,2.302371E-03,6.554950E+03,2.713836E+02,2.216183E-01,1.914047E-02,9.841663E+03,4.343858E+02,3.327424E-01,3.063129E-02,6.544463E+03,1.659588E+02,2.212637E-01,1.169871E-02,1.064073E+04,1.153892E+03,3.597584E-01,8.134813E-02,7.030583E+03,7.080541E+02,2.376991E-01,4.991715E-02,1.064072E+04,1.081598E+03,3.597584E-01,7.625118E-02,7.064124E+03,9.480567E+02,2.388331E-01,6.683833E-02,1.485228E+04,1.479344E+03,5.021505E-01,1.042936E-01,9.681016E+03,9.141000E+02,3.273092E-01,6.444418E-02,1.484904E+04,1.402410E+03,5.020409E-01,9.886941E-02,9.738890E+03,1.156220E+03,3.292659E-01,8.151465E-02
00:45:00,6.081947E+03,3.561947E+03,2.056683E-01,2.510778E-01,8.040092E+03,8.426567E+03,2.718852E-01,5.939776E-01,2.643310E+04,1.004437E+04,8.938667E-01,7.080119E-01,9.842053E+03,2.914190E+01,3.327556E-01,2.054155E-03,6.555195E+03,2.713836E+02,2.216265E-01,1.914047E-02,9.842052E+03,4.343858E+02,3.327556E-01,3.063129E-02,6.544707E+03,1.608665E+02,2.212720E-01,1.133973E-02,1.064141E+04,1.153038E+03,3.597817E-01,8.128793E-02,7.031020E+03,7.072934E+02,2.377139E-01,4.986355E-02,1.064141E+04,1.081285E+03,3.597817E-01,7.622912E-02,7.064562E+03,9.439066E+02,2.388479E-01,6.654571E-02,1.485557E+04,1.471079E+03,5.022617E-01,1.037108E-01,9.683094E+03,9.086107E+02,3.273795E-01,6.405715E-02,1.485232E+04,1.394894E+03,5.021519E-01,9.833951E-02,9.740967E+03,1.146960E+03,3.293361E-01,8.086171E-02
00:50:00,6.084864E+03,3.581304E+03,2.057669E-01,2.524422E-01,8.043011E+03,8.471604E+03,2.719840E-01,5.971516E-01,2.644836E+04,1.005521E+04,8.943826E-01,7.087759E-01,9.842440E+03,2.532955E+01,3.327687E-01,1.785429E-03,6.555438E+03,2.674480E+02,2.216347E-01,1.886669E-02,9.842438E+03,4.292287E+02,3.327686E-01,3.027265E-02,6.544950E+03,1.556614E+02,2.212802E-01,1.097280E-02,1.064210E+04,1.151807E+03,3.598050E-01,8.120122E-02,7.031456E+03,7.062820E+02,2.377287E-01,4.979226E-02,1.064210E+04,1.080611E+03,3.598049E-01,7.618164E-02,7.064998E+03,9.395549E+02,2.388627E-01,6.623888E-02,1.485881E+04,1.462425E+03,5.023711E-01,1.031007E-01,9.685139E+03,9.028639E+02,3.274486E-01,6.365196E-02,1.485555E+04,1.386999E+03,5.022611E-01,9.778288E-02,9.743010E+03,1.137507E+03,3.294052E-01,8.019518E-02
