Date/Time,EAST:Surface Outside Face Temperature [C](TimeStep),NORTH:Surface Outside Face Temperature [C](TimeStep),SOUTH:Surface Outside Face Temperature [C](TimeStep),WEST:Surface Outside Face Temperature [C](TimeStep),FLOOR:Surface Outside Face Temperature [C](TimeStep),ROOF:Surface Outside Face Temperature [C](TimeStep),EAST_WINDOW:Surface Outside Face Temperature [C](TimeStep),NORTH_WINDOW:Surface Outside Face Temperature [C](TimeStep),SOUTH_WINDOW:Surface Outside Face Temperature [C](TimeStep),WEST_WINDOW:Surface Outside Face Temperature [C](TimeStep) 
 06/01  00:05:00,12.273817306902114,12.335457339136125,12.270139064027969,12.409540847477036,18.0,10.462094304058976,14.485737862835833,14.488537486381631,14.49883031633567,14.493539836755986 
 06/01  00:10:00,12.535353219571933,12.589771660559549,12.52871166070929,12.659153776397897,18.0,10.778114779619491,14.81785348012886,14.82055453538527,14.828789204742975,14.823843321676634 
 06/01  00:15:00,12.840273004046518,12.889186219455853,12.832472392126574,12.954627876773566,18.0,11.094904935241201,15.15366950190537,15.156199978499785,15.162607492759435,15.157970463456934 
 06/01  00:20:00,13.176201787274062,13.220636185037444,13.168421211780785,13.282891490734386,18.0,11.489391627393639,15.491491181554977,15.493821290331766,15.498615743567143,15.49429681585741 
 06/01  00:25:00,13.534978395971361,13.575655820633429,13.528086396433237,13.635412804531494,18.0,11.883934370357915,15.832175563467672,15.834319425789943,15.837714021492957,15.83369217780023 
 06/01  00:30:00,13.910963828347654,13.948420103767193,13.905608866820764,14.006281642567847,18.0,12.328221580994988,16.174545523326742,16.176486518428987,16.17867958343163,16.174965873259453 
 06/01  00:35:00,14.300143807382076,14.3347905518827,14.29680644320483,14.39127205108383,18.0,12.771971704194964,16.51944436100507,16.52119471556142,16.522380018573813,16.518957010322424 
 06/01  00:40:00,14.699593800573535,14.731756075010415,14.698623377116494,14.787290471553577,18.0,13.248215022343581,16.86596488227582,16.86750923312553,16.867869809587887,16.864748960846327 
 06/01  00:45:00,15.10714181325714,15.13708245233648,15.10878380079772,15.19202808322059,18.0,13.723527424192019,17.21479914822146,17.216205021260976,17.215931117371042,17.212984794249962 
 06/01  00:50:00,15.521147694551463,15.552366306965277,15.522232768020958,15.603732812127614,18.0,14.219863778630721,17.56393000751393,17.56393165565015,17.565518276233036,17.561745676745943 
 06/01  00:55:00,15.940354484291914,15.972486217549157,15.941538352580002,16.021055328744016,18.0,14.715014493373314,17.9155620177429,17.915058275749743,17.91694008765387,17.913161280865552 
 06/01  01:00:00,16.363785932321314,16.39702440696447,16.365075667000692,16.44294254229728,18.0,15.223416190494813,18.268755830267594,18.267913316710633,18.26989651651843,18.266290247753034 
 06/01  01:05:00,16.610566658695667,16.643164795718214,16.611931454067886,16.686704316975465,18.0,15.49892582746462,18.28533513684357,18.28420810011511,18.286212423510847,18.28288061836156 
