Time,THERMAL ZONE 1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],THERMAL ZONE 1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s]
00:05:00,1.605195E+05,2.374902E+04,5.427124E+00,1.675705E+00
00:10:00,1.605201E+05,2.357826E+04,5.427142E+00,1.663659E+00
00:15:00,1.605206E+05,2.340189E+04,5.427160E+00,1.651217E+00
00:20:00,1.605211E+05,2.322118E+04,5.427177E+00,1.638468E+00
00:25:00,1.605216E+05,2.303692E+04,5.427193E+00,1.625469E+00
00:30:00,1.605220E+05,2.285003E+04,5.427208E+00,1.612285E+00
00:35:00,1.605225E+05,2.266112E+04,5.427223E+00,1.598957E+00
00:40:00,1.605229E+05,2.247085E+04,5.427237E+00,1.585533E+00
00:45:00,1.605233E+05,2.227966E+04,5.427251E+00,1.572044E+00
00:50:00,1.605237E+05,2.208806E+04,5.427264E+00,1.558525E+00
00:55:00,1.605241E+05,2.189636E+04,5.427276E+00,1.545000E+00
01:00:00,1.605244E+05,2.170493E+04,5.427288E+00,1.531493E+00
01:05:00,1.605248E+05,2.152048E+04,5.427300E+00,1.518479E+00
01:10:00,1.605251E+05,2.133833E+04,5.427311E+00,1.505627E+00
01:15:00,1.605254E+05,2.115865E+04,5.427321E+00,1.492949E+00
01:20:00,1.605257E+05,2.098167E+04,5.427332E+00,1.480462E+00
01:25:00,1.605260E+05,2.080753E+04,5.427341E+00,1.468175E+00
01:30:00,1.605263E+05,2.063640E+04,5.427351E+00,1.456100E+00
01:35:00,1.605265E+05,2.046840E+04,5.427360E+00,1.444246E+00
01:40:00,1.605268E+05,2.030365E+04,5.427368E+00,1.432621E+00
01:45:00,1.605270E+05,2.014225E+04,5.427376E+00,1.421232E+00
01:50:00,1.605273E+05,1.998429E+04,5.427384E+00,1.410087E+00
01:55:00,1.605275E+05,1.982984E+04,5.427392E+00,1.399189E+00
02:00:00,1.605277E+05,1.967899E+04,5.427399E+00,1.388545E+00
02:05:00,1.605279E+05,1.953068E+04,5.427406E+00,1.378080E+00
02:10:00,1.605281E+05,1.938462E+04,5.427413E+00,1.367773E+00
02:15:00,1.605283E+05,1.924086E+04,5.427420E+00,1.357629E+00
02:20:00,1.605285E+05,1.909943E+04,5.427426E+00,1.347650E+00
02:25:00,1.605287E+05,1.896037E+04,5.427432E+00,1.337837E+00
02:30:00,1.605289E+05,1.882368E+04,5.427438E+00,1.328193E+00
02:35:00,1.605290E+05,1.868940E+04,5.427443E+00,1.318717E+00
02:40:00,1.605292E+05,1.855753E+04,5.427449E+00,1.309412E+00
02:45:00,1.605293E+05,1.842809E+04,5.427454E+00,1.300278E+00
02:50:00,1.605295E+05,1.830109E+04,5.427459E+00,1.291317E+00
02:55:00,1.605296E+05,1.817654E+04,5.427464E+00,1.282528E+00
03:00:00,1.605298E+05,1.805445E+04,5.427468E+00,1.273913E+00
03:05:00,1.605299E+05,1.793320E+04,5.427473E+00,1.265358E+00
03:10:00,1.605300E+05,1.781306E+04,5.427477E+00,1.256880E+00
03:15:00,1.605301E+05,1.769401E+04,5.427481E+00,1.248480E+00
03:20:00,1.605303E+05,1.757602E+04,5.427485E+00,1.240154E+00
03:25:00,1.605304E+05,1.745905E+04,5.427489E+00,1.231900E+00
03:30:00,1.605305E+05,1.734309E+04,5.427493E+00,1.223717E+00
03:35:00,1.605306E+05,1.722812E+04,5.427496E+00,1.215605E+00
03:40:00,1.605307E+05,1.711413E+04,5.427499E+00,1.207561E+00
03:45:00,1.605308E+05,1.700110E+04,5.427503E+00,1.199586E+00
03:50:00,1.605309E+05,1.688902E+04,5.427506E+00,1.191677E+00
03:55:00,1.605310E+05,1.677788E+04,5.427509E+00,1.183834E+00
04:00:00,1.605311E+05,1.666765E+04,5.427512E+00,1.176056E+00
04:05:00,1.605311E+05,1.655967E+04,5.427515E+00,1.168436E+00
04:10:00,1.605312E+05,1.645402E+04,5.427518E+00,1.160982E+00
04:15:00,1.605313E+05,1.635071E+04,5.427520E+00,1.153691E+00
04:20:00,1.605314E+05,1.624972E+04,5.427523E+00,1.146565E+00
04:25:00,1.605314E+05,1.615106E+04,5.427525E+00,1.139603E+00
04:30:00,1.605315E+05,1.605472E+04,5.427528E+00,1.132805E+00
04:35:00,1.605316E+05,1.596070E+04,5.427530E+00,1.126171E+00
04:40:00,1.605316E+05,1.586900E+04,5.427532E+00,1.119700E+00
04:45:00,1.605317E+05,1.577962E+04,5.427534E+00,1.113393E+00
04:50:00,1.605318E+05,1.569492E+04,5.427536E+00,1.107416E+00
04:55:00,1.605318E+05,1.562945E+04,5.427538E+00,1.102796E+00
05:00:00,1.605319E+05,1.560683E+04,5.427540E+00,1.101200E+00
05:05:00,1.605319E+05,1.565095E+04,5.427542E+00,1.104313E+00
05:10:00,1.605320E+05,1.577653E+04,5.427544E+00,1.113174E+00
05:15:00,1.605320E+05,1.598866E+04,5.427546E+00,1.128143E+00
05:20:00,1.605321E+05,1.629654E+04,5.427547E+00,1.149869E+00
05:25:00,1.605321E+05,1.670271E+04,5.427549E+00,1.178531E+00
05:30:00,1.605322E+05,1.722015E+04,5.427550E+00,1.215045E+00
