Date/Time,EAST:Surface Outside Face Temperature [C](TimeStep),NORTH:Surface Outside Face Temperature [C](TimeStep),SOUTH:Surface Outside Face Temperature [C](TimeStep),WEST:Surface Outside Face Temperature [C](TimeStep),FLOOR:Surface Outside Face Temperature [C](TimeStep),ROOF:Surface Outside Face Temperature [C](TimeStep),THERMAL ZONE 1 INTERNAL MASS:Surface Outside Face Temperature [C](TimeStep),EAST_WINDOW:Surface Outside Face Temperature [C](TimeStep),NORTH_WINDOW:Surface Outside Face Temperature [C](TimeStep),SOUTH_WINDOW:Surface Outside Face Temperature [C](TimeStep),WEST_WINDOW:Surface Outside Face Temperature [C](TimeStep) 
 06/01  00:05:00,12.302144762003824,12.363791950221687,12.29869897805947,12.43949702992994,18.0,10.450983110000115,24.00411949603603,15.259433850126698,15.26150766416663,15.279334195484921,15.276402625491585 
 06/01  00:10:00,12.566237593084487,12.620705961808325,12.559865833949033,12.691571574947488,18.0,10.768965759210152,23.988039780356306,15.598415940139205,15.600615492564884,15.615305059520551,15.61248270395356 
 06/01  00:15:00,12.873755771880118,12.922741378458625,12.866232551869835,12.989539240812956,18.0,11.08769755711237,23.973694062995396,15.939318207482188,15.941476388490003,15.953251540072813,15.950530123076646 
 06/01  00:20:00,13.212307487692552,13.256827531859315,13.20479289092035,13.320319780385763,18.0,11.484013620819672,23.96086580264812,16.281509044450445,16.283601190686,16.292638602383704,16.290017219508684 
 06/01  00:25:00,13.573721219344199,13.614492269855035,13.567068533547657,13.675372432011796,18.0,11.880365695697881,23.949557320741512,16.624865263005233,16.626889833932694,16.633362224517043,16.63083967415662 
 06/01  00:30:00,13.952349137855478,13.989903785720898,13.94719351909339,14.048777877891347,18.0,12.326368181289519,23.939567304007962,16.969217154043008,16.971173306551464,16.975251204525023,16.972826793247634 
 06/01  00:35:00,14.344168782249307,14.378916590521731,14.340978615009508,14.43630099085174,18.0,12.771814105605676,23.93091652276687,17.314538906256985,17.31642633891812,17.318278888406894,17.315951453711705 
 06/01  00:40:00,14.746247759064458,14.77851244564516,14.74536091751139,14.834839110900928,18.0,13.24967019323977,23.923407338526843,17.660698595131635,17.662516452380146,17.66231109176539,17.66008004426476 
 06/01  00:45:00,15.156406392816955,15.186449899568045,15.15805735895806,15.242074466851108,18.0,13.72657668804875,23.917120070673494,18.007711042516405,18.00945897119891,18.00736155840559,18.00522582520398 
 06/01  00:50:00,15.572996987433607,15.604222674671817,15.574101225202442,15.656246263387876,18.0,14.224430827756143,23.91180196372176,18.35544274593667,18.35321321574679,18.35720269994249,18.35125378502096 
 06/01  00:55:00,15.994755186952109,16.026805697513858,15.995950242607535,16.075996758717235,18.0,14.721081549468906,23.907526686258823,18.703911151200032,18.700027244618695,18.70561749649505,18.698179577269343 
 06/01  01:00:00,16.42069753795676,16.453756368260645,16.421990374801783,16.500264834332818,18.0,15.230910672865031,23.904157380656002,19.053030006190625,19.04767286532683,19.054661492121227,19.045915473395837 
 06/01  01:05:00,16.670128946374607,16.702479308692656,16.67149004370699,16.74658436236793,18.0,15.507863648475581,23.901754826541215,19.064996332326245,19.059479353811412,19.066541059906058,19.05781660413595 
 06/01  01:10:00,16.85134935220867,16.88258985210465,16.85275056415512,16.924437596554704,18.0,15.742712862749304,23.896868556176607,19.074887454610803,19.06920604736183,19.076433026924065,19.06755079734063 
 06/01  01:15:00,16.990470667630884,17.020466206040375,16.991890041280314,17.06017699403379,18.0,15.976803674409599,23.89080457762779,19.08341378763555,19.07754878786426,19.08495434104873,19.07590554465503 
 06/01  01:20:00,17.100653469754008,17.129376896337682,17.102074481283744,17.16705882440074,18.0,16.13671934521925,23.883983940818478,19.091205551647533,19.085148444288393,19.092738170593236,19.083519506887342 
 06/01  01:25:00,17.19014790410522,17.217625156741157,17.191558302173206,17.253378439152694,18.0,16.295940621611898,23.876581375863612,19.098577658245517,19.092325465361796,19.10010104276165,19.09071166663358 
 06/01  01:30:00,17.264462514245107,17.290745585400376,17.265853318047583,17.324664611988265,18.0,16.40953248626205,23.86865499476848,19.105644535010356,19.09919680869541,19.107157678223302,19.097598756168395 
 06/01  01:35:00,17.327401185250935,17.352553666577034,17.32876589561052,17.384728060710366,18.0,16.52270561983762,23.860331598125867,19.112513191742664,19.10587004804171,19.114015500702635,19.104287982528263 
 06/01  01:40:00,17.381657268159632,17.40574649615326,17.382991266150057,17.43626168853084,18.0,16.606344659117877,23.851652240193538,19.119215820135707,19.112377881816656,19.120706616673715,19.11081215756451 
 06/01  01:45:00,17.429177545182355,17.452270376316093,17.4304776389088,17.48120793862399,18.0,16.689716113327545,23.842718567692703,19.125813503092388,19.118781211113287,19.127292352642883,19.117231967604653 
 06/01  01:50:00,17.47139434601124,17.49355496862802,17.4726584296603,17.52099282821447,18.0,16.753507480108073,23.833550885210006,19.132313351519997,19.12508739965392,19.133779696156353,19.12355491866822 
 06/01  01:55:00,17.50937811442714,17.53066701197612,17.510604910966,17.556679608663803,18.0,16.81712077476012,23.8242369414411,19.138762712983635,19.13134349838407,19.140216253450376,19.12982782659435 
 06/01  02:00:00,17.543940170781536,17.564413732965885,17.548331180058366,17.589072148793424,18.0,16.867503835084364,23.814777335399263,19.145154903089974,19.137543121232625,19.139067247070898,19.136044453485056 
 06/01  02:05:00,17.57100117840089,17.590632085193555,17.573425915955347,17.614013126519936,18.0,16.91069773330631,23.80521679516547,19.14445100826515,19.136858958812752,19.14496455041177,19.135376801367215 
 06/01  02:10:00,17.593888362489114,17.612706381164816,17.59580255528308,17.634877119372806,18.0,16.94331305316731,23.795529629237006,19.142823105125103,19.135238305905148,19.143907881448285,19.13377005673948 
 06/01  02:15:00,17.613679000347258,17.631723349641167,17.61531530700381,17.652746289622726,18.0,16.975873550718823,23.78576918173984,19.140856857023778,19.133280864294818,19.142130240020265,19.13182678502551 
 06/01  02:20:00,17.631029167100333,17.648341195918583,17.63247697074727,17.66827518528591,18.0,16.999723163263493,23.7759394235087,19.138737994518465,19.13117170499811,19.14007906868943,19.12973192395225 
 06/01  02:25:00,17.646404024805282,17.663024727676273,17.647713954534783,17.681925386417266,18.0,17.023530538744946,23.766105299200632,19.13657495371433,19.12901843217759,19.1379361688372,19.127592720236123 
 06/01  02:30:00,17.660149043545324,17.676117938637887,17.661353164851498,17.694037948345436,18.0,17.041392371942017,23.756238579625162,19.13437533245235,19.126828814785824,19.135737632594896,19.12541708355343 
 06/01  02:35:00,17.67252785827625,17.68788248657731,17.673647571592774,17.704871808655454,18.0,17.059226220717452,23.746394822570036,19.132181537410247,19.12464486340525,19.133537555077055,19.123246765283227 
 06/01  02:40:00,17.68374587790113,17.69852162158107,17.684796028026952,17.714627673389426,18.0,17.072887880758017,23.736543756990265,19.12997623277238,19.122449575362793,19.131322990337935,19.12106493209683 
