Time,DXVAV SYS 1:DesPer 1:Des Heat Mass Flow [kg/s],DXVAV SYS 1:DesPer 1:Des Heat Cap [W],DXVAV SYS 1:DesPer 1:Des Cool Mass Flow [kg/s],DXVAV SYS 1:DesPer 1:Des Sens Cool Cap [W],DXVAV SYS 1:DesPer 1:Des Tot Cool Cap [W],DXVAV SYS 1:DesPer 2:Des Heat Mass Flow [kg/s],DXVAV SYS 1:DesPer 2:Des Heat Cap [W],DXVAV SYS 1:DesPer 2:Des Cool Mass Flow [kg/s],DXVAV SYS 1:DesPer 2:Des Sens Cool Cap [W],DXVAV SYS 1:DesPer 2:Des Tot Cool Cap [W],DXVAV SYS 2:DesPer 1:Des Heat Mass Flow [kg/s],DXVAV SYS 2:DesPer 1:Des Heat Cap [W],DXVAV SYS 2:DesPer 1:Des Cool Mass Flow [kg/s],DXVAV SYS 2:DesPer 1:Des Sens Cool Cap [W],DXVAV SYS 2:DesPer 1:Des Tot Cool Cap [W],DXVAV SYS 2:DesPer 2:Des Heat Mass Flow [kg/s],DXVAV SYS 2:DesPer 2:Des Heat Cap [W],DXVAV SYS 2:DesPer 2:Des Cool Mass Flow [kg/s],DXVAV SYS 2:DesPer 2:Des Sens Cool Cap [W],DXVAV SYS 2:DesPer 2:Des Tot Cool Cap [W],DXVAV SYS 3:DesPer 1:Des Heat Mass Flow [kg/s],DXVAV SYS 3:DesPer 1:Des Heat Cap [W],DXVAV SYS 3:DesPer 1:Des Cool Mass Flow [kg/s],DXVAV SYS 3:DesPer 1:Des Sens Cool Cap [W],DXVAV SYS 3:DesPer 1:Des Tot Cool Cap [W],DXVAV SYS 3:DesPer 2:Des Heat Mass Flow [kg/s],DXVAV SYS 3:DesPer 2:Des Heat Cap [W],DXVAV SYS 3:DesPer 2:Des Cool Mass Flow [kg/s],DXVAV SYS 3:DesPer 2:Des Sens Cool Cap [W],DXVAV SYS 3:DesPer 2:Des Tot Cool Cap [W]
00:05:00,3.941400E+00,0.000000E+00,3.941400E+00,3.791237E+04,1.333070E+05,3.941400E+00,1.211928E+05,3.941400E+00,0.000000E+00,0.000000E+00,3.941400E+00,0.000000E+00,3.941400E+00,3.791237E+04,1.333070E+05,3.941400E+00,1.211928E+05,3.941400E+00,0.000000E+00,0.000000E+00,3.941400E+00,0.000000E+00,3.941400E+00,3.791237E+04,1.333070E+05,4.253169E+00,1.177494E+05,3.941400E+00,0.000000E+00,0.000000E+00
00:10:00,3.941400E+00,0.000000E+00,3.941400E+00,3.770048E+04,1.325037E+05,3.941400E+00,1.211928E+05,3.941400E+00,0.000000E+00,0.000000E+00,3.941400E+00,0.000000E+00,3.941400E+00,3.770048E+04,1.325037E+05,3.941400E+00,1.211928E+05,3.941400E+00,0.000000E+00,0.000000E+00,3.941400E+00,0.000000E+00,3.941400E+00,3.770048E+04,1.325037E+05,4.253178E+00,1.177493E+05,3.941400E+00,0.000000E+00,0.000000E+00
00:15:00,3.941400E+00,0.000000E+00,3.941400E+00,3.748859E+04,1.317022E+05,3.941400E+00,1.211928E+05,3.941400E+00,0.000000E+00,0.000000E+00,3.941400E+00,0.000000E+00,3.941400E+00,3.748859E+04,1.317022E+05,3.941400E+00,1.211928E+05,3.941400E+00,0.000000E+00,0.000000E+00,3.941400E+00,0.000000E+00,3.941400E+00,3.748859E+04,1.317022E+05,4.253188E+00,1.177492E+05,3.941400E+00,0.000000E+00,0.000000E+00
00:20:00,3.941400E+00,0.000000E+00,3.941400E+00,3.727670E+04,1.309026E+05,3.941400E+00,1.211928E+05,3.941400E+00,0.000000E+00,0.000000E+00,3.941400E+00,0.000000E+00,3.941400E+00,3.727670E+04,1.309026E+05,3.941400E+00,1.211928E+05,3.941400E+00,0.000000E+00,0.000000E+00,3.941400E+00,0.000000E+00,3.941400E+00,3.727670E+04,1.309026E+05,4.253197E+00,1.177491E+05,3.941400E+00,0.000000E+00,0.000000E+00
00:25:00,3.941400E+00,0.000000E+00,3.941400E+00,3.706481E+04,1.301047E+05,3.941400E+00,1.211928E+05,3.941400E+00,0.000000E+00,0.000000E+00,3.941400E+00,0.000000E+00,3.941400E+00,3.706481E+04,1.301047E+05,3.941400E+00,1.211928E+05,3.941400E+00,0.000000E+00,0.000000E+00,3.941400E+00,0.000000E+00,3.941400E+00,3.706481E+04,1.301047E+05,4.253206E+00,1.177490E+05,3.941400E+00,0.000000E+00,0.000000E+00
00:30:00,3.941400E+00,0.000000E+00,3.941400E+00,3.685292E+04,1.293086E+05,3.941400E+00,1.211928E+05,3.941400E+00,0.000000E+00,0.000000E+00,3.941400E+00,0.000000E+00,3.941400E+00,3.685292E+04,1.293086E+05,3.941400E+00,1.211928E+05,3.941400E+00,0.000000E+00,0.000000E+00,3.941400E+00,0.000000E+00,3.941400E+00,3.685292E+04,1.293086E+05,4.253215E+00,1.177489E+05,3.941400E+00,0.000000E+00,0.000000E+00
00:35:00,3.941400E+00,0.000000E+00,3.941400E+00,3.664103E+04,1.285144E+05,3.941400E+00,1.211928E+05,3.941400E+00,0.000000E+00,0.000000E+00,3.941400E+00,0.000000E+00,3.941400E+00,3.664103E+04,1.285144E+05,3.941400E+00,1.211928E+05,3.941400E+00,0.000000E+00,0.000000E+00,3.941400E+00,0.000000E+00,3.941400E+00,3.664103E+04,1.285144E+05,4.253224E+00,1.177488E+05,3.941400E+00,0.000000E+00,0.000000E+00
00:40:00,3.941400E+00,0.000000E+00,3.941400E+00,3.642914E+04,1.277219E+05,3.941400E+00,1.211928E+05,3.941400E+00,0.000000E+00,0.000000E+00,3.941400E+00,0.000000E+00,3.941400E+00,3.642914E+04,1.277219E+05,3.941400E+00,1.211928E+05,3.941400E+00,0.000000E+00,0.000000E+00,3.941400E+00,0.000000E+00,3.941400E+00,3.642914E+04,1.277219E+05,4.253233E+00,1.177487E+05,3.941400E+00,0.000000E+00,0.000000E+00
00:45:00,3.941400E+00,0.000000E+00,3.941400E+00,3.621725E+04,1.269312E+05,3.941400E+00,1.211928E+05,3.941400E+00,0.000000E+00,0.000000E+00,3.941400E+00,0.000000E+00,3.941400E+00,3.621725E+04,1.269312E+05,3.941400E+00,1.211928E+05,3.941400E+00,0.000000E+00,0.000000E+00,3.941400E+00,0.000000E+00,3.941400E+00,3.621725E+04,1.269312E+05,4.253242E+00,1.177486E+05,3.941400E+00,0.000000E+00,0.000000E+00
00:50:00,3.941400E+00,0.000000E+00,3.941400E+00,3.600536E+04,1.261423E+05,3.941400E+00,1.211928E+05,3.941400E+00,0.000000E+00,0.000000E+00,3.941400E+00,0.000000E+00,3.941400E+00,3.600536E+04,1.261423E+05,3.941400E+00,1.211928E+05,3.941400E+00,0.000000E+00,0.000000E+00,3.941400E+00,0.000000E+00,3.941400E+00,3.600536E+04,1.261423E+05,4.253250E+00,1.177485E+05,3.941400E+00,0.000000E+00,0.000000E+00
00:55:00,3.941400E+00,0.000000E+00,3.941400E+00,3.579347E+04,1.253551E+05,3.941400E+00,1.211928E+05,3.941400E+00,0.000000E+00,0.000000E+00,3.941400E+00,0.000000E+00,3.941400E+00,3.579347E+04,1.253551E+05,3.941400E+00,1.211928E+05,3.941400E+00,0.000000E+00,0.000000E+00,3.941400E+00,0.000000E+00,3.941400E+00,3.579347E+04,1.253551E+05,4.253259E+00,1.177484E+05,3.941400E+00,0.000000E+00,0.000000E+00
01:00:00,3.941400E+00,0.000000E+00,3.941400E+00,3.558158E+04,1.245697E+05,3.941400E+00,1.211928E+05,3.941400E+00,0.000000E+00,0.000000E+00,3.941400E+00,0.000000E+00,3.941400E+00,3.558158E+04,1.245697E+05,3.941400E+00,1.211928E+05,3.941400E+00,0.000000E+00,0.000000E+00,3.941400E+00,0.000000E+00,3.941400E+00,3.558158E+04,1.245697E+05,4.253268E+00,1.177483E+05,3.941400E+00,0.000000E+00,0.000000E+00
01:05:00,3.941400E+00,0.000000E+00,3.941400E+00,3.544032E+04,1.240471E+05,3.941400E+00,1.211928E+05,3.941400E+00,0.000000E+00,0.000000E+00,3.941400E+00,0.000000E+00,3.941400E+00,3.544032E+04,1.240471E+05,3.941400E+00,1.211928E+05,3.941400E+00,0.000000E+00,0.000000E+00,3.941400E+00,0.000000E+00,3.941400E+00,3.544032E+04,1.240471E+05,4.253276E+00,1.177482E+05,3.941400E+00,0.000000E+00,0.000000E+00
